,ticker,spac
0,ABL,False
1,ABP,True
2,ACEL,True
3,ACHR,True
4,ADGM,True
5,ADN,True
6,ADV,True
7,AENT,False
8,AEON,True
9,AERT,False
10,AEVA,True
11,AFRI,True
12,AGAE,False
13,AHCO,False
14,AIEV,False
15,AIRJ,True
16,AISP,False
17,ALCE,False
18,ALIT,True
19,ALTG,True
20,ALTI,True
21,ALUR,True
22,AMCI,False
23,AMOD,False
24,AMPX,True
25,ANGX,False
26,ANNA,False
27,ARKO,True
28,ASBP,False
29,ASLE,False
30,ASTS,True
31,ATCH,False
32,AUR,True
33,AVPT,True
34,BAER,False
35,BARK,True
36,BBAI,True
37,BBOT,True
38,BCG,True
39,BEEP,True
40,BETR,False
41,BFLY,True
42,BKKT,True
43,BKSY,True
44,BNAI,False
45,BNZI,False
46,BODI,True
47,BRCC,True
48,BRLS,False
49,BRR,False
50,BSLK,True
51,BTM,True
52,BTMD,False
53,BURU,False
54,BZAI,True
55,BZFD,False
56,CDIO,False
57,CDT,True
58,CELU,True
59,CERO,True
60,CHPT,True
61,CHR,False
62,CIFR,True
63,CLDI,True
64,CLNN,True
65,CLOV,True
66,CLVR,True
67,CLVT,False
68,CMPO,True
69,CNTM,False
70,COCH,True
71,COEP,False
72,CORZ,False
73,CTEV,True
74,CTOR,False
75,CTOS,True
76,CURI,True
77,CURR,True
78,CXAI,False
79,DAIC,True
80,DAVE,True
81,DCGO,False
82,DEVS,True
83,DFLI,True
84,DJT,True
85,DKNG,False
86,DTI,True
87,ECDA,False
88,ENGN,True
89,ENSC,False
90,ENVX,True
91,EONR,True
92,EOSE,True
93,ESLA,True
94,ETHZ,False
95,EUDA,False
96,EVEX,True
97,EVGO,True
98,EVLV,True
99,FBYD,False
100,FFAI,False
101,FLD,False
102,FLYX,False
103,FOA,True
104,FOXO,False
105,FOXX,True
106,FRGE,True
107,FUSE,True
108,GBTG,True
109,GCMG,True
110,GCTS,True
111,GDYN,False
112,GETY,True
113,GOEVQ,True
114,GRND,False
115,GRNT,False
116,GROV,True
117,GTEC,False
118,GWH,True
119,HGAS,True
120,HGTY,True
121,HIPO,True
122,HLLY,True
123,HLMN,True
124,HOFV,False
125,HOLO,False
126,HOVR,True
127,HPK,False
128,HUMA,True
129,HWH,False
130,HYLN,True
131,HYMC,True
132,HYPR,True
133,ICU,True
134,IMSR,True
135,IMVT,False
136,INDI,True
137,INV,False
138,IONQ,True
139,ISPO,True
140,JBI,True
141,JOBY,False
142,JSPR,True
143,JTAI,True
144,KDK,True
145,KIDZ,True
146,KITT,True
147,KLTO,False
148,KORE,True
149,KPLT,True
150,KXIN,False
151,LCID,True
152,LIDR,True
153,LIMN,True
154,LION,False
155,LNZA,True
156,LOCL,True
157,LPRO,True
158,LUCK,True
159,LUNR,False
160,LVWR,True
161,MAPS,True
162,MCOM,True
163,MDAI,False
164,MGTE,False
165,MIR,True
166,MKTW,True
167,MLGO,False
168,MLTX,True
169,MNTS,True
170,MOBX,True
171,MP,True
172,MSAI,False
173,MSPR,False
174,MVST,True
175,MYPS,True
176,NAUT,True
177,NB,False
178,NKGN,True
179,NKLR,True
180,NMHI,False
181,NN,True
182,NOTE,False
183,NPWR,True
184,NRDY,True
185,NRGV,True
186,NRXP,True
187,NUAI,False
188,NUKK,False
189,NUVB,True
190,NVTS,True
191,NVVE,True
192,NXDR,True
193,OABI,False
194,OBIO,False
195,OCEA,False
196,OKLO,False
197,ONMD,True
198,OPAD,True
199,OPAL,True
200,OPEN,True
201,OPFI,False
202,OPTX,False
203,ORGN,True
204,OSRH,False
205,OSW,False
206,OUST,True
207,OWL,True
208,OWLT,True
209,PACK,False
210,PAYO,True
211,PCT,True
212,PDYN,True
213,PEW,False
214,PFSA,True
215,PHGE,False
216,PIII,True
217,PL,True
218,PLBY,True
219,PRCH,True
220,PROK,True
221,PSQH,False
222,PWP,True
223,QBTS,True
224,QS,True
225,QSI,True
226,QTIH,False
227,RAIN,True
228,RBOT,True
229,RDW,True
230,RDZN,True
231,REVB,False
232,RGTI,True
233,RKLB,True
234,RMCO,False
235,ROIV,False
236,RPAY,True
237,RSI,True
238,RSVR,True
239,RUM,True
240,RVPH,False
241,SABS,False
242,SAFX,False
243,SBC,False
244,SBIG,True
245,SCLX,False
246,SDST,True
247,SEAT,True
248,SEGG,False
249,SES,True
250,SHFS,True
251,SJ,False
252,SKIL,True
253,SKIN,False
254,SKLZ,False
255,SKYH,True
256,SLDP,True
257,SLND,False
258,SLXN,True
259,SMNR,True
260,SMR,True
261,SMRT,True
262,SNAX,True
263,SNTI,True
264,SOAR,True
265,SOC,True
266,SOFI,True
267,SOUN,True
268,SPCE,False
269,SPIR,True
270,SPRU,True
271,SPWR,True
272,SRTA,True
273,SRZN,True
274,SST,False
275,STAI,False
276,STEM,True
277,STI,True
278,SYM,True
279,TALK,True
280,TE,False
281,TH,False
282,TLSI,True
283,TMC,True
284,TNGX,True
285,TOI,True
286,TRUG,True
287,TVGN,False
288,TYGO,False
289,UCFI,False
290,UHG,True
291,UP,True
292,USAR,True
293,UTZ,False
294,UWMC,False
295,VEEA,False
296,VELO,True
297,VGAS,True
298,VINC,False
299,VRT,True
300,VSEE,False
301,VWAV,False
302,WEST,True
303,WGS,True
304,XAGE,False
305,XBP,False
306,XOS,True
307,XXI,True
308,ZCAR,False
309,ZEO,True
310,ZPTA,True
311,ZURA,True
312,ZVSA,True
