date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2024-11-12,ABP,11.115,11.19,5.75,5.77,173.1,162500,0.0,1.0
2024-11-13,ABP,5.77,5.77,5.77,5.77,173.1,0,0.0,1.0
2024-11-14,ABP,5.2,8.8,4.24,4.99,149.7,153957,0.0,1.0
2024-11-15,ABP,4.22,4.645,3.23,3.71,111.3,65186,0.0,1.0
2024-11-18,ABP,3.3,3.6,3.18,3.3979,101.937,16107,0.0,1.0
2024-11-19,ABP,3.3618,4.01,3.2,3.63,108.9,13043,0.0,1.0
2024-11-20,ABP,3.99,3.99,3.38,3.41,102.3,10656,0.0,1.0
2024-11-21,ABP,3.34,3.67,3.09,3.18,95.4000000000001,35734,0.0,1.0
2024-11-22,ABP,3.2396,3.41,2.9046,3.105,93.1500000000001,20247,0.0,1.0
2024-11-25,ABP,2.97,3.0565,2.89,2.95,88.5000000000001,6519,0.0,1.0
2024-11-26,ABP,2.93,3.35,2.87,2.9,87.0000000000001,77256,0.0,1.0
2024-11-27,ABP,2.88,2.88,2.5,2.68,80.4000000000001,40576,0.0,1.0
2024-11-29,ABP,2.61,3.27,2.61,2.7,81.0000000000001,9625,0.0,1.0
2024-12-02,ABP,2.74,3.0999,2.6,2.63,78.9000000000001,13479,0.0,1.0
2024-12-03,ABP,2.63,2.6399,2.3,2.41,72.3000000000001,18198,0.0,1.0
2024-12-04,ABP,2.5,2.695,2.05,2.13,63.9000000000001,81312,0.0,1.0
2024-12-05,ABP,2.0101,2.1,1.42,1.55,46.5,298485,0.0,1.0
2024-12-06,ABP,1.52,1.64,1.41,1.53,45.9,106058,0.0,1.0
2024-12-09,ABP,1.57,1.88,1.43,1.83,54.9000000000001,57306,0.0,1.0
2024-12-10,ABP,1.77,1.78,1.55,1.78,53.4000000000001,34491,0.0,1.0
2024-12-11,ABP,1.6601,1.74,1.58,1.58,47.4000000000001,18195,0.0,1.0
2024-12-12,ABP,1.7911,1.7948,1.55,1.6,48.0000000000001,21090,0.0,1.0
2024-12-13,ABP,1.67,1.75,1.52,1.53,45.9,16493,0.0,1.0
2024-12-16,ABP,1.72,1.72,1.19,1.28,38.4,60748,0.0,1.0
2024-12-17,ABP,1.3,1.3987,1.22,1.23,36.9,8131,0.0,1.0
2024-12-18,ABP,1.3,1.3,1.09,1.1,33.0,21078,0.0,1.0
2024-12-19,ABP,1.49,2.22,0.95,1.49,44.7,17037213,0.0,1.0
2024-12-20,ABP,1.41,3.99,1.38,2.07,62.1000000000001,17830191,0.0,1.0
2024-12-23,ABP,2.29,2.45,1.7001,2.29,68.7000000000001,1090914,0.0,1.0
2024-12-24,ABP,2.18,2.8,2.16,2.42,72.6000000000001,413839,0.0,1.0
2024-12-26,ABP,2.44,3.14,2.27,3.01,90.3000000000001,519463,0.0,1.0
2024-12-27,ABP,3.39,5.13,3.2404,4.49,134.7,2048079,0.0,1.0
2024-12-30,ABP,4.08,4.15,1.9,2.13,63.9000000000001,2169306,0.0,1.0
2024-12-31,ABP,2.0,2.005,1.69,1.79,53.7000000000001,440765,0.0,1.0
2025-01-02,ABP,1.78,1.8,1.565,1.57,47.1000000000001,229642,0.0,1.0
2025-01-03,ABP,1.6,1.6999,1.57,1.61,48.3000000000001,139205,0.0,1.0
2025-01-06,ABP,1.65,1.65,1.43,1.47,44.1,283997,0.0,1.0
2025-01-07,ABP,1.47,1.57,1.41,1.47,44.1,129467,0.0,1.0
2025-01-08,ABP,1.51,1.51,1.28,1.29,38.7,347983,0.0,1.0
2025-01-10,ABP,1.42,1.42,1.32,1.365,40.95,53669,0.0,1.0
2025-01-13,ABP,1.4,1.43,1.3,1.3,39.0,44570,0.0,1.0
2025-01-14,ABP,1.33,1.3395,1.25,1.28,38.4,74838,0.0,1.0
2025-01-15,ABP,1.34,1.37,1.3,1.34,40.2,36031,0.0,1.0
2025-01-16,ABP,1.3659,1.43,1.35,1.35,40.5,15132,0.0,1.0
2025-01-17,ABP,1.36,1.39,1.26,1.3,39.0,29353,0.0,1.0
2025-01-21,ABP,1.31,1.4196,1.3,1.32,39.6,57450,0.0,1.0
2025-01-22,ABP,1.37,1.39,1.3,1.35,40.5,40080,0.0,1.0
2025-01-23,ABP,1.31,1.3593,1.25,1.28,38.4,66762,0.0,1.0
2025-01-24,ABP,1.3,1.35,1.2605,1.29,38.7,13334,0.0,1.0
2025-01-27,ABP,1.31,1.35,1.19,1.25,37.5,44083,0.0,1.0
