date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2020-12-18,ACHR,10.15,10.15,9.96,9.97,9.97,54454,0.0,1.0
2020-12-21,ACHR,10.34,10.34,9.83,10.07,10.07,23651,0.0,1.0
2020-12-22,ACHR,10.09,10.12,9.96,10.02,10.02,186020,0.0,1.0
2020-12-23,ACHR,10.14,10.23,9.73,10.06,10.06,30508,0.0,1.0
2020-12-24,ACHR,10.05,10.19,9.95,10.03,10.03,254252,0.0,1.0
2020-12-28,ACHR,11.01,11.82,10.2,10.44,10.44,333037,0.0,1.0
2020-12-29,ACHR,10.49,10.49,10.15,10.22,10.22,109410,0.0,1.0
2020-12-30,ACHR,10.29,10.45,10.19,10.2,10.2,50894,0.0,1.0
2020-12-31,ACHR,10.32,10.32,10.06,10.06,10.06,132717,0.0,1.0
2021-01-04,ACHR,10.109,10.15,10.07,10.09,10.09,25100,0.0,1.0
2021-01-05,ACHR,10.19,10.28,10.12,10.16,10.16,135191,0.0,1.0
2021-01-06,ACHR,10.31,10.52,10.13,10.15,10.15,210086,0.0,1.0
2021-01-07,ACHR,10.29,10.39,10.12,10.22,10.22,121075,0.0,1.0
2021-01-08,ACHR,10.27,10.42,10.2,10.37,10.37,284346,0.0,1.0
2021-01-11,ACHR,10.4,10.4001,10.26,10.36,10.36,251680,0.0,1.0
2021-01-12,ACHR,10.4,10.68,10.26,10.46,10.46,247923,0.0,1.0
2021-01-13,ACHR,10.6,10.68,10.42,10.48,10.48,858641,0.0,1.0
2021-01-14,ACHR,10.59,10.59,10.44,10.49,10.49,925527,0.0,1.0
2021-01-15,ACHR,10.51,10.54,10.38,10.42,10.42,211341,0.0,1.0
2021-01-19,ACHR,10.49,10.59,10.41,10.56,10.56,1115313,0.0,1.0
2021-01-20,ACHR,10.62,10.62,10.46,10.5,10.5,284113,0.0,1.0
2021-01-21,ACHR,10.6,10.72,10.52,10.56,10.56,272156,0.0,1.0
2021-01-22,ACHR,10.55,10.65,10.48,10.6,10.6,463496,0.0,1.0
2021-01-25,ACHR,10.74,10.87,10.53,10.73,10.73,505310,0.0,1.0
2021-01-26,ACHR,10.85,10.9,10.53,10.58,10.58,396233,0.0,1.0
2021-01-27,ACHR,10.44,10.5,10.21,10.25,10.25,577104,0.0,1.0
2021-01-28,ACHR,10.41,10.56,10.28,10.44,10.44,547748,0.0,1.0
2021-01-29,ACHR,10.44,10.5,10.28,10.34,10.34,229068,0.0,1.0
2021-02-01,ACHR,10.42,10.7,10.4,10.67,10.67,250361,0.0,1.0
2021-02-02,ACHR,10.64,10.88,10.64,10.75,10.75,364679,0.0,1.0
2021-02-03,ACHR,10.69,11.105,10.65,10.79,10.79,592953,0.0,1.0
2021-02-04,ACHR,11.08,11.23,10.87,11.0,11.0,851245,0.0,1.0
2021-02-05,ACHR,11.15,11.78,11.02,11.32,11.32,804945,0.0,1.0
2021-02-08,ACHR,11.47,11.66,11.16,11.32,11.32,536217,0.0,1.0
2021-02-09,ACHR,11.41,11.52,11.12,11.24,11.24,422922,0.0,1.0
2021-02-10,ACHR,15.43,15.75,13.4,13.68,13.68,28995217,0.0,1.0
2021-02-11,ACHR,14.5,14.83,13.56,14.08,14.08,14386101,0.0,1.0
2021-02-12,ACHR,13.85,13.85,13.0,13.56,13.56,6732892,0.0,1.0
2021-02-16,ACHR,14.87,14.87,13.61,14.14,14.14,8636502,0.0,1.0
2021-02-17,ACHR,16.43,16.5,15.17,16.1,16.1,14728661,0.0,1.0
2021-02-18,ACHR,16.42,18.6,16.16,17.14,17.14,15713783,0.0,1.0
2021-02-19,ACHR,17.6,18.08,16.0,16.28,16.28,9154816,0.0,1.0
2021-02-22,ACHR,16.55,17.29,14.51,14.87,14.87,8262841,0.0,1.0
2021-02-23,ACHR,13.4,13.86,11.64,13.4,13.4,9883732,0.0,1.0
2021-02-24,ACHR,13.56,14.26,13.01,13.52,13.52,5600338,0.0,1.0
2021-02-25,ACHR,13.25,13.4,12.0,12.16,12.16,6191635,0.0,1.0
2021-02-26,ACHR,12.68,12.9,11.88,11.9,11.9,6149009,0.0,1.0
2021-03-01,ACHR,12.91,13.37,12.65,12.85,12.85,4047995,0.0,1.0
2021-03-02,ACHR,13.09,13.41,12.28,12.36,12.36,6971780,0.0,1.0
2021-03-03,ACHR,12.49,12.7295,11.2,11.22,11.22,8058921,0.0,1.0
2021-03-04,ACHR,11.14,11.53,10.25,10.77,10.77,7791530,0.0,1.0
2021-03-05,ACHR,10.75,11.26,10.2202,11.03,11.03,6525113,0.0,1.0
2021-03-08,ACHR,10.93,11.38,10.52,10.72,10.72,3610014,0.0,1.0
2021-03-09,ACHR,11.0,11.15,10.66,10.93,10.93,3284228,0.0,1.0
2021-03-10,ACHR,11.05,11.11,10.58,10.75,10.75,3258031,0.0,1.0
2021-03-11,ACHR,11.0,11.28,10.82,11.21,11.21,3503053,0.0,1.0
2021-03-12,ACHR,10.87,11.16,10.7601,11.15,11.15,2019707,0.0,1.0
2021-03-15,ACHR,11.04,11.08,10.8,10.92,10.92,2105001,0.0,1.0
2021-03-16,ACHR,10.91,11.05,10.525,10.56,10.56,2287306,0.0,1.0
2021-03-17,ACHR,10.48,10.59,10.36,10.44,10.44,2712721,0.0,1.0
2021-03-18,ACHR,10.39,10.65,10.28,10.35,10.35,2068001,0.0,1.0
2021-03-19,ACHR,10.3,10.72,10.23,10.68,10.68,1906730,0.0,1.0
2021-03-22,ACHR,10.7,10.83,10.47,10.62,10.62,1469865,0.0,1.0
2021-03-23,ACHR,10.6,10.6,10.28,10.34,10.34,1383430,0.0,1.0
2021-03-24,ACHR,10.31,10.36,9.93,10.13,10.13,3665097,0.0,1.0
2021-03-25,ACHR,9.87,10.15,9.85,10.04,10.04,3818867,0.0,1.0
2021-03-26,ACHR,10.06,10.15,10.04,10.15,10.15,1577513,0.0,1.0
2021-03-29,ACHR,10.15,10.34,10.04,10.29,10.29,1387665,0.0,1.0
2021-03-30,ACHR,10.18,10.34,10.04,10.12,10.12,1212419,0.0,1.0
2021-03-31,ACHR,10.14,10.22,10.05,10.05,10.05,1582444,0.0,1.0
2021-04-01,ACHR,10.06,10.23,10.06,10.12,10.12,1177853,0.0,1.0
2021-04-05,ACHR,10.19,10.2,10.04,10.08,10.08,1274425,0.0,1.0
2021-04-06,ACHR,10.1,10.35,10.1,10.22,10.22,1531532,0.0,1.0
2021-04-07,ACHR,10.18,10.26,10.06,10.06,10.06,1483859,0.0,1.0
2021-04-08,ACHR,10.16,10.4,10.12,10.4,10.4,1300115,0.0,1.0
2021-04-09,ACHR,10.35,10.36,10.14,10.21,10.21,1025838,0.0,1.0
2021-04-12,ACHR,10.16,10.205,10.05,10.08,10.08,1356562,0.0,1.0
2021-04-13,ACHR,10.05,10.08,10.0,10.06,10.06,1173785,0.0,1.0
2021-04-14,ACHR,10.02,10.08,10.0,10.01,10.01,1128523,0.0,1.0
2021-04-15,ACHR,10.0,10.02,9.8801,9.95,9.95,1773066,0.0,1.0
2021-04-16,ACHR,9.89,9.94,9.86,9.92,9.92,1838800,0.0,1.0
2021-04-19,ACHR,9.88,9.9,9.82,9.87,9.87,2220098,0.0,1.0
2021-04-20,ACHR,9.83,9.93,9.77,9.86,9.86,2193279,0.0,1.0
2021-04-21,ACHR,9.83,9.9,9.83,9.89,9.89,1024629,0.0,1.0
2021-04-22,ACHR,9.87,10.01,9.86,9.92,9.92,1166858,0.0,1.0
2021-04-23,ACHR,9.92,9.92,9.88,9.89,9.89,606670,0.0,1.0
2021-04-26,ACHR,9.9,9.925,9.88,9.89,9.89,926427,0.0,1.0
2021-04-27,ACHR,9.89,9.9489,9.89,9.9,9.9,904519,0.0,1.0
2021-04-28,ACHR,9.9,9.93,9.9,9.91,9.91,740865,0.0,1.0
2021-04-29,ACHR,9.91,9.93,9.89,9.9,9.9,824504,0.0,1.0
2021-04-30,ACHR,9.9,9.94,9.89,9.94,9.94,416792,0.0,1.0
2021-05-03,ACHR,9.89,9.92,9.87,9.9,9.9,765056,0.0,1.0
2021-05-04,ACHR,9.87,9.93,9.83,9.87,9.87,1157461,0.0,1.0
2021-05-05,ACHR,9.86,9.92,9.86,9.89,9.89,456200,0.0,1.0
2021-05-06,ACHR,9.87,9.89,9.86,9.88,9.88,1323858,0.0,1.0
2021-05-07,ACHR,9.85,9.87,9.85,9.86,9.86,951685,0.0,1.0
2021-05-10,ACHR,9.85,9.905,9.84,9.86,9.86,1195572,0.0,1.0
2021-05-11,ACHR,9.75,9.89,9.73,9.86,9.86,1983505,0.0,1.0
2021-05-12,ACHR,9.81,9.91,9.81,9.85,9.85,678883,0.0,1.0
2021-05-13,ACHR,9.81,9.905,9.81,9.85,9.85,1583007,0.0,1.0
2021-05-14,ACHR,9.85,9.875,9.82,9.87,9.87,719969,0.0,1.0
2021-05-17,ACHR,9.85,9.88,9.835,9.88,9.88,519461,0.0,1.0
2021-05-18,ACHR,9.87,9.91,9.87,9.89,9.89,725301,0.0,1.0
2021-05-19,ACHR,9.88,9.94,9.88,9.93,9.93,771760,0.0,1.0
2021-05-20,ACHR,9.94,9.94,9.88,9.9,9.9,1024780,0.0,1.0
2021-05-21,ACHR,9.91,9.95,9.91,9.92,9.92,320445,0.0,1.0
2021-05-24,ACHR,9.93,9.96,9.91,9.91,9.91,865480,0.0,1.0
2021-05-25,ACHR,9.92,9.95,9.91,9.92,9.92,713355,0.0,1.0
2021-05-26,ACHR,9.9,9.95,9.9,9.95,9.95,601713,0.0,1.0
2021-05-27,ACHR,9.95,9.96,9.88,9.89,9.89,568123,0.0,1.0
2021-05-28,ACHR,9.95,9.95,9.92,9.93,9.93,278369,0.0,1.0
2021-06-01,ACHR,9.94,9.95,9.91,9.92,9.92,441980,0.0,1.0
2021-06-02,ACHR,9.91,9.93,9.9,9.91,9.91,375199,0.0,1.0
2021-06-03,ACHR,9.91,9.94,9.9,9.93,9.93,428378,0.0,1.0
2021-06-04,ACHR,9.94,9.95,9.91,9.92,9.92,376633,0.0,1.0
2021-06-07,ACHR,9.92,9.97,9.92,9.96,9.96,499312,0.0,1.0
2021-06-08,ACHR,9.99,10.1,9.97,10.07,10.07,1711855,0.0,1.0
2021-06-09,ACHR,10.28,10.72,10.15,10.16,10.16,4594424,0.0,1.0
2021-06-10,ACHR,10.35,10.35,10.14,10.16,10.16,1321111,0.0,1.0
2021-06-11,ACHR,10.06,10.15,9.96,9.99,9.99,2378516,0.0,1.0
2021-06-14,ACHR,10.04,10.0499,9.95,9.97,9.97,717992,0.0,1.0
2021-06-15,ACHR,9.97,9.98,9.92,9.92,9.92,1400377,0.0,1.0
2021-06-16,ACHR,9.92,9.95,9.92,9.95,9.95,484292,0.0,1.0
2021-06-17,ACHR,9.92,9.945,9.92,9.93,9.93,359370,0.0,1.0
2021-06-18,ACHR,9.93,9.94,9.93,9.93,9.93,518160,0.0,1.0
2021-06-21,ACHR,9.91,9.94,9.91,9.94,9.94,1170612,0.0,1.0
2021-06-22,ACHR,9.93,9.94,9.89,9.93,9.93,1046508,0.0,1.0
2021-06-23,ACHR,9.92,9.94,9.913,9.94,9.94,948638,0.0,1.0
2021-06-24,ACHR,9.94,9.97,9.92,9.97,9.97,324154,0.0,1.0
2021-06-25,ACHR,9.94,9.99,9.94,9.98,9.98,515108,0.0,1.0
2021-06-28,ACHR,9.97,9.99,9.92,9.97,9.97,387419,0.0,1.0
2021-06-29,ACHR,9.93,9.99,9.93,9.94,9.94,342161,0.0,1.0
2021-06-30,ACHR,9.94,9.97,9.94,9.96,9.96,375933,0.0,1.0
2021-07-01,ACHR,9.94,9.98,9.94,9.96,9.96,366196,0.0,1.0
2021-07-02,ACHR,9.94,9.97,9.94,9.96,9.96,269420,0.0,1.0
2021-07-06,ACHR,9.94,9.97,9.94,9.94,9.94,615458,0.0,1.0
2021-07-07,ACHR,9.93,9.96,9.93,9.94,9.94,423315,0.0,1.0
2021-07-08,ACHR,9.93,9.95,9.91,9.91,9.91,1515211,0.0,1.0
2021-07-09,ACHR,9.91,9.9499,9.91,9.92,9.92,1559786,0.0,1.0
2021-07-12,ACHR,9.91,9.93,9.91,9.91,9.91,240857,0.0,1.0
2021-07-13,ACHR,9.9,9.93,9.89,9.91,9.91,535595,0.0,1.0
2021-07-14,ACHR,9.9,9.93,9.9,9.9,9.9,536929,0.0,1.0
2021-07-15,ACHR,9.9,9.92,9.9,9.9,9.9,340685,0.0,1.0
2021-07-16,ACHR,9.9,9.91,9.9,9.9,9.9,846540,0.0,1.0
2021-07-19,ACHR,9.86,9.91,9.86,9.9,9.9,1555488,0.0,1.0
2021-07-20,ACHR,9.88,9.905,9.87,9.89,9.89,1989431,0.0,1.0
2021-07-21,ACHR,9.86,9.9,9.86,9.87,9.87,865692,0.0,1.0
2021-07-22,ACHR,9.87,9.89,9.87,9.88,9.88,486153,0.0,1.0
2021-07-23,ACHR,9.9,9.9,9.87,9.88,9.88,440330,0.0,1.0
2021-07-26,ACHR,9.86,9.89,9.86,9.88,9.88,467349,0.0,1.0
2021-07-27,ACHR,9.86,9.88,9.86,9.88,9.88,457518,0.0,1.0
2021-07-28,ACHR,9.87,9.88,9.86,9.87,9.87,450577,0.0,1.0
2021-07-29,ACHR,9.9,9.92,9.9,9.92,9.92,324194,0.0,1.0
2021-07-30,ACHR,9.9,9.93,9.89,9.93,9.93,165338,0.0,1.0
2021-08-02,ACHR,9.9,9.92,9.9,9.91,9.91,328547,0.0,1.0
2021-08-03,ACHR,9.9,9.915,9.87,9.88,9.88,286448,0.0,1.0
2021-08-04,ACHR,9.89,9.91,9.88,9.9,9.9,376544,0.0,1.0
2021-08-05,ACHR,9.87,9.91,9.87,9.91,9.91,235775,0.0,1.0
2021-08-06,ACHR,9.86,9.92,9.86,9.9,9.9,211055,0.0,1.0
2021-08-09,ACHR,9.88,9.92,9.87,9.9,9.9,201807,0.0,1.0
2021-08-10,ACHR,9.88,9.97,9.88,9.95,9.95,630851,0.0,1.0
2021-08-11,ACHR,9.95,9.98,9.93,9.96,9.96,325157,0.0,1.0
2021-08-12,ACHR,9.95,9.98,9.94,9.97,9.97,240410,0.0,1.0
2021-08-13,ACHR,9.95,9.99,9.95,9.99,9.99,449344,0.0,1.0
2021-08-16,ACHR,9.95,9.98,9.95,9.97,9.97,363637,0.0,1.0
2021-08-17,ACHR,9.94,9.98,9.94,9.98,9.98,419867,0.0,1.0
2021-08-18,ACHR,9.95,9.96,9.95,9.95,9.95,233236,0.0,1.0
2021-08-19,ACHR,9.93,9.95,9.93,9.94,9.94,610155,0.0,1.0
2021-08-20,ACHR,9.93,9.97,9.93,9.95,9.95,2798436,0.0,1.0
2021-08-23,ACHR,9.95,9.97,9.94,9.97,9.97,1538415,0.0,1.0
2021-08-24,ACHR,9.95,9.97,9.95,9.96,9.96,197459,0.0,1.0
2021-08-25,ACHR,9.95,9.97,9.95,9.96,9.96,456518,0.0,1.0
2021-08-26,ACHR,9.97,10.0,9.96,10.0,10.0,2559777,0.0,1.0
2021-08-27,ACHR,9.97,10.0,9.97,9.99,9.99,2444436,0.0,1.0
2021-08-30,ACHR,10.0,10.01,9.99,10.0,10.0,3603987,0.0,1.0
2021-08-31,ACHR,9.98,10.01,9.97,10.0,10.0,650226,0.0,1.0
2021-09-01,ACHR,10.0,10.0,9.98,9.99,9.99,1229860,0.0,1.0
2021-09-02,ACHR,10.0,10.0,9.98,9.98,9.98,955886,0.0,1.0
2021-09-03,ACHR,9.98,10.01,9.98,10.0,10.0,1987636,0.0,1.0
2021-09-07,ACHR,10.0,10.0083,9.99,10.0,10.0,910368,0.0,1.0
2021-09-08,ACHR,10.0,10.01,9.99,9.99,9.99,1225331,0.0,1.0
