date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2022-11-11,AIIO,9.91,9.91,6.72,7.3,7.3,418400,0.0,1.0
2022-11-14,AIIO,5.81,5.81,2.57,2.7,2.7,1979566,0.0,1.0
2022-11-15,AIIO,2.06,3.0,2.06,2.79,2.79,1398146,0.0,1.0
2022-11-16,AIIO,2.55,3.27,2.2999,3.16,3.16,1007102,0.0,1.0
2022-11-17,AIIO,2.95,4.24,2.7004,4.1,4.1,1085823,0.0,1.0
2022-11-18,AIIO,4.01,5.24,3.85,5.08,5.08,910653,0.0,1.0
2022-11-21,AIIO,5.75,8.32,5.7,7.05,7.05,7722367,0.0,1.0
2022-11-22,AIIO,6.23,7.73,6.2201,7.29,7.29,956321,0.0,1.0
2022-11-23,AIIO,7.52,8.03,6.5205,7.77,7.77,605214,0.0,1.0
2022-11-25,AIIO,8.18,9.005,8.1006,8.78,8.78,995159,0.0,1.0
2022-11-28,AIIO,8.75,8.75,7.75,7.8983,7.8983,166566,0.0,1.0
2022-11-29,AIIO,7.9,8.25,7.42,7.86,7.86,245130,0.0,1.0
2022-11-30,AIIO,7.76,9.2199,7.76,8.89,8.89,199088,0.0,1.0
2022-12-01,AIIO,9.46,9.7168,8.86,9.01,9.01,223731,0.0,1.0
2022-12-02,AIIO,9.24,9.75,8.9,9.69,9.69,237070,0.0,1.0
2022-12-05,AIIO,9.95,10.0,9.55,10.0,10.0,129767,0.0,1.0
2022-12-06,AIIO,10.25,11.6801,9.0,11.37,11.37,352862,0.0,1.0
2022-12-07,AIIO,11.3,11.6,10.99,11.36,11.36,225781,0.0,1.0
2022-12-08,AIIO,11.39,13.07,11.39,13.04,13.04,373970,0.0,1.0
2022-12-09,AIIO,13.48,13.5,11.04,12.38,12.38,466614,0.0,1.0
2022-12-12,AIIO,12.25,12.825,11.575,12.34,12.34,515387,0.0,1.0
2022-12-13,AIIO,12.29,13.4,12.1,13.05,13.05,408746,0.0,1.0
2022-12-14,AIIO,13.18,13.18,12.335,13.095,13.095,318637,0.0,1.0
2022-12-15,AIIO,13.17,13.23,11.98,12.58,12.58,251820,0.0,1.0
2022-12-16,AIIO,12.99,13.2,11.75,12.55,12.55,1125418,0.0,1.0
2022-12-19,AIIO,12.98,12.98,12.095,12.35,12.35,426754,0.0,1.0
2022-12-20,AIIO,12.2,12.5,12.04,12.11,12.11,409292,0.0,1.0
2022-12-21,AIIO,12.09,12.14,11.03,11.38,11.38,211987,0.0,1.0
2022-12-22,AIIO,11.37,12.23,10.8001,11.04,11.04,191160,0.0,1.0
2022-12-23,AIIO,10.76,11.34,10.72,11.2,11.2,119840,0.0,1.0
2022-12-27,AIIO,11.02,12.42,11.02,12.3,12.3,323879,0.0,1.0
2022-12-28,AIIO,12.09,12.25,11.42,11.75,11.75,72029,0.0,1.0
2022-12-29,AIIO,11.79,11.9,11.35,11.45,11.45,36206,0.0,1.0
2022-12-30,AIIO,11.17,11.6,10.51,10.73,10.73,96906,0.0,1.0
2023-01-03,AIIO,10.4227,10.85,10.3101,10.43,10.43,44072,0.0,1.0
2023-01-04,AIIO,10.22,10.41,9.16,9.79,9.79,94992,0.0,1.0
2023-01-05,AIIO,9.86,10.1839,9.06,9.13,9.13,81845,0.0,1.0
2023-01-06,AIIO,8.86,9.445,8.37,9.05,9.05,84369,0.0,1.0
2023-01-09,AIIO,8.98,9.91,8.98,9.68,9.68,84059,0.0,1.0
2023-01-10,AIIO,9.82,10.01,9.52,9.69,9.69,65569,0.0,1.0
2023-01-11,AIIO,9.8,9.83,7.67,8.5,8.5,148505,0.0,1.0
2023-01-12,AIIO,9.08,10.4638,8.995,10.07,10.07,92628,0.0,1.0
2023-01-13,AIIO,10.58,10.58,9.261,9.68,9.68,86216,0.0,1.0
2023-01-17,AIIO,9.17,10.48,9.17,10.05,10.05,81622,0.0,1.0
2023-01-18,AIIO,9.94,11.17,9.91,11.01,11.01,62261,0.0,1.0
2023-01-19,AIIO,11.11,11.1337,10.53,10.94,10.94,32906,0.0,1.0
2023-01-20,AIIO,11.05,11.345,10.8,11.26,11.26,37353,0.0,1.0
2023-01-23,AIIO,11.05,11.55,10.77,11.55,11.55,19620,0.0,1.0
2023-01-24,AIIO,11.15,12.24,11.15,11.84,11.84,63893,0.0,1.0
2023-01-25,AIIO,11.4,12.0,11.3,11.83,11.83,83686,0.0,1.0
2023-01-26,AIIO,11.75,12.02,11.2,11.47,11.47,16030,0.0,1.0
2023-01-27,AIIO,11.45,11.99,10.18,11.97,11.97,79204,0.0,1.0
2023-01-30,AIIO,11.98,11.98,11.35,11.72,11.72,27446,0.0,1.0
2023-01-31,AIIO,11.65,11.95,11.323,11.95,11.95,61368,0.0,1.0
2023-02-01,AIIO,11.75,12.0,11.7,11.91,11.91,21286,0.0,1.0
2023-02-02,AIIO,11.65,12.08,10.27,11.49,11.49,297186,0.0,1.0
2023-02-03,AIIO,11.276,11.97,11.06,11.51,11.51,114556,0.0,1.0
2023-02-06,AIIO,11.52,11.9053,11.0,11.61,11.61,73546,0.0,1.0
2023-02-07,AIIO,11.85,11.85,11.2,11.42,11.42,52889,0.0,1.0
2023-02-08,AIIO,11.22,11.6499,11.22,11.43,11.43,4518,0.0,1.0
2023-02-09,AIIO,11.22,11.74,11.1,11.63,11.63,46811,0.0,1.0
2023-02-10,AIIO,11.53,11.85,11.4,11.79,11.79,15768,0.0,1.0
2023-02-13,AIIO,11.5,11.545,11.31,11.31,11.31,9307,0.0,1.0
2023-02-14,AIIO,11.5,11.71,11.35,11.7,11.7,57802,0.0,1.0
2023-02-15,AIIO,11.59,11.65,11.37,11.59,11.59,8564,0.0,1.0
2023-02-16,AIIO,11.1,11.49,11.03,11.48,11.48,5756,0.0,1.0
