date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2022-03-16,ALLGF,6.15,6.9,5.9,6.46,6.46,538100,0.0,1.0
2022-03-17,ALLGF,8.05,13.3994,8.05,9.2,9.2,3506436,0.0,1.0
2022-03-18,ALLGF,10.1,10.5,7.425,9.79,9.79,3121887,0.0,1.0
2022-03-21,ALLGF,9.59,9.65,7.68,8.65,8.65,747293,0.0,1.0
2022-03-22,ALLGF,8.4,9.1,8.121,8.28,8.28,1681318,0.0,1.0
2022-03-23,ALLGF,10.41,23.91,9.2801,17.73,17.73,54548329,0.0,1.0
2022-03-24,ALLGF,19.34,21.18,14.55,15.39,15.39,15783765,0.0,1.0
2022-03-25,ALLGF,14.67,19.936,14.15,18.72,18.72,9558164,0.0,1.0
2022-03-28,ALLGF,18.22,22.19,17.51,20.92,20.92,6205983,0.0,1.0
2022-03-29,ALLGF,20.41,28.44,17.72,17.9,17.9,5538611,0.0,1.0
2022-03-30,ALLGF,18.77,20.27,17.16,17.4,17.4,2560524,0.0,1.0
2022-03-31,ALLGF,17.5,18.11,15.12,15.12,15.12,819718,0.0,1.0
2022-04-01,ALLGF,15.72,15.9499,12.05,12.32,12.32,555543,0.0,1.0
2022-04-04,ALLGF,12.73,13.4199,12.01,12.12,12.12,462718,0.0,1.0
2022-04-05,ALLGF,12.49,15.36,11.73,13.4,13.4,3538618,0.0,1.0
2022-04-06,ALLGF,12.76,13.75,12.38,13.06,13.06,219633,0.0,1.0
2022-04-07,ALLGF,12.79,15.19,12.61,14.29,14.29,577235,0.0,1.0
2022-04-08,ALLGF,14.05,14.5,12.54,12.61,12.61,272936,0.0,1.0
2022-04-11,ALLGF,13.22,13.8337,11.965,12.09,12.09,389516,0.0,1.0
2022-04-12,ALLGF,12.75,13.0,11.72,11.72,11.72,135983,0.0,1.0
2022-04-13,ALLGF,11.73,12.2579,11.63,11.93,11.93,101171,0.0,1.0
2022-04-14,ALLGF,11.98,12.09,11.17,11.19,11.19,383965,0.0,1.0
2022-04-18,ALLGF,11.54,11.87,10.96,11.14,11.14,228275,0.0,1.0
2022-04-19,ALLGF,11.6,11.6,10.64,10.83,10.83,113205,0.0,1.0
2022-04-20,ALLGF,10.99,11.27,10.3501,11.03,11.03,159564,0.0,1.0
2022-04-21,ALLGF,11.59,11.61,10.56,10.68,10.68,178129,0.0,1.0
2022-04-22,ALLGF,10.5,11.88,10.28,10.39,10.39,814297,0.0,1.0
2022-04-25,ALLGF,10.1,10.37,9.42,9.45,9.45,143039,0.0,1.0
2022-04-26,ALLGF,9.78,9.78,7.89,8.17,8.17,715872,0.0,1.0
2022-04-27,ALLGF,8.29,8.97,7.6201,8.52,8.52,519078,0.0,1.0
2022-04-28,ALLGF,8.89,12.66,8.7,12.38,12.38,3085273,0.0,1.0
2022-04-29,ALLGF,11.8,14.69,11.8,12.54,12.54,1728123,0.0,1.0
2022-05-02,ALLGF,12.33,13.0,11.05,11.21,11.21,402692,0.0,1.0
2022-05-03,ALLGF,11.25,11.36,10.6,11.09,11.09,195889,0.0,1.0
2022-05-04,ALLGF,11.15,11.3,10.55,11.17,11.17,169989,0.0,1.0
2022-05-05,ALLGF,11.0,11.11,10.14,10.16,10.16,60339,0.0,1.0
2022-05-06,ALLGF,10.21,10.45,9.65,10.2,10.2,168686,0.0,1.0
2022-05-09,ALLGF,10.05,12.4521,9.9,10.61,10.61,742035,0.0,1.0
2022-05-10,ALLGF,10.97,11.19,7.98,8.1,8.1,399990,0.0,1.0
2022-05-11,ALLGF,8.48,8.87,7.45,7.61,7.61,413545,0.0,1.0
2022-05-12,ALLGF,7.57,8.18,7.57,7.84,7.84,72141,0.0,1.0
2022-05-13,ALLGF,8.58,9.03,8.0787,8.17,8.17,69597,0.0,1.0
2022-05-16,ALLGF,8.95,9.66,8.45,9.42,9.42,166691,0.0,1.0
2022-05-17,ALLGF,9.55,9.75,8.75,8.75,8.75,119923,0.0,1.0
2022-05-18,ALLGF,8.55,9.03,8.25,8.26,8.26,91398,0.0,1.0
2022-05-19,ALLGF,8.24,8.47,8.1,8.12,8.12,69595,0.0,1.0
2022-05-20,ALLGF,8.45,8.91,7.88,7.98,7.98,71051,0.0,1.0
2022-05-23,ALLGF,8.03,8.5,8.0,8.09,8.09,64090,0.0,1.0
2022-05-24,ALLGF,8.07,8.45,8.06,8.39,8.39,110131,0.0,1.0
2022-05-25,ALLGF,8.14,8.51,8.04,8.34,8.34,115117,0.0,1.0
2022-05-26,ALLGF,8.22,8.81,8.22,8.57,8.57,42971,0.0,1.0
2022-05-27,ALLGF,8.79,9.09,8.414,8.65,8.65,195881,0.0,1.0
2022-05-31,ALLGF,9.0,9.0906,8.05,8.05,8.05,109198,0.0,1.0
2022-06-01,ALLGF,8.1,8.83,8.02,8.08,8.08,55639,0.0,1.0
2022-06-02,ALLGF,8.01,8.79,8.01,8.23,8.23,51650,0.0,1.0
2022-06-03,ALLGF,8.01,8.73,8.01,8.58,8.58,58859,0.0,1.0
2022-06-06,ALLGF,9.43,9.43,8.25,8.38,8.38,42759,0.0,1.0
2022-06-07,ALLGF,8.13,8.18,7.85,7.94,7.94,905739,0.0,1.0
2022-06-08,ALLGF,7.85,8.05,7.72,7.8,7.8,110929,0.0,1.0
2022-06-09,ALLGF,7.83,7.9687,7.6,7.7,7.7,26062,0.0,1.0
2022-06-10,ALLGF,7.6,8.01,7.28,7.44,7.44,211130,0.0,1.0
2022-06-13,ALLGF,7.11,7.4,6.6801,6.82,6.82,40626,0.0,1.0
2022-06-14,ALLGF,6.8,7.26,6.69,7.02,7.02,101302,0.0,1.0
2022-06-15,ALLGF,7.23,7.49,7.12,7.48,7.48,66278,0.0,1.0
2022-06-16,ALLGF,7.36,7.4188,6.95,7.0,7.0,16820,0.0,1.0
2022-06-17,ALLGF,7.24,7.25,7.05,7.23,7.23,17935,0.0,1.0
2022-06-21,ALLGF,7.25,7.479,7.1001,7.26,7.26,91413,0.0,1.0
2022-06-22,ALLGF,7.25,7.49,7.08,7.27,7.27,203660,0.0,1.0
2022-06-23,ALLGF,7.22,7.22,6.31,6.72,6.72,119696,0.0,1.0
2022-06-24,ALLGF,6.8,6.81,6.15,6.19,6.19,76390,0.0,1.0
2022-06-27,ALLGF,6.19,6.34,5.73,5.78,5.78,156607,0.0,1.0
2022-06-28,ALLGF,5.79,5.93,5.55,5.66,5.66,110369,0.0,1.0
2022-06-29,ALLGF,5.68,5.68,5.1,5.11,5.11,64745,0.0,1.0
2022-06-30,ALLGF,5.11,5.2499,5.01,5.09,5.09,454675,0.0,1.0
2022-07-01,ALLGF,5.02,5.02,4.53,4.66,4.66,113503,0.0,1.0
2022-07-05,ALLGF,4.56,4.7,4.18,4.24,4.24,131148,0.0,1.0
2022-07-06,ALLGF,4.27,4.645,3.845,3.92,3.92,221464,0.0,1.0
2022-07-07,ALLGF,3.95,4.08,3.8307,4.0,4.0,216209,0.0,1.0
2022-07-08,ALLGF,4.07,4.07,3.75,3.97,3.97,170411,0.0,1.0
2022-07-11,ALLGF,4.0,4.0485,3.63,3.65,3.65,124640,0.0,1.0
2022-07-12,ALLGF,3.65,3.76,3.43,3.5,3.5,82491,0.0,1.0
2022-07-13,ALLGF,3.4,3.58,3.4,3.5,3.5,43186,0.0,1.0
2022-07-14,ALLGF,3.52,3.52,3.35,3.42,3.42,55303,0.0,1.0
2022-07-15,ALLGF,3.58,3.58,3.4,3.44,3.44,23593,0.0,1.0
2022-07-18,ALLGF,3.45,3.63,3.45,3.56,3.56,74360,0.0,1.0
2022-07-19,ALLGF,3.68,3.85,3.5,3.8,3.8,107527,0.0,1.0
2022-07-20,ALLGF,3.89,4.49,3.8767,4.18,4.18,197567,0.0,1.0
2022-07-21,ALLGF,4.56,4.56,4.01,4.06,4.06,83403,0.0,1.0
2022-07-22,ALLGF,4.02,4.02,3.75,3.78,3.78,49934,0.0,1.0
2022-07-25,ALLGF,3.9,3.95,3.61,3.74,3.74,52682,0.0,1.0
2022-07-26,ALLGF,3.79,3.93,3.57,3.68,3.68,40894,0.0,1.0
2022-07-27,ALLGF,3.81,3.87,3.57,3.77,3.77,176703,0.0,1.0
2022-07-28,ALLGF,3.96,4.0,3.81,3.85,3.85,76287,0.0,1.0
2022-07-29,ALLGF,3.9,3.93,3.77,3.93,3.93,45792,0.0,1.0
2022-08-01,ALLGF,4.0,4.0,3.7774,3.85,3.85,46042,0.0,1.0
2022-08-02,ALLGF,3.85,3.9,3.71,3.74,3.74,71352,0.0,1.0
2022-08-03,ALLGF,3.93,4.03,3.61,3.99,3.99,196809,0.0,1.0
2022-08-04,ALLGF,4.06,4.1,3.58,3.71,3.71,430493,0.0,1.0
2022-08-05,ALLGF,3.64,3.71,3.5,3.55,3.55,82856,0.0,1.0
2022-08-08,ALLGF,3.55,3.75,3.52,3.61,3.61,134039,0.0,1.0
