date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2023-01-25,AMCI,10.2,10.2,10.1,10.1,10.1,150955,0.0,1.0
2023-01-26,AMCI,10.24,10.24,10.24,10.24,10.24,153,0.0,1.0
2023-01-27,AMCI,10.24,10.24,10.24,10.24,10.24,1,0.0,1.0
2023-01-30,AMCI,10.2244,10.26,10.1303,10.1303,10.1303,7873,0.0,1.0
2023-01-31,AMCI,10.16,10.17,10.15,10.16,10.16,3219,0.0,1.0
2023-02-01,AMCI,10.16,10.16,10.16,10.16,10.16,0,0.0,1.0
2023-02-02,AMCI,10.28,10.28,10.28,10.28,10.28,100,0.0,1.0
2023-02-03,AMCI,10.28,10.28,10.28,10.28,10.28,0,0.0,1.0
2023-02-06,AMCI,10.28,10.28,10.28,10.28,10.28,1,0.0,1.0
2023-02-07,AMCI,10.15,10.15,10.15,10.15,10.15,100001,0.0,1.0
2023-02-08,AMCI,10.15,10.15,10.15,10.15,10.15,0,0.0,1.0
2023-02-09,AMCI,10.15,10.15,10.15,10.15,10.15,263833,0.0,1.0
2023-02-10,AMCI,10.15,10.15,10.15,10.15,10.15,150000,0.0,1.0
2023-02-13,AMCI,10.15,10.15,10.15,10.15,10.15,0,0.0,1.0
2023-02-14,AMCI,10.16,10.16,10.145,10.145,10.145,1407,0.0,1.0
2023-02-15,AMCI,10.145,10.145,10.145,10.145,10.145,0,0.0,1.0
2023-02-16,AMCI,10.155,10.155,10.12,10.14,10.14,2402,0.0,1.0
2023-02-17,AMCI,10.14,10.14,10.14,10.14,10.14,25,0.0,1.0
2023-02-21,AMCI,10.14,10.14,10.14,10.14,10.14,2,0.0,1.0
2023-02-22,AMCI,10.15,10.15,10.12,10.12,10.12,78400,0.0,1.0
2023-02-23,AMCI,10.2,10.53,10.14,10.53,10.53,1784,0.0,1.0
2023-02-24,AMCI,10.42,10.44,10.17,10.17,10.17,14564,0.0,1.0
2023-02-27,AMCI,10.17,10.17,10.17,10.17,10.17,300,0.0,1.0
2023-02-28,AMCI,10.4,10.4,10.14,10.35,10.35,6419,0.0,1.0
2023-03-01,AMCI,10.35,10.35,10.35,10.35,10.35,300,0.0,1.0
2023-03-02,AMCI,10.34,10.35,10.34,10.35,10.35,559,0.0,1.0
2023-03-03,AMCI,10.3,10.3,10.3,10.3,10.3,800,0.0,1.0
