date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-10-26,AMOD,10.0,10.0,10.0,10.0,10.0,132,0.0,1.0
2021-10-27,AMOD,10.03,10.03,9.6716,9.74,9.74,91277,0.0,1.0
2021-10-28,AMOD,9.72,9.74,9.72,9.72,9.72,20140,0.0,1.0
2021-10-29,AMOD,9.74,9.78,9.73,9.75,9.75,6221,0.0,1.0
2021-11-01,AMOD,9.75,9.77,9.7101,9.76,9.76,10071,0.0,1.0
2021-11-02,AMOD,9.76,9.8,9.72,9.75,9.75,21635,0.0,1.0
2021-11-03,AMOD,9.75,9.9,9.71,9.76,9.76,133363,0.0,1.0
2021-11-04,AMOD,9.75,9.76,9.75,9.75,9.75,649714,0.0,1.0
2021-11-05,AMOD,9.77,9.77,9.74,9.75,9.75,53820,0.0,1.0
2021-11-08,AMOD,9.77,9.77,9.74,9.77,9.77,19869,0.0,1.0
2021-11-09,AMOD,10.0,10.0,9.75,9.75,9.75,4365,0.0,1.0
2021-11-10,AMOD,9.74,9.7799,9.74,9.76,9.76,6096,0.0,1.0
2021-11-11,AMOD,9.75,9.75,9.75,9.75,9.75,104,0.0,1.0
2021-11-12,AMOD,9.76,9.77,9.76,9.77,9.77,11343,0.0,1.0
2021-11-15,AMOD,9.74,9.77,9.74,9.77,9.77,17274,0.0,1.0
2021-11-16,AMOD,9.77,9.78,9.77,9.78,9.78,877,0.0,1.0
2021-11-17,AMOD,9.71,9.79,9.71,9.79,9.79,52912,0.0,1.0
2021-11-18,AMOD,9.71,9.79,9.71,9.79,9.79,105874,0.0,1.0
2021-11-19,AMOD,9.72,9.78,9.72,9.78,9.78,22055,0.0,1.0
2021-11-22,AMOD,9.78,9.81,9.77,9.81,9.81,279737,0.0,1.0
2021-11-23,AMOD,9.81,9.81,9.81,9.81,9.81,3,0.0,1.0
2021-11-24,AMOD,9.75,9.78,9.75,9.78,9.78,135100,0.0,1.0
