date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2022-02-22,ANNA,9.6701,9.85,9.6701,9.85,9.85,11670,0.0,1.0
2022-02-23,ANNA,10.83,11.37,9.85,9.87,9.87,1612,0.0,1.0
2022-02-24,ANNA,9.71,9.75,9.7,9.7,9.7,201439,0.0,1.0
2022-02-25,ANNA,9.7,9.7,9.7,9.7,9.7,57,0.0,1.0
2022-02-28,ANNA,9.8,9.84,9.7327,9.84,9.84,603,0.0,1.0
2022-03-01,ANNA,9.87,9.87,9.76,9.87,9.87,12718,0.0,1.0
2022-03-02,ANNA,9.87,9.87,9.86,9.86,9.86,845,0.0,1.0
2022-03-03,ANNA,9.73,9.85,9.73,9.84,9.84,1567,0.0,1.0
2022-03-04,ANNA,9.805,9.87,9.805,9.87,9.87,207,0.0,1.0
2022-03-07,ANNA,9.74,9.85,9.74,9.85,9.85,799,0.0,1.0
2022-03-08,ANNA,9.76,9.84,9.76,9.84,9.84,2077,0.0,1.0
2022-03-09,ANNA,9.84,9.84,9.84,9.84,9.84,20,0.0,1.0
2022-03-10,ANNA,9.84,9.84,9.84,9.84,9.84,12,0.0,1.0
2022-03-11,ANNA,9.77,9.85,9.76,9.85,9.85,4368,0.0,1.0
2022-03-14,ANNA,9.85,9.85,9.85,9.85,9.85,8,0.0,1.0
2022-03-15,ANNA,9.85,9.85,9.85,9.85,9.85,35,0.0,1.0
2022-03-16,ANNA,9.7604,9.82,9.76,9.82,9.82,3601,0.0,1.0
2022-03-17,ANNA,9.82,9.82,9.82,9.82,9.82,3,0.0,1.0
2022-03-18,ANNA,9.82,9.82,9.82,9.82,9.82,14,0.0,1.0
2022-03-21,ANNA,9.77,9.77,9.76,9.7637,9.7637,2462,0.0,1.0
2022-03-22,ANNA,9.76,9.76,9.75,9.76,9.76,2654,0.0,1.0
2022-03-23,ANNA,9.79,9.79,9.79,9.79,9.79,4011,0.0,1.0
2022-03-24,ANNA,9.79,9.79,9.79,9.79,9.79,2872,0.0,1.0
2022-03-25,ANNA,9.79,9.79,9.79,9.79,9.79,4105,0.0,1.0
2022-03-28,ANNA,9.79,9.79,9.79,9.79,9.79,30,0.0,1.0
2022-03-29,ANNA,9.79,9.79,9.79,9.79,9.79,5294,0.0,1.0
2022-03-30,ANNA,9.78,9.78,9.78,9.78,9.78,2185,0.0,1.0
2022-03-31,ANNA,9.82,9.8201,9.82,9.82,9.82,1877,0.0,1.0
2022-04-01,ANNA,9.82,9.82,9.82,9.82,9.82,1,0.0,1.0
2022-04-04,ANNA,9.81,9.82,9.81,9.82,9.82,22886,0.0,1.0
2022-04-05,ANNA,9.82,9.82,9.82,9.82,9.82,1,0.0,1.0
2022-04-06,ANNA,9.81,9.81,9.81,9.81,9.81,125035,0.0,1.0
2022-04-07,ANNA,9.81,9.82,9.81,9.82,9.82,1960016,0.0,1.0
2022-04-08,ANNA,9.82,9.82,9.82,9.82,9.82,6303,0.0,1.0
2022-04-11,ANNA,9.84,9.84,9.81,9.81,9.81,314,0.0,1.0
2022-04-12,ANNA,9.81,9.81,9.81,9.81,9.81,0,0.0,1.0
2022-04-13,ANNA,9.83,9.83,9.825,9.83,9.83,335150,0.0,1.0
2022-04-14,ANNA,9.83,9.83,9.83,9.83,9.83,30109,0.0,1.0
2022-04-18,ANNA,9.83,9.83,9.82,9.82,9.82,508,0.0,1.0
2022-04-19,ANNA,9.82,9.82,9.82,9.82,9.82,5,0.0,1.0
2022-04-20,ANNA,9.82,9.87,9.82,9.83,9.83,22070,0.0,1.0
2022-04-21,ANNA,9.83,9.83,9.82,9.82,9.82,2010,0.0,1.0
2022-04-22,ANNA,9.83,9.83,9.83,9.83,9.83,17927,0.0,1.0
2022-04-25,ANNA,9.83,9.83,9.83,9.83,9.83,2,0.0,1.0
2022-04-26,ANNA,9.83,9.83,9.83,9.83,9.83,701,0.0,1.0
2022-04-27,ANNA,9.83,9.84,9.83,9.83,9.83,1881100,0.0,1.0
2022-04-28,ANNA,9.84,9.84,9.835,9.84,9.84,290800,0.0,1.0
2022-04-29,ANNA,9.84,9.84,9.84,9.84,9.84,47,0.0,1.0
2022-05-02,ANNA,9.84,9.84,9.84,9.84,9.84,55,0.0,1.0
2022-05-03,ANNA,9.84,9.84,9.84,9.84,9.84,0,0.0,1.0
2022-05-04,ANNA,9.84,9.84,9.84,9.84,9.84,51,0.0,1.0
2022-05-05,ANNA,9.84,9.84,9.84,9.84,9.84,1090,0.0,1.0
2022-05-06,ANNA,9.85,9.85,9.85,9.85,9.85,455,0.0,1.0
2022-05-09,ANNA,9.85,9.85,9.85,9.85,9.85,12,0.0,1.0
2022-05-10,ANNA,9.85,9.85,9.85,9.85,9.85,7,0.0,1.0
2022-05-11,ANNA,9.85,9.85,9.85,9.85,9.85,5,0.0,1.0
2022-05-12,ANNA,9.8,9.85,9.8,9.8,9.8,10287,0.0,1.0
2022-05-13,ANNA,9.8,9.8,9.8,9.8,9.8,15,0.0,1.0
2022-05-16,ANNA,9.8,9.8,9.8,9.8,9.8,37,0.0,1.0
2022-05-17,ANNA,9.8,9.8,9.8,9.8,9.8,6,0.0,1.0
2022-05-18,ANNA,9.79,9.79,9.79,9.79,9.79,1756,0.0,1.0
2022-05-19,ANNA,9.78,9.78,9.78,9.78,9.78,601,0.0,1.0
2022-05-20,ANNA,9.78,9.78,9.78,9.78,9.78,6301,0.0,1.0
2022-05-23,ANNA,9.78,9.78,9.78,9.78,9.78,3,0.0,1.0
2022-05-24,ANNA,9.79,9.79,9.79,9.79,9.79,847,0.0,1.0
2022-05-25,ANNA,9.79,9.79,9.79,9.79,9.79,34,0.0,1.0
2022-05-26,ANNA,9.79,9.79,9.77,9.77,9.77,3619,0.0,1.0
2022-05-27,ANNA,9.77,9.77,9.77,9.77,9.77,12,0.0,1.0
2022-05-31,ANNA,9.86,9.86,9.815,9.815,9.815,32419,0.0,1.0
2022-06-01,ANNA,9.815,9.815,9.815,9.815,9.815,9,0.0,1.0
2022-06-02,ANNA,9.815,9.815,9.815,9.815,9.815,9,0.0,1.0
2022-06-03,ANNA,9.815,9.815,9.815,9.815,9.815,0,0.0,1.0
2022-06-06,ANNA,9.815,9.815,9.815,9.815,9.815,21,0.0,1.0
2022-06-07,ANNA,9.8,9.8,9.8,9.8,9.8,620,0.0,1.0
2022-06-08,ANNA,9.8,9.8,9.8,9.8,9.8,129,0.0,1.0
2022-06-09,ANNA,9.8,9.8,9.8,9.8,9.8,26,0.0,1.0
2022-06-10,ANNA,9.82,9.82,9.82,9.82,9.82,128,0.0,1.0
2022-06-13,ANNA,9.87,9.87,9.87,9.87,9.87,253,0.0,1.0
2022-06-14,ANNA,9.87,9.87,9.87,9.87,9.87,0,0.0,1.0
2022-06-15,ANNA,9.87,9.87,9.87,9.87,9.87,53,0.0,1.0
2022-06-16,ANNA,9.87,9.87,9.87,9.87,9.87,16,0.0,1.0
2022-06-17,ANNA,9.84,9.84,9.82,9.84,9.84,284673,0.0,1.0
2022-06-21,ANNA,9.84,9.85,9.84,9.85,9.85,400128,0.0,1.0
2022-06-22,ANNA,9.84,9.84,9.84,9.84,9.84,200124,0.0,1.0
2022-06-23,ANNA,9.84,9.84,9.84,9.84,9.84,100,0.0,1.0
2022-06-24,ANNA,9.84,9.84,9.84,9.84,9.84,0,0.0,1.0
2022-06-27,ANNA,9.84,9.84,9.84,9.84,9.84,2,0.0,1.0
2022-06-28,ANNA,9.84,9.84,9.84,9.84,9.84,199,0.0,1.0
2022-06-29,ANNA,9.85,9.85,9.85,9.85,9.85,135,0.0,1.0
2022-06-30,ANNA,9.82,9.82,9.82,9.82,9.82,8964,0.0,1.0
2022-07-01,ANNA,9.82,9.82,9.82,9.82,9.82,430,0.0,1.0
2022-07-05,ANNA,9.825,9.825,9.82,9.82,9.82,81832,0.0,1.0
2022-07-06,ANNA,9.84,9.84,9.82,9.82,9.82,135864,0.0,1.0
2022-07-07,ANNA,9.82,9.82,9.82,9.82,9.82,34,0.0,1.0
2022-07-08,ANNA,9.82,9.82,9.82,9.82,9.82,192,0.0,1.0
2022-07-11,ANNA,9.82,9.82,9.82,9.82,9.82,40,0.0,1.0
