date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-09-07,ARQQ,9.25,26.0,8.88,11.3,282.5,3532842,0.0,1.0
2021-09-08,ARQQ,14.01,19.0,13.01,14.01,350.25,14936949,0.0,1.0
2021-09-09,ARQQ,12.7536,15.263,12.2401,14.2,355.0,1743230,0.0,1.0
2021-09-10,ARQQ,14.57,15.5,14.2395,15.21,380.25,1009055,0.0,1.0
2021-09-13,ARQQ,14.79,16.2199,14.67,14.98,374.5,619226,0.0,1.0
2021-09-14,ARQQ,14.99,15.4561,12.55,12.59,314.75,842826,0.0,1.0
2021-09-15,ARQQ,13.6,14.5831,13.0,14.19,354.75,854670,0.0,1.0
2021-09-16,ARQQ,14.18,22.83,13.91,17.95,448.75,3767299,0.0,1.0
2021-09-17,ARQQ,17.15,20.99,17.05,18.26,456.5,1902137,0.0,1.0
2021-09-20,ARQQ,17.2,26.48,17.1,24.94,623.5,3538335,0.0,1.0
2021-09-21,ARQQ,24.6,33.0,23.68,31.57,789.25,5279594,0.0,1.0
2021-09-22,ARQQ,30.07,38.8799,28.55,35.6,890.0,4660418,0.0,1.0
2021-09-23,ARQQ,36.71,41.52,26.1,28.0,700.0,2719324,0.0,1.0
2021-09-24,ARQQ,26.59,30.94,21.685,24.24,606.0,1738340,0.0,1.0
2021-09-27,ARQQ,25.5379,25.6199,19.38,20.65,516.25,1307788,0.0,1.0
2021-09-28,ARQQ,20.59,21.47,19.0118,19.07,476.75,964235,0.0,1.0
2021-09-29,ARQQ,19.59,23.6,19.45,21.14,528.5,1710634,0.0,1.0
2021-09-30,ARQQ,21.1,22.2,18.75,20.07,501.75,484582,0.0,1.0
2021-10-01,ARQQ,20.15,20.73,17.55,18.3,457.5,694265,0.0,1.0
2021-10-04,ARQQ,18.63,22.49,18.5,20.76,519.0,1093528,0.0,1.0
2021-10-05,ARQQ,20.86,23.0,20.58,21.36,534.0,811074,0.0,1.0
2021-10-06,ARQQ,21.28,21.95,18.5,18.5,462.5,535267,0.0,1.0
2021-10-07,ARQQ,19.57,21.9,18.7812,18.86,471.5,881440,0.0,1.0
