date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-03-24,ARVLF,24.11,24.16,21.5,21.6,1080.0,1530300,0.0,1.0
2021-03-25,ARVLF,22.0,24.98,18.1,22.8,1140.0,2438219,0.0,1.0
2021-03-26,ARVLF,24.33,24.4,20.75,22.25,1112.5,2308245,0.0,1.0
2021-03-29,ARVLF,22.0721,22.3,19.0,19.11,955.5,2849486,0.0,1.0
2021-03-30,ARVLF,18.7749,19.0,17.2,18.12,906.0,2761649,0.0,1.0
2021-03-31,ARVLF,19.35,19.5,15.86,16.06,803.0,4763424,0.0,1.0
2021-04-01,ARVLF,16.56,17.1,16.0,16.24,812.0,2386401,0.0,1.0
2021-04-05,ARVLF,16.89,16.95,14.95,15.68,784.0,3320951,0.0,1.0
2021-04-06,ARVLF,15.7,16.39,15.15,16.29,814.5,2205656,0.0,1.0
2021-04-07,ARVLF,16.32,16.4359,15.71,15.96,798.0,2241313,0.0,1.0
2021-04-08,ARVLF,16.0,16.3923,15.59,15.66,783.0,1336986,0.0,1.0
2021-04-09,ARVLF,15.6111,15.8,15.15,15.22,761.0,1356386,0.0,1.0
2021-04-12,ARVLF,15.3,15.3,13.55,14.12,706.0,2703788,0.0,1.0
2021-04-13,ARVLF,13.8029,13.98,13.1,13.45,672.5,2368392,0.0,1.0
2021-04-14,ARVLF,13.4766,14.56,12.68,14.42,721.0,2809849,0.0,1.0
2021-04-15,ARVLF,15.0,15.0,13.04,13.26,663.0,1853292,0.0,1.0
2021-04-16,ARVLF,13.15,14.43,12.59,14.4,720.0,1997290,0.0,1.0
2021-04-19,ARVLF,13.9158,14.36,13.7,13.85,692.5,977064,0.0,1.0
2021-04-20,ARVLF,13.47,13.61,12.6,13.01,650.5,1260574,0.0,1.0
2021-04-21,ARVLF,13.52,15.36,13.45,14.59,729.5,2487517,0.0,1.0
2021-04-22,ARVLF,15.6,15.68,14.59,14.8,740.0,1912279,0.0,1.0
2021-04-23,ARVLF,15.3,16.84,15.22,16.82,841.0,2780719,0.0,1.0
2021-04-26,ARVLF,17.0,18.82,16.92,18.31,915.5,2857551,0.0,1.0
2021-04-27,ARVLF,19.0,19.3417,18.24,18.6,930.0,2687929,0.0,1.0
2021-04-28,ARVLF,17.94,19.39,17.8,19.33,966.5,3292864,0.0,1.0
2021-04-29,ARVLF,19.86,19.95,17.54,19.05,952.5,3078673,0.0,1.0
2021-04-30,ARVLF,17.98,18.6,17.85,18.6,930.0,2337589,0.0,1.0
2021-05-03,ARVLF,18.59,18.8297,17.1101,17.35,867.5,2523445,0.0,1.0
2021-05-04,ARVLF,19.02,19.1,17.42,18.39,919.5,3915160,0.0,1.0
2021-05-05,ARVLF,18.75,18.75,17.91,18.53,926.5,2174586,0.0,1.0
2021-05-06,ARVLF,18.48,18.75,17.55,17.95,897.5,1772600,0.0,1.0
2021-05-07,ARVLF,17.87,18.75,17.87,18.52,926.0,2087254,0.0,1.0
2021-05-10,ARVLF,18.37,19.42,17.8,19.28,964.0,2507722,0.0,1.0
2021-05-11,ARVLF,18.04,19.25,17.85,19.0,950.0,2260207,0.0,1.0
2021-05-12,ARVLF,18.57,19.26,18.25,18.54,927.0,1827673,0.0,1.0
2021-05-13,ARVLF,18.25,19.2,16.76,17.34,867.0,2434680,0.0,1.0
2021-05-14,ARVLF,17.37,18.9151,17.37,18.29,914.5,1881843,0.0,1.0
2021-05-17,ARVLF,18.0,18.72,17.685,18.44,922.0,1911811,0.0,1.0
2021-05-18,ARVLF,18.45,18.75,17.9,18.06,903.0,1352462,0.0,1.0
2021-05-19,ARVLF,17.6,18.68,17.59,18.42,921.0,1763346,0.0,1.0
2021-05-20,ARVLF,18.64,19.46,18.4,18.81,940.5,2047191,0.0,1.0
2021-05-21,ARVLF,19.55,19.55,18.72,18.94,947.0,1453000,0.0,1.0
2021-05-24,ARVLF,18.96,19.3,18.57,18.63,931.5,1373858,0.0,1.0
2021-05-25,ARVLF,18.76,19.38,18.56,19.29,964.5,1928897,0.0,1.0
2021-05-26,ARVLF,19.44,20.42,19.0401,19.44,972.0,3057948,0.0,1.0
2021-05-27,ARVLF,19.61,20.07,18.8301,19.96,998.0,3069187,0.0,1.0
2021-05-28,ARVLF,20.0,20.21,19.1,19.19,959.5,2432512,0.0,1.0
2021-06-01,ARVLF,19.32,20.0001,19.32,19.49,974.5,1747670,0.0,1.0
2021-06-02,ARVLF,19.61,20.32,19.25,20.25,1012.5,2507754,0.0,1.0
2021-06-03,ARVLF,20.3,21.23,20.0,20.47,1023.5,2783524,0.0,1.0
2021-06-04,ARVLF,20.76,20.8811,19.9,20.64,1032.0,2727322,0.0,1.0
2021-06-07,ARVLF,20.84,20.93,19.44,20.02,1001.0,2565387,0.0,1.0
2021-06-08,ARVLF,20.0,20.16,18.75,19.75,987.5,1899369,0.0,1.0
2021-06-09,ARVLF,19.91,20.34,19.27,20.24,1012.0,1746387,0.0,1.0
2021-06-10,ARVLF,20.11,20.2499,19.12,19.75,987.5,2064513,0.0,1.0
2021-06-11,ARVLF,19.72,19.96,19.11,19.2,960.0,1659792,0.0,1.0
2021-06-14,ARVLF,19.14,19.3,18.62,18.78,939.0,1740689,0.0,1.0
2021-06-15,ARVLF,18.56,20.43,18.52,19.9,995.0,4890193,0.0,1.0
2021-06-16,ARVLF,22.67,22.93,20.529,21.96,1098.0,13180746,0.0,1.0
2021-06-17,ARVLF,21.45,21.64,19.85,20.87,1043.5,5676848,0.0,1.0
2021-06-18,ARVLF,18.3,18.99,17.85,17.91,895.5,12059414,0.0,1.0
2021-06-21,ARVLF,18.25,18.28,17.0,17.59,879.5,4532058,0.0,1.0
2021-06-22,ARVLF,17.45,17.45,16.06,16.12,806.0,6680427,0.0,1.0
2021-06-23,ARVLF,16.36,17.04,16.23,16.57,828.5,4306146,0.0,1.0
2021-06-24,ARVLF,16.92,17.67,16.71,17.11,855.5,4362651,0.0,1.0
2021-06-25,ARVLF,17.56,17.56,16.62,16.65,832.5,2910899,0.0,1.0
2021-06-28,ARVLF,16.64,16.8399,16.1,16.16,808.0,3658606,0.0,1.0
2021-06-29,ARVLF,16.11,16.2,15.86,16.08,804.0,2396168,0.0,1.0
2021-06-30,ARVLF,16.02,16.3,15.525,15.67,783.5,3073747,0.0,1.0
2021-07-01,ARVLF,15.66,15.91,15.46,15.59,779.5,2158026,0.0,1.0
2021-07-02,ARVLF,15.6,15.66,15.01,15.2,760.0,2279025,0.0,1.0
2021-07-06,ARVLF,15.22,15.335,14.85,14.93,746.5,2276574,0.0,1.0
2021-07-07,ARVLF,14.99,15.0,14.33,14.65,732.5,2227337,0.0,1.0
2021-07-08,ARVLF,14.3,15.47,14.28,15.4,770.0,2640287,0.0,1.0
2021-07-09,ARVLF,15.38,15.86,15.12,15.55,777.5,1957775,0.0,1.0
2021-07-12,ARVLF,15.55,15.75,14.92,15.0,750.0,1510556,0.0,1.0
2021-07-13,ARVLF,14.86,14.93,14.22,14.29,714.5,2021149,0.0,1.0
2021-07-14,ARVLF,14.51,14.58,13.31,13.37,668.5,3025247,0.0,1.0
2021-07-15,ARVLF,13.49,13.61,13.2,13.51,675.5,3947994,0.0,1.0
2021-07-16,ARVLF,13.72,13.87,13.48,13.51,675.5,2932815,0.0,1.0
2021-07-19,ARVLF,13.48,13.87,13.05,13.86,693.0,2195079,0.0,1.0
2021-07-20,ARVLF,13.91,14.0,13.61,13.78,689.0,2288059,0.0,1.0
2021-07-21,ARVLF,13.87,14.48,13.77,14.14,707.0,1731481,0.0,1.0
2021-07-22,ARVLF,14.09,14.14,13.78,14.0,700.0,1898101,0.0,1.0
2021-07-23,ARVLF,13.91,14.0,13.47,13.81,690.5,1990228,0.0,1.0
2021-07-26,ARVLF,13.71,13.9922,13.41,13.79,689.5,1333816,0.0,1.0
2021-07-27,ARVLF,13.73,13.77,13.02,13.15,657.5,1883166,0.0,1.0
2021-07-28,ARVLF,13.15,13.61,13.15,13.48,674.0,1333760,0.0,1.0
2021-07-29,ARVLF,13.61,13.78,12.86,13.01,650.5,2493068,0.0,1.0
2021-07-30,ARVLF,13.0,13.1999,12.71,12.87,643.5,1485533,0.0,1.0
2021-08-02,ARVLF,13.02,13.22,12.82,12.84,642.0,1304248,0.0,1.0
2021-08-03,ARVLF,12.99,13.16,11.855,11.94,597.0,4463793,0.0,1.0
2021-08-04,ARVLF,11.88,12.2,11.6395,11.85,592.5,1975001,0.0,1.0
2021-08-05,ARVLF,12.21,12.4533,11.54,11.96,598.0,3104836,0.0,1.0
2021-08-06,ARVLF,12.15,12.34,12.0277,12.19,609.5,1150541,0.0,1.0
2021-08-09,ARVLF,12.12,13.44,12.1,13.09,654.5,1810666,0.0,1.0
2021-08-10,ARVLF,13.41,13.9,13.23,13.64,682.0,2411002,0.0,1.0
2021-08-11,ARVLF,13.7,13.94,12.526,12.8,640.0,1970256,0.0,1.0
2021-08-12,ARVLF,12.49,12.69,11.82,11.87,593.5,2186143,0.0,1.0
2021-08-13,ARVLF,11.98,12.11,10.7,10.75,537.5,4182819,0.0,1.0
2021-08-16,ARVLF,10.81,10.91,10.21,10.8,540.0,3351325,0.0,1.0
2021-08-17,ARVLF,10.75,11.0857,10.4,10.85,542.5,3729870,0.0,1.0
2021-08-18,ARVLF,10.91,11.06,10.75,10.91,545.5,2312145,0.0,1.0
2021-08-19,ARVLF,10.89,10.99,10.115,10.16,508.0,2903169,0.0,1.0
2021-08-20,ARVLF,10.11,10.49,10.0,10.35,517.5,2344673,0.0,1.0
2021-08-23,ARVLF,10.3713,10.79,10.24,10.6,530.0,1589366,0.0,1.0
2021-08-24,ARVLF,10.7194,11.135,10.7194,10.99,549.5,1258281,0.0,1.0
2021-08-25,ARVLF,10.95,11.0,10.44,10.67,533.5,2125619,0.0,1.0
2021-08-26,ARVLF,10.63,11.02,10.6,10.87,543.5,1311670,0.0,1.0
2021-08-27,ARVLF,11.0,11.25,10.68,11.13,556.5,1381839,0.0,1.0
2021-08-30,ARVLF,11.27,12.07,10.77,11.9,595.0,2843563,0.0,1.0
2021-08-31,ARVLF,11.82,12.03,11.4,11.77,588.5,1478759,0.0,1.0
2021-09-01,ARVLF,11.66,12.21,11.51,12.14,607.0,1324945,0.0,1.0
2021-09-02,ARVLF,12.14,12.6,12.11,12.4,620.0,1386642,0.0,1.0
2021-09-03,ARVLF,12.49,12.85,12.29,12.64,632.0,1221940,0.0,1.0
2021-09-07,ARVLF,12.71,12.92,12.2,12.82,641.0,1945009,0.0,1.0
2021-09-08,ARVLF,12.78,12.8,11.97,12.1,605.0,2451735,0.0,1.0
2021-09-09,ARVLF,12.0,12.47,11.9108,12.44,622.0,1017703,0.0,1.0
2021-09-10,ARVLF,12.46,12.6999,12.3,12.48,624.0,1241980,0.0,1.0
2021-09-13,ARVLF,12.49,12.9499,12.3201,12.62,631.0,1522295,0.0,1.0
2021-09-14,ARVLF,12.75,12.87,12.3,12.42,621.0,1194086,0.0,1.0
2021-09-15,ARVLF,12.39,12.64,12.37,12.49,624.5,752883,0.0,1.0
2021-09-16,ARVLF,12.39,12.5849,12.38,12.53,626.5,1129884,0.0,1.0
2021-09-17,ARVLF,12.41,13.25,12.41,13.03,651.5,2080908,0.0,1.0
