date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-05-10,AUR,10.0,10.0001,9.91,9.9999,9.9999,1687,0.0,1.0
2021-05-11,AUR,10.0,10.02,9.91,9.91,9.91,600257,0.0,1.0
2021-05-12,AUR,9.9,9.97,9.9,9.93,9.93,19922,0.0,1.0
2021-05-13,AUR,9.9,9.9401,9.9,9.9,9.9,18359,0.0,1.0
2021-05-14,AUR,9.9,9.9329,9.87,9.8904,9.8904,22929,0.0,1.0
2021-05-17,AUR,9.87,9.9,9.81,9.85,9.85,249641,0.0,1.0
2021-05-18,AUR,9.85,9.875,9.81,9.81,9.81,60125,0.0,1.0
2021-05-19,AUR,9.9,9.9071,9.78,9.8306,9.8306,390684,0.0,1.0
2021-05-20,AUR,9.9,9.9,9.84,9.85,9.85,33999,0.0,1.0
2021-05-21,AUR,9.84,9.89,9.81,9.83,9.83,51369,0.0,1.0
2021-05-24,AUR,9.81,9.88,9.81,9.83,9.83,25325,0.0,1.0
2021-05-25,AUR,9.83,9.9243,9.83,9.8301,9.8301,5499,0.0,1.0
2021-05-26,AUR,9.93,9.93,9.76,9.78,9.78,20052,0.0,1.0
2021-05-27,AUR,9.7782,9.7968,9.77,9.7968,9.7968,40700,0.0,1.0
2021-05-28,AUR,9.75,9.825,9.75,9.79,9.79,11811,0.0,1.0
2021-06-01,AUR,9.91,9.93,9.78,9.79,9.79,22497,0.0,1.0
2021-06-02,AUR,9.79,9.9,9.79,9.81,9.81,1363396,0.0,1.0
2021-06-03,AUR,9.83,9.85,9.79,9.81,9.81,2718428,0.0,1.0
2021-06-04,AUR,9.79,10.07,9.79,9.88,9.88,802317,0.0,1.0
2021-06-07,AUR,10.0484,10.07,9.9,9.97,9.97,1400185,0.0,1.0
2021-06-08,AUR,10.0,10.001,9.97,9.99,9.99,547445,0.0,1.0
2021-06-09,AUR,10.1,10.1,9.8,9.9,9.9,860157,0.0,1.0
2021-06-10,AUR,9.95,9.9899,9.92,9.92,9.92,457769,0.0,1.0
2021-06-11,AUR,9.99,9.99,9.9499,9.97,9.97,75647,0.0,1.0
2021-06-14,AUR,10.0,10.06,9.98,10.0,10.0,304002,0.0,1.0
2021-06-15,AUR,10.02,10.05,9.99,10.0,10.0,255750,0.0,1.0
2021-06-16,AUR,10.02,10.02,9.9877,9.995,9.995,256838,0.0,1.0
2021-06-17,AUR,10.0,10.0316,10.0,10.01,10.01,228147,0.0,1.0
2021-06-18,AUR,10.05,10.05,10.0,10.01,10.01,186880,0.0,1.0
2021-06-21,AUR,10.05,10.05,9.96,9.97,9.97,77404,0.0,1.0
2021-06-22,AUR,9.98,10.03,9.97,10.01,10.01,234459,0.0,1.0
2021-06-23,AUR,10.04,10.04,9.96,10.0,10.0,159100,0.0,1.0
2021-06-24,AUR,9.99,10.03,9.95,9.965,9.965,64611,0.0,1.0
2021-06-25,AUR,9.95,9.97,9.91,9.93,9.93,70869,0.0,1.0
2021-06-28,AUR,9.93,9.95,9.886,9.92,9.92,43524,0.0,1.0
2021-06-29,AUR,9.89,9.9381,9.851,9.89,9.89,80630,0.0,1.0
2021-06-30,AUR,9.89,9.95,9.85,9.8899,9.8899,54682,0.0,1.0
2021-07-01,AUR,9.87,9.9,9.85,9.89,9.89,42327,0.0,1.0
2021-07-02,AUR,9.89,9.89,9.8,9.85,9.85,67871,0.0,1.0
2021-07-06,AUR,9.88,9.88,9.8013,9.81,9.81,110090,0.0,1.0
2021-07-07,AUR,9.82,9.865,9.79,9.8,9.8,277634,0.0,1.0
2021-07-08,AUR,9.81,9.9,9.75,9.86,9.86,285730,0.0,1.0
2021-07-09,AUR,9.84,9.91,9.82,9.85,9.85,65878,0.0,1.0
2021-07-12,AUR,9.9,9.9294,9.82,9.85,9.85,35083,0.0,1.0
2021-07-13,AUR,9.85,9.88,9.8,9.8501,9.8501,25220,0.0,1.0
2021-07-14,AUR,9.88,9.92,9.84,9.85,9.85,47035,0.0,1.0
2021-07-15,AUR,9.98,10.16,9.93,10.0,10.0,21291088,0.0,1.0
2021-07-16,AUR,10.05,10.05,9.93,9.98,9.98,5248441,0.0,1.0
2021-07-19,AUR,9.98,9.98,9.87,9.97,9.97,5000055,0.0,1.0
2021-07-20,AUR,9.97,9.98,9.94,9.96,9.96,871727,0.0,1.0
2021-07-21,AUR,9.98,10.0,9.93,9.93,9.93,1570089,0.0,1.0
2021-07-22,AUR,9.9737,9.98,9.9,9.94,9.94,1166314,0.0,1.0
2021-07-23,AUR,9.96,9.97,9.9,9.96,9.96,1680103,0.0,1.0
2021-07-26,AUR,9.95,9.98,9.91,9.93,9.93,647728,0.0,1.0
2021-07-27,AUR,9.92,9.95,9.88,9.9,9.9,362366,0.0,1.0
2021-07-28,AUR,9.93,9.94,9.88,9.91,9.91,229079,0.0,1.0
2021-07-29,AUR,9.95,9.95,9.88,9.88,9.88,208610,0.0,1.0
2021-07-30,AUR,9.86,9.91,9.86,9.91,9.91,400060,0.0,1.0
2021-08-02,AUR,9.94,9.94,9.836,9.84,9.84,380145,0.0,1.0
