date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2018-03-26,BFICQ,9.68,9.68,9.68,9.68,9.68,362180,0.0,1.0
2018-03-27,BFICQ,9.69,9.75,9.69,9.75,9.75,5100,0.0,1.0
2018-03-28,BFICQ,9.7,9.79,9.6837,9.79,9.79,32782,0.0,1.0
2018-03-29,BFICQ,9.69,9.691,9.69,9.691,9.691,1000,0.0,1.0
2018-04-02,BFICQ,9.68,9.68,9.68,9.68,9.68,401025,0.0,1.0
2018-04-03,BFICQ,9.68,9.7,9.68,9.7,9.7,481425,0.0,1.0
2018-04-04,BFICQ,9.7,9.7,9.7,9.7,9.7,82,0.0,1.0
2018-04-05,BFICQ,9.7,9.7,9.7,9.7,9.7,0,0.0,1.0
2018-04-06,BFICQ,9.8799,9.8799,9.8799,9.8799,9.8799,935,0.0,1.0
2018-04-09,BFICQ,9.85,9.85,9.7,9.7,9.7,3332,0.0,1.0
2018-04-10,BFICQ,9.7,9.7,9.69,9.69,9.69,132300,0.0,1.0
2018-04-11,BFICQ,9.69,9.69,9.69,9.69,9.69,0,0.0,1.0
2018-04-12,BFICQ,9.69,9.87,9.67,9.68,9.68,560485,0.0,1.0
2018-04-13,BFICQ,9.68,9.68,9.68,9.68,9.68,0,0.0,1.0
2018-04-16,BFICQ,9.68,9.68,9.68,9.68,9.68,0,0.0,1.0
2018-04-17,BFICQ,9.68,9.68,9.68,9.68,9.68,0,0.0,1.0
2018-04-18,BFICQ,9.68,9.68,9.68,9.68,9.68,0,0.0,1.0
2018-04-19,BFICQ,9.68,9.68,9.68,9.68,9.68,0,0.0,1.0
2018-04-20,BFICQ,9.68,9.68,9.68,9.68,9.68,0,0.0,1.0
2018-04-23,BFICQ,9.68,9.68,9.68,9.68,9.68,0,0.0,1.0
2018-04-24,BFICQ,9.68,9.68,9.68,9.68,9.68,0,0.0,1.0
2018-04-25,BFICQ,9.68,9.68,9.68,9.68,9.68,0,0.0,1.0
2018-04-26,BFICQ,9.68,9.69,9.68,9.69,9.69,3250,0.0,1.0
2018-04-27,BFICQ,9.69,9.69,9.69,9.69,9.69,0,0.0,1.0
2018-04-30,BFICQ,9.72,9.72,9.68,9.68,9.68,24802,0.0,1.0
2018-05-01,BFICQ,9.7,9.7,9.7,9.7,9.7,1000,0.0,1.0
2018-05-02,BFICQ,9.68,9.71,9.67,9.71,9.71,2400,0.0,1.0
2018-05-03,BFICQ,9.71,9.71,9.71,9.71,9.71,0,0.0,1.0
2018-05-04,BFICQ,9.97,9.98,9.75,9.75,9.75,500,0.0,1.0
2018-05-07,BFICQ,9.69,9.69,9.68,9.69,9.69,486,0.0,1.0
2018-05-08,BFICQ,9.69,9.69,9.69,9.69,9.69,2,0.0,1.0
2018-05-09,BFICQ,9.69,9.69,9.69,9.69,9.69,60141,0.0,1.0
2018-05-10,BFICQ,9.69,9.69,9.69,9.69,9.69,0,0.0,1.0
2018-05-11,BFICQ,9.69,9.69,9.69,9.69,9.69,0,0.0,1.0
2018-05-14,BFICQ,9.72,9.72,9.7,9.72,9.72,462,0.0,1.0
2018-05-15,BFICQ,9.72,9.72,9.72,9.72,9.72,517839,0.0,1.0
2018-05-16,BFICQ,9.72,9.72,9.72,9.72,9.72,0,0.0,1.0
2018-05-17,BFICQ,9.71,9.75,9.67,9.694,9.694,59225,0.0,1.0
2018-05-18,BFICQ,9.694,9.694,9.694,9.694,9.694,0,0.0,1.0
2018-05-21,BFICQ,9.694,9.694,9.694,9.694,9.694,0,0.0,1.0
2018-05-22,BFICQ,9.694,9.694,9.694,9.694,9.694,0,0.0,1.0
2018-05-23,BFICQ,9.694,9.694,9.694,9.694,9.694,0,0.0,1.0
2018-05-24,BFICQ,9.69,9.69,9.69,9.69,9.69,650,0.0,1.0
