date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2019-12-20,BKSY,9.7,9.8,9.7,9.8,78.4,40208,0.0,1.0
2019-12-23,BKSY,9.8,9.8,9.73,9.73,77.84,425909,0.0,1.0
2019-12-24,BKSY,10.11,10.11,9.75,9.75,78.0,7400,0.0,1.0
2019-12-26,BKSY,9.75,9.75,9.75,9.75,78.0,0,0.0,1.0
2019-12-27,BKSY,9.75,9.75,9.75,9.75,78.0,0,0.0,1.0
2019-12-30,BKSY,9.75,9.75,9.75,9.75,78.0,1,0.0,1.0
2019-12-31,BKSY,9.75,9.75,9.75,9.75,78.0,0,0.0,1.0
2020-01-02,BKSY,9.78,9.78,9.78,9.78,78.24,10000,0.0,1.0
2020-01-03,BKSY,9.78,9.79,9.78,9.79,78.32,39810,0.0,1.0
2020-01-06,BKSY,9.79,9.79,9.79,9.79,78.32,10,0.0,1.0
2020-01-07,BKSY,9.79,9.79,9.79,9.79,78.32,6,0.0,1.0
2020-01-08,BKSY,9.79,9.79,9.79,9.79,78.32,0,0.0,1.0
2020-01-09,BKSY,9.79,9.79,9.79,9.79,78.32,0,0.0,1.0
2020-01-10,BKSY,9.83,9.9,9.83,9.9,79.2,405800,0.0,1.0
2020-01-13,BKSY,9.98,9.98,9.98,9.98,79.84,100,0.0,1.0
2020-01-14,BKSY,9.9,9.9,9.9,9.9,79.2,104600,0.0,1.0
2020-01-15,BKSY,9.87,9.91,9.87,9.9,79.2,549,0.0,1.0
2020-01-16,BKSY,9.9,9.95,9.9,9.915,79.32,50375,0.0,1.0
2020-01-17,BKSY,9.9,9.98,9.9,9.98,79.84,5191,0.0,1.0
2020-01-21,BKSY,9.924,9.94,9.91,9.91,79.28,1204,0.0,1.0
2020-01-22,BKSY,9.91,9.91,9.91,9.91,79.28,0,0.0,1.0
2020-01-23,BKSY,9.9,9.9,9.9,9.9,79.2,611,0.0,1.0
2020-01-24,BKSY,9.9,9.942,9.9,9.942,79.536,37309,0.0,1.0
2020-01-27,BKSY,9.94,9.95,9.94,9.95,79.6,300,0.0,1.0
2020-01-28,BKSY,9.95,9.95,9.95,9.95,79.6,0,0.0,1.0
2020-01-29,BKSY,9.91,9.91,9.9,9.91,79.28,67589,0.0,1.0
2020-01-30,BKSY,9.94,9.94,9.94,9.94,79.52,12589,0.0,1.0
2020-01-31,BKSY,9.94,9.94,9.94,9.94,79.52,700,0.0,1.0
2020-02-03,BKSY,9.95,10.33,9.95,10.33,82.64,15401,0.0,1.0
2020-02-04,BKSY,9.92,10.0,9.92,9.94,79.52,9115,0.0,1.0
2020-02-05,BKSY,9.95,9.95,9.95,9.95,79.6,300011,0.0,1.0
2020-02-06,BKSY,9.9,9.9,9.9,9.9,79.2,417,0.0,1.0
2020-02-07,BKSY,9.95,9.95,9.925,9.95,79.6,315008,0.0,1.0
2020-02-10,BKSY,9.95,9.95,9.95,9.95,79.6,51044,0.0,1.0
2020-02-11,BKSY,9.96,9.96,9.96,9.96,79.68,50614,0.0,1.0
2020-02-12,BKSY,9.98,9.98,9.98,9.98,79.84,113,0.0,1.0
2020-02-13,BKSY,10.08,10.08,9.95,9.95,79.6,917,0.0,1.0
2020-02-14,BKSY,9.95,9.95,9.95,9.95,79.6,615,0.0,1.0
2020-02-18,BKSY,9.99,9.99,9.86,9.9,79.2,27053,0.0,1.0
2020-02-19,BKSY,9.925,9.925,9.9,9.92,79.36,144900,0.0,1.0
2020-02-20,BKSY,9.915,9.915,9.915,9.915,79.32,761,0.0,1.0
2020-02-21,BKSY,9.915,9.915,9.915,9.915,79.32,11,0.0,1.0
2020-02-24,BKSY,9.93,9.93,9.92,9.93,79.44,252118,0.0,1.0
2020-02-25,BKSY,9.95,9.95,9.92,9.92,79.36,150104,0.0,1.0
2020-02-26,BKSY,9.95,9.95,9.92,9.92,79.36,31109,0.0,1.0
2020-02-27,BKSY,9.91,9.92,9.91,9.92,79.36,17146,0.0,1.0
2020-02-28,BKSY,9.9,9.9,9.9,9.9,79.2,90402,0.0,1.0
2020-03-02,BKSY,9.73,9.9,9.73,9.9,79.2,300,0.0,1.0
2020-03-03,BKSY,9.9,9.9,9.9,9.9,79.2,155,0.0,1.0
2020-03-04,BKSY,9.91,9.93,9.91,9.93,79.44,250258,0.0,1.0
2020-03-05,BKSY,9.93,9.99,9.92,9.92,79.36,712134,0.0,1.0
2020-03-06,BKSY,9.928,9.928,9.92,9.92,79.36,25028,0.0,1.0
2020-03-09,BKSY,9.92,9.92,9.92,9.92,79.36,615,0.0,1.0
2020-03-10,BKSY,9.92,9.94,9.88,9.92,79.36,2315770,0.0,1.0
2020-03-11,BKSY,9.9,9.94,9.9,9.93,79.44,30841,0.0,1.0
2020-03-12,BKSY,9.85,9.9,9.75,9.75,78.0,333127,0.0,1.0
2020-03-13,BKSY,9.92,9.92,9.8,9.8,78.4,13628,0.0,1.0
2020-03-16,BKSY,9.75,9.75,9.55,9.6,76.8,28080,0.0,1.0
