date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2018-09-21,BMTX,9.53,9.55,9.52,9.52,9.52,1871725,0.0,1.0
2018-09-24,BMTX,9.52,9.52,9.52,9.52,9.52,14,0.0,1.0
2018-09-25,BMTX,9.52,9.52,9.52,9.52,9.52,0,0.0,1.0
2018-09-26,BMTX,9.53,9.53,9.48,9.5,9.5,83400,0.0,1.0
2018-09-27,BMTX,9.53,9.53,9.51,9.52,9.52,75915,0.0,1.0
2018-09-28,BMTX,9.52,9.52,9.52,9.52,9.52,1,0.0,1.0
2018-10-01,BMTX,9.53,9.53,9.51,9.52,9.52,1468800,0.0,1.0
2018-10-02,BMTX,9.52,9.52,9.52,9.52,9.52,87,0.0,1.0
2018-10-03,BMTX,9.56,9.56,9.51,9.52,9.52,600,0.0,1.0
2018-10-04,BMTX,9.52,9.54,9.51,9.53,9.53,607200,0.0,1.0
2018-10-05,BMTX,9.6,9.6,9.55,9.55,9.55,2800,0.0,1.0
2018-10-08,BMTX,9.53,9.53,9.52,9.52,9.52,33500,0.0,1.0
2018-10-09,BMTX,9.51,9.53,9.5,9.52,9.52,15100,0.0,1.0
2018-10-10,BMTX,9.51,9.54,9.45,9.53,9.53,41100,0.0,1.0
2018-10-11,BMTX,9.6,9.6,9.53,9.53,9.53,5400,0.0,1.0
2018-10-12,BMTX,9.5,9.54,9.5,9.54,9.54,51509,0.0,1.0
2018-10-15,BMTX,9.53,9.53,9.53,9.53,9.53,10284,0.0,1.0
2018-10-16,BMTX,9.5,9.54,9.5,9.54,9.54,757,0.0,1.0
2018-10-17,BMTX,9.54,9.54,9.54,9.54,9.54,31,0.0,1.0
2018-10-18,BMTX,9.54,9.54,9.54,9.54,9.54,0,0.0,1.0
2018-10-19,BMTX,9.52,9.54,9.52,9.54,9.54,7350,0.0,1.0
2018-10-22,BMTX,9.54,9.54,9.53,9.53,9.53,32727,0.0,1.0
2018-10-23,BMTX,9.52,9.52,9.52,9.52,9.52,2150,0.0,1.0
2018-10-24,BMTX,9.54,9.54,9.5,9.53,9.53,114500,0.0,1.0
2018-10-25,BMTX,9.54,9.54,9.53,9.53,9.53,3200,0.0,1.0
2018-10-26,BMTX,9.53,9.53,9.5,9.5,9.5,272104,0.0,1.0
2018-10-29,BMTX,9.5,9.5,9.5,9.5,9.5,4,0.0,1.0
2018-10-30,BMTX,9.53,9.53,9.52,9.52,9.52,250500,0.0,1.0
2018-10-31,BMTX,9.53,9.53,9.53,9.53,9.53,1600,0.0,1.0
2018-11-01,BMTX,9.53,9.54,9.53,9.54,9.54,9217,0.0,1.0
2018-11-02,BMTX,9.52,9.54,9.52,9.53,9.53,136502,0.0,1.0
2018-11-05,BMTX,9.53,9.53,9.53,9.53,9.53,8,0.0,1.0
2018-11-06,BMTX,9.53,9.53,9.53,9.53,9.53,0,0.0,1.0
2018-11-07,BMTX,9.53,9.53,9.53,9.53,9.53,1,0.0,1.0
2018-11-08,BMTX,9.53,9.53,9.53,9.53,9.53,2650,0.0,1.0
2018-11-09,BMTX,9.53,9.53,9.53,9.53,9.53,0,0.0,1.0
2018-11-12,BMTX,9.53,9.53,9.53,9.53,9.53,0,0.0,1.0
2018-11-13,BMTX,9.53,9.53,9.53,9.53,9.53,0,0.0,1.0
2018-11-14,BMTX,9.6,9.65,9.6,9.65,9.65,60962,0.0,1.0
2018-11-15,BMTX,9.65,9.65,9.65,9.65,9.65,0,0.0,1.0
2018-11-16,BMTX,9.65,9.65,9.65,9.65,9.65,5300,0.0,1.0
2018-11-19,BMTX,9.56,9.58,9.56,9.57,9.57,108250,0.0,1.0
2018-11-20,BMTX,9.6,9.6,9.56,9.56,9.56,200000,0.0,1.0
2018-11-21,BMTX,9.56,9.56,9.56,9.56,9.56,0,0.0,1.0
2018-11-26,BMTX,9.56,9.56,9.56,9.56,9.56,0,0.0,1.0
2018-11-27,BMTX,9.56,9.56,9.56,9.56,9.56,0,0.0,1.0
2018-11-28,BMTX,9.56,9.56,9.56,9.56,9.56,0,0.0,1.0
2018-11-29,BMTX,9.7,9.7,9.69,9.69,9.69,150100,0.0,1.0
2018-11-30,BMTX,9.69,9.69,9.69,9.69,9.69,10,0.0,1.0
2018-12-03,BMTX,9.69,9.69,9.69,9.69,9.69,0,0.0,1.0
2018-12-04,BMTX,9.69,9.69,9.69,9.69,9.69,98,0.0,1.0
2018-12-06,BMTX,9.69,9.69,9.69,9.69,9.69,251215,0.0,1.0
2018-12-07,BMTX,9.68,9.68,9.67,9.67,9.67,1003,0.0,1.0
