date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-02-12,BNZI,10.4,10.4,10.08,10.15,5075.0,622596,0.0,1.0
2021-02-16,BNZI,10.15,10.25,10.1,10.17,5085.0,375077,0.0,1.0
2021-02-17,BNZI,10.19,10.19,10.15,10.15,5075.0,349211,0.0,1.0
2021-02-18,BNZI,10.15,10.31,10.15,10.21,5105.0,111770,0.0,1.0
2021-02-19,BNZI,10.28,10.37,10.2,10.24,5120.0,265775,0.0,1.0
2021-02-22,BNZI,10.29,10.29,10.18,10.2,5100.0,111171,0.0,1.0
2021-02-23,BNZI,10.17,10.25,10.11,10.18,5090.0,126791,0.0,1.0
2021-02-24,BNZI,10.18,10.42,10.15,10.37,5185.0,219473,0.0,1.0
2021-02-25,BNZI,10.3045,10.39,10.18,10.22,5110.0,70251,0.0,1.0
2021-02-26,BNZI,10.25,10.25,10.09,10.21,5105.0,128884,0.0,1.0
2021-03-01,BNZI,10.26,10.26,10.12,10.13,5065.0,31179,0.0,1.0
2021-03-02,BNZI,10.13,10.14,10.06,10.1,5050.0,115798,0.0,1.0
2021-03-03,BNZI,10.13,10.13,9.91,10.0,5000.0,105534,0.0,1.0
2021-03-04,BNZI,10.04,10.04,9.95,9.98,4990.0,107360,0.0,1.0
2021-03-05,BNZI,10.08,10.08,9.81,9.92,4960.0,127952,0.0,1.0
2021-03-08,BNZI,9.96,10.04,9.85,9.87,4935.0,122277,0.0,1.0
2021-03-09,BNZI,9.9,9.92,9.87,9.91,4955.0,15151,0.0,1.0
2021-03-10,BNZI,9.9,9.92,9.83,9.92,4960.0,176688,0.0,1.0
2021-03-11,BNZI,9.88,9.92,9.88,9.92,4960.0,13273,0.0,1.0
2021-03-12,BNZI,9.9,9.94,9.85,9.9,4950.0,262502,0.0,1.0
2021-03-15,BNZI,9.9,9.9,9.9,9.9,4950.0,109,0.0,1.0
2021-03-16,BNZI,9.86,9.86,9.85,9.86,4930.0,25938,0.0,1.0
2021-03-17,BNZI,9.91,9.91,9.8,9.85,4925.0,79725,0.0,1.0
2021-03-18,BNZI,9.85,9.87,9.8,9.86,4930.0,153643,0.0,1.0
2021-03-19,BNZI,9.82,9.86,9.8,9.8,4900.0,6371,0.0,1.0
2021-03-22,BNZI,9.8,9.85,9.8,9.83,4915.0,8227,0.0,1.0
2021-03-23,BNZI,9.8,9.835,9.7,9.77,4885.0,111246,0.0,1.0
2021-03-24,BNZI,9.71,9.71,9.63,9.66,4830.0,138212,0.0,1.0
2021-03-25,BNZI,9.61,9.68,9.61,9.68,4840.0,16162,0.0,1.0
