date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-02-10,BOXD,10.5,10.5,10.08,10.27,10.27,1003560,0.0,1.0
2021-02-11,BOXD,10.34,10.4,10.22,10.32,10.32,312542,0.0,1.0
2021-02-12,BOXD,10.38,10.38,10.2,10.23,10.23,201844,0.0,1.0
2021-02-16,BOXD,10.27,10.38,10.25,10.31,10.31,117532,0.0,1.0
2021-02-17,BOXD,10.38,10.57,10.3,10.45,10.45,116010,0.0,1.0
2021-02-18,BOXD,10.36,10.5,10.26,10.49,10.49,175717,0.0,1.0
2021-02-19,BOXD,10.56,10.56,10.33,10.37,10.37,180708,0.0,1.0
2021-02-22,BOXD,10.45,10.45,10.34,10.39,10.39,582464,0.0,1.0
2021-02-23,BOXD,10.3,10.34,10.15,10.25,10.25,499979,0.0,1.0
2021-02-24,BOXD,10.35,10.35,10.2,10.28,10.28,399116,0.0,1.0
2021-02-25,BOXD,10.25,10.34,10.22,10.3,10.3,342136,0.0,1.0
2021-02-26,BOXD,10.2,10.3,10.2,10.21,10.21,262932,0.0,1.0
2021-03-01,BOXD,10.16,10.25,10.16,10.18,10.18,70629,0.0,1.0
2021-03-02,BOXD,10.15,10.2,9.94,10.1,10.1,246681,0.0,1.0
2021-03-03,BOXD,10.1,10.1,9.95,9.97,9.97,164937,0.0,1.0
2021-03-04,BOXD,9.95,10.0,9.9,9.955,9.955,618369,0.0,1.0
2021-03-05,BOXD,9.91,9.99,9.9,9.95,9.95,96480,0.0,1.0
2021-03-08,BOXD,10.0,10.03,9.92,9.95,9.95,55731,0.0,1.0
2021-03-09,BOXD,9.97,9.97,9.84,9.89,9.89,601281,0.0,1.0
2021-03-10,BOXD,9.85,9.88,9.82,9.85,9.85,313752,0.0,1.0
2021-03-11,BOXD,9.85,10.9602,9.85,10.21,10.21,2777401,0.0,1.0
2021-03-12,BOXD,10.15,10.2,10.06,10.1,10.1,640360,0.0,1.0
2021-03-15,BOXD,10.15,10.18,9.95,10.03,10.03,291484,0.0,1.0
2021-03-16,BOXD,10.09,10.09,9.98,10.0,10.0,146998,0.0,1.0
2021-03-17,BOXD,10.01,10.01,9.9,9.91,9.91,156176,0.0,1.0
2021-03-18,BOXD,9.95,10.1,9.95,10.045,10.045,529531,0.0,1.0
2021-03-19,BOXD,9.99,10.03,9.93,10.0,10.0,130233,0.0,1.0
2021-03-22,BOXD,9.98,10.07,9.91,9.91,9.91,298050,0.0,1.0
2021-03-23,BOXD,9.91,9.94,9.6,9.67,9.67,480353,0.0,1.0
2021-03-24,BOXD,9.7301,9.82,9.65,9.68,9.68,279925,0.0,1.0
2021-03-25,BOXD,9.61,9.72,9.5594,9.68,9.68,374680,0.0,1.0
2021-03-26,BOXD,9.71,9.85,9.67,9.83,9.83,153304,0.0,1.0
2021-03-29,BOXD,9.85,9.85,9.73,9.78,9.78,18643,0.0,1.0
2021-03-30,BOXD,9.6851,9.83,9.6851,9.81,9.81,86572,0.0,1.0
2021-03-31,BOXD,9.72,9.8,9.67,9.75,9.75,109540,0.0,1.0
2021-04-01,BOXD,9.77,9.88,9.71,9.75,9.75,93243,0.0,1.0
2021-04-05,BOXD,9.77,9.84,9.76,9.8,9.8,43652,0.0,1.0
2021-04-06,BOXD,9.85,9.86,9.7693,9.8186,9.8186,29532,0.0,1.0
2021-04-07,BOXD,9.84,9.85,9.77,9.8,9.8,10360,0.0,1.0
2021-04-08,BOXD,9.7701,9.9,9.7701,9.9,9.9,76109,0.0,1.0
2021-04-09,BOXD,9.87,9.93,9.86,9.93,9.93,48065,0.0,1.0
2021-04-12,BOXD,9.96,10.0,9.86,9.99,9.99,74014,0.0,1.0
2021-04-13,BOXD,9.9101,9.97,9.8722,9.91,9.91,22831,0.0,1.0
2021-04-14,BOXD,9.91,9.91,9.87,9.91,9.91,18666,0.0,1.0
2021-04-15,BOXD,9.888,9.9,9.83,9.86,9.86,34488,0.0,1.0
2021-04-16,BOXD,9.9,9.9,9.8,9.82,9.82,15478,0.0,1.0
2021-04-19,BOXD,9.8,9.85,9.78,9.8,9.8,37831,0.0,1.0
2021-04-20,BOXD,9.77,9.86,9.77,9.81,9.81,50087,0.0,1.0
2021-04-21,BOXD,9.79,9.85,9.77,9.8,9.8,28436,0.0,1.0
2021-04-22,BOXD,9.8045,9.84,9.78,9.81,9.81,35845,0.0,1.0
2021-04-23,BOXD,9.8,9.85,9.79,9.82,9.82,48848,0.0,1.0
2021-04-26,BOXD,9.792,9.83,9.792,9.81,9.81,33917,0.0,1.0
2021-04-27,BOXD,9.798,9.82,9.78,9.81,9.81,10134,0.0,1.0
2021-04-28,BOXD,9.81,9.84,9.78,9.82,9.82,15213,0.0,1.0
2021-04-29,BOXD,9.84,9.84,9.78,9.79,9.79,13685,0.0,1.0
2021-04-30,BOXD,9.8206,9.83,9.8,9.83,9.83,608270,0.0,1.0
2021-05-03,BOXD,9.85,9.86,9.81,9.83,9.83,42164,0.0,1.0
2021-05-04,BOXD,9.8,9.8,9.76,9.77,9.77,28964,0.0,1.0
2021-05-05,BOXD,9.79,9.81,9.75,9.75,9.75,46536,0.0,1.0
2021-05-06,BOXD,9.7273,9.77,9.71,9.75,9.75,69325,0.0,1.0
2021-05-07,BOXD,9.72,9.74,9.65,9.73,9.73,71486,0.0,1.0
2021-05-10,BOXD,9.67,9.73,9.66,9.68,9.68,101945,0.0,1.0
2021-05-11,BOXD,9.67,9.72,9.65,9.68,9.68,103691,0.0,1.0
2021-05-12,BOXD,9.66,9.71,9.65,9.65,9.65,107457,0.0,1.0
2021-05-13,BOXD,9.64,9.7,9.64,9.65,9.65,159881,0.0,1.0
2021-05-14,BOXD,9.66,9.67,9.65,9.65,9.65,90269,0.0,1.0
2021-05-17,BOXD,9.67,9.67,9.65,9.66,9.66,27449,0.0,1.0
2021-05-18,BOXD,9.66,9.68,9.65,9.68,9.68,33334,0.0,1.0
2021-05-19,BOXD,9.6862,9.6862,9.65,9.66,9.66,27852,0.0,1.0
2021-05-20,BOXD,9.66,9.6605,9.66,9.66,9.66,9029,0.0,1.0
2021-05-21,BOXD,9.66,9.75,9.66,9.67,9.67,36911,0.0,1.0
2021-05-24,BOXD,9.67,9.6732,9.65,9.65,9.65,10567,0.0,1.0
2021-05-25,BOXD,9.67,9.67,9.65,9.65,9.65,16156,0.0,1.0
2021-05-26,BOXD,9.66,9.695,9.65,9.65,9.65,18309,0.0,1.0
2021-05-27,BOXD,9.67,9.6721,9.65,9.6515,9.6515,13882,0.0,1.0
2021-05-28,BOXD,9.652,9.79,9.65,9.79,9.79,20224,0.0,1.0
2021-06-01,BOXD,9.74,9.8,9.69,9.7,9.7,22053,0.0,1.0
2021-06-02,BOXD,9.6671,9.74,9.6664,9.72,9.72,5063,0.0,1.0
2021-06-03,BOXD,9.68,9.71,9.66,9.69,9.69,15980,0.0,1.0
2021-06-04,BOXD,9.72,9.72,9.66,9.69,9.69,8389,0.0,1.0
2021-06-07,BOXD,9.65,9.7,9.65,9.6803,9.6803,16655,0.0,1.0
2021-06-08,BOXD,9.71,9.73,9.67,9.7,9.7,14369,0.0,1.0
2021-06-09,BOXD,9.67,9.73,9.67,9.72,9.72,41137,0.0,1.0
