date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2025-12-05,BRR,5.8,5.8,3.75,4.36,4.36,4799400,0.0,1.0
2025-12-08,BRR,4.11,4.19,3.6798,3.74,3.74,4663773,0.0,1.0
2025-12-09,BRR,3.99,4.02,3.51,3.59,3.59,3475852,0.0,1.0
2025-12-10,BRR,3.72,3.7999,3.42,3.48,3.48,1672118,0.0,1.0
2025-12-11,BRR,3.45,4.0,3.35,3.83,3.83,1017725,0.0,1.0
2025-12-12,BRR,3.69,3.82,3.32,3.35,3.35,3374550,0.0,1.0
2025-12-15,BRR,3.5,3.5,3.1,3.31,3.31,1515209,0.0,1.0
2025-12-16,BRR,3.21,3.2999,3.105,3.17,3.17,418841,0.0,1.0
2025-12-17,BRR,3.21,3.39,3.15,3.21,3.21,826946,0.0,1.0
2025-12-18,BRR,3.56,3.59,3.18,3.2,3.2,826762,0.0,1.0
2025-12-19,BRR,3.32,3.44,3.0564,3.09,3.09,3037151,0.0,1.0
2025-12-22,BRR,3.15,3.2,2.96,2.98,2.98,939577,0.0,1.0
2025-12-23,BRR,3.1,3.1,2.78,2.91,2.91,1391859,0.0,1.0
2025-12-24,BRR,2.88,3.2,2.88,3.17,3.17,558250,0.0,1.0
2025-12-26,BRR,3.19,3.19,2.92,3.02,3.02,407774,0.0,1.0
