date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-05-07,BSLK,16.0,16.0,9.5001,9.8185,196.37,25398,0.0,1.0
2021-05-10,BSLK,9.8185,9.8185,9.8185,9.8185,196.37,206,0.0,1.0
2021-05-11,BSLK,9.6179,9.657,9.6179,9.657,193.14,479,0.0,1.0
2021-05-12,BSLK,9.657,9.657,9.657,9.657,193.14,3,0.0,1.0
2021-05-13,BSLK,9.657,9.657,9.657,9.657,193.14,0,0.0,1.0
2021-05-14,BSLK,9.66,10.02,9.66,10.02,200.4,2087,0.0,1.0
2021-05-17,BSLK,10.02,10.02,10.02,10.02,200.4,10,0.0,1.0
2021-05-18,BSLK,9.65,9.65,9.65,9.65,193.0,100040,0.0,1.0
2021-05-19,BSLK,9.64,9.64,9.64,9.64,192.8,532,0.0,1.0
2021-05-20,BSLK,9.625,9.64,9.61,9.61,192.2,660,0.0,1.0
2021-05-21,BSLK,9.63,9.65,9.61,9.63,192.6,19968,0.0,1.0
2021-05-24,BSLK,9.63,9.63,9.63,9.63,192.6,22,0.0,1.0
2021-05-25,BSLK,9.63,9.64,9.6299,9.63,192.6,18335,0.0,1.0
2021-05-26,BSLK,9.63,9.63,9.63,9.63,192.6,130,0.0,1.0
2021-05-27,BSLK,9.655,9.7,9.62,9.62,192.4,52435,0.0,1.0
2021-05-28,BSLK,9.63,9.65,9.63,9.65,193.0,1970,0.0,1.0
2021-06-01,BSLK,9.6499,9.65,9.6456,9.65,193.0,958,0.0,1.0
2021-06-02,BSLK,9.65,9.65,9.65,9.65,193.0,16,0.0,1.0
2021-06-03,BSLK,9.63,9.65,9.6297,9.6499,192.998,12150,0.0,1.0
2021-06-04,BSLK,9.6499,9.6499,9.6499,9.6499,192.998,66,0.0,1.0
2021-06-07,BSLK,9.6499,9.6499,9.6499,9.6499,192.998,146,0.0,1.0
2021-06-08,BSLK,9.6401,9.6401,9.6401,9.6401,192.802,194,0.0,1.0
2021-06-09,BSLK,9.655,9.655,9.64,9.65,193.0,328596,0.0,1.0
2021-06-10,BSLK,9.61,9.65,9.61,9.65,193.0,8201,0.0,1.0
2021-06-11,BSLK,9.65,9.65,9.65,9.65,193.0,45,0.0,1.0
2021-06-14,BSLK,9.65,9.66,9.645,9.65,193.0,13184,0.0,1.0
2021-06-15,BSLK,9.65,9.65,9.65,9.65,193.0,522,0.0,1.0
2021-06-16,BSLK,9.67,9.69,9.65,9.69,193.8,23352,0.0,1.0
2021-06-17,BSLK,9.68,9.71,9.68,9.7076,194.152,2684,0.0,1.0
2021-06-18,BSLK,9.69,9.69,9.664,9.67,193.4,4740,0.0,1.0
2021-06-21,BSLK,9.71,9.71,9.71,9.71,194.2,700,0.0,1.0
2021-06-22,BSLK,9.87,9.94,9.78,9.8,196.0,1568,0.0,1.0
2021-06-23,BSLK,9.77,9.77,9.77,9.77,195.4,1297,0.0,1.0
2021-06-24,BSLK,9.75,9.75,9.75,9.75,195.0,242,0.0,1.0
2021-06-25,BSLK,9.75,9.95,9.75,9.8,196.0,3345,0.0,1.0
2021-06-28,BSLK,9.77,9.77,9.62,9.65,193.0,109501,0.0,1.0
2021-06-29,BSLK,9.61,9.66,9.61,9.65,193.0,1618,0.0,1.0
2021-06-30,BSLK,9.62,9.65,9.62,9.65,193.0,3303,0.0,1.0
2021-07-01,BSLK,9.64,9.65,9.63,9.65,193.0,13003,0.0,1.0
2021-07-02,BSLK,9.65,9.65,9.65,9.65,193.0,185,0.0,1.0
2021-07-06,BSLK,9.63,9.65,9.62,9.63,192.6,20063,0.0,1.0
2021-07-07,BSLK,9.64,9.64,9.63,9.63,192.6,563,0.0,1.0
2021-07-08,BSLK,9.61,9.66,9.6,9.66,193.2,1115483,0.0,1.0
2021-07-09,BSLK,9.66,9.66,9.66,9.66,193.2,385,0.0,1.0
2021-07-12,BSLK,9.66,9.7,9.66,9.7,194.0,1089,0.0,1.0
2021-07-13,BSLK,9.61,9.696,9.61,9.69,193.8,1751,0.0,1.0
2021-07-14,BSLK,9.69,9.69,9.69,9.69,193.8,49,0.0,1.0
2021-07-15,BSLK,9.67,9.6775,9.62,9.67,193.4,4078,0.0,1.0
2021-07-16,BSLK,9.63,9.69,9.63,9.69,193.8,4088,0.0,1.0
2021-07-19,BSLK,9.69,9.69,9.69,9.69,193.8,127,0.0,1.0
2021-07-20,BSLK,9.67,9.69,9.65,9.69,193.8,782,0.0,1.0
2021-07-21,BSLK,9.67,9.69,9.67,9.69,193.8,759,0.0,1.0
2021-07-22,BSLK,9.69,9.69,9.69,9.69,193.8,8,0.0,1.0
2021-07-23,BSLK,9.68,9.685,9.68,9.68,193.6,2289,0.0,1.0
2021-07-26,BSLK,9.62,9.67,9.62,9.67,193.4,750,0.0,1.0
2021-07-27,BSLK,9.65,9.73,9.642,9.73,194.6,10631,0.0,1.0
2021-07-28,BSLK,9.665,9.72,9.62,9.72,194.4,1463,0.0,1.0
2021-07-29,BSLK,9.67,9.7,9.67,9.7,194.0,1797,0.0,1.0
2021-07-30,BSLK,9.7,9.7,9.7,9.7,194.0,687,0.0,1.0
2021-08-02,BSLK,9.61,9.78,9.61,9.77,195.4,2313,0.0,1.0
2021-08-03,BSLK,9.69,9.76,9.69,9.76,195.2,1109,0.0,1.0
2021-08-04,BSLK,9.75,9.75,9.75,9.75,195.0,337,0.0,1.0
