date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2024-09-10,CHR,2.2963,2.32,2.2805,2.305,115.25,1604,0.0,1.0
2024-09-11,CHR,2.28,2.35,2.28,2.35,117.5,6407,0.0,1.0
2024-09-12,CHR,2.35,2.49,2.35,2.44,122.0,4089,0.0,1.0
2024-09-13,CHR,2.4484,2.49,2.36,2.41,120.5,13832,0.0,1.0
2024-09-16,CHR,2.435,2.435,2.28,2.38,119.0,9769,0.0,1.0
2024-09-17,CHR,2.32,2.476,2.2801,2.476,123.8,11157,0.0,1.0
2024-09-18,CHR,2.42,2.46,2.3602,2.46,123.0,6841,0.0,1.0
2024-09-19,CHR,2.45,2.51,2.45,2.485,124.25,11307,0.0,1.0
2024-09-20,CHR,2.5,2.53,2.442,2.455,122.75,4540,0.0,1.0
2024-09-23,CHR,2.48,2.5,2.48,2.48,124.0,2953,0.0,1.0
2024-09-24,CHR,2.58,2.58,2.52,2.54,127.0,7375,0.0,1.0
2024-09-25,CHR,2.55,2.58,2.55,2.55,127.5,7247,0.0,1.0
2024-09-26,CHR,2.57,2.62,2.57,2.62,131.0,5460,0.0,1.0
2024-09-27,CHR,2.62,2.87,2.61,2.87,143.5,27965,0.0,1.0
2024-09-30,CHR,2.9,2.96,2.8902,2.895,144.75,20155,0.0,1.0
2024-10-01,CHR,2.9,2.99,2.8701,2.93,146.5,33131,0.0,1.0
2024-10-02,CHR,3.0,3.1,2.92,3.0999,154.995,32511,0.0,1.0
2024-10-03,CHR,3.16,3.16,2.9202,3.0,150.0,15370,0.0,1.0
2024-10-04,CHR,3.03,3.2,2.9671,3.14,157.0,25594,0.0,1.0
2024-10-07,CHR,3.1731,3.3,3.11,3.25,162.5,26619,0.0,1.0
2024-10-08,CHR,2.98,3.08,2.85,3.02,151.0,33691,0.0,1.0
2024-10-09,CHR,2.9886,2.9937,2.85,2.99,149.5,7160,0.0,1.0
2024-10-10,CHR,2.83,3.02,2.83,2.9501,147.505,8470,0.0,1.0
2024-10-11,CHR,2.99,3.0,2.81,2.81,140.5,25622,0.0,1.0
2024-10-14,CHR,2.79,3.033,2.79,3.0,150.0,15542,0.0,1.0
2024-10-15,CHR,3.03,3.03,2.91,2.99,149.5,10492,0.0,1.0
2024-10-16,CHR,2.988,2.99,2.95,2.95,147.5,6583,0.0,1.0
2024-10-17,CHR,2.95,2.95,2.89,2.91,145.5,5466,0.0,1.0
2024-10-18,CHR,2.87,2.9399,2.87,2.9,145.0,1618,0.0,1.0
2024-10-21,CHR,2.89,2.95,2.89,2.95,147.5,6256,0.0,1.0
2024-10-22,CHR,2.98,3.1,2.98,3.09,154.5,15177,0.0,1.0
2024-10-23,CHR,3.05,3.05,2.9514,3.015,150.75,4178,0.0,1.0
2024-10-24,CHR,3.0398,3.045,3.0398,3.04,152.0,6298,0.0,1.0
2024-10-25,CHR,3.08,3.08,3.01,3.0101,150.505,6586,0.0,1.0
2024-10-28,CHR,3.0327,3.0327,2.81,2.945,147.25,27251,0.0,1.0
2024-10-29,CHR,2.94,2.94,2.88,2.88,144.0,4225,0.0,1.0
2024-10-30,CHR,2.87,2.87,2.82,2.825,141.25,1125,0.0,1.0
2024-10-31,CHR,2.81,2.88,2.81,2.88,144.0,6417,0.0,1.0
2024-11-01,CHR,2.8138,2.8386,2.77,2.77,138.5,5241,0.0,1.0
2024-11-04,CHR,2.77,2.82,2.592,2.79,139.5,8053,0.0,1.0
2024-11-05,CHR,2.5901,2.78,2.59,2.67,133.5,7732,0.0,1.0
2024-11-06,CHR,2.84,2.84,2.68,2.75,137.5,12772,0.0,1.0
2024-11-07,CHR,2.77,2.78,2.745,2.75,137.5,1303,0.0,1.0
2024-11-08,CHR,2.86,2.86,2.6601,2.7,135.0,4676,0.0,1.0
2024-11-11,CHR,2.68,2.7535,2.68,2.71,135.5,6002,0.0,1.0
2024-11-12,CHR,2.71,2.71,2.67,2.67,133.5,2189,0.0,1.0
2024-11-13,CHR,2.68,2.77,2.68,2.73,136.5,999,0.0,1.0
2024-11-14,CHR,2.68,2.68,2.67,2.68,134.0,1020,0.0,1.0
2024-11-15,CHR,2.68,2.76,2.61,2.62,131.0,9835,0.0,1.0
