date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-08-31,CLBT,10.47,10.47,9.6,10.25,10.25,642658,0.0,1.0
2021-09-01,CLBT,10.5,11.57,10.4,11.02,11.02,749077,0.0,1.0
2021-09-02,CLBT,11.09,11.7,11.09,11.24,11.24,405615,0.0,1.0
2021-09-03,CLBT,11.51,11.66,10.87,11.0,11.0,414959,0.0,1.0
2021-09-07,CLBT,11.0,11.499,10.53,10.59,10.59,235247,0.0,1.0
2021-09-08,CLBT,10.5,10.735,9.54,9.77,9.77,302719,0.0,1.0
2021-09-09,CLBT,9.76,10.07,9.66,9.72,9.72,315406,0.0,1.0
2021-09-10,CLBT,9.87,10.22,9.8262,10.07,10.07,361982,0.0,1.0
2021-09-13,CLBT,10.4,10.69,10.0,10.2,10.2,288086,0.0,1.0
2021-09-14,CLBT,10.25,10.4702,10.06,10.34,10.34,228331,0.0,1.0
2021-09-15,CLBT,10.34,10.55,10.06,10.14,10.14,165044,0.0,1.0
2021-09-16,CLBT,10.17,13.24,10.103,12.15,12.15,1717766,0.0,1.0
2021-09-17,CLBT,12.29,12.49,11.0,11.22,11.22,495277,0.0,1.0
2021-09-20,CLBT,10.98,11.48,10.77,11.0,11.0,284815,0.0,1.0
2021-09-21,CLBT,11.0,11.6,10.6319,11.18,11.18,264805,0.0,1.0
2021-09-22,CLBT,11.28,11.28,10.64,10.71,10.71,289285,0.0,1.0
2021-09-23,CLBT,10.8,10.9698,10.25,10.51,10.51,289003,0.0,1.0
2021-09-24,CLBT,10.71,10.81,10.21,10.27,10.27,205480,0.0,1.0
2021-09-27,CLBT,10.49,10.5,9.81,10.36,10.36,364785,0.0,1.0
2021-09-28,CLBT,10.14,10.185,9.45,9.45,9.45,267981,0.0,1.0
2021-09-29,CLBT,9.59,9.901,9.31,9.47,9.47,162008,0.0,1.0
2021-09-30,CLBT,9.5,9.7,8.9101,9.26,9.26,247076,0.0,1.0
2021-10-01,CLBT,9.34,9.58,8.87,9.27,9.27,581174,0.0,1.0
2021-10-04,CLBT,9.15,9.38,8.75,8.99,8.99,398315,0.0,1.0
2021-10-05,CLBT,9.17,9.17,8.66,8.75,8.75,233195,0.0,1.0
2021-10-06,CLBT,8.75,9.36,8.75,9.27,9.27,242063,0.0,1.0
2021-10-07,CLBT,8.9965,10.07,8.9,9.94,9.94,547840,0.0,1.0
2021-10-08,CLBT,9.99,10.26,9.9,9.96,9.96,657482,0.0,1.0
2021-10-11,CLBT,10.25,10.4963,9.9397,10.04,10.04,290964,0.0,1.0
2021-10-12,CLBT,10.12,10.37,10.0,10.21,10.21,266487,0.0,1.0
2021-10-13,CLBT,10.39,10.39,9.82,9.98,9.98,163726,0.0,1.0
2021-10-14,CLBT,10.11,10.24,9.99,10.2,10.2,378938,0.0,1.0
2021-10-15,CLBT,10.2,10.48,10.03,10.37,10.37,610787,0.0,1.0
2021-10-18,CLBT,10.38,10.95,10.06,10.87,10.87,707842,0.0,1.0
2021-10-19,CLBT,10.68,11.1,10.67,10.91,10.91,288611,0.0,1.0
2021-10-20,CLBT,10.93,11.06,10.7,10.96,10.96,155208,0.0,1.0
2021-10-21,CLBT,11.0,11.14,10.8,10.9,10.9,403361,0.0,1.0
