date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2023-11-03,CREV,7.45,48.0,7.45,29.32,29.32,16326,0.0,1.0
2023-11-06,CREV,197.99,197.99,70.11,87.37,87.37,187162,0.0,1.0
2023-11-07,CREV,120.0,127.025,76.4,90.59,90.59,81455,0.0,1.0
2023-11-08,CREV,82.32,82.32,55.89,55.8901,55.8901,46015,0.0,1.0
2023-11-09,CREV,68.84,68.84,48.8,54.7,54.7,53548,0.0,1.0
2023-11-10,CREV,45.0,45.0,29.814,41.0,41.0,52906,0.0,1.0
2023-11-13,CREV,34.1,34.7299,31.0,33.5,33.5,28287,0.0,1.0
2023-11-14,CREV,30.7,31.75,29.0,31.748,31.748,14565,0.0,1.0
2023-11-15,CREV,32.04,37.87,31.0,35.88,35.88,14938,0.0,1.0
2023-11-16,CREV,33.55,34.85,32.0,32.0,32.0,7246,0.0,1.0
2023-11-17,CREV,31.0,31.0,29.025,31.0,31.0,10604,0.0,1.0
2023-11-20,CREV,31.53,33.4,29.08,30.1,30.1,27751,0.0,1.0
2023-11-21,CREV,30.45,32.3,28.3,29.45,29.45,37928,0.0,1.0
2023-11-22,CREV,28.79,29.6,27.19,27.33,27.33,23141,0.0,1.0
2023-11-24,CREV,27.69,27.8,26.99,27.4,27.4,3842,0.0,1.0
2023-11-27,CREV,26.54,27.9,25.7,25.78,25.78,8229,0.0,1.0
2023-11-28,CREV,29.0,45.99,29.0,38.5,38.5,88967,0.0,1.0
2023-11-29,CREV,40.69,46.0,38.3764,38.7,38.7,89647,0.0,1.0
2023-11-30,CREV,35.13,36.0,28.73,33.98,33.98,20398,0.0,1.0
2023-12-01,CREV,33.0,35.64,30.3796,32.1197,32.1197,12723,0.0,1.0
2023-12-04,CREV,33.0,33.995,30.95,33.78,33.78,10308,0.0,1.0
2023-12-05,CREV,32.0,44.6868,31.55,42.1,42.1,50440,0.0,1.0
2023-12-06,CREV,41.0,41.57,37.1,37.9833,37.9833,13451,0.0,1.0
2023-12-07,CREV,36.6,41.5,34.0,35.0106,35.0106,10680,0.0,1.0
2023-12-08,CREV,35.99,35.99,32.51,32.77,32.77,3131,0.0,1.0
2023-12-11,CREV,33.5,33.5,30.38,30.38,30.38,3135,0.0,1.0
2023-12-12,CREV,33.94,33.94,31.71,31.71,31.71,1731,0.0,1.0
2023-12-13,CREV,29.26,30.61,29.26,29.3038,29.3038,19497,0.0,1.0
2023-12-14,CREV,31.02,31.02,28.4,29.32,29.32,26150,0.0,1.0
2023-12-15,CREV,28.0,29.4,28.0,28.67,28.67,8347,0.0,1.0
2023-12-18,CREV,28.67,29.22,28.67,28.6701,28.6701,5435,0.0,1.0
2023-12-19,CREV,28.95,28.95,28.52,28.52,28.52,3060,0.0,1.0
2023-12-20,CREV,28.3,28.3,25.01,27.45,27.45,4155,0.0,1.0
2023-12-21,CREV,27.13,28.0,26.55,28.0,28.0,2557,0.0,1.0
2023-12-22,CREV,26.63,26.63,26.63,26.63,26.63,1588,0.0,1.0
2023-12-26,CREV,27.0,27.09,26.3,27.09,27.09,1749,0.0,1.0
2023-12-27,CREV,27.09,27.09,27.09,27.09,27.09,692,0.0,1.0
2023-12-28,CREV,25.9,26.57,25.3,26.03,26.03,4964,0.0,1.0
2023-12-29,CREV,26.32,26.32,23.0,23.0335,23.0335,4149,0.0,1.0
2024-01-02,CREV,24.105,24.105,24.105,24.105,24.105,974,0.0,1.0
2024-01-03,CREV,27.0,28.39,23.5,25.99,25.99,137343,0.0,1.0
2024-01-04,CREV,24.99,25.8,24.45,25.6458,25.6458,10144,0.0,1.0
2024-01-05,CREV,25.1,31.85,24.2,27.85,27.85,72894,0.0,1.0
2024-01-08,CREV,29.1,33.99,28.6,32.7,32.7,60355,0.0,1.0
2024-01-09,CREV,33.0,33.99,32.0,32.01,32.01,24725,0.0,1.0
2024-01-10,CREV,33.0,33.0,31.2184,31.75,31.75,19932,0.0,1.0
2024-01-11,CREV,30.72,30.72,26.5,28.61,28.61,8628,0.0,1.0
2024-01-12,CREV,26.8,26.8,24.5501,24.75,24.75,8408,0.0,1.0
2024-01-16,CREV,24.81,27.2799,24.7521,25.0,25.0,3487,0.0,1.0
2024-01-17,CREV,24.77,24.77,24.25,24.25,24.25,2860,0.0,1.0
2024-01-18,CREV,23.99,23.99,23.0012,23.0012,23.0012,1785,0.0,1.0
2024-01-19,CREV,23.81,23.9799,23.5,23.5,23.5,2090,0.0,1.0
2024-01-22,CREV,22.91,23.98,22.449,22.6482,22.6482,2271,0.0,1.0
2024-01-23,CREV,22.34,22.34,22.34,22.34,22.34,1287,0.0,1.0
2024-01-24,CREV,22.49,22.49,22.49,22.49,22.49,1659,0.0,1.0
