date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2024-02-27,CRML,9.01,22.5,9.01,22.5,22.5,53600,0.0,1.0
2024-02-28,CRML,17.0,18.56,12.5,15.5,15.5,29021,0.0,1.0
2024-02-29,CRML,14.31,14.31,10.1,12.38,12.38,7152,0.0,1.0
2024-03-01,CRML,11.75,12.38,10.0,10.0,10.0,31423,0.0,1.0
2024-03-04,CRML,13.23,13.89,11.196,11.59,11.59,33403,0.0,1.0
2024-03-05,CRML,11.5,11.9111,11.0,11.24,11.24,7104,0.0,1.0
2024-03-06,CRML,11.99,11.99,11.01,11.75,11.75,40333,0.0,1.0
2024-03-07,CRML,11.5,12.0,10.98,10.99,10.99,29021,0.0,1.0
2024-03-08,CRML,11.0,11.0,7.08,8.12,8.12,65612,0.0,1.0
2024-03-11,CRML,8.5,9.41,8.12,8.78,8.78,19489,0.0,1.0
2024-03-12,CRML,9.14,9.14,7.8,7.87,7.87,11255,0.0,1.0
2024-03-13,CRML,7.99,8.3501,7.37,7.37,7.37,9676,0.0,1.0
2024-03-14,CRML,7.16,8.95,7.05,8.29,8.29,10805,0.0,1.0
2024-03-15,CRML,8.39,8.39,7.15,7.91,7.91,34183,0.0,1.0
2024-03-18,CRML,7.02,7.99,7.02,7.86,7.86,11853,0.0,1.0
2024-03-19,CRML,7.77,10.43,7.65,10.3,10.3,50005,0.0,1.0
2024-03-20,CRML,10.4,13.55,10.3,13.03,13.03,52097,0.0,1.0
2024-03-21,CRML,12.5,12.5,9.12,12.06,12.06,32875,0.0,1.0
2024-03-22,CRML,12.06,13.49,11.78,13.4,13.4,23678,0.0,1.0
2024-03-25,CRML,12.22,13.7,11.7001,13.32,13.32,5640,0.0,1.0
2024-03-26,CRML,11.63,12.95,11.63,12.65,12.65,5617,0.0,1.0
2024-03-27,CRML,12.0,12.0,11.4,11.4,11.4,28160,0.0,1.0
2024-03-28,CRML,11.07,11.82,10.35,11.0,11.0,36019,0.0,1.0
2024-04-01,CRML,10.77,13.34,10.77,11.9,11.9,43291,0.0,1.0
2024-04-02,CRML,11.5,14.0,11.21,14.0,14.0,12981,0.0,1.0
2024-04-03,CRML,12.87,12.91,11.55,12.3,12.3,43272,0.0,1.0
2024-04-04,CRML,12.0,12.89,11.57,12.83,12.83,36521,0.0,1.0
2024-04-05,CRML,12.17,12.2,11.4,11.41,11.41,47879,0.0,1.0
2024-04-08,CRML,11.89,11.96,11.37,11.96,11.96,7072,0.0,1.0
2024-04-09,CRML,11.84,12.25,11.5,12.06,12.06,16120,0.0,1.0
2024-04-10,CRML,12.01,12.975,11.23,11.72,11.72,16212,0.0,1.0
2024-04-11,CRML,11.21,11.98,10.96,11.85,11.85,9277,0.0,1.0
2024-04-12,CRML,11.33,11.45,10.89,11.09,11.09,7327,0.0,1.0
2024-04-15,CRML,11.1,11.64,10.0,10.0,10.0,49637,0.0,1.0
2024-04-16,CRML,9.62,9.98,9.05,9.1,9.1,7351,0.0,1.0
2024-04-17,CRML,8.88,9.41,7.5,7.5,7.5,3686,0.0,1.0
2024-04-18,CRML,8.25,9.8,7.8801,8.4,8.4,15571,0.0,1.0
2024-04-19,CRML,8.14,10.8,8.0,8.1,8.1,36565,0.0,1.0
2024-04-22,CRML,7.9,12.0,7.9,9.02,9.02,30603,0.0,1.0
2024-04-23,CRML,9.1,10.75,9.1,10.19,10.19,24850,0.0,1.0
2024-04-24,CRML,10.1,11.0,10.1,10.49,10.49,7652,0.0,1.0
2024-04-25,CRML,11.18,11.19,10.2924,11.19,11.19,17959,0.0,1.0
2024-04-26,CRML,10.7,12.0,10.49,11.99,11.99,11641,0.0,1.0
2024-04-29,CRML,12.01,12.01,11.2,11.69,11.69,13702,0.0,1.0
2024-04-30,CRML,11.3102,11.43,10.5,10.5,10.5,10544,0.0,1.0
2024-05-01,CRML,10.55,10.55,7.81,7.81,7.81,27003,0.0,1.0
2024-05-02,CRML,8.77,9.845,8.0,9.26,9.26,36528,0.0,1.0
2024-05-03,CRML,9.26,10.78,8.5684,9.97,9.97,21858,0.0,1.0
2024-05-06,CRML,9.61,10.0,9.1,10.0,10.0,8095,0.0,1.0
2024-05-07,CRML,9.4,10.0,9.0,10.0,10.0,11755,0.0,1.0
2024-05-08,CRML,8.91,9.5,8.715,8.89,8.89,9430,0.0,1.0
2024-05-09,CRML,8.99,10.0,8.0,8.8,8.8,23224,0.0,1.0
2024-05-10,CRML,8.91,9.125,8.19,8.39,8.39,19401,0.0,1.0
2024-05-13,CRML,8.52,9.1,8.17,8.68,8.68,13710,0.0,1.0
2024-05-14,CRML,8.8,9.3,8.1,8.1,8.1,34274,0.0,1.0
2024-05-15,CRML,8.5,9.29,8.5,9.1,9.1,13073,0.0,1.0
2024-05-16,CRML,8.7356,9.28,8.7356,9.28,9.28,2442,0.0,1.0
2024-05-17,CRML,9.27,12.2,9.2211,11.07,11.07,27172,0.0,1.0
2024-05-20,CRML,10.79,12.0,10.685,11.01,11.01,22683,0.0,1.0
2024-05-21,CRML,11.4,11.9,11.4,11.89,11.89,7048,0.0,1.0
2024-05-22,CRML,11.77,12.49,10.6,11.14,11.14,16588,0.0,1.0
2024-05-23,CRML,9.64,9.95,7.09,8.11,8.11,149507,0.0,1.0
2024-05-24,CRML,8.5,9.98,8.16,9.94,9.94,46066,0.0,1.0
2024-05-28,CRML,9.94,11.66,9.82,10.0,10.0,49669,0.0,1.0
2024-05-29,CRML,9.64,10.99,9.64,10.95,10.95,23398,0.0,1.0
2024-05-30,CRML,10.8,11.2145,10.79,11.07,11.07,14048,0.0,1.0
2024-05-31,CRML,11.44,11.45,10.0599,10.75,10.75,12443,0.0,1.0
2024-06-03,CRML,11.0,11.28,10.53,11.28,11.28,11244,0.0,1.0
2024-06-04,CRML,9.9026,11.5,9.9026,10.67,10.67,17119,0.0,1.0
2024-06-05,CRML,10.7,11.575,10.28,10.28,10.28,28526,0.0,1.0
2024-06-06,CRML,10.59,11.25,10.1,10.87,10.87,15429,0.0,1.0
2024-06-07,CRML,11.52,11.52,10.25,10.28,10.28,15598,0.0,1.0
2024-06-10,CRML,10.93,11.309,10.7434,10.81,10.81,12426,0.0,1.0
2024-06-11,CRML,10.52,11.3,9.9,9.9,9.9,39701,0.0,1.0
2024-06-12,CRML,10.35,10.5164,10.1001,10.2,10.2,9341,0.0,1.0
2024-06-13,CRML,10.22,11.5,10.01,11.39,11.39,12517,0.0,1.0
2024-06-14,CRML,11.5,12.0,10.35,11.53,11.53,15014,0.0,1.0
2024-06-17,CRML,11.99,11.99,11.0001,11.3,11.3,21307,0.0,1.0
2024-06-18,CRML,11.5,11.65,11.29,11.29,11.29,8966,0.0,1.0
2024-06-20,CRML,12.0,12.0,11.56,11.6,11.6,214598,0.0,1.0
2024-06-21,CRML,11.71,11.71,11.3,11.5,11.5,118107,0.0,1.0
2024-06-24,CRML,11.73,11.75,11.45,11.49,11.49,137136,0.0,1.0
2024-06-25,CRML,11.72,11.725,11.49,11.5,11.5,147285,0.0,1.0
2024-06-26,CRML,11.5,11.6,11.4,11.5,11.5,60360,0.0,1.0
2024-06-27,CRML,11.65,11.7,11.38,11.5,11.5,74996,0.0,1.0
2024-06-28,CRML,11.65,11.9,10.58,11.27,11.27,981593,0.0,1.0
2024-07-01,CRML,11.45,11.6,10.01,10.39,10.39,99181,0.0,1.0
2024-07-02,CRML,11.01,11.06,9.78,9.81,9.81,81211,0.0,1.0
2024-07-03,CRML,9.75,10.0707,9.06,9.63,9.63,62156,0.0,1.0
2024-07-05,CRML,9.8,10.37,9.36,9.68,9.68,25630,0.0,1.0
2024-07-08,CRML,9.55,10.1,9.525,9.75,9.75,39467,0.0,1.0
2024-07-09,CRML,9.65,10.6799,9.65,10.37,10.37,21604,0.0,1.0
2024-07-10,CRML,10.41,11.1999,10.41,11.06,11.06,38827,0.0,1.0
2024-07-11,CRML,10.8,11.25,10.44,10.79,10.79,33463,0.0,1.0
