date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-09-09,CRXT,8.392,9.78,8.28,9.63,9.63,5920000,0.0,1.0
2021-09-10,CRXT,9.7316,9.77,7.78,7.89,7.89,1308379,0.0,1.0
2021-09-13,CRXT,7.57,8.2499,6.92,7.6,7.6,1188547,0.0,1.0
2021-09-14,CRXT,7.41,8.1699,6.95,7.5,7.5,875829,0.0,1.0
2021-09-15,CRXT,7.47,8.5,7.32,7.41,7.41,1613057,0.0,1.0
2021-09-16,CRXT,8.0,8.1899,7.5089,7.83,7.83,1685479,0.0,1.0
2021-09-17,CRXT,7.85,9.64,7.8,8.81,8.81,4115222,0.0,1.0
2021-09-20,CRXT,8.24,9.21,8.04,8.14,8.14,2022682,0.0,1.0
2021-09-21,CRXT,8.1,8.34,7.6,8.09,8.09,1349120,0.0,1.0
2021-09-22,CRXT,8.08,8.11,6.68,6.71,6.71,1211343,0.0,1.0
2021-09-23,CRXT,6.83,6.86,5.75,5.94,5.94,1026716,0.0,1.0
2021-09-24,CRXT,5.85,6.5,5.655,5.67,5.67,966295,0.0,1.0
2021-09-27,CRXT,5.92,6.14,5.42,5.79,5.79,702455,0.0,1.0
2021-09-28,CRXT,5.6214,5.99,5.5304,5.61,5.61,411057,0.0,1.0
2021-09-29,CRXT,5.63,5.77,5.13,5.31,5.31,1113444,0.0,1.0
2021-09-30,CRXT,5.31,5.5,5.1,5.33,5.33,488476,0.0,1.0
2021-10-01,CRXT,5.12,5.21,4.29,4.3,4.3,908728,0.0,1.0
2021-10-04,CRXT,4.3,4.3,3.75,3.78,3.78,644341,0.0,1.0
2021-10-05,CRXT,3.82,4.2591,3.75,4.06,4.06,883614,0.0,1.0
2021-10-06,CRXT,4.13,4.2,3.76,3.8,3.8,481753,0.0,1.0
2021-10-07,CRXT,3.9,3.98,3.43,3.65,3.65,526135,0.0,1.0
2021-10-08,CRXT,3.65,3.94,3.57,3.82,3.82,448527,0.0,1.0
2021-10-11,CRXT,3.74,3.95,3.67,3.67,3.67,234236,0.0,1.0
2021-10-12,CRXT,3.69,4.24,3.6601,4.1,4.1,734001,0.0,1.0
2021-10-13,CRXT,4.4,6.67,4.315,5.29,5.29,24089676,0.0,1.0
2021-10-14,CRXT,4.975,5.24,4.81,5.22,5.22,1547154,0.0,1.0
2021-10-15,CRXT,5.4,5.6499,4.88,5.36,5.36,2066175,0.0,1.0
2021-10-18,CRXT,5.33,5.38,5.13,5.2,5.2,409863,0.0,1.0
2021-10-19,CRXT,5.23,5.2499,4.85,4.96,4.96,287470,0.0,1.0
2021-10-20,CRXT,5.0,5.09,4.9036,4.93,4.93,152561,0.0,1.0
2021-10-21,CRXT,4.9,5.0,4.39,4.57,4.57,479962,0.0,1.0
2021-10-22,CRXT,4.51,4.53,4.1601,4.19,4.19,436844,0.0,1.0
2021-10-25,CRXT,4.25,4.2692,3.95,4.01,4.01,271373,0.0,1.0
2021-10-26,CRXT,4.17,4.45,4.1,4.3,4.3,935558,0.0,1.0
2021-10-27,CRXT,4.23,4.39,3.97,4.21,4.21,362277,0.0,1.0
2021-10-28,CRXT,4.16,4.25,3.98,4.18,4.18,255461,0.0,1.0
2021-10-29,CRXT,4.18,4.2,3.991,4.16,4.16,276484,0.0,1.0
2021-11-01,CRXT,4.0838,4.39,4.08,4.18,4.18,492117,0.0,1.0
2021-11-02,CRXT,4.1,4.1899,3.9255,4.11,4.11,283313,0.0,1.0
