date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2022-12-08,CTOR,10.09,10.2,10.09,10.09,10.09,214900,0.0,1.0
2022-12-09,CTOR,10.1,10.1,10.1,10.1,10.1,50298,0.0,1.0
2022-12-12,CTOR,10.1,10.1,10.1,10.1,10.1,1,0.0,1.0
2022-12-13,CTOR,10.1,10.1,10.1,10.1,10.1,73,0.0,1.0
2022-12-14,CTOR,10.3,10.3,10.15,10.15,10.15,13499,0.0,1.0
2022-12-15,CTOR,10.16,10.16,10.15,10.15,10.15,1856,0.0,1.0
2022-12-16,CTOR,10.15,10.15,10.15,10.15,10.15,147,0.0,1.0
2022-12-19,CTOR,10.15,10.15,10.15,10.15,10.15,1,0.0,1.0
2022-12-20,CTOR,10.16,10.2,10.12,10.14,10.14,62868,0.0,1.0
2022-12-21,CTOR,10.14,10.14,10.14,10.14,10.14,1,0.0,1.0
2022-12-22,CTOR,10.15,10.15,10.15,10.15,10.15,10002,0.0,1.0
2022-12-23,CTOR,10.13,10.13,10.13,10.13,10.13,3200,0.0,1.0
2022-12-27,CTOR,10.18,10.18,10.13,10.13,10.13,6865,0.0,1.0
2022-12-28,CTOR,10.18,10.2,10.14,10.15,10.15,109726,0.0,1.0
2022-12-29,CTOR,10.16,10.17,10.16,10.17,10.17,463803,0.0,1.0
2022-12-30,CTOR,10.16,10.16,10.15,10.16,10.16,68176,0.0,1.0
2023-01-03,CTOR,10.16,10.16,10.16,10.16,10.16,40,0.0,1.0
2023-01-04,CTOR,10.16,10.16,10.16,10.16,10.16,2,0.0,1.0
2023-01-05,CTOR,10.19,10.19,10.19,10.19,10.19,525,0.0,1.0
2023-01-06,CTOR,10.19,10.19,10.19,10.19,10.19,0,0.0,1.0
2023-01-09,CTOR,10.19,10.19,10.19,10.19,10.19,20,0.0,1.0
2023-01-10,CTOR,10.19,10.19,10.19,10.19,10.19,0,0.0,1.0
2023-01-11,CTOR,10.17,10.17,10.16,10.16,10.16,31679,0.0,1.0
2023-01-12,CTOR,10.17,10.18,10.17,10.18,10.18,2253,0.0,1.0
2023-01-13,CTOR,10.25,10.58,10.21,10.25,10.25,20421,0.0,1.0
2023-01-17,CTOR,10.25,10.25,10.25,10.25,10.25,0,0.0,1.0
2023-01-18,CTOR,10.25,10.25,10.22,10.23,10.23,612,0.0,1.0
2023-01-19,CTOR,10.23,10.25,10.22,10.23,10.23,1418,0.0,1.0
2023-01-20,CTOR,10.225,10.225,10.22,10.225,10.225,150636,0.0,1.0
2023-01-23,CTOR,10.22,10.225,10.21,10.21,10.21,1978,0.0,1.0
2023-01-24,CTOR,10.2135,10.2135,10.2135,10.2135,10.2135,625,0.0,1.0
2023-01-25,CTOR,10.2135,10.2135,10.2135,10.2135,10.2135,1581,0.0,1.0
2023-01-26,CTOR,10.2135,10.2135,10.2135,10.2135,10.2135,0,0.0,1.0
2023-01-27,CTOR,10.2135,10.2135,10.2135,10.2135,10.2135,0,0.0,1.0
