date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2024-09-03,CURR,5.74,5.74,3.015,4.35,4.35,176647,0.0,1.0
2024-09-04,CURR,3.5,3.8283,2.85,3.78,3.78,94574,0.0,1.0
2024-09-05,CURR,3.29,4.25,3.29,3.75,3.75,59798,0.0,1.0
2024-09-06,CURR,3.41,3.58,3.1473,3.22,3.22,34349,0.0,1.0
2024-09-09,CURR,3.11,3.4176,2.47,2.79,2.79,37763,0.0,1.0
2024-09-10,CURR,2.71,3.095,2.58,2.7935,2.7935,16569,0.0,1.0
2024-09-11,CURR,2.25,3.1,2.25,3.09,3.09,30148,0.0,1.0
2024-09-12,CURR,2.89,3.09,2.68,2.68,2.68,4816,0.0,1.0
2024-09-13,CURR,2.61,3.5,2.4,2.5001,2.5001,264428,0.0,1.0
2024-09-16,CURR,2.41,2.46,2.1715,2.35,2.35,36759,0.0,1.0
2024-09-17,CURR,2.25,2.59,2.18,2.32,2.32,34200,0.0,1.0
2024-09-18,CURR,2.25,3.48,2.25,2.73,2.73,116821,0.0,1.0
2024-09-19,CURR,2.6,3.39,2.6,3.01,3.01,45721,0.0,1.0
2024-09-20,CURR,3.3,3.3,2.751,2.95,2.95,18142,0.0,1.0
2024-09-23,CURR,2.95,2.95,2.675,2.8,2.8,8766,0.0,1.0
2024-09-24,CURR,2.67,2.848,2.42,2.7,2.7,12173,0.0,1.0
2024-09-25,CURR,2.83,2.9,2.58,2.7,2.7,24984,0.0,1.0
2024-09-26,CURR,3.1,3.1,2.58,2.76,2.76,34566,0.0,1.0
2024-09-27,CURR,2.87,2.935,2.7,2.75,2.75,15971,0.0,1.0
2024-09-30,CURR,2.81,2.81,2.4501,2.5,2.5,10943,0.0,1.0
2024-10-01,CURR,2.56,2.5882,2.38,2.38,2.38,11670,0.0,1.0
2024-10-02,CURR,2.4,2.66,2.4,2.49,2.49,13735,0.0,1.0
2024-10-03,CURR,2.3,2.4551,2.24,2.3001,2.3001,19130,0.0,1.0
2024-10-04,CURR,2.41,2.41,2.29,2.31,2.31,3351,0.0,1.0
2024-10-07,CURR,2.35,2.38,2.27,2.27,2.27,2486,0.0,1.0
