date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-12-09,CVT,10.05,10.9626,9.36,9.75,9.75,295938,0.0,1.0
2021-12-10,CVT,9.9679,9.98,8.18,8.38,8.38,369431,0.0,1.0
2021-12-13,CVT,8.65,9.0,8.31,8.4,8.4,202587,0.0,1.0
2021-12-14,CVT,8.4,8.9106,7.39,7.6,7.6,360991,0.0,1.0
2021-12-15,CVT,7.65,8.48,7.42,8.14,8.14,361033,0.0,1.0
2021-12-16,CVT,8.38,8.45,7.91,8.1,8.1,290683,0.0,1.0
2021-12-17,CVT,8.02,8.37,8.0,8.19,8.19,94637,0.0,1.0
2021-12-20,CVT,8.1,8.1,7.51,7.55,7.55,148588,0.0,1.0
2021-12-21,CVT,7.5,7.74,7.37,7.4,7.4,376170,0.0,1.0
2021-12-22,CVT,7.44,8.1736,7.35,8.06,8.06,136936,0.0,1.0
2021-12-23,CVT,8.13,8.18,7.6,7.85,7.85,93356,0.0,1.0
2021-12-27,CVT,7.88,8.0,7.66,7.86,7.86,56483,0.0,1.0
2021-12-28,CVT,7.81,8.2,7.6,7.91,7.91,105164,0.0,1.0
2021-12-29,CVT,7.94,8.15,7.76,8.03,8.03,69304,0.0,1.0
2021-12-30,CVT,8.0,9.97,7.87,9.39,9.39,424383,0.0,1.0
2021-12-31,CVT,8.96,9.5,8.13,8.17,8.17,148812,0.0,1.0
2022-01-03,CVT,8.26,8.665,7.98,8.02,8.02,135245,0.0,1.0
2022-01-04,CVT,8.11,8.71,7.85,8.68,8.68,205536,0.0,1.0
2022-01-05,CVT,8.68,8.68,7.63,8.08,8.08,279783,0.0,1.0
2022-01-06,CVT,8.08,8.505,7.96,8.05,8.05,217729,0.0,1.0
2022-01-07,CVT,8.08,8.08,7.6,7.9,7.9,191443,0.0,1.0
2022-01-10,CVT,8.1,8.32,7.51,7.79,7.79,199510,0.0,1.0
2022-01-11,CVT,7.85,8.06,7.53,7.65,7.65,171881,0.0,1.0
2022-01-12,CVT,7.68,7.95,7.51,7.88,7.88,75419,0.0,1.0
2022-01-13,CVT,7.83,7.8576,6.9701,7.02,7.02,97153,0.0,1.0
2022-01-14,CVT,7.0,7.1709,6.9,7.0,7.0,122285,0.0,1.0
2022-01-18,CVT,6.95,7.1911,6.5,6.97,6.97,134876,0.0,1.0
2022-01-19,CVT,7.0,7.21,6.67,6.74,6.74,82115,0.0,1.0
2022-01-20,CVT,7.0,7.0,6.36,6.55,6.55,165559,0.0,1.0
2022-01-21,CVT,6.43,6.85,6.22,6.67,6.67,81229,0.0,1.0
2022-01-24,CVT,6.72,6.8,6.0,6.65,6.65,140593,0.0,1.0
2022-01-25,CVT,6.65,6.76,6.4,6.5,6.5,377158,0.0,1.0
2022-01-26,CVT,6.55,6.75,6.455,6.66,6.66,303152,0.0,1.0
2022-01-27,CVT,6.6923,6.8886,6.37,6.57,6.57,103994,0.0,1.0
2022-01-28,CVT,6.5,6.84,6.5,6.61,6.61,117819,0.0,1.0
2022-01-31,CVT,6.64,6.87,6.64,6.75,6.75,90864,0.0,1.0
2022-02-01,CVT,6.75,7.03,6.64,6.78,6.78,353603,0.0,1.0
2022-02-02,CVT,6.77,7.06,6.11,6.62,6.62,163525,0.0,1.0
2022-02-03,CVT,6.55,6.7899,6.39,6.39,6.39,66494,0.0,1.0
2022-02-04,CVT,6.4,6.7,6.36,6.45,6.45,77175,0.0,1.0
2022-02-07,CVT,6.33,6.71,6.05,6.38,6.38,196284,0.0,1.0
2022-02-08,CVT,6.41,6.97,6.3,6.82,6.82,136928,0.0,1.0
2022-02-09,CVT,6.75,7.05,6.58,6.96,6.96,133472,0.0,1.0
2022-02-10,CVT,6.93,7.2975,6.71,7.19,7.19,134275,0.0,1.0
2022-02-11,CVT,7.16,7.33,6.71,6.88,6.88,75030,0.0,1.0
2022-02-14,CVT,6.88,6.88,6.29,6.29,6.29,60846,0.0,1.0
