date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2023-06-01,DCX,6.9,7.22,4.1,5.65,16950.0,1551300,0.0,1.0
2023-06-02,DCX,3.7,4.37,3.49,3.8,11400.0,1716353,0.0,1.0
2023-06-05,DCX,5.58,8.36,5.55,5.9,17700.0,28817652,0.0,1.0
2023-06-06,DCX,5.07,5.2699,4.14,4.2,12600.0,1884564,0.0,1.0
2023-06-07,DCX,5.5,5.8493,5.04,5.36,16080.0,9598922,0.0,1.0
2023-06-08,DCX,4.75,5.49,4.69,4.95,14850.0,1125737,0.0,1.0
2023-06-09,DCX,4.92,5.0041,4.3,4.55,13650.0,619277,0.0,1.0
2023-06-12,DCX,4.34,4.44,3.8,3.96,11880.0,779790,0.0,1.0
2023-06-13,DCX,3.72,3.792,3.5,3.6,10800.0,1066442,0.0,1.0
2023-06-14,DCX,3.6,3.9,3.53,3.61,10830.0,761108,0.0,1.0
2023-06-15,DCX,3.65,3.71,3.23,3.38,10140.0,665671,0.0,1.0
2023-06-16,DCX,3.33,3.33,2.69,2.84,8520.00000000001,928297,0.0,1.0
2023-06-20,DCX,3.19,3.2,2.704,2.71,8130.00000000001,373912,0.0,1.0
2023-06-21,DCX,2.67,3.1,2.4201,2.89,8670.00000000001,848574,0.0,1.0
2023-06-22,DCX,2.95,3.3393,2.76,3.19,9570.00000000001,659312,0.0,1.0
2023-06-23,DCX,3.09,3.4197,2.81,3.3,9900.00000000001,639700,0.0,1.0
2023-06-26,DCX,3.26,3.49,3.11,3.36,10080.0,334370,0.0,1.0
2023-06-27,DCX,3.36,3.55,3.151,3.22,9660.00000000001,560274,0.0,1.0
2023-06-28,DCX,3.19,3.3699,2.6,2.83,8490.00000000001,581346,0.0,1.0
2023-06-29,DCX,2.78,2.84,2.5,2.77,8310.00000000001,450856,0.0,1.0
2023-06-30,DCX,2.88,2.92,2.66,2.68,8040.00000000001,476656,0.0,1.0
2023-07-03,DCX,2.69,2.76,2.49,2.53,7590.00000000001,465541,0.0,1.0
2023-07-05,DCX,2.53,2.62,2.36,2.46,7380.00000000001,347954,0.0,1.0
2023-07-06,DCX,2.46,2.4699,2.32,2.33,6990.00000000001,187429,0.0,1.0
2023-07-07,DCX,2.32,2.47,2.3,2.36,7080.00000000001,119514,0.0,1.0
2023-07-10,DCX,2.37,2.5,2.27,2.48,7440.00000000001,335523,0.0,1.0
2023-07-11,DCX,2.5,2.69,2.44,2.55,7650.00000000001,306410,0.0,1.0
2023-07-12,DCX,2.59,3.55,2.55,3.49,10470.0,1229668,0.0,1.0
2023-07-13,DCX,3.49,3.71,3.14,3.14,9420.00000000001,424658,0.0,1.0
2023-07-14,DCX,3.26,5.18,3.26,4.25,12750.0,10795562,0.0,1.0
2023-07-17,DCX,4.14,4.18,3.16,3.37,10110.0,747728,0.0,1.0
2023-07-18,DCX,3.38,3.41,3.0,3.27,9810.00000000001,290623,0.0,1.0
2023-07-19,DCX,3.24,3.4,3.18,3.24,9720.00000000001,294818,0.0,1.0
2023-07-20,DCX,3.19,3.34,3.19,3.33,9990.00000000001,99569,0.0,1.0
2023-07-21,DCX,3.35,3.38,3.2,3.27,9810.00000000001,172150,0.0,1.0
2023-07-24,DCX,3.14,3.5099,3.14,3.23,9690.00000000001,256262,0.0,1.0
2023-07-25,DCX,3.24,3.34,2.97,3.07,9210.00000000001,176596,0.0,1.0
2023-07-26,DCX,3.03,3.1506,2.81,2.9,8700.00000000001,196045,0.0,1.0
2023-07-27,DCX,2.89,2.9199,2.6,2.62,7860.00000000001,237809,0.0,1.0
2023-07-28,DCX,2.66,2.8763,2.585,2.72,8160.00000000001,197591,0.0,1.0
2023-07-31,DCX,2.67,2.83,2.59,2.64,7920.00000000001,119575,0.0,1.0
2023-08-01,DCX,2.71,3.2,2.62,3.01,9030.00000000001,435746,0.0,1.0
2023-08-02,DCX,2.91,3.01,2.8,2.86,8580.00000000001,196258,0.0,1.0
2023-08-03,DCX,2.86,2.92,2.78,2.81,8430.00000000001,136557,0.0,1.0
2023-08-04,DCX,2.85,2.85,2.73,2.76,8280.00000000001,103351,0.0,1.0
2023-08-07,DCX,2.77,2.77,2.69,2.69,8070.00000000001,35176,0.0,1.0
2023-08-08,DCX,2.62,2.72,2.55,2.62,7860.00000000001,108717,0.0,1.0
2023-08-09,DCX,2.63,2.66,2.58,2.59,7770.00000000001,57605,0.0,1.0
2023-08-10,DCX,2.6301,2.6301,2.38,2.43,7290.00000000001,182962,0.0,1.0
2023-08-11,DCX,2.36,2.46,2.3,2.32,6960.00000000001,111115,0.0,1.0
2023-08-14,DCX,2.34,2.4,2.3,2.31,6930.00000000001,67564,0.0,1.0
2023-08-15,DCX,2.26,2.35,2.22,2.32,6960.00000000001,207232,0.0,1.0
2023-08-16,DCX,2.22,2.2326,1.95,2.06,6180.00000000001,249380,0.0,1.0
2023-08-17,DCX,2.06,2.24,2.02,2.02,6060.00000000001,68430,0.0,1.0
2023-08-18,DCX,2.0201,2.1597,2.02,2.1,6300.00000000001,46885,0.0,1.0
2023-08-21,DCX,2.096,2.24,2.09,2.18,6540.00000000001,70830,0.0,1.0
2023-08-22,DCX,2.16,2.1919,1.9,1.9,5700.00000000001,104669,0.0,1.0
2023-08-23,DCX,1.9,2.04,1.89,1.9501,5850.30000000001,70788,0.0,1.0
2023-08-24,DCX,2.03,2.03,1.83,1.86,5580.00000000001,44870,0.0,1.0
2023-08-25,DCX,1.9007,1.9007,1.82,1.88,5640.00000000001,29695,0.0,1.0
2023-08-28,DCX,1.87,1.95,1.75,1.76,5280.00000000001,46086,0.0,1.0
2023-08-29,DCX,1.76,1.87,1.7568,1.82,5460.00000000001,47364,0.0,1.0
2023-08-30,DCX,1.82,1.93,1.73,1.73,5190.00000000001,172247,0.0,1.0
2023-08-31,DCX,1.81,1.81,1.61,1.65,4950.0,77483,0.0,1.0
2023-09-01,DCX,1.66,1.7,1.6301,1.66,4980.0,43355,0.0,1.0
2023-09-05,DCX,1.63,1.67,1.51,1.57,4710.0,88924,0.0,1.0
2023-09-06,DCX,1.52,1.57,1.51,1.52,4560.0,47362,0.0,1.0
2023-09-07,DCX,1.52,1.52,1.4,1.4,4200.0,83116,0.0,1.0
2023-09-08,DCX,1.43,1.4794,1.33,1.38,4140.0,82126,0.0,1.0
2023-09-11,DCX,1.39,1.39,1.2501,1.34,4020.0,65984,0.0,1.0
2023-09-12,DCX,1.31,1.36,1.27,1.31,3930.0,75705,0.0,1.0
2023-09-13,DCX,1.29,1.49,1.27,1.49,4470.0,173739,0.0,1.0
2023-09-14,DCX,1.5,1.64,1.47,1.64,4920.0,151509,0.0,1.0
2023-09-15,DCX,1.61,1.75,1.58,1.74,5220.00000000001,101295,0.0,1.0
2023-09-18,DCX,1.8,1.88,1.72,1.81,5430.00000000001,101946,0.0,1.0
2023-09-19,DCX,1.78,1.9756,1.78,1.93,5790.00000000001,69566,0.0,1.0
2023-09-20,DCX,1.93,2.19,1.93,2.13,6390.00000000001,233662,0.0,1.0
2023-09-21,DCX,2.09,2.35,2.09,2.33,6990.00000000001,141676,0.0,1.0
2023-09-22,DCX,2.27,2.37,1.95,1.95,5850.00000000001,169609,0.0,1.0
2023-09-25,DCX,2.05,2.14,1.95,1.9501,5850.30000000001,55298,0.0,1.0
2023-09-26,DCX,1.95,2.1999,1.95,1.96,5880.00000000001,90693,0.0,1.0
2023-09-27,DCX,2.11,2.11,1.94,1.95,5850.00000000001,94350,0.0,1.0
2023-09-28,DCX,2.0,2.04,1.44,1.48,4440.0,149180,0.0,1.0
2023-09-29,DCX,1.56,1.71,1.5,1.67,5010.0,110790,0.0,1.0
2023-10-02,DCX,1.63,1.72,1.5906,1.65,4950.0,34359,0.0,1.0
2023-10-03,DCX,1.61,1.65,1.54,1.57,4710.0,41948,0.0,1.0
2023-10-04,DCX,1.54,1.72,1.5046,1.7,5100.00000000001,47264,0.0,1.0
2023-10-05,DCX,1.78,1.9278,1.65,1.92,5760.00000000001,61387,0.0,1.0
2023-10-06,DCX,1.8,2.03,1.8,2.02,6060.00000000001,68129,0.0,1.0
2023-10-09,DCX,2.01,2.41,1.98,2.41,7230.00000000001,108600,0.0,1.0
2023-10-10,DCX,2.4,2.4,2.15,2.15,6450.00000000001,151839,0.0,1.0
2023-10-11,DCX,2.2,2.2,2.07,2.1194,6358.20000000001,68638,0.0,1.0
2023-10-12,DCX,2.11,2.16,2.08,2.16,6480.00000000001,43847,0.0,1.0
2023-10-13,DCX,2.125,2.3,2.1002,2.29,6870.00000000001,58726,0.0,1.0
2023-10-16,DCX,2.29,2.34,2.1901,2.34,7020.00000000001,70040,0.0,1.0
2023-10-17,DCX,2.27,2.39,2.27,2.35,7050.00000000001,92792,0.0,1.0
2023-10-18,DCX,2.31,2.358,2.22,2.28,6840.00000000001,48370,0.0,1.0
2023-10-19,DCX,2.29,2.97,2.29,2.56,7680.00000000001,933084,0.0,1.0
2023-10-20,DCX,2.56,2.68,2.16,2.36,7080.00000000001,191546,0.0,1.0
2023-10-23,DCX,2.26,2.5991,2.245,2.3292,6987.60000000001,89126,0.0,1.0
2023-10-24,DCX,2.33,2.41,2.17,2.25,6750.00000000001,43343,0.0,1.0
2023-10-25,DCX,2.3,2.6476,2.275,2.395,7185.00000000001,78925,0.0,1.0
2023-10-26,DCX,2.395,2.5976,2.31,2.4,7200.00000000001,44650,0.0,1.0
2023-10-27,DCX,2.4,2.55,2.35,2.54,7620.00000000001,75937,0.0,1.0
2023-10-30,DCX,2.58,2.698,2.47,2.57,7710.00000000001,85476,0.0,1.0
2023-10-31,DCX,2.67,2.8986,2.5,2.77,8310.00000000001,171897,0.0,1.0
2023-11-01,DCX,2.79,2.9,2.475,2.63,7890.00000000001,146448,0.0,1.0
2023-11-02,DCX,2.99,2.99,2.59,2.7896,8368.80000000001,140356,0.0,1.0
2023-11-03,DCX,2.89,2.98,2.5,2.58,7740.00000000001,121109,0.0,1.0
2023-11-06,DCX,2.76,2.78,2.33,2.4,7200.00000000001,93316,0.0,1.0
2023-11-07,DCX,2.63,2.63,2.32,2.32,6960.00000000001,129320,0.0,1.0
2023-11-08,DCX,2.41,2.42,2.0,2.05,6150.00000000001,156702,0.0,1.0
2023-11-09,DCX,2.09,2.2,2.0,2.12,6360.00000000001,74802,0.0,1.0
2023-11-10,DCX,2.22,2.25,2.13,2.24,6720.00000000001,101047,0.0,1.0
