date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2024-11-07,DEVS,2.47,3.0,0.9501,1.06,10.6,1433002,0.0,1.0
2024-11-08,DEVS,1.75,1.91,1.11,1.35,13.5,41113478,0.0,1.0
2024-11-11,DEVS,1.18,1.29,1.06,1.19,11.9,2983740,0.0,1.0
2024-11-12,DEVS,1.18,1.24,1.1,1.22,12.2,1247203,0.0,1.0
2024-11-13,DEVS,1.15,1.15,0.99,1.05,10.5,1444049,0.0,1.0
2024-11-14,DEVS,1.01,1.0441,0.8,0.89,8.9,1576793,0.0,1.0
2024-11-15,DEVS,0.91,0.94255,0.8251,0.8789,8.789,480480,0.0,1.0
2024-11-18,DEVS,0.84,0.8523,0.712,0.724,7.24,513259,0.0,1.0
2024-11-19,DEVS,0.7074,0.7666,0.69,0.71,7.1,1031035,0.0,1.0
2024-11-20,DEVS,0.7,0.734,0.56,0.608,6.08,441474,0.0,1.0
2024-11-21,DEVS,0.59,0.59,0.4803,0.502,5.02,1269472,0.0,1.0
2024-11-22,DEVS,0.534,0.99,0.5135,0.5485,5.485,68119965,0.0,1.0
2024-11-25,DEVS,0.5335,0.54,0.4921,0.517649,5.17649,1306814,0.0,1.0
2024-11-26,DEVS,0.6101,0.78,0.5501,0.725,7.25,26881144,0.0,1.0
2024-11-27,DEVS,0.7,0.85,0.64197,0.766,7.66,3435312,0.0,1.0
2024-11-29,DEVS,1.14,1.23,0.924,0.96,9.6,45980771,0.0,1.0
2024-12-02,DEVS,0.9189,0.9189,0.764,0.8149,8.149,2042303,0.0,1.0
2024-12-03,DEVS,0.7475,0.7777,0.65,0.7716,7.716,972980,0.0,1.0
2024-12-04,DEVS,0.75,0.8551,0.699,0.75,7.5,506858,0.0,1.0
2024-12-05,DEVS,0.74,0.84,0.74,0.7833,7.833,680705,0.0,1.0
2024-12-06,DEVS,0.774,0.781999,0.7,0.7122,7.122,455039,0.0,1.0
2024-12-09,DEVS,0.71,0.7122,0.511,0.5701,5.701,1652598,0.0,1.0
2024-12-10,DEVS,0.5889,0.6,0.52,0.5706,5.706,385959,0.0,1.0
2024-12-11,DEVS,0.5535,0.7003,0.5507,0.652,6.52,729385,0.0,1.0
2024-12-12,DEVS,0.669,0.7,0.63,0.651,6.51,611075,0.0,1.0
2024-12-13,DEVS,0.6671,0.6671,0.6,0.601,6.01,217117,0.0,1.0
2024-12-16,DEVS,0.62,0.65,0.58,0.619,6.19,595992,0.0,1.0
2024-12-17,DEVS,0.646,0.696999,0.603,0.671,6.71,563938,0.0,1.0
2024-12-18,DEVS,0.71,0.72,0.65,0.709,7.09,753990,0.0,1.0
2024-12-19,DEVS,1.12,1.29,0.61,0.883,8.83,32220178,0.0,1.0
2024-12-20,DEVS,0.8295,0.85,0.6707,0.78,7.8,3118361,0.0,1.0
2024-12-23,DEVS,0.78,1.05,0.76,1.03,10.3,3568058,0.0,1.0
2024-12-24,DEVS,0.9633,0.9949,0.845,0.8788,8.788,998972,0.0,1.0
2024-12-26,DEVS,0.85,0.8856,0.7,0.8101,8.101,1217137,0.0,1.0
2024-12-27,DEVS,0.82,0.84,0.73,0.77,7.7,764580,0.0,1.0
2024-12-30,DEVS,0.797,0.814,0.72,0.7736,7.736,774596,0.0,1.0
2024-12-31,DEVS,0.77,0.82,0.7351,0.752,7.52,445279,0.0,1.0
