date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2019-05-03,DM,9.7,9.7,9.7,9.7,97.0,5000,0.0,1.0
2019-05-06,DM,9.7,9.7,9.7,9.7,97.0,17100,0.0,1.0
2019-05-07,DM,9.7,9.7,9.7,9.7,97.0,0,0.0,1.0
2019-05-08,DM,9.75,9.75,9.75,9.75,97.5,5010,0.0,1.0
2019-05-09,DM,9.73,9.73,9.73,9.73,97.3,730,0.0,1.0
2019-05-10,DM,9.75,9.75,9.73,9.73,97.3,1400,0.0,1.0
2019-05-13,DM,9.73,9.73,9.73,9.73,97.3,25000,0.0,1.0
2019-05-14,DM,9.718,9.73,9.718,9.73,97.3,206000,0.0,1.0
2019-05-15,DM,9.73,9.73,9.73,9.73,97.3,0,0.0,1.0
2019-05-16,DM,9.73,9.73,9.73,9.73,97.3,1502,0.0,1.0
2019-05-17,DM,9.73,9.73,9.73,9.73,97.3,0,0.0,1.0
2019-05-20,DM,9.73,9.73,9.73,9.73,97.3,307,0.0,1.0
2019-05-21,DM,9.73,9.73,9.73,9.73,97.3,0,0.0,1.0
2019-05-22,DM,9.73,9.73,9.73,9.73,97.3,0,0.0,1.0
2019-05-23,DM,9.73,9.73,9.72,9.72,97.2,20300,0.0,1.0
2019-05-24,DM,9.72,9.72,9.72,9.72,97.2,0,0.0,1.0
2019-05-28,DM,9.72,9.72,9.72,9.72,97.2,1,0.0,1.0
2019-05-29,DM,9.7,9.73,9.7,9.7,97.0,549300,0.0,1.0
2019-05-30,DM,9.72,9.72,9.7,9.7,97.0,2250,0.0,1.0
2019-05-31,DM,9.61,9.73,9.61,9.73,97.3,394800,0.0,1.0
2019-06-03,DM,9.73,9.73,9.68,9.7,97.0,59421,0.0,1.0
2019-06-04,DM,9.7,9.7,9.7,9.7,97.0,6208,0.0,1.0
2019-06-05,DM,9.7,9.7,9.7,9.7,97.0,0,0.0,1.0
2019-06-06,DM,9.71,9.72,9.71,9.72,97.2,6311,0.0,1.0
2019-06-07,DM,9.73,9.73,9.73,9.73,97.3,201,0.0,1.0
2019-06-10,DM,9.72,9.72,9.71,9.71,97.1,1108,0.0,1.0
2019-06-11,DM,9.72,9.72,9.72,9.72,97.2,100002,0.0,1.0
2019-06-12,DM,9.7,9.71,9.69,9.7,97.0,696184,0.0,1.0
2019-06-13,DM,9.75,9.76,9.69,9.71,97.1,309907,0.0,1.0
2019-06-14,DM,9.73,9.73,9.69,9.7,97.0,963600,0.0,1.0
2019-06-17,DM,9.74,9.75,9.67,9.71,97.1,175700,0.0,1.0
2019-06-18,DM,9.69,9.75,9.69,9.733,97.33,29910,0.0,1.0
2019-06-19,DM,9.75,9.76,9.73,9.73,97.3,2210,0.0,1.0
2019-06-20,DM,9.72,9.73,9.72,9.72,97.2,32000,0.0,1.0
2019-06-21,DM,9.72,9.72,9.72,9.72,97.2,0,0.0,1.0
2019-06-24,DM,9.75,9.75,9.75,9.75,97.5,202,0.0,1.0
2019-06-25,DM,9.77,9.78,9.73,9.73,97.3,206852,0.0,1.0
2019-06-26,DM,9.71,9.74,9.71,9.74,97.4,257181,0.0,1.0
2019-06-27,DM,9.68,9.75,9.68,9.73,97.3,539657,0.0,1.0
2019-06-28,DM,9.73,9.73,9.73,9.73,97.3,0,0.0,1.0
2019-07-01,DM,9.73,9.73,9.73,9.73,97.3,0,0.0,1.0
2019-07-02,DM,9.75,9.78,9.75,9.78,97.8,5701,0.0,1.0
2019-07-03,DM,9.78,9.78,9.78,9.78,97.8,1,0.0,1.0
2019-07-05,DM,9.78,9.78,9.78,9.78,97.8,0,0.0,1.0
2019-07-08,DM,9.72,9.78,9.72,9.78,97.8,2611,0.0,1.0
2019-07-09,DM,9.78,9.78,9.78,9.78,97.8,0,0.0,1.0
2019-07-10,DM,9.75,9.75,9.7,9.74,97.4,2900,0.0,1.0
2019-07-11,DM,9.74,9.74,9.74,9.74,97.4,0,0.0,1.0
2019-07-12,DM,9.75,9.75,9.75,9.75,97.5,3200,0.0,1.0
2019-07-15,DM,9.75,9.75,9.74,9.74,97.4,245010,0.0,1.0
2019-07-16,DM,9.75,9.75,9.75,9.75,97.5,50000,0.0,1.0
2019-07-17,DM,9.75,9.75,9.75,9.75,97.5,100,0.0,1.0
2019-07-18,DM,9.75,9.81,9.75,9.75,97.5,16581,0.0,1.0
2019-07-19,DM,9.76,9.85,9.75,9.76,97.6,16398,0.0,1.0
2019-07-22,DM,9.82,9.82,9.8,9.8,98.0,11010,0.0,1.0
