date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-07-29,DOMA,8.2,8.8,6.81,6.99,174.75,923063,0.0,1.0
2021-07-30,DOMA,6.98,7.22,6.4216,6.84,171.0,612134,0.0,1.0
2021-08-02,DOMA,6.81,7.68,6.8,7.34,183.5,523479,0.0,1.0
2021-08-03,DOMA,7.4,7.4,7.1,7.21,180.25,322885,0.0,1.0
2021-08-04,DOMA,7.37,7.37,6.7,7.0,175.0,367257,0.0,1.0
2021-08-05,DOMA,7.14,7.82,7.09,7.82,195.5,508731,0.0,1.0
2021-08-06,DOMA,7.91,7.94,7.2,7.51,187.75,546498,0.0,1.0
2021-08-09,DOMA,7.51,7.6,7.0,7.46,186.5,360786,0.0,1.0
2021-08-10,DOMA,7.38,7.96,7.31,7.85,196.25,533215,0.0,1.0
2021-08-11,DOMA,7.86,8.44,7.68,7.89,197.25,519387,0.0,1.0
2021-08-12,DOMA,7.9,8.31,7.8,8.31,207.75,396833,0.0,1.0
2021-08-13,DOMA,8.31,9.29,8.31,8.46,211.5,623804,0.0,1.0
2021-08-16,DOMA,8.47,8.6,7.6,7.79,194.75,453824,0.0,1.0
2021-08-17,DOMA,7.72,7.77,7.51,7.7,192.5,449535,0.0,1.0
2021-08-18,DOMA,7.73,7.9,7.64,7.83,195.75,285066,0.0,1.0
2021-08-19,DOMA,7.78,7.99,7.52,7.56,189.0,312632,0.0,1.0
2021-08-20,DOMA,7.6,7.78,6.77,7.26,181.5,667628,0.0,1.0
2021-08-23,DOMA,7.47,8.11,7.29,7.74,193.5,556752,0.0,1.0
2021-08-24,DOMA,7.59,8.25,7.59,8.1,202.5,540698,0.0,1.0
2021-08-25,DOMA,7.87,8.32,7.87,8.03,200.75,576837,0.0,1.0
2021-08-26,DOMA,7.96,8.29,7.8,8.12,203.0,433592,0.0,1.0
2021-08-27,DOMA,7.94,8.31,7.91,8.24,206.0,622076,0.0,1.0
2021-08-30,DOMA,8.07,8.7,7.94,8.58,214.5,623403,0.0,1.0
2021-08-31,DOMA,8.74,8.86,8.35,8.52,213.0,1182677,0.0,1.0
2021-09-01,DOMA,8.37,8.72,8.16,8.5,212.5,416616,0.0,1.0
2021-09-02,DOMA,8.55,8.99,8.44,8.67,216.75,622332,0.0,1.0
2021-09-03,DOMA,8.74,9.04,8.5,8.96,224.0,929941,0.0,1.0
2021-09-07,DOMA,9.0,9.1,7.75,7.91,197.75,2091507,0.0,1.0
