date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2022-12-08,ECDA,10.0,10.196,10.0,10.196,2039.2,9480,0.0,1.0
2022-12-09,ECDA,9.98,10.03,9.98,10.01,2002.0,9342,0.0,1.0
2022-12-12,ECDA,10.01,10.01,9.99,10.0,2000.0,250306,0.0,1.0
2022-12-13,ECDA,10.0,10.0,10.0,10.0,2000.0,5,0.0,1.0
2022-12-14,ECDA,10.1892,10.61,10.0,10.01,2002.0,18569,0.0,1.0
2022-12-15,ECDA,10.04,10.3,10.0,10.01,2002.0,24518,0.0,1.0
2022-12-16,ECDA,10.1,10.1,10.0,10.0,2000.0,5902,0.0,1.0
2022-12-19,ECDA,10.03,10.03,9.99,10.0,2000.0,68548,0.0,1.0
2022-12-20,ECDA,10.0,10.0,10.0,10.0,2000.0,1,0.0,1.0
2022-12-21,ECDA,10.0,10.0,10.0,10.0,2000.0,4,0.0,1.0
2022-12-22,ECDA,10.1,10.32,10.0,10.01,2002.0,54685,0.0,1.0
2022-12-23,ECDA,10.3,11.37,10.01,10.01,2002.0,7902,0.0,1.0
2022-12-27,ECDA,10.04,10.04,10.0,10.01,2002.0,27951,0.0,1.0
2022-12-28,ECDA,10.01,10.01,10.01,10.01,2002.0,53593,0.0,1.0
2022-12-29,ECDA,10.08,10.09,10.02,10.03,2006.0,2201,0.0,1.0
2022-12-30,ECDA,10.03,10.06,10.01,10.02,2004.0,75282,0.0,1.0
2023-01-03,ECDA,10.02,10.02,10.02,10.02,2004.0,3,0.0,1.0
2023-01-04,ECDA,10.05,10.05,10.04,10.04,2008.0,709,0.0,1.0
2023-01-05,ECDA,10.06,10.2499,10.05,10.05,2010.0,102779,0.0,1.0
2023-01-06,ECDA,10.06,10.07,10.03,10.06,2012.0,7213,0.0,1.0
2023-01-09,ECDA,10.07,10.08,10.055,10.07,2014.0,133659,0.0,1.0
2023-01-10,ECDA,10.07,10.07,10.07,10.07,2014.0,0,0.0,1.0
2023-01-11,ECDA,10.07,10.14,10.07,10.14,2028.0,101210,0.0,1.0
2023-01-12,ECDA,10.06,10.105,10.06,10.1,2020.0,820,0.0,1.0
2023-01-13,ECDA,10.1,10.1,10.1,10.1,2020.0,8,0.0,1.0
2023-01-17,ECDA,10.1,10.1,10.1,10.1,2020.0,321,0.0,1.0
2023-01-18,ECDA,10.09,10.17,10.09,10.1,2020.0,867304,0.0,1.0
2023-01-19,ECDA,10.12,10.14,10.12,10.13,2026.0,726363,0.0,1.0
2023-01-20,ECDA,10.14,10.14,10.12,10.14,2028.0,574917,0.0,1.0
2023-01-23,ECDA,10.45,10.45,10.1302,10.1302,2026.04,2555,0.0,1.0
2023-01-24,ECDA,10.16,10.16,10.16,10.16,2032.0,1025,0.0,1.0
2023-01-25,ECDA,10.18,10.18,10.13,10.13,2026.0,33556,0.0,1.0
2023-01-26,ECDA,10.13,10.13,10.13,10.13,2026.0,41421,0.0,1.0
2023-01-27,ECDA,10.13,10.13,10.13,10.13,2026.0,0,0.0,1.0
2023-01-30,ECDA,10.13,10.13,10.13,10.13,2026.0,0,0.0,1.0
2023-01-31,ECDA,10.21,10.5,10.14,10.16,2032.0,9822,0.0,1.0
2023-02-01,ECDA,10.16,10.16,10.16,10.16,2032.0,0,0.0,1.0
2023-02-02,ECDA,10.16,10.16,10.16,10.16,2032.0,768,0.0,1.0
2023-02-03,ECDA,10.16,10.27,10.15,10.27,2054.0,10008,0.0,1.0
2023-02-06,ECDA,10.16,10.5508,10.16,10.16,2032.0,27454,0.0,1.0
2023-02-07,ECDA,10.34,10.5,10.17,10.17,2034.0,59948,0.0,1.0
2023-02-08,ECDA,10.17,10.18,10.17,10.17,2034.0,659,0.0,1.0
2023-02-09,ECDA,10.18,10.18,10.18,10.18,2036.0,723,0.0,1.0
2023-02-10,ECDA,10.17,10.18,10.17,10.17,2034.0,683,0.0,1.0
2023-02-13,ECDA,10.17,10.17,10.17,10.17,2034.0,274,0.0,1.0
2023-02-14,ECDA,10.17,10.17,10.17,10.17,2034.0,158,0.0,1.0
2023-02-15,ECDA,10.16,10.18,10.16,10.17,2034.0,26624,0.0,1.0
2023-02-16,ECDA,10.16,10.23,10.16,10.1701,2034.02,44342,0.0,1.0
2023-02-17,ECDA,10.2,10.2,10.19,10.19,2038.0,1248,0.0,1.0
2023-02-21,ECDA,10.2,10.2,10.2,10.2,2040.0,1928,0.0,1.0
2023-02-22,ECDA,10.24,10.27,10.23,10.23,2046.0,3766,0.0,1.0
2023-02-23,ECDA,10.2,10.21,10.2,10.21,2042.0,231948,0.0,1.0
2023-02-24,ECDA,10.2,10.2,10.2,10.2,2040.0,4474,0.0,1.0
2023-02-27,ECDA,10.2,10.23,10.2,10.23,2046.0,12524,0.0,1.0
2023-02-28,ECDA,10.24,10.24,10.2,10.21,2042.0,21291,0.0,1.0
2023-03-01,ECDA,10.24,10.34,10.22,10.34,2068.0,11072,0.0,1.0
2023-03-02,ECDA,10.2001,10.31,10.2,10.23,2046.0,17582,0.0,1.0
2023-03-03,ECDA,10.29,10.29,10.2,10.2,2040.0,941,0.0,1.0
2023-03-06,ECDA,10.2399,10.24,10.2,10.23,2046.0,38019,0.0,1.0
2023-03-07,ECDA,10.255,10.255,10.2,10.2,2040.0,861,0.0,1.0
2023-03-08,ECDA,10.2295,10.2295,10.19,10.19,2038.0,159867,0.0,1.0
2023-03-09,ECDA,10.19,10.2,10.19,10.2,2040.0,653,0.0,1.0
2023-03-10,ECDA,10.19,10.2,10.19,10.19,2038.0,11476,0.0,1.0
2023-03-13,ECDA,10.19,10.2,10.185,10.2,2040.0,455386,0.0,1.0
2023-03-14,ECDA,10.1993,10.205,10.1993,10.205,2041.0,15909,0.0,1.0
2023-03-15,ECDA,10.21,10.21,10.2,10.2,2040.0,3800,0.0,1.0
2023-03-16,ECDA,10.22,10.22,10.21,10.21,2042.0,1736,0.0,1.0
2023-03-17,ECDA,10.33,10.33,10.21,10.26,2052.0,2939,0.0,1.0
2023-03-20,ECDA,10.21,10.34,10.21,10.34,2068.0,4990,0.0,1.0
2023-03-21,ECDA,10.2899,10.2899,10.21,10.27,2054.0,4798,0.0,1.0
2023-03-22,ECDA,10.27,10.28,10.25,10.26,2052.0,9270,0.0,1.0
2023-03-23,ECDA,10.31,10.31,10.31,10.31,2062.0,144,0.0,1.0
2023-03-24,ECDA,10.265,10.2699,10.26,10.26,2052.0,2070,0.0,1.0
2023-03-27,ECDA,10.22,10.31,10.22,10.31,2062.0,846,0.0,1.0
2023-03-28,ECDA,10.26,10.26,10.22,10.22,2044.0,3272,0.0,1.0
2023-03-29,ECDA,10.22,10.235,10.22,10.23,2046.0,1111,0.0,1.0
2023-03-30,ECDA,10.24,10.26,10.24,10.26,2052.0,180104,0.0,1.0
2023-03-31,ECDA,10.27,10.27,10.27,10.27,2054.0,269,0.0,1.0
2023-04-03,ECDA,10.28,10.28,10.28,10.28,2056.0,226,0.0,1.0
2023-04-04,ECDA,10.28,10.28,10.28,10.28,2056.0,4,0.0,1.0
2023-04-05,ECDA,10.26,10.26,10.26,10.26,2052.0,170,0.0,1.0
2023-04-06,ECDA,10.25,10.25,10.25,10.25,2050.0,184,0.0,1.0
2023-04-10,ECDA,10.26,10.26,10.26,10.26,2052.0,431,0.0,1.0
2023-04-11,ECDA,10.25,10.25,10.25,10.25,2050.0,227,0.0,1.0
2023-04-12,ECDA,10.25,10.25,10.25,10.25,2050.0,1,0.0,1.0
2023-04-13,ECDA,10.25,10.25,10.25,10.25,2050.0,90,0.0,1.0
2023-04-14,ECDA,10.25,10.25,10.25,10.25,2050.0,0,0.0,1.0
2023-04-17,ECDA,10.2601,10.2601,10.26,10.26,2052.0,752,0.0,1.0
2023-04-18,ECDA,10.27,10.27,10.27,10.27,2054.0,157,0.0,1.0
2023-04-19,ECDA,10.28,10.29,10.27,10.27,2054.0,6392,0.0,1.0
2023-04-20,ECDA,10.27,10.27,10.27,10.27,2054.0,2,0.0,1.0
2023-04-21,ECDA,10.275,10.29,10.265,10.27,2054.0,39138,0.0,1.0
2023-04-24,ECDA,10.27,10.27,10.27,10.27,2054.0,1,0.0,1.0
2023-04-25,ECDA,10.27,10.27,10.27,10.27,2054.0,128,0.0,1.0
2023-04-26,ECDA,10.27,10.3,10.27,10.27,2054.0,100555,0.0,1.0
2023-04-27,ECDA,10.27,10.27,10.27,10.27,2054.0,231,0.0,1.0
2023-04-28,ECDA,10.27,10.27,10.27,10.27,2054.0,14,0.0,1.0
2023-05-01,ECDA,10.27,10.27,10.27,10.27,2054.0,657,0.0,1.0
2023-05-02,ECDA,10.28,10.28,10.28,10.28,2056.0,112,0.0,1.0
2023-05-03,ECDA,10.27,10.2799,10.27,10.2799,2055.98,1012,0.0,1.0
2023-05-04,ECDA,10.28,10.31,10.27,10.27,2054.0,223557,0.0,1.0
2023-05-05,ECDA,10.27,10.2701,10.27,10.27,2054.0,10454,0.0,1.0
2023-05-08,ECDA,10.26,10.26,10.26,10.26,2052.0,358,0.0,1.0
2023-05-09,ECDA,10.26,10.26,10.26,10.26,2052.0,259,0.0,1.0
2023-05-10,ECDA,10.26,10.26,10.26,10.26,2052.0,1,0.0,1.0
2023-05-11,ECDA,10.27,10.27,10.27,10.27,2054.0,1215,0.0,1.0
2023-05-12,ECDA,10.27,10.27,10.27,10.27,2054.0,10,0.0,1.0
2023-05-15,ECDA,10.28,10.29,10.28,10.28,2056.0,113272,0.0,1.0
2023-05-16,ECDA,10.298,10.3,10.28,10.28,2056.0,6115,0.0,1.0
2023-05-17,ECDA,10.2999,10.37,10.2899,10.303,2060.6,145835,0.0,1.0
2023-05-18,ECDA,10.3,10.31,10.3,10.31,2062.0,10190,0.0,1.0
2023-05-19,ECDA,10.31,10.31,10.2994,10.3,2060.0,707865,0.0,1.0
2023-05-22,ECDA,10.31,10.31,10.31,10.31,2062.0,479,0.0,1.0
2023-05-23,ECDA,10.3,10.32,10.29,10.32,2064.0,128949,0.0,1.0
2023-05-24,ECDA,10.41,10.41,10.31,10.34,2068.0,5628,0.0,1.0
