date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2024-11-22,ELPW,2.29,2.38,1.75,2.38,38.08,1200400,0.0,1.0
2024-11-25,ELPW,2.2,2.34,1.8,1.85,29.6,2228464,0.0,1.0
2024-11-26,ELPW,1.73,1.73,1.47,1.61,25.76,629817,0.0,1.0
2024-11-27,ELPW,1.52,1.6,1.34,1.4,22.4,342218,0.0,1.0
2024-11-29,ELPW,1.39,1.435,1.308,1.31,20.96,170693,0.0,1.0
2024-12-02,ELPW,1.3,1.46,1.24,1.41,22.56,197851,0.0,1.0
2024-12-03,ELPW,1.41,1.41,1.24,1.28,20.48,147645,0.0,1.0
2024-12-04,ELPW,1.25,1.2781,1.14,1.2,19.2,106164,0.0,1.0
2024-12-05,ELPW,1.19,1.23,1.05,1.075,17.2,267457,0.0,1.0
2024-12-06,ELPW,1.12,1.12,1.01,1.08,17.28,274086,0.0,1.0
2024-12-09,ELPW,1.12,1.28,1.01,1.25,20.0,343537,0.0,1.0
2024-12-10,ELPW,1.2105,1.3062,1.02,1.08,17.28,223195,0.0,1.0
2024-12-11,ELPW,1.1,1.1402,1.03,1.09,17.44,81886,0.0,1.0
2024-12-12,ELPW,1.15,1.19,1.04,1.07,17.12,130835,0.0,1.0
2024-12-13,ELPW,1.06,1.1599,1.04,1.1195,17.912,82440,0.0,1.0
2024-12-16,ELPW,1.06,1.13,1.05,1.05,16.8,58014,0.0,1.0
2024-12-17,ELPW,1.09,1.12,1.0202,1.06,16.96,84238,0.0,1.0
2024-12-18,ELPW,1.07,1.2,1.0416,1.11,17.76,208154,0.0,1.0
2024-12-19,ELPW,1.17,1.55,1.11,1.37,21.92,1215507,0.0,1.0
2024-12-20,ELPW,1.5,1.5,0.9,1.14,18.24,939926,0.0,1.0
2024-12-23,ELPW,1.09,1.14,0.9976,1.07,17.12,161280,0.0,1.0
2024-12-24,ELPW,1.085,1.1064,1.0103,1.05,16.8,74886,0.0,1.0
2024-12-26,ELPW,1.11,1.27,1.1,1.2,19.2,245998,0.0,1.0
2024-12-27,ELPW,1.21,1.2492,1.02,1.15,18.4,315207,0.0,1.0
2024-12-30,ELPW,1.16,1.21,1.0613,1.21,19.36,135708,0.0,1.0
2024-12-31,ELPW,1.18,1.37,1.172,1.32,21.12,173734,0.0,1.0
2025-01-02,ELPW,1.28,1.4158,1.209,1.3102,20.9632,84590,0.0,1.0
2025-01-03,ELPW,1.34,1.39,1.23,1.291,20.656,63623,0.0,1.0
2025-01-06,ELPW,1.36,1.435,1.32,1.4,22.4,71483,0.0,1.0
2025-01-07,ELPW,1.42,1.45,1.3,1.34,21.44,25450,0.0,1.0
2025-01-08,ELPW,1.37,1.37,1.15,1.2007,19.2112,79497,0.0,1.0
2025-01-10,ELPW,1.27,1.27,1.07,1.1,17.6,72625,0.0,1.0
2025-01-13,ELPW,1.2,1.2,1.06,1.09,17.44,122419,0.0,1.0
2025-01-14,ELPW,1.06,1.16,1.01,1.09,17.44,332355,0.0,1.0
2025-01-15,ELPW,1.04,1.1,1.02,1.03,16.48,41222,0.0,1.0
2025-01-16,ELPW,0.9874,1.05,0.9099,1.05,16.8,405063,0.0,1.0
2025-01-17,ELPW,1.1117,1.13,1.01,1.09,17.44,68927,0.0,1.0
2025-01-21,ELPW,1.1,1.13,1.01,1.11,17.76,74054,0.0,1.0
2025-01-22,ELPW,1.14,1.19,1.09,1.1,17.6,56580,0.0,1.0
2025-01-23,ELPW,1.18,1.22,1.03,1.17,18.72,28852,0.0,1.0
2025-01-24,ELPW,1.17,1.18,1.1,1.1784,18.8544,122116,0.0,1.0
2025-01-27,ELPW,1.15,1.17,1.07,1.16,18.56,43588,0.0,1.0
2025-01-28,ELPW,1.13,1.1437,1.06,1.09,17.44,22506,0.0,1.0
2025-01-29,ELPW,1.07,1.1,1.03,1.05,16.8,65914,0.0,1.0
2025-01-30,ELPW,1.02,1.1864,0.99,1.098,17.568,91309,0.0,1.0
2025-01-31,ELPW,1.15,1.17,1.05,1.17,18.72,30745,0.0,1.0
2025-02-03,ELPW,1.15,1.18,1.06,1.14,18.24,25130,0.0,1.0
2025-02-04,ELPW,1.0756,1.15,0.9901,1.0359,16.5744,212193,0.0,1.0
2025-02-05,ELPW,1.0,1.0225,0.925,0.965,15.44,409096,0.0,1.0
2025-02-06,ELPW,0.9522,1.01,0.9522,1.01,16.16,27276,0.0,1.0
2025-02-07,ELPW,0.96,1.08,0.9501,1.04,16.64,29241,0.0,1.0
2025-02-10,ELPW,1.08,1.08,0.95,0.99,15.84,25882,0.0,1.0
2025-02-11,ELPW,0.95,1.17,0.95,0.9801,15.6816,439109,0.0,1.0
2025-02-12,ELPW,1.0,1.04,0.904,0.9716,15.5456,192708,0.0,1.0
2025-02-13,ELPW,0.9643,0.9643,0.904,0.938,15.008,32015,0.0,1.0
2025-02-14,ELPW,1.03,1.05,0.938,0.97,15.52,57772,0.0,1.0
2025-02-18,ELPW,1.03,1.05,0.9377,1.01,16.16,70018,0.0,1.0
2025-02-19,ELPW,1.05,1.05,0.9914,1.01,16.16,12951,0.0,1.0
2025-02-20,ELPW,1.0,1.01,0.93,0.9521,15.2336,55039,0.0,1.0
2025-02-21,ELPW,1.0,1.0,0.903,0.903,14.448,24644,0.0,1.0
2025-02-24,ELPW,0.97,1.09,0.9127,0.9575,15.32,57112,0.0,1.0
2025-02-25,ELPW,1.0207,1.03,0.937101,0.9565,15.304,4726,0.0,1.0
