date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-12-20,EQRX,8.69,8.6999,7.8701,8.17,8.17,141812,0.0,1.0
2021-12-21,EQRX,8.28,8.28,6.05,6.41,6.41,851228,0.0,1.0
2021-12-22,EQRX,6.44,7.0009,6.37,6.86,6.86,459902,0.0,1.0
2021-12-23,EQRX,6.86,7.26,6.2,6.21,6.21,717446,0.0,1.0
2021-12-27,EQRX,6.22,6.53,5.5498,6.28,6.28,1242667,0.0,1.0
2021-12-28,EQRX,6.42,7.31,6.194,6.32,6.32,581191,0.0,1.0
2021-12-29,EQRX,6.35,6.4285,5.86,5.92,5.92,790275,0.0,1.0
2021-12-30,EQRX,6.04,6.58,5.76,6.57,6.57,390042,0.0,1.0
2021-12-31,EQRX,7.0,7.2,6.5,6.82,6.82,234314,0.0,1.0
2022-01-03,EQRX,6.69,7.79,6.69,7.03,7.03,384199,0.0,1.0
2022-01-04,EQRX,7.54,7.725,6.05,6.7,6.7,868136,0.0,1.0
2022-01-05,EQRX,6.61,7.09,6.41,6.65,6.65,648416,0.0,1.0
2022-01-06,EQRX,6.67,7.07,6.5,6.55,6.55,558237,0.0,1.0
2022-01-07,EQRX,6.58,6.65,6.06,6.46,6.46,631240,0.0,1.0
2022-01-10,EQRX,6.45,6.55,6.04,6.43,6.43,334786,0.0,1.0
2022-01-11,EQRX,6.37,7.4599,6.27,7.39,7.39,413537,0.0,1.0
2022-01-12,EQRX,7.31,7.69,6.765,7.2,7.2,412135,0.0,1.0
2022-01-13,EQRX,7.2,7.33,6.8,6.9,6.9,245002,0.0,1.0
2022-01-14,EQRX,6.88,7.2044,6.1,6.45,6.45,392611,0.0,1.0
2022-01-18,EQRX,6.22,6.4999,6.12,6.28,6.28,468717,0.0,1.0
2022-01-19,EQRX,6.57,6.57,5.38,5.43,5.43,1422197,0.0,1.0
2022-01-20,EQRX,5.51,5.51,4.4,4.55,4.55,3273738,0.0,1.0
2022-01-21,EQRX,4.5457,4.5457,4.21,4.43,4.43,2099127,0.0,1.0
2022-01-24,EQRX,4.55,4.74,3.975,4.61,4.61,1780545,0.0,1.0
2022-01-25,EQRX,4.6,5.02,4.02,4.15,4.15,1332626,0.0,1.0
2022-01-26,EQRX,4.13,4.5,4.11,4.29,4.29,910155,0.0,1.0
2022-01-27,EQRX,4.34,4.6,4.16,4.2,4.2,881535,0.0,1.0
2022-01-28,EQRX,4.25,4.44,3.92,4.22,4.22,1187331,0.0,1.0
2022-01-31,EQRX,4.23,4.78,4.1594,4.63,4.63,524887,0.0,1.0
2022-02-01,EQRX,4.67,5.23,4.6,4.71,4.71,1252556,0.0,1.0
2022-02-02,EQRX,4.75,5.09,4.73,4.9,4.9,834164,0.0,1.0
2022-02-03,EQRX,4.83,4.88,4.61,4.68,4.68,1224998,0.0,1.0
2022-02-04,EQRX,4.72,4.96,4.601,4.8,4.8,649491,0.0,1.0
2022-02-07,EQRX,4.76,4.895,4.225,4.27,4.27,1716833,0.0,1.0
2022-02-08,EQRX,4.33,4.4,3.83,3.84,3.84,1298457,0.0,1.0
2022-02-09,EQRX,3.93,4.29,3.91,4.18,4.18,1316601,0.0,1.0
2022-02-10,EQRX,4.16,4.315,4.06,4.16,4.16,1775301,0.0,1.0
2022-02-11,EQRX,4.12,4.21,3.25,3.26,3.26,3573809,0.0,1.0
2022-02-14,EQRX,3.28,3.35,3.0901,3.28,3.28,1601465,0.0,1.0
2022-02-15,EQRX,3.35,3.44,3.05,3.33,3.33,1184313,0.0,1.0
2022-02-16,EQRX,3.33,3.49,3.05,3.41,3.41,1037205,0.0,1.0
2022-02-17,EQRX,3.35,3.39,3.19,3.2,3.2,784607,0.0,1.0
2022-02-18,EQRX,3.19,3.245,2.98,3.01,3.01,1268528,0.0,1.0
2022-02-22,EQRX,2.98,2.98,2.78,2.91,2.91,1263035,0.0,1.0
2022-02-23,EQRX,2.92,2.97,2.84,2.85,2.85,1094904,0.0,1.0
2022-02-24,EQRX,2.71,2.88,2.63,2.84,2.84,1515043,0.0,1.0
2022-02-25,EQRX,2.85,3.05,2.75,3.03,3.03,2299391,0.0,1.0
2022-02-28,EQRX,2.97,3.11,2.9,3.02,3.02,863317,0.0,1.0
2022-03-01,EQRX,3.0,3.01,2.815,2.94,2.94,753367,0.0,1.0
2022-03-02,EQRX,2.94,2.95,2.78,2.8,2.8,1449119,0.0,1.0
2022-03-03,EQRX,2.83,2.92,2.72,2.88,2.88,1178110,0.0,1.0
2022-03-04,EQRX,2.83,3.16,2.76,3.09,3.09,1003998,0.0,1.0
2022-03-07,EQRX,3.15,3.39,3.01,3.06,3.06,1787987,0.0,1.0
2022-03-08,EQRX,3.02,3.52,3.01,3.32,3.32,1605592,0.0,1.0
2022-03-09,EQRX,3.35,3.87,3.35,3.5,3.5,1649830,0.0,1.0
2022-03-10,EQRX,3.53,3.63,3.35,3.49,3.49,1079971,0.0,1.0
2022-03-11,EQRX,3.45,4.02,3.35,3.81,3.81,3251167,0.0,1.0
2022-03-14,EQRX,3.75,4.02,3.67,3.69,3.69,1488872,0.0,1.0
2022-03-15,EQRX,3.71,4.055,3.71,3.97,3.97,1668761,0.0,1.0
2022-03-16,EQRX,3.96,4.31,3.7319,4.28,4.28,1292165,0.0,1.0
2022-03-17,EQRX,4.28,4.46,4.12,4.27,4.27,1380026,0.0,1.0
2022-03-18,EQRX,4.41,4.41,4.05,4.15,4.15,14412395,0.0,1.0
2022-03-21,EQRX,4.17,4.23,3.305,3.54,3.54,1370077,0.0,1.0
2022-03-22,EQRX,3.5,4.05,3.5,3.97,3.97,718542,0.0,1.0
2022-03-23,EQRX,3.83,4.31,3.7605,3.9,3.9,1603372,0.0,1.0
2022-03-24,EQRX,4.01,4.25,3.85,4.14,4.14,1801598,0.0,1.0
2022-03-25,EQRX,4.13,4.16,4.0,4.05,4.05,664995,0.0,1.0
2022-03-28,EQRX,4.04,4.18,3.98,4.0,4.0,1127568,0.0,1.0
2022-03-29,EQRX,3.95,4.47,3.95,4.4,4.4,1500040,0.0,1.0
2022-03-30,EQRX,4.29,4.42,4.12,4.2,4.2,674450,0.0,1.0
2022-03-31,EQRX,4.19,4.24,4.105,4.13,4.13,730417,0.0,1.0
2022-04-01,EQRX,4.09,4.41,4.09,4.41,4.41,590918,0.0,1.0
2022-04-04,EQRX,4.42,4.42,4.245,4.3,4.3,585051,0.0,1.0
2022-04-05,EQRX,4.27,4.27,4.05,4.22,4.22,888968,0.0,1.0
2022-04-06,EQRX,3.92,4.4,3.92,4.33,4.33,1037996,0.0,1.0
2022-04-07,EQRX,4.31,4.41,4.19,4.27,4.27,958474,0.0,1.0
2022-04-08,EQRX,4.23,4.53,4.07,4.46,4.46,669015,0.0,1.0
2022-04-11,EQRX,4.35,4.42,4.14,4.22,4.22,470932,0.0,1.0
2022-04-12,EQRX,4.24,4.36,4.01,4.08,4.08,766350,0.0,1.0
2022-04-13,EQRX,4.08,4.34,4.0101,4.31,4.31,477288,0.0,1.0
2022-04-14,EQRX,4.3,4.39,4.215,4.32,4.32,581206,0.0,1.0
2022-04-18,EQRX,4.29,4.3,4.185,4.23,4.23,675120,0.0,1.0
2022-04-19,EQRX,4.24,4.54,4.21,4.48,4.48,920363,0.0,1.0
2022-04-20,EQRX,4.5,4.78,4.35,4.64,4.64,1089113,0.0,1.0
2022-04-21,EQRX,4.65,4.66,4.39,4.42,4.42,565985,0.0,1.0
2022-04-22,EQRX,4.45,4.55,4.32,4.35,4.35,721291,0.0,1.0
2022-04-25,EQRX,4.26,4.95,4.2,4.95,4.95,948458,0.0,1.0
2022-04-26,EQRX,4.84,5.14,4.72,4.8,4.8,918784,0.0,1.0
2022-04-27,EQRX,4.76,4.905,4.58,4.8,4.8,744298,0.0,1.0
2022-04-28,EQRX,4.86,5.395,4.79,5.39,5.39,940935,0.0,1.0
2022-04-29,EQRX,5.24,5.64,5.14,5.19,5.19,1059674,0.0,1.0
2022-05-02,EQRX,5.25,5.62,5.07,5.16,5.16,1097851,0.0,1.0
2022-05-03,EQRX,5.25,5.25,4.625,4.7,4.7,828195,0.0,1.0
2022-05-04,EQRX,4.67,4.67,4.225,4.38,4.38,1041053,0.0,1.0
2022-05-05,EQRX,4.33,4.455,4.06,4.08,4.08,585224,0.0,1.0
2022-05-06,EQRX,4.0,4.03,3.64,3.72,3.72,1224773,0.0,1.0
2022-05-09,EQRX,3.66,3.74,3.49,3.49,3.49,2236190,0.0,1.0
2022-05-10,EQRX,3.53,3.67,3.125,3.35,3.35,1768346,0.0,1.0
2022-05-11,EQRX,3.28,3.46,3.16,3.2,3.2,1501370,0.0,1.0
2022-05-12,EQRX,3.16,3.42,3.03,3.31,3.31,2071236,0.0,1.0
2022-05-13,EQRX,3.44,4.26,3.44,4.11,4.11,3676283,0.0,1.0
2022-05-16,EQRX,4.08,4.66,4.08,4.5,4.5,1594161,0.0,1.0
2022-05-17,EQRX,4.38,4.86,4.38,4.76,4.76,1224245,0.0,1.0
2022-05-18,EQRX,4.63,4.85,4.17,4.65,4.65,2053011,0.0,1.0
2022-05-19,EQRX,4.64,4.8,4.59,4.65,4.65,1102129,0.0,1.0
2022-05-20,EQRX,4.71,4.78,4.3,4.36,4.36,1177760,0.0,1.0
2022-05-23,EQRX,4.09,4.47,4.09,4.3,4.3,900847,0.0,1.0
2022-05-24,EQRX,4.31,4.415,4.2,4.3,4.3,1263909,0.0,1.0
2022-05-25,EQRX,4.3,4.7,4.28,4.63,4.63,1108110,0.0,1.0
2022-05-26,EQRX,4.64,4.885,4.6,4.75,4.75,668866,0.0,1.0
2022-05-27,EQRX,4.62,5.25,4.56,5.18,5.18,1475408,0.0,1.0
2022-05-31,EQRX,5.24,5.66,5.205,5.56,5.56,4460434,0.0,1.0
2022-06-01,EQRX,5.56,5.97,5.49,5.69,5.69,2405273,0.0,1.0
2022-06-02,EQRX,5.69,5.69,5.23,5.47,5.47,1573482,0.0,1.0
2022-06-03,EQRX,5.42,5.54,5.28,5.48,5.48,1480235,0.0,1.0
