date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2020-06-24,FREE,11.03,11.08,10.17,10.79,10.79,3384300,0.0,1.0
2020-06-25,FREE,10.95,11.0,9.52,10.1,10.1,1606000,0.0,1.0
2020-06-26,FREE,10.35,10.5,9.25,9.55,9.55,2040897,0.0,1.0
2020-06-29,FREE,9.55,9.6,8.26,8.55,8.55,3945800,0.0,1.0
2020-06-30,FREE,8.15,8.65,7.65,8.07,8.07,3992700,0.0,1.0
2020-07-01,FREE,7.95,8.51,7.88,8.15,8.15,2116900,0.0,1.0
2020-07-02,FREE,8.2,8.39,7.85,7.9,7.9,1522100,0.0,1.0
2020-07-06,FREE,7.82,8.01,7.36,7.42,7.42,1749100,0.0,1.0
2020-07-07,FREE,7.47,7.63,7.06,7.06,7.06,1370100,0.0,1.0
2020-07-08,FREE,7.06,7.62,6.93,7.55,7.55,1729300,0.0,1.0
2020-07-09,FREE,7.59,7.78,7.34,7.51,7.51,1120300,0.0,1.0
2020-07-10,FREE,7.4,7.88,7.39,7.6,7.6,759500,0.0,1.0
2020-07-13,FREE,7.66,7.88,7.61,7.8,7.8,640900,0.0,1.0
2020-07-14,FREE,7.64,7.93,7.46,7.9,7.9,564000,0.0,1.0
2020-07-15,FREE,7.73,8.21,7.6,8.03,8.03,719400,0.0,1.0
2020-07-16,FREE,8.05,8.19,7.62,7.84,7.84,1122700,0.0,1.0
2020-07-17,FREE,7.86,8.32,7.85,8.07,8.07,1408400,0.0,1.0
2020-07-20,FREE,8.12,8.21,7.86,8.0,8.0,724390,0.0,1.0
2020-07-21,FREE,7.96,8.15,7.94,8.02,8.02,651806,0.0,1.0
2020-07-22,FREE,7.94,8.039,7.7,7.78,7.78,487205,0.0,1.0
2020-07-23,FREE,7.8,8.02,7.61,7.88,7.88,635618,0.0,1.0
2020-07-24,FREE,7.75,7.79,7.5,7.66,7.66,330507,0.0,1.0
2020-07-27,FREE,7.64,7.68,7.42,7.53,7.53,334468,0.0,1.0
2020-07-28,FREE,7.5,7.63,7.48,7.52,7.52,122984,0.0,1.0
2020-07-29,FREE,7.53,7.6,7.39,7.42,7.42,425890,0.0,1.0
2020-07-30,FREE,7.41,7.46,7.17,7.2,7.2,607873,0.0,1.0
2020-07-31,FREE,7.21,7.34,6.93,6.94,6.94,497281,0.0,1.0
2020-08-03,FREE,7.02,7.51,7.02,7.46,7.46,399335,0.0,1.0
2020-08-04,FREE,7.57,7.64,7.42,7.51,7.51,525813,0.0,1.0
2020-08-05,FREE,7.56,7.58,7.41,7.46,7.46,345735,0.0,1.0
2020-08-06,FREE,7.45,7.625,7.45,7.48,7.48,341979,0.0,1.0
2020-08-07,FREE,7.49,7.52,7.34,7.49,7.49,189199,0.0,1.0
2020-08-10,FREE,7.6,7.62,7.46,7.49,7.49,241991,0.0,1.0
2020-08-11,FREE,7.52,7.55,7.4,7.45,7.45,453646,0.0,1.0
2020-08-12,FREE,7.47,7.62,7.402,7.5,7.5,999939,0.0,1.0
2020-08-13,FREE,7.52,7.89,7.47,7.83,7.83,1714248,0.0,1.0
2020-08-14,FREE,6.92,7.8,6.92,7.68,7.68,992842,0.0,1.0
2020-08-17,FREE,7.75,7.83,7.53,7.56,7.56,653923,0.0,1.0
2020-08-18,FREE,7.52,7.52,7.04,7.3,7.3,923691,0.0,1.0
2020-08-19,FREE,7.27,7.39,7.23,7.29,7.29,652824,0.0,1.0
2020-08-20,FREE,7.22,7.39,7.18,7.22,7.22,476523,0.0,1.0
2020-08-21,FREE,7.18,7.21,6.9684,7.17,7.17,941531,0.0,1.0
2020-08-24,FREE,7.29,7.5,7.1573,7.39,7.39,768741,0.0,1.0
2020-08-25,FREE,7.41,7.52,7.33,7.39,7.39,1067134,0.0,1.0
2020-08-26,FREE,7.65,7.99,7.65,7.9,7.9,585062,0.0,1.0
2020-08-27,FREE,7.94,7.98,7.6,7.78,7.78,575155,0.0,1.0
2020-08-28,FREE,7.8,7.8,7.47,7.76,7.76,511043,0.0,1.0
2020-08-31,FREE,7.73,8.19,7.55,8.01,8.01,554391,0.0,1.0
2020-09-01,FREE,8.01,8.295,7.835,8.17,8.17,846406,0.0,1.0
2020-09-02,FREE,8.16,8.16,7.74,7.97,7.97,1415815,0.0,1.0
2020-09-03,FREE,7.95,8.2,7.83,8.11,8.11,613911,0.0,1.0
2020-09-04,FREE,8.16,8.44,7.94,8.38,8.38,712160,0.0,1.0
2020-09-08,FREE,8.66,8.68,8.39,8.39,8.39,1044424,0.0,1.0
2020-09-09,FREE,8.44,8.71,8.44,8.68,8.68,591558,0.0,1.0
2020-09-10,FREE,8.7,8.87,8.605,8.81,8.81,451007,0.0,1.0
2020-09-11,FREE,8.82,9.02,8.75,9.01,9.01,863546,0.0,1.0
2020-09-14,FREE,9.05,9.25,8.69,8.74,8.74,965364,0.0,1.0
2020-09-15,FREE,8.97,9.06,8.51,8.57,8.57,540085,0.0,1.0
2020-09-16,FREE,8.56,8.71,8.42,8.6,8.6,647509,0.0,1.0
2020-09-17,FREE,8.53,8.78,8.411,8.49,8.49,613932,0.0,1.0
2020-09-18,FREE,8.51,8.78,8.46,8.59,8.59,1419264,0.0,1.0
