date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2020-08-12,GMTX,10.25,10.48,10.16,10.3,103.0,267420,0.0,1.0
2020-08-13,GMTX,10.3,10.625,10.25,10.54,105.4,49107,0.0,1.0
2020-08-14,GMTX,10.92,10.99,10.43,10.44,104.4,56243,0.0,1.0
2020-08-17,GMTX,10.37,10.9,10.37,10.5,105.0,7106,0.0,1.0
2020-08-18,GMTX,10.575,10.75,10.3,10.3,103.0,4088,0.0,1.0
2020-08-19,GMTX,10.38,10.82,10.3,10.34,103.4,13562,0.0,1.0
2020-08-20,GMTX,10.37,10.6899,10.37,10.39,103.9,32789,0.0,1.0
2020-08-21,GMTX,10.45,10.5,10.3,10.3,103.0,28093,0.0,1.0
2020-08-24,GMTX,10.3,10.735,10.3,10.36,103.6,8166,0.0,1.0
2020-08-25,GMTX,10.49,10.575,10.31,10.31,103.1,56521,0.0,1.0
2020-08-26,GMTX,10.32,10.62,10.31,10.55,105.5,18512,0.0,1.0
2020-08-27,GMTX,10.4,11.0,10.4,11.0,110.0,11251,0.0,1.0
2020-08-28,GMTX,11.0,11.0,11.0,11.0,110.0,652,0.0,1.0
2020-08-31,GMTX,11.0,11.0,11.0,11.0,110.0,253,0.0,1.0
2020-09-01,GMTX,10.55,10.57,10.55,10.57,105.7,440,0.0,1.0
2020-09-02,GMTX,10.6,10.7,10.6,10.6999,106.999,1495,0.0,1.0
2020-09-03,GMTX,10.55,10.55,10.55,10.55,105.5,373,0.0,1.0
2020-09-04,GMTX,10.95,10.95,10.89,10.89,108.9,432,0.0,1.0
2020-09-08,GMTX,10.1,10.45,10.1,10.45,104.5,2329,0.0,1.0
2020-09-09,GMTX,10.45,10.45,10.45,10.45,104.5,143,0.0,1.0
2020-09-10,GMTX,10.5,10.5,10.5,10.5,105.0,4309,0.0,1.0
2020-09-11,GMTX,10.89,10.89,10.89,10.89,108.9,1149,0.0,1.0
2020-09-14,GMTX,10.95,10.95,10.75,10.75,107.5,694,0.0,1.0
2020-09-15,GMTX,10.5,10.6,10.5,10.55,105.5,1135,0.0,1.0
2020-09-16,GMTX,10.5,10.67,10.5,10.67,106.7,1901,0.0,1.0
2020-09-17,GMTX,11.1397,11.2999,10.59,10.59,105.9,4103,0.0,1.0
2020-09-18,GMTX,10.8127,11.1208,10.72,10.85,108.5,5919,0.0,1.0
2020-09-21,GMTX,11.28,11.63,11.28,11.3359,113.359,2024,0.0,1.0
2020-09-22,GMTX,11.34,11.34,10.6,10.6667,106.667,1256,0.0,1.0
2020-09-23,GMTX,11.4695,12.6,11.4695,11.52,115.2,3927,0.0,1.0
2020-09-24,GMTX,10.5101,10.5101,10.5101,10.5101,105.101,705,0.0,1.0
2020-09-25,GMTX,11.7235,11.7235,11.7235,11.7235,117.235,784,0.0,1.0
2020-09-28,GMTX,10.9,11.195,10.9,11.195,111.95,841,0.0,1.0
2020-09-29,GMTX,11.195,11.195,11.195,11.195,111.95,64,0.0,1.0
2020-09-30,GMTX,11.1498,11.2,11.14,11.198,111.98,10269,0.0,1.0
2020-10-01,GMTX,11.19,11.19,11.19,11.19,111.9,1614,0.0,1.0
2020-10-02,GMTX,11.2,11.2,10.85,10.85,108.5,3456,0.0,1.0
2020-10-05,GMTX,11.0899,11.09,11.0,11.0,110.0,3462,0.0,1.0
2020-10-06,GMTX,11.045,11.045,11.0,11.0,110.0,1414,0.0,1.0
2020-10-07,GMTX,11.0,11.0,11.0,11.0,110.0,859,0.0,1.0
2020-10-08,GMTX,10.94,10.97,10.94,10.97,109.7,519,0.0,1.0
2020-10-09,GMTX,10.95,10.95,10.7501,10.7999,107.999,904,0.0,1.0
2020-10-12,GMTX,10.85,10.85,10.85,10.85,108.5,600,0.0,1.0
2020-10-13,GMTX,10.7501,11.05,10.7501,11.0,110.0,1151,0.0,1.0
2020-10-14,GMTX,11.14,11.14,11.14,11.14,111.4,117,0.0,1.0
2020-10-15,GMTX,10.72,11.0,10.21,10.7,107.0,2625640,0.0,1.0
2020-10-16,GMTX,10.72,10.75,10.3,10.3,103.0,77524,0.0,1.0
2020-10-19,GMTX,10.475,10.475,10.4,10.4,104.0,101300,0.0,1.0
2020-10-20,GMTX,10.51,10.51,10.0,10.13,101.3,1058233,0.0,1.0
2020-10-21,GMTX,10.2,10.2,10.0,10.0,100.0,23936,0.0,1.0
2020-10-22,GMTX,10.111,10.111,10.05,10.05,100.5,38629,0.0,1.0
2020-10-23,GMTX,10.15,10.15,10.15,10.15,101.5,350,0.0,1.0
2020-10-26,GMTX,10.105,10.105,10.1,10.1,101.0,809,0.0,1.0
2020-10-27,GMTX,10.16,10.16,10.155,10.16,101.6,1004,0.0,1.0
2020-10-28,GMTX,10.5,10.5,10.14,10.14,101.4,1483,0.0,1.0
2020-10-29,GMTX,10.185,10.185,10.1,10.1,101.0,754,0.0,1.0
2020-10-30,GMTX,10.18,10.18,10.0,10.0,100.0,28125,0.0,1.0
2020-11-02,GMTX,10.05,10.06,10.0,10.01,100.1,459750,0.0,1.0
2020-11-03,GMTX,10.01,10.01,10.01,10.01,100.1,44,0.0,1.0
2020-11-04,GMTX,10.05,10.05,10.01,10.01,100.1,810,0.0,1.0
2020-11-05,GMTX,10.02,10.08,10.02,10.08,100.8,256353,0.0,1.0
2020-11-06,GMTX,10.05,10.05,10.05,10.05,100.5,4906,0.0,1.0
2020-11-09,GMTX,10.15,10.15,10.14,10.15,101.5,1495,0.0,1.0
2020-11-10,GMTX,10.01,10.01,10.0,10.0,100.0,44117,0.0,1.0
2020-11-11,GMTX,10.0,10.045,10.0,10.01,100.1,47792,0.0,1.0
2020-11-12,GMTX,10.025,10.025,10.025,10.025,100.25,1003,0.0,1.0
2020-11-13,GMTX,10.09,10.15,10.0,10.15,101.5,52248,0.0,1.0
2020-11-16,GMTX,10.15,10.16,10.0667,10.1,101.0,17851,0.0,1.0
2020-11-17,GMTX,10.11,10.16,10.05,10.05,100.5,7801,0.0,1.0
2020-11-18,GMTX,10.0865,10.17,10.0865,10.14,101.4,2769,0.0,1.0
2020-11-19,GMTX,10.17,10.17,10.17,10.17,101.7,210,0.0,1.0
2020-11-20,GMTX,10.15,10.15,10.05,10.05,100.5,11211,0.0,1.0
2020-11-23,GMTX,10.1,10.15,10.05,10.05,100.5,16559,0.0,1.0
2020-11-24,GMTX,10.05,10.34,9.8,10.0078,100.078,119826,0.0,1.0
2020-11-25,GMTX,10.0002,10.15,10.0,10.05,100.5,37543,0.0,1.0
2020-11-27,GMTX,10.05,10.1796,9.99,10.0997,100.997,22657,0.0,1.0
