date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2019-06-06,GNOG,9.75,9.75,9.75,9.75,9.75,17000,0.0,1.0
2019-06-07,GNOG,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-06-10,GNOG,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-06-11,GNOG,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-06-12,GNOG,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-06-13,GNOG,9.75,9.75,9.75,9.75,9.75,20,0.0,1.0
2019-06-14,GNOG,9.75,9.75,9.75,9.75,9.75,1,0.0,1.0
2019-06-17,GNOG,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-06-18,GNOG,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-06-19,GNOG,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-06-20,GNOG,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-06-21,GNOG,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-06-24,GNOG,9.7,9.7,9.7,9.7,9.7,25000,0.0,1.0
2019-06-25,GNOG,9.72,9.72,9.72,9.72,9.72,50001,0.0,1.0
2019-06-26,GNOG,9.72,9.73,9.7,9.73,9.73,150000,0.0,1.0
2019-06-27,GNOG,9.75,9.75,9.7278,9.7278,9.7278,500,0.0,1.0
2019-06-28,GNOG,9.7278,9.7278,9.7278,9.7278,9.7278,0,0.0,1.0
2019-07-01,GNOG,9.7278,9.7278,9.7278,9.7278,9.7278,0,0.0,1.0
2019-07-02,GNOG,9.7278,9.7278,9.7278,9.7278,9.7278,0,0.0,1.0
2019-07-03,GNOG,9.72,9.75,9.72,9.75,9.75,200,0.0,1.0
2019-07-05,GNOG,9.75,9.75,9.625,9.75,9.75,26800,0.0,1.0
2019-07-08,GNOG,9.75,9.75,9.75,9.75,9.75,25000,0.0,1.0
2019-07-09,GNOG,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-07-10,GNOG,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-07-11,GNOG,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-07-12,GNOG,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-07-15,GNOG,9.77,9.77,9.75,9.77,9.77,35000,0.0,1.0
