date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2020-12-01,GRAB,11.89,11.89,11.89,11.89,11.89,452,0.0,1.0
2020-12-02,GRAB,12.48,12.48,11.82,11.82,11.82,1004,0.0,1.0
2020-12-03,GRAB,11.82,11.9,11.8,11.9,11.9,14142,0.0,1.0
2020-12-04,GRAB,12.99,13.98,11.5,12.4,12.4,15533,0.0,1.0
2020-12-07,GRAB,13.15,14.0,12.2,12.55,12.55,14519,0.0,1.0
2020-12-08,GRAB,12.99,13.44,12.25,12.377,12.377,14943,0.0,1.0
2020-12-09,GRAB,12.3382,13.0,12.3,12.7,12.7,39572,0.0,1.0
2020-12-10,GRAB,12.5,13.1,12.12,12.65,12.65,27208,0.0,1.0
2020-12-11,GRAB,12.775,13.2,12.5,12.75,12.75,37106,0.0,1.0
2020-12-14,GRAB,12.95,13.5,12.85,13.2,13.2,51516,0.0,1.0
2020-12-15,GRAB,13.38,13.45,12.69,12.6917,12.6917,35103,0.0,1.0
2020-12-16,GRAB,13.18,13.18,12.55,12.61,12.61,47791,0.0,1.0
2020-12-17,GRAB,13.09,13.44,12.8,13.19,13.19,28154,0.0,1.0
2020-12-18,GRAB,13.75,13.75,12.9,13.04,13.04,48419,0.0,1.0
2020-12-21,GRAB,13.4999,13.5,13.25,13.488,13.488,25569,0.0,1.0
2020-12-22,GRAB,13.5199,13.92,13.1458,13.62,13.62,48733,0.0,1.0
2020-12-23,GRAB,14.0,14.0,13.28,13.29,13.29,84550,0.0,1.0
2020-12-24,GRAB,13.29,14.62,13.23,13.32,13.32,33928,0.0,1.0
2020-12-28,GRAB,13.5,13.5,12.9,12.9,12.9,91336,0.0,1.0
2020-12-29,GRAB,12.96,13.2499,12.85,12.94,12.94,149100,0.0,1.0
2020-12-30,GRAB,13.39,13.39,13.0,13.2,13.2,22080,0.0,1.0
2020-12-31,GRAB,13.44,13.9,12.61,12.86,12.86,33168,0.0,1.0
2021-01-04,GRAB,13.99,13.99,12.63,12.95,12.95,36735,0.0,1.0
2021-01-05,GRAB,12.78,13.22,12.61,12.85,12.85,20562,0.0,1.0
2021-01-06,GRAB,12.84,12.99,12.7,12.85,12.85,159388,0.0,1.0
2021-01-07,GRAB,13.0,13.94,12.91,13.75,13.75,261543,0.0,1.0
2021-01-08,GRAB,14.17,14.99,13.4,13.815,13.815,168031,0.0,1.0
2021-01-11,GRAB,13.9,14.5,13.8,14.01,14.01,198121,0.0,1.0
2021-01-12,GRAB,14.11,14.5,14.11,14.25,14.25,77595,0.0,1.0
2021-01-13,GRAB,14.44,14.5668,14.02,14.03,14.03,276090,0.0,1.0
2021-01-14,GRAB,15.02,15.61,14.0,14.39,14.39,230042,0.0,1.0
2021-01-15,GRAB,14.72,15.2,14.47,14.85,14.85,215341,0.0,1.0
2021-01-19,GRAB,15.14,15.83,14.65,14.73,14.73,97517,0.0,1.0
2021-01-20,GRAB,14.96,15.34,14.57,14.88,14.88,38070,0.0,1.0
2021-01-21,GRAB,14.92,17.25,14.54,16.5,16.5,583474,0.0,1.0
2021-01-22,GRAB,17.26,18.1086,15.55,16.75,16.75,503993,0.0,1.0
2021-01-25,GRAB,15.7,16.26,14.8,15.22,15.22,510604,0.0,1.0
2021-01-26,GRAB,15.35,15.707,14.31,14.47,14.47,143816,0.0,1.0
2021-01-27,GRAB,14.38,14.38,12.62,12.77,12.77,408975,0.0,1.0
2021-01-28,GRAB,13.13,14.89,13.01,14.0,14.0,197221,0.0,1.0
2021-01-29,GRAB,13.91,14.23,13.5,13.9,13.9,93738,0.0,1.0
2021-02-01,GRAB,14.17,14.7473,13.9301,14.12,14.12,134684,0.0,1.0
2021-02-02,GRAB,14.38,14.73,14.13,14.4,14.4,159012,0.0,1.0
2021-02-03,GRAB,14.55,14.99,14.26,14.4,14.4,178408,0.0,1.0
