date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-05-07,HLGN,9.61,9.61,9.61,9.61,336.35,141,0.0,1.0
2021-05-10,HLGN,10.0,10.0,9.7329,9.9,346.5,22705,0.0,1.0
2021-05-11,HLGN,9.66,9.95,9.66,9.88,345.8,3600,0.0,1.0
2021-05-12,HLGN,9.73,9.7609,9.73,9.7609,341.6315,479,0.0,1.0
2021-05-13,HLGN,9.76,9.76,9.74,9.74,340.9,8823,0.0,1.0
2021-05-14,HLGN,9.8,9.8557,9.8,9.8557,344.9495,583,0.0,1.0
2021-05-17,HLGN,9.86,9.86,9.67,9.675,338.625,796,0.0,1.0
2021-05-18,HLGN,9.64,9.69,9.64,9.65,337.75,22962,0.0,1.0
2021-05-19,HLGN,9.65,9.74,9.65,9.74,340.9,1508,0.0,1.0
2021-05-20,HLGN,9.9,9.9,9.7345,9.7408,340.928,467,0.0,1.0
2021-05-21,HLGN,9.71,9.7143,9.69,9.7,339.5,5696,0.0,1.0
2021-05-24,HLGN,9.7,9.73,9.68,9.7,339.5,55861,0.0,1.0
2021-05-25,HLGN,9.66,9.7,9.66,9.7,339.5,1866,0.0,1.0
2021-05-26,HLGN,9.82,9.94,9.69,9.7,339.5,15216,0.0,1.0
2021-05-27,HLGN,9.79,9.79,9.67,9.6835,338.9225,2424,0.0,1.0
2021-05-28,HLGN,9.66,9.68,9.66,9.67,338.45,701,0.0,1.0
2021-06-01,HLGN,9.66,9.66,9.66,9.66,338.1,433,0.0,1.0
2021-06-02,HLGN,9.8,9.85,9.67,9.67,338.45,935,0.0,1.0
2021-06-03,HLGN,9.6,9.6779,9.6,9.66,338.1,3953,0.0,1.0
2021-06-04,HLGN,9.66,9.7561,9.654,9.66,338.1,6357,0.0,1.0
2021-06-07,HLGN,9.6,9.7118,9.6,9.663,338.205,881,0.0,1.0
2021-06-08,HLGN,9.66,9.66,9.66,9.66,338.1,281,0.0,1.0
2021-06-09,HLGN,9.75,9.75,9.75,9.75,341.25,137,0.0,1.0
2021-06-10,HLGN,9.64,9.7334,9.64,9.73,340.55,976,0.0,1.0
2021-06-11,HLGN,9.75,9.77,9.74,9.77,341.95,7442,0.0,1.0
2021-06-14,HLGN,9.85,9.85,9.77,9.77,341.95,437,0.0,1.0
2021-06-15,HLGN,9.7,9.7,9.67,9.67,338.45,951,0.0,1.0
2021-06-16,HLGN,10.0,10.0,9.69,9.7,339.5,1892,0.0,1.0
2021-06-17,HLGN,9.75,9.7514,9.6855,9.6855,338.9925,811,0.0,1.0
2021-06-18,HLGN,10.0,10.0,9.7701,9.7701,341.9535,602,0.0,1.0
2021-06-21,HLGN,10.0,10.0,9.5,9.68,338.8,15393,0.0,1.0
2021-06-22,HLGN,9.67,9.67,9.67,9.67,338.45,320,0.0,1.0
2021-06-23,HLGN,9.68,9.69,9.68,9.69,339.15,5301,0.0,1.0
2021-06-24,HLGN,9.69,9.71,9.67,9.7,339.5,15711,0.0,1.0
2021-06-25,HLGN,9.7,9.7789,9.7,9.71,339.85,60751,0.0,1.0
2021-06-28,HLGN,9.67,9.76,9.67,9.7,339.5,259341,0.0,1.0
2021-06-29,HLGN,9.79,9.79,9.7165,9.74,340.9,1883,0.0,1.0
2021-06-30,HLGN,9.7,9.7,9.68,9.7,339.5,2173,0.0,1.0
2021-07-01,HLGN,9.65,9.65,9.65,9.65,337.75,154,0.0,1.0
2021-07-02,HLGN,9.7,9.7,9.7,9.7,339.5,674,0.0,1.0
2021-07-06,HLGN,9.79,9.7907,9.71,9.73,340.55,54381,0.0,1.0
2021-07-07,HLGN,9.96,10.05,9.91,9.99,349.65,6183637,0.0,1.0
2021-07-08,HLGN,9.99,9.99,9.91,9.95,348.25,549328,0.0,1.0
2021-07-09,HLGN,9.95,9.97,9.92,9.94,347.9,202074,0.0,1.0
2021-07-12,HLGN,9.95,9.97,9.91,9.95,348.25,258048,0.0,1.0
2021-07-13,HLGN,9.97,9.97,9.92,9.93,347.55,66445,0.0,1.0
2021-07-14,HLGN,9.96,9.96,9.9,9.92,347.2,128809,0.0,1.0
2021-07-15,HLGN,9.95,9.95,9.88,9.89,346.15,91773,0.0,1.0
2021-07-16,HLGN,9.95,9.95,9.88,9.89,346.15,56823,0.0,1.0
2021-07-19,HLGN,9.94,9.94,9.86,9.88,345.8,86036,0.0,1.0
2021-07-20,HLGN,9.88,9.92,9.87,9.89,346.15,66735,0.0,1.0
2021-07-21,HLGN,9.94,9.94,9.87,9.92,347.2,34134,0.0,1.0
2021-07-22,HLGN,9.95,9.95,9.9,9.93,347.55,30027,0.0,1.0
2021-07-23,HLGN,9.95,9.95,9.91,9.91,346.85,32046,0.0,1.0
2021-07-26,HLGN,9.94,9.94,9.9,9.94,347.9,41169,0.0,1.0
2021-07-27,HLGN,9.98,9.98,9.87,9.89,346.15,34642,0.0,1.0
2021-07-28,HLGN,9.94,9.94,9.9,9.92,347.2,769015,0.0,1.0
2021-07-29,HLGN,9.95,9.95,9.81,9.86,345.1,40118,0.0,1.0
2021-07-30,HLGN,9.92,9.92,9.8,9.89,346.15,57332,0.0,1.0
2021-08-02,HLGN,9.93,9.93,9.85,9.86,345.1,47186,0.0,1.0
2021-08-03,HLGN,9.95,9.95,9.85,9.87,345.45,16335,0.0,1.0
2021-08-04,HLGN,9.95,9.95,9.87,9.9,346.5,38434,0.0,1.0
2021-08-05,HLGN,9.95,9.95,9.84,9.86,345.1,217455,0.0,1.0
2021-08-06,HLGN,9.94,9.94,9.84,9.86,345.1,76567,0.0,1.0
2021-08-09,HLGN,9.94,9.95,9.88,9.9,346.5,55624,0.0,1.0
2021-08-10,HLGN,9.95,9.95,9.87,9.88,345.8,107688,0.0,1.0
2021-08-11,HLGN,9.87,9.94,9.85,9.87,345.45,95594,0.0,1.0
2021-08-12,HLGN,9.93,9.93,9.85,9.87,345.45,74912,0.0,1.0
2021-08-13,HLGN,9.9,9.9,9.8581,9.88,345.8,10971,0.0,1.0
2021-08-16,HLGN,9.94,9.94,9.84,9.87,345.45,754940,0.0,1.0
2021-08-17,HLGN,9.85,9.9,9.85,9.8825,345.8875,96152,0.0,1.0
2021-08-18,HLGN,9.85,9.8924,9.85,9.89,346.15,43348,0.0,1.0
2021-08-19,HLGN,9.89,9.89,9.8317,9.845,344.575,28182,0.0,1.0
2021-08-20,HLGN,9.85,9.9,9.84,9.85,344.75,37761,0.0,1.0
2021-08-23,HLGN,9.84,9.8914,9.8,9.89,346.15,209391,0.0,1.0
2021-08-24,HLGN,9.9,9.9,9.85,9.86,345.1,61282,0.0,1.0
2021-08-25,HLGN,9.9,9.9,9.85,9.86,345.1,34191,0.0,1.0
2021-08-26,HLGN,9.9,9.9,9.86,9.87,345.45,50642,0.0,1.0
2021-08-27,HLGN,9.9,9.9,9.85,9.89,346.15,98259,0.0,1.0
2021-08-30,HLGN,9.9,9.9,9.87,9.88,345.8,37923,0.0,1.0
2021-08-31,HLGN,9.9,9.9,9.88,9.89,346.15,68259,0.0,1.0
2021-09-01,HLGN,9.9,9.9,9.8643,9.88,345.8,27476,0.0,1.0
2021-09-02,HLGN,9.9,9.94,9.88,9.89,346.15,551121,0.0,1.0
2021-09-03,HLGN,9.91,9.93,9.88,9.915,347.025,100547,0.0,1.0
2021-09-07,HLGN,9.96,9.96,9.9,9.95,348.25,41002,0.0,1.0
2021-09-08,HLGN,9.83,9.9499,9.83,9.93,347.55,6608,0.0,1.0
2021-09-09,HLGN,9.96,9.96,9.94,9.9402,347.907,12039,0.0,1.0
2021-09-10,HLGN,9.95,9.95,9.94,9.947,348.145,16283,0.0,1.0
2021-09-13,HLGN,9.93,9.95,9.93,9.95,348.25,12105,0.0,1.0
2021-09-14,HLGN,9.91,9.94,9.91,9.91,346.85,5960,0.0,1.0
2021-09-15,HLGN,9.91,9.94,9.91,9.93,347.55,6505,0.0,1.0
2021-09-16,HLGN,9.96,9.96,9.93,9.94,347.9,16924,0.0,1.0
2021-09-17,HLGN,9.94,9.94,9.92,9.925,347.375,6129,0.0,1.0
2021-09-20,HLGN,9.9,9.94,9.9,9.925,347.375,26841,0.0,1.0
2021-09-21,HLGN,9.95,9.95,9.9,9.94,347.9,29238,0.0,1.0
2021-09-22,HLGN,9.92,9.94,9.92,9.935,347.725,2985,0.0,1.0
2021-09-23,HLGN,9.95,9.95,9.9,9.945,348.075,21482,0.0,1.0
2021-09-24,HLGN,9.95,9.95,9.9222,9.94,347.9,10978,0.0,1.0
2021-09-27,HLGN,9.94,9.94,9.9295,9.94,347.9,9253,0.0,1.0
2021-09-28,HLGN,9.99,9.99,9.9223,9.93,347.55,7543,0.0,1.0
2021-09-29,HLGN,9.93,9.94,9.9,9.93,347.55,15363,0.0,1.0
2021-09-30,HLGN,9.92,9.95,9.9028,9.9254,347.389,24271,0.0,1.0
2021-10-01,HLGN,9.93,9.95,9.92,9.935,347.725,39306,0.0,1.0
2021-10-04,HLGN,9.95,9.95,9.9301,9.9301,347.5535,10910,0.0,1.0
2021-10-05,HLGN,9.93,9.95,9.93,9.95,348.25,17303,0.0,1.0
2021-10-06,HLGN,9.94,9.95,9.93,9.94,347.9,16436,0.0,1.0
2021-10-07,HLGN,9.95,9.95,9.94,9.945,348.075,4879,0.0,1.0
2021-10-08,HLGN,9.94,9.95,9.94,9.9492,348.222,3717,0.0,1.0
2021-10-11,HLGN,9.94,9.95,9.935,9.945,348.075,329662,0.0,1.0
2021-10-12,HLGN,9.94,9.95,9.93,9.945,348.075,102711,0.0,1.0
2021-10-13,HLGN,9.95,9.95,9.93,9.94,347.9,15538,0.0,1.0
2021-10-14,HLGN,9.95,9.95,9.93,9.94,347.9,22102,0.0,1.0
2021-10-15,HLGN,9.95,9.95,9.93,9.94,347.9,83599,0.0,1.0
2021-10-18,HLGN,9.95,9.95,9.93,9.94,347.9,204578,0.0,1.0
2021-10-19,HLGN,9.97,9.97,9.93,9.93,347.55,22244,0.0,1.0
2021-10-20,HLGN,9.97,9.97,9.93,9.94,347.9,61831,0.0,1.0
2021-10-21,HLGN,9.96,9.96,9.93,9.94,347.9,44251,0.0,1.0
2021-10-22,HLGN,9.95,9.95,9.94,9.95,348.25,77301,0.0,1.0
2021-10-25,HLGN,9.97,9.99,9.95,9.96,348.6,81643,0.0,1.0
2021-10-26,HLGN,9.99,10.04,9.97,10.02,350.7,879431,0.0,1.0
2021-10-27,HLGN,10.0,10.02,9.99,10.0,350.0,124313,0.0,1.0
2021-10-28,HLGN,10.0,10.0,9.96,9.99,349.65,91956,0.0,1.0
2021-10-29,HLGN,9.99,10.0,9.96,10.0,350.0,271485,0.0,1.0
2021-11-01,HLGN,10.01,10.01,9.97,9.98,349.3,139442,0.0,1.0
2021-11-02,HLGN,9.98,10.01,9.98,9.99,349.65,192068,0.0,1.0
2021-11-03,HLGN,9.98,10.01,9.98,10.0,350.0,31188,0.0,1.0
2021-11-04,HLGN,10.0,10.01,9.99,10.0,350.0,30416,0.0,1.0
2021-11-05,HLGN,10.0,10.01,9.99,10.0,350.0,56009,0.0,1.0
2021-11-08,HLGN,10.01,10.04,9.99,10.0399,351.3965,34796,0.0,1.0
2021-11-09,HLGN,10.02,10.02,9.9998,10.01,350.35,36444,0.0,1.0
2021-11-10,HLGN,10.01,10.01,9.998,10.0,350.0,83374,0.0,1.0
2021-11-11,HLGN,9.98,10.01,9.98,10.0,350.0,50258,0.0,1.0
2021-11-12,HLGN,10.01,10.01,9.98,9.9809,349.3315,64295,0.0,1.0
2021-11-15,HLGN,10.01,10.02,9.97,10.02,350.7,72557,0.0,1.0
2021-11-16,HLGN,10.01,10.2199,10.0,10.04,351.4,248834,0.0,1.0
2021-11-17,HLGN,10.09,10.14,10.0,10.02,350.7,195222,0.0,1.0
2021-11-18,HLGN,10.07,10.07,9.96,9.99,349.65,367653,0.0,1.0
2021-11-19,HLGN,10.05,10.0919,9.97,9.995,349.825,579917,0.0,1.0
2021-11-22,HLGN,10.04,10.04,9.97,10.01,350.35,833448,0.0,1.0
2021-11-23,HLGN,10.01,10.02,9.98,10.0,350.0,104829,0.0,1.0
2021-11-24,HLGN,9.99,10.01,9.99,10.01,350.35,79734,0.0,1.0
