date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2020-12-03,HLMN,10.0,10.0,9.6,9.81,9.81,299645,0.0,1.0
2020-12-04,HLMN,9.85,10.0,9.8101,9.9499,9.9499,14517,0.0,1.0
2020-12-07,HLMN,10.05,10.28,9.85,9.925,9.925,256430,0.0,1.0
2020-12-08,HLMN,10.0,10.0,9.9,9.91,9.91,552569,0.0,1.0
2020-12-09,HLMN,10.0,10.02,9.92,9.95,9.95,157531,0.0,1.0
2020-12-10,HLMN,10.0,10.01,9.91,9.95,9.95,223025,0.0,1.0
2020-12-11,HLMN,10.0,10.1,9.9672,10.02,10.02,238839,0.0,1.0
2020-12-14,HLMN,10.1,10.14,10.08,10.1,10.1,185554,0.0,1.0
2020-12-15,HLMN,10.15,10.15,10.05,10.06,10.06,47964,0.0,1.0
2020-12-16,HLMN,10.09,10.09,10.0128,10.06,10.06,36191,0.0,1.0
2020-12-17,HLMN,10.035,10.1,10.01,10.09,10.09,401208,0.0,1.0
2020-12-18,HLMN,10.0768,10.1,10.0559,10.09,10.09,17661,0.0,1.0
2020-12-21,HLMN,10.13,10.19,10.0501,10.12,10.12,483643,0.0,1.0
2020-12-22,HLMN,10.17,10.19,10.108,10.18,10.18,351739,0.0,1.0
2020-12-23,HLMN,10.2,10.4,10.175,10.26,10.26,427745,0.0,1.0
2020-12-24,HLMN,10.44,10.57,10.21,10.24,10.24,419663,0.0,1.0
2020-12-28,HLMN,10.3,10.45,10.26,10.29,10.29,526719,0.0,1.0
2020-12-29,HLMN,10.3,10.55,10.17,10.55,10.55,656903,0.0,1.0
2020-12-30,HLMN,10.53,10.5717,10.4,10.44,10.44,286848,0.0,1.0
2020-12-31,HLMN,10.49,10.495,10.35,10.48,10.48,130864,0.0,1.0
2021-01-04,HLMN,10.48,10.48,10.2703,10.37,10.37,164346,0.0,1.0
2021-01-05,HLMN,10.28,10.5,10.28,10.38,10.38,135506,0.0,1.0
2021-01-06,HLMN,10.56,10.63,10.33,10.38,10.38,436322,0.0,1.0
2021-01-07,HLMN,10.41,10.49,10.35,10.4,10.4,131381,0.0,1.0
2021-01-08,HLMN,10.5,10.57,10.38,10.38,10.38,185129,0.0,1.0
2021-01-11,HLMN,10.43,10.51,10.3,10.45,10.45,207369,0.0,1.0
2021-01-12,HLMN,10.48,10.64,10.39,10.49,10.49,373594,0.0,1.0
