date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2020-12-10,HTOO,48.5,48.5,21.41,21.8842,765.946999999999,131785,0.0,1.0
2020-12-11,HTOO,26.89,26.89,18.5,19.7,689.499999999999,601129,0.0,1.0
2020-12-14,HTOO,17.98,18.42,15.73,17.75,621.249999999999,541317,0.0,1.0
2020-12-15,HTOO,17.58,17.703,16.16,17.05,596.749999999999,405633,0.0,1.0
2020-12-16,HTOO,16.79,17.89,16.0,17.4,608.999999999999,244735,0.0,1.0
2020-12-17,HTOO,17.89,17.89,16.03,16.44,575.4,170503,0.0,1.0
2020-12-18,HTOO,17.0,17.2698,16.05,16.16,565.599999999999,109656,0.0,1.0
2020-12-21,HTOO,16.0,17.3899,15.27,16.23,568.049999999999,193938,0.0,1.0
2020-12-22,HTOO,17.0,17.85,16.23,16.61,581.349999999999,272808,0.0,1.0
2020-12-23,HTOO,17.53,22.25,17.33,19.91,696.849999999999,1108354,0.0,1.0
2020-12-24,HTOO,23.5,23.89,19.12,20.05,701.749999999999,799406,0.0,1.0
2020-12-28,HTOO,21.49,21.5,18.5,19.85,694.749999999999,386007,0.0,1.0
2020-12-29,HTOO,19.24,19.53,18.3,19.0,664.999999999999,296357,0.0,1.0
2020-12-30,HTOO,19.04,19.49,18.6,18.73,655.549999999999,122184,0.0,1.0
2020-12-31,HTOO,18.32,18.55,17.45,18.43,645.049999999999,112791,0.0,1.0
2021-01-04,HTOO,17.94,18.19,16.53,16.83,589.049999999999,283250,0.0,1.0
2021-01-05,HTOO,16.8,17.42,15.685,16.2,566.999999999999,339731,0.0,1.0
2021-01-06,HTOO,16.8,17.795,15.21,16.05,561.75,354471,0.0,1.0
2021-01-07,HTOO,17.25,18.49,16.95,18.09,633.149999999999,481772,0.0,1.0
2021-01-08,HTOO,19.5,19.86,17.88,18.9,661.499999999999,465004,0.0,1.0
2021-01-11,HTOO,18.5,18.6,17.25,18.03,631.049999999999,293710,0.0,1.0
2021-01-12,HTOO,18.0,19.35,17.05,19.29,675.149999999999,506241,0.0,1.0
2021-01-13,HTOO,20.2,22.4,18.9,21.5,752.499999999999,1432840,0.0,1.0
2021-01-14,HTOO,21.75,25.87,21.75,24.68,863.799999999999,2171206,0.0,1.0
2021-01-15,HTOO,24.85,25.0,22.05,23.86,835.099999999999,760046,0.0,1.0
2021-01-19,HTOO,24.4503,25.85,23.5,24.34,851.899999999999,809801,0.0,1.0
2021-01-20,HTOO,25.04,25.2,22.73,22.97,803.949999999999,579340,0.0,1.0
2021-01-21,HTOO,22.61,24.0,20.61,22.59,790.649999999999,1129161,0.0,1.0
2021-01-22,HTOO,21.83,22.49,20.9,21.17,740.949999999999,477587,0.0,1.0
2021-01-25,HTOO,21.8,21.9,18.9224,20.57,719.949999999999,761869,0.0,1.0
2021-01-26,HTOO,20.61,23.1576,20.61,21.8,762.999999999999,914803,0.0,1.0
2021-01-27,HTOO,20.31,21.5,19.81,21.12,739.199999999999,649215,0.0,1.0
2021-01-28,HTOO,21.18,24.45,21.1,22.77,796.949999999999,922222,0.0,1.0
2021-01-29,HTOO,22.47,22.59,19.7501,20.7,724.499999999999,634422,0.0,1.0
2021-02-01,HTOO,21.05,21.13,19.83,20.28,709.799999999999,264154,0.0,1.0
2021-02-02,HTOO,20.37,20.583,19.33,20.3,710.499999999999,313595,0.0,1.0
2021-02-03,HTOO,20.53,20.8,19.8,20.3,710.499999999999,235643,0.0,1.0
2021-02-04,HTOO,20.12,20.3117,19.0,19.42,679.699999999999,352414,0.0,1.0
2021-02-05,HTOO,19.4,20.5,19.4,20.2,706.999999999999,417967,0.0,1.0
2021-02-08,HTOO,20.294,20.98,19.61,20.79,727.649999999999,322764,0.0,1.0
2021-02-09,HTOO,20.68,21.18,19.67,21.15,740.249999999999,376198,0.0,1.0
2021-02-10,HTOO,21.15,21.18,19.65,20.1,703.499999999999,302087,0.0,1.0
2021-02-11,HTOO,19.92,20.09,18.81,19.06,667.099999999999,233412,0.0,1.0
2021-02-12,HTOO,19.0,19.44,18.58,18.87,660.449999999999,191008,0.0,1.0
2021-02-16,HTOO,19.07,19.81,19.07,19.31,675.849999999999,288051,0.0,1.0
2021-02-17,HTOO,18.9,18.9,16.87,18.29,640.149999999999,555100,0.0,1.0
2021-02-18,HTOO,18.22,18.284,16.76,18.11,633.849999999999,447305,0.0,1.0
2021-02-19,HTOO,18.25,19.9238,18.2239,19.2,671.999999999999,270412,0.0,1.0
2021-02-22,HTOO,18.91,19.42,18.39,18.56,649.599999999999,297066,0.0,1.0
2021-02-23,HTOO,17.62,17.8,16.285,17.65,617.749999999999,628209,0.0,1.0
2021-02-24,HTOO,17.57,17.74,16.79,16.98,594.299999999999,246559,0.0,1.0
2021-02-25,HTOO,16.98,17.101,15.0583,15.38,538.299999999999,450405,0.0,1.0
2021-02-26,HTOO,15.2,15.61,14.05,15.38,538.299999999999,391893,0.0,1.0
2021-03-01,HTOO,15.98,16.6,15.85,16.21,567.349999999999,240109,0.0,1.0
2021-03-02,HTOO,16.35,16.49,15.85,15.91,556.849999999999,153631,0.0,1.0
2021-03-03,HTOO,15.79,16.46,14.67,14.91,521.85,233615,0.0,1.0
2021-03-04,HTOO,15.86,16.32,14.2,14.76,516.599999999999,578655,0.0,1.0
2021-03-05,HTOO,15.1,15.22,13.26,13.69,479.15,818939,0.0,1.0
2021-03-08,HTOO,13.6,13.77,12.165,12.34,431.9,418923,0.0,1.0
2021-03-09,HTOO,12.9867,13.565,12.705,13.49,472.15,363132,0.0,1.0
2021-03-10,HTOO,14.26,14.9,13.1301,13.48,471.8,527322,0.0,1.0
2021-03-11,HTOO,13.89,14.73,13.26,14.64,512.4,566180,0.0,1.0
2021-03-12,HTOO,14.29,15.66,14.2,15.66,548.099999999999,308595,0.0,1.0
2021-03-15,HTOO,16.11,17.15,16.04,16.8,587.999999999999,294782,0.0,1.0
2021-03-16,HTOO,17.0,17.0,14.75,15.1,528.5,411757,0.0,1.0
2021-03-17,HTOO,14.44,14.8999,13.9101,14.47,506.45,294898,0.0,1.0
2021-03-18,HTOO,14.51,15.2583,14.22,14.49,507.15,229711,0.0,1.0
2021-03-19,HTOO,14.42,14.9,13.64,14.83,519.049999999999,311383,0.0,1.0
2021-03-22,HTOO,14.86,15.28,14.62,15.21,532.35,131096,0.0,1.0
2021-03-23,HTOO,14.92,15.2,14.14,14.4,504.0,107835,0.0,1.0
2021-03-24,HTOO,14.5,14.75,12.86,12.91,451.85,219094,0.0,1.0
2021-03-25,HTOO,12.5,12.94,12.03,12.49,437.15,427049,0.0,1.0
2021-03-26,HTOO,12.52,12.96,11.75,12.2,427.0,260685,0.0,1.0
2021-03-29,HTOO,12.2,12.49,11.34,11.45,400.75,221827,0.0,1.0
2021-03-30,HTOO,11.45,12.76,11.06,12.74,445.9,232370,0.0,1.0
2021-03-31,HTOO,12.98,13.52,12.915,13.4,469.0,199907,0.0,1.0
2021-04-01,HTOO,13.9,13.9,12.81,13.03,456.05,125482,0.0,1.0
2021-04-05,HTOO,13.5,13.5,12.54,12.87,450.45,110210,0.0,1.0
2021-04-06,HTOO,12.97,13.5,12.8439,13.44,470.4,74927,0.0,1.0
2021-04-07,HTOO,13.25,13.3612,12.75,12.82,448.7,89650,0.0,1.0
2021-04-08,HTOO,13.69,13.69,12.85,13.29,465.15,133822,0.0,1.0
2021-04-09,HTOO,13.11,13.15,12.55,12.59,440.65,116606,0.0,1.0
2021-04-12,HTOO,12.5,12.55,11.8,12.01,420.35,148971,0.0,1.0
2021-04-13,HTOO,12.05,12.76,11.98,12.76,446.6,178331,0.0,1.0
2021-04-14,HTOO,12.8,13.39,12.8,13.11,458.85,174953,0.0,1.0
2021-04-15,HTOO,13.37,13.39,12.2,12.6,441.0,194304,0.0,1.0
2021-04-16,HTOO,12.57,12.57,11.56,12.0,420.0,199380,0.0,1.0
