date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2018-03-12,HYMC,9.56,9.59,9.56,9.59,95.9,920583,0.0,1.0
2018-03-13,HYMC,9.59,9.59,9.59,9.59,95.9,300083,0.0,1.0
2018-03-14,HYMC,9.59,9.6,9.59,9.6,96.0,225900,0.0,1.0
2018-03-15,HYMC,9.6,9.6,9.6,9.6,96.0,0,0.0,1.0
2018-03-16,HYMC,9.6,9.6,9.55,9.55,95.5,54200,0.0,1.0
2018-03-19,HYMC,9.62,9.62,9.55,9.62,96.2,1900,0.0,1.0
2018-03-20,HYMC,9.62,9.62,9.62,9.62,96.2,94,0.0,1.0
2018-03-21,HYMC,9.62,9.62,9.62,9.62,96.2,0,0.0,1.0
2018-03-22,HYMC,9.601,9.601,9.574,9.574,95.74,2000,0.0,1.0
2018-03-23,HYMC,9.574,9.574,9.574,9.574,95.74,0,0.0,1.0
2018-03-26,HYMC,9.585,9.585,9.585,9.585,95.85,400,0.0,1.0
2018-03-27,HYMC,9.585,9.585,9.585,9.585,95.85,0,0.0,1.0
2018-03-28,HYMC,9.601,9.62,9.601,9.601,96.01,9000,0.0,1.0
2018-03-29,HYMC,9.601,9.601,9.601,9.601,96.01,0,0.0,1.0
2018-04-02,HYMC,9.601,9.601,9.601,9.601,96.01,0,0.0,1.0
2018-04-03,HYMC,9.595,9.62,9.595,9.62,96.2,484400,0.0,1.0
2018-04-04,HYMC,9.55,9.61,9.55,9.61,96.1,2942,0.0,1.0
2018-04-05,HYMC,9.61,9.61,9.61,9.61,96.1,0,0.0,1.0
2018-04-06,HYMC,9.61,9.61,9.61,9.61,96.1,0,0.0,1.0
2018-04-09,HYMC,9.61,9.61,9.61,9.61,96.1,0,0.0,1.0
2018-04-10,HYMC,9.61,9.61,9.61,9.61,96.1,0,0.0,1.0
2018-04-11,HYMC,9.6,9.6,9.6,9.6,96.0,200000,0.0,1.0
2018-04-12,HYMC,9.6,9.6,9.6,9.6,96.0,0,0.0,1.0
2018-04-13,HYMC,9.6,9.6,9.6,9.6,96.0,150000,0.0,1.0
2018-04-16,HYMC,9.6,9.6,9.6,9.6,96.0,96000,0.0,1.0
2018-04-17,HYMC,9.6,9.6,9.6,9.6,96.0,200000,0.0,1.0
2018-04-18,HYMC,9.6,9.62,9.6,9.6,96.0,400898,0.0,1.0
2018-04-19,HYMC,9.6,9.6,9.6,9.6,96.0,1800,0.0,1.0
2018-04-20,HYMC,9.6,9.6,9.6,9.6,96.0,0,0.0,1.0
2018-04-23,HYMC,9.6,9.6,9.6,9.6,96.0,0,0.0,1.0
2018-04-24,HYMC,9.6,9.6,9.6,9.6,96.0,93,0.0,1.0
2018-04-25,HYMC,9.62,9.62,9.62,9.62,96.2,100,0.0,1.0
2018-04-26,HYMC,9.62,9.62,9.62,9.62,96.2,10500,0.0,1.0
2018-04-27,HYMC,9.62,9.62,9.62,9.62,96.2,0,0.0,1.0
2018-04-30,HYMC,9.67,9.67,9.67,9.67,96.7,2300,0.0,1.0
2018-05-01,HYMC,9.67,9.67,9.67,9.67,96.7,0,0.0,1.0
2018-05-02,HYMC,9.67,9.67,9.67,9.67,96.7,0,0.0,1.0
2018-05-03,HYMC,9.61,9.61,9.61,9.61,96.1,400000,0.0,1.0
2018-05-04,HYMC,9.61,9.61,9.61,9.61,96.1,300000,0.0,1.0
2018-05-07,HYMC,9.61,9.61,9.61,9.61,96.1,0,0.0,1.0
2018-05-08,HYMC,9.61,9.61,9.61,9.61,96.1,2,0.0,1.0
2018-05-09,HYMC,9.61,9.61,9.61,9.61,96.1,72340,0.0,1.0
2018-05-10,HYMC,9.63,9.67,9.61,9.67,96.7,753300,0.0,1.0
2018-05-11,HYMC,9.67,9.67,9.67,9.67,96.7,0,0.0,1.0
2018-05-14,HYMC,9.71,9.71,9.61,9.61,96.1,400,0.0,1.0
2018-05-15,HYMC,9.67,9.67,9.61,9.61,96.1,710360,0.0,1.0
2018-05-16,HYMC,9.63,9.63,9.62,9.63,96.3,44802,0.0,1.0
2018-05-17,HYMC,9.63,9.63,9.63,9.63,96.3,0,0.0,1.0
2018-05-18,HYMC,9.63,9.63,9.63,9.63,96.3,655000,0.0,1.0
2018-05-21,HYMC,9.63,9.63,9.63,9.63,96.3,40,0.0,1.0
2018-05-22,HYMC,9.94,9.94,9.63,9.63,96.3,651132,0.0,1.0
2018-05-23,HYMC,9.62,9.63,9.62,9.63,96.3,105812,0.0,1.0
2018-05-24,HYMC,9.63,9.63,9.61,9.63,96.3,222203,0.0,1.0
2018-05-25,HYMC,9.63,9.63,9.63,9.63,96.3,412,0.0,1.0
2018-05-29,HYMC,9.63,9.63,9.63,9.63,96.3,19137,0.0,1.0
2018-05-30,HYMC,9.63,9.63,9.63,9.63,96.3,0,0.0,1.0
2018-05-31,HYMC,9.64,9.64,9.61,9.62,96.2,507515,0.0,1.0
2018-06-01,HYMC,9.61,9.61,9.61,9.61,96.1,100,0.0,1.0
2018-06-04,HYMC,9.64,9.64,9.6,9.61,96.1,600,0.0,1.0
2018-06-05,HYMC,9.61,9.64,9.6,9.61,96.1,563356,0.0,1.0
2018-06-06,HYMC,9.61,9.61,9.6,9.6,96.0,4056,0.0,1.0
2018-06-07,HYMC,9.61,9.63,9.61,9.63,96.3,1100,0.0,1.0
2018-06-08,HYMC,9.63,9.63,9.63,9.63,96.3,0,0.0,1.0
2018-06-11,HYMC,9.62,9.64,9.6,9.64,96.4,255766,0.0,1.0
2018-06-12,HYMC,9.64,9.64,9.64,9.64,96.4,0,0.0,1.0
2018-06-13,HYMC,9.63,9.63,9.6,9.6,96.0,54300,0.0,1.0
2018-06-14,HYMC,9.6,9.63,9.6,9.63,96.3,638699,0.0,1.0
2018-06-15,HYMC,9.6,9.64,9.6,9.63,96.3,50200,0.0,1.0
2018-06-18,HYMC,9.63,9.63,9.63,9.63,96.3,25100,0.0,1.0
2018-06-19,HYMC,9.61,9.61,9.61,9.61,96.1,50000,0.0,1.0
2018-06-20,HYMC,9.65,9.65,9.62,9.62,96.2,7100,0.0,1.0
2018-06-21,HYMC,9.65,9.65,9.64,9.64,96.4,800,0.0,1.0
2018-06-22,HYMC,9.64,9.64,9.64,9.64,96.4,0,0.0,1.0
2018-06-25,HYMC,9.64,9.64,9.64,9.64,96.4,0,0.0,1.0
2018-06-26,HYMC,9.64,9.64,9.64,9.64,96.4,0,0.0,1.0
