date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2020-12-14,HYZN,10.31,10.31,10.05,10.25,512.5,73938,0.0,1.0
2020-12-15,HYZN,10.5,10.5,10.11,10.125,506.25,27545,0.0,1.0
2020-12-16,HYZN,10.25,10.495,10.01,10.29,514.5,133460,0.0,1.0
2020-12-17,HYZN,10.15,10.35,10.15,10.28,514.0,110694,0.0,1.0
2020-12-18,HYZN,10.27,10.3999,10.2,10.3499,517.495,176242,0.0,1.0
2020-12-21,HYZN,10.44,10.62,10.2,10.41,520.5,409543,0.0,1.0
2020-12-22,HYZN,10.5,10.67,10.45,10.48,524.0,117698,0.0,1.0
2020-12-23,HYZN,10.6919,10.7,10.48,10.52,526.0,139582,0.0,1.0
2020-12-24,HYZN,10.89,10.9,10.48,10.6,530.0,343792,0.0,1.0
2020-12-28,HYZN,10.7,10.7,10.585,10.7,535.0,207476,0.0,1.0
2020-12-29,HYZN,10.69,10.98,10.54,10.6,530.0,82889,0.0,1.0
2020-12-30,HYZN,10.89,10.99,10.6,10.65,532.5,54514,0.0,1.0
2020-12-31,HYZN,10.75,10.75,10.57,10.6,530.0,58188,0.0,1.0
2021-01-04,HYZN,10.75,10.75,10.55,10.56,528.0,27907,0.0,1.0
2021-01-05,HYZN,10.75,10.75,10.47,10.49,524.5,94349,0.0,1.0
2021-01-06,HYZN,10.5501,10.65,10.43,10.51,525.5,15078,0.0,1.0
2021-01-07,HYZN,10.55,10.65,10.4,10.61,530.5,132399,0.0,1.0
2021-01-08,HYZN,10.74,10.74,10.51,10.7,535.0,188349,0.0,1.0
2021-01-11,HYZN,10.69,11.0,10.64,10.8,540.0,747892,0.0,1.0
2021-01-12,HYZN,10.85,11.65,10.8295,11.51,575.5,909938,0.0,1.0
2021-01-13,HYZN,11.95,12.34,11.77,12.07,603.5,1453250,0.0,1.0
2021-01-14,HYZN,12.25,12.47,12.075,12.29,614.5,578152,0.0,1.0
2021-01-15,HYZN,12.33,12.4421,11.86,12.0,600.0,196717,0.0,1.0
2021-01-19,HYZN,12.09,12.48,11.75,12.47,623.5,423320,0.0,1.0
2021-01-20,HYZN,12.5,12.5,12.1,12.26,613.0,288652,0.0,1.0
2021-01-21,HYZN,12.3,12.4999,12.15,12.35,617.5,560839,0.0,1.0
2021-01-22,HYZN,12.5,13.77,12.44,13.68,684.0,655333,0.0,1.0
2021-01-25,HYZN,13.8,14.54,13.45,13.88,694.0,463024,0.0,1.0
2021-01-26,HYZN,14.0,14.27,13.63,13.92,696.0,247055,0.0,1.0
2021-01-27,HYZN,13.38,13.8,12.51,12.83,641.5,800580,0.0,1.0
2021-01-28,HYZN,12.82,13.0299,12.3,12.59,629.5,440531,0.0,1.0
2021-01-29,HYZN,12.58,12.97,12.4,12.6,630.0,284738,0.0,1.0
2021-02-01,HYZN,12.75,13.27,12.68,13.1,655.0,602037,0.0,1.0
2021-02-02,HYZN,13.15,13.7,13.15,13.58,679.0,496129,0.0,1.0
2021-02-03,HYZN,13.58,15.0,13.58,14.0,700.0,648490,0.0,1.0
2021-02-04,HYZN,14.3,14.96,13.64,13.74,687.0,427489,0.0,1.0
2021-02-05,HYZN,16.35,17.3,16.02,16.5,825.0,5290414,0.0,1.0
2021-02-08,HYZN,18.04,19.95,17.18,17.76,888.0,3557668,0.0,1.0
2021-02-09,HYZN,16.99,17.25,16.04,16.04,802.0,9595761,0.0,1.0
2021-02-10,HYZN,16.28,16.6,15.13,15.72,786.0,4335567,0.0,1.0
2021-02-11,HYZN,16.14,16.5,14.85,15.09,754.5,2322529,0.0,1.0
2021-02-12,HYZN,15.2,15.77,15.08,15.58,779.0,2023474,0.0,1.0
2021-02-16,HYZN,15.65,15.99,15.5,15.75,787.5,1614093,0.0,1.0
2021-02-17,HYZN,15.88,16.3,14.62,15.1,755.0,1722628,0.0,1.0
2021-02-18,HYZN,14.99,15.2932,14.35,14.87,743.5,1282003,0.0,1.0
2021-02-19,HYZN,15.01,15.28,14.78,14.9,745.0,1325563,0.0,1.0
2021-02-22,HYZN,14.92,14.94,14.02,14.06,703.0,1049416,0.0,1.0
2021-02-23,HYZN,13.21,13.51,10.55,12.8,640.0,1815777,0.0,1.0
2021-02-24,HYZN,12.87,13.25,12.4,12.54,627.0,859334,0.0,1.0
2021-02-25,HYZN,12.55,12.8,11.62,11.79,589.5,1200572,0.0,1.0
2021-02-26,HYZN,11.95,12.35,11.2,11.77,588.5,1311032,0.0,1.0
2021-03-01,HYZN,12.39,13.09,12.26,12.89,644.5,1163999,0.0,1.0
2021-03-02,HYZN,13.39,13.4,12.22,12.34,617.0,911595,0.0,1.0
2021-03-03,HYZN,12.46,12.47,11.32,11.39,569.5,1078340,0.0,1.0
2021-03-04,HYZN,11.5,11.69,10.41,10.97,548.5,1175808,0.0,1.0
2021-03-05,HYZN,11.07,11.78,10.47,11.35,567.5,912966,0.0,1.0
2021-03-08,HYZN,11.37,11.45,10.75,10.8,540.0,2016590,0.0,1.0
2021-03-09,HYZN,11.27,11.5,11.02,11.39,569.5,431643,0.0,1.0
2021-03-10,HYZN,11.74,12.28,11.1966,11.79,589.5,628585,0.0,1.0
2021-03-11,HYZN,12.0,12.14,11.7,12.03,601.5,727194,0.0,1.0
2021-03-12,HYZN,11.8,12.38,11.5,12.38,619.0,347766,0.0,1.0
2021-03-15,HYZN,12.38,12.63,12.03,12.33,616.5,285734,0.0,1.0
2021-03-16,HYZN,12.3,12.3,11.52,11.6,580.0,375594,0.0,1.0
2021-03-17,HYZN,11.43,11.43,11.12,11.16,558.0,630160,0.0,1.0
2021-03-18,HYZN,11.28,11.89,10.85,10.98,549.0,945078,0.0,1.0
2021-03-19,HYZN,11.06,11.14,10.84,11.12,556.0,204976,0.0,1.0
2021-03-22,HYZN,11.24,11.36,10.95,11.15,557.5,173468,0.0,1.0
2021-03-23,HYZN,11.15,11.3,10.62,10.75,537.5,444920,0.0,1.0
2021-03-24,HYZN,10.8,10.85,10.19,10.3,515.0,806543,0.0,1.0
2021-03-25,HYZN,10.15,10.49,10.05,10.29,514.5,637313,0.0,1.0
2021-03-26,HYZN,10.43,10.73,10.2,10.65,532.5,605692,0.0,1.0
2021-03-29,HYZN,10.67,10.83,10.26,10.35,517.5,396651,0.0,1.0
2021-03-30,HYZN,10.21,10.38,10.18,10.31,515.5,1824490,0.0,1.0
2021-03-31,HYZN,10.5,10.502,10.14,10.49,524.5,777213,0.0,1.0
2021-04-01,HYZN,10.53,10.89,10.3,10.87,543.5,1102675,0.0,1.0
2021-04-05,HYZN,11.0,11.32,10.4862,10.63,531.5,761641,0.0,1.0
2021-04-06,HYZN,10.65,10.7205,10.37,10.41,520.5,448198,0.0,1.0
2021-04-07,HYZN,10.43,10.47,10.35,10.42,521.0,211282,0.0,1.0
2021-04-08,HYZN,10.55,10.67,10.35,10.6,530.0,280763,0.0,1.0
2021-04-09,HYZN,10.58,10.72,10.43,10.64,532.0,221909,0.0,1.0
2021-04-12,HYZN,10.66,10.66,10.22,10.32,516.0,489685,0.0,1.0
2021-04-13,HYZN,10.26,10.37,10.16,10.34,517.0,518965,0.0,1.0
2021-04-14,HYZN,10.27,10.38,10.25,10.32,516.0,493366,0.0,1.0
2021-04-15,HYZN,10.32,10.34,10.05,10.07,503.5,769237,0.0,1.0
2021-04-16,HYZN,10.06,10.15,10.02,10.12,506.0,411097,0.0,1.0
2021-04-19,HYZN,10.11,10.125,9.93,10.06,503.0,575498,0.0,1.0
2021-04-20,HYZN,10.02,10.075,10.0,10.03,501.5,356738,0.0,1.0
2021-04-21,HYZN,10.01,10.21,9.99,10.145,507.25,425848,0.0,1.0
2021-04-22,HYZN,10.17,10.4,10.08,10.31,515.5,361588,0.0,1.0
2021-04-23,HYZN,10.25,10.46,10.25,10.32,516.0,166113,0.0,1.0
2021-04-26,HYZN,10.34,10.43,10.29,10.35,517.5,171288,0.0,1.0
2021-04-27,HYZN,10.45,10.45,10.24,10.29,514.5,259863,0.0,1.0
2021-04-28,HYZN,10.37,10.38,10.21,10.23,511.5,112094,0.0,1.0
2021-04-29,HYZN,10.44,10.67,10.3198,10.4,520.0,232063,0.0,1.0
2021-04-30,HYZN,10.4,10.46,10.29,10.4,520.0,127275,0.0,1.0
2021-05-03,HYZN,10.59,10.59,10.345,10.4,520.0,186580,0.0,1.0
2021-05-04,HYZN,10.3,10.37,10.09,10.31,515.5,391002,0.0,1.0
2021-05-05,HYZN,10.36,10.46,10.22,10.31,515.5,424860,0.0,1.0
2021-05-06,HYZN,10.3,10.35,10.15,10.31,515.5,379032,0.0,1.0
2021-05-07,HYZN,10.39,10.39,10.19,10.33,516.5,308374,0.0,1.0
2021-05-10,HYZN,10.3,10.38,10.12,10.14,507.0,561961,0.0,1.0
2021-05-11,HYZN,9.97,10.03,9.96,9.99,499.5,1474498,0.0,1.0
2021-05-12,HYZN,10.0,10.08,9.95,9.96,498.0,371625,0.0,1.0
2021-05-13,HYZN,10.0,10.0,9.9,9.94,497.0,615297,0.0,1.0
2021-05-14,HYZN,9.99,9.99,9.92,9.94,497.0,315552,0.0,1.0
2021-05-17,HYZN,9.95,9.97,9.9,9.92,496.0,209772,0.0,1.0
2021-05-18,HYZN,9.92,9.98,9.89,9.9,495.0,644025,0.0,1.0
2021-05-19,HYZN,9.9,9.93,9.87,9.89,494.5,152075,0.0,1.0
2021-05-20,HYZN,9.94,10.01,9.87,9.99,499.5,897404,0.0,1.0
2021-05-21,HYZN,10.1,10.1,9.96,9.99,499.5,191255,0.0,1.0
2021-05-24,HYZN,9.96,10.01,9.94,9.99,499.5,307703,0.0,1.0
2021-05-25,HYZN,10.0,10.06,9.97,10.01,500.5,308585,0.0,1.0
2021-05-26,HYZN,10.02,10.06,9.99,10.01,500.5,108745,0.0,1.0
2021-05-27,HYZN,10.0,10.03,9.9801,9.99,499.5,99173,0.0,1.0
2021-05-28,HYZN,10.005,10.035,9.985,10.0,500.0,108628,0.0,1.0
2021-06-01,HYZN,10.05,10.05,9.96,10.0,500.0,226435,0.0,1.0
