date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2020-03-18,IGIC,8.32,8.32,8.32,8.32,7.03121687550985,0,0.0,1.0
2020-03-19,IGIC,7.04,7.62,6.916,7.5,6.33823636614469,12600,0.0,1.0
2020-03-20,IGIC,8.0,8.0,6.73,6.73,5.68751076588717,13361,0.0,1.0
2020-03-23,IGIC,6.76,7.23,6.41,6.93,5.8565304023177,5689,0.0,1.0
2020-03-24,IGIC,7.0,7.0,7.0,7.0,5.91568727506838,11340,0.0,1.0
2020-03-25,IGIC,6.84,7.493,6.29,6.294,5.31904795846863,68739,0.0,1.0
2020-03-26,IGIC,6.73,7.18,6.36,6.73,5.68751076588717,24643,0.0,1.0
2020-03-27,IGIC,7.12,7.12,6.525,6.75,5.70441272953023,26189,0.0,1.0
2020-03-30,IGIC,7.03,8.473,6.74,8.28,6.99741294822374,11611,0.0,1.0
2020-03-31,IGIC,8.25,8.25,8.0,8.0,6.76078545722101,1641,0.0,1.0
2020-04-01,IGIC,7.7,7.75,6.885,7.1,6.00019709328364,11560,0.0,1.0
2020-04-02,IGIC,7.08,7.35,7.08,7.35,6.2114716388218,799,0.0,1.0
2020-04-03,IGIC,6.51,6.94,6.5,6.75,5.70441272953023,4970,0.0,1.0
2020-04-06,IGIC,7.0,7.2,5.5,6.0,5.07058909291576,198217,0.0,1.0
2020-04-07,IGIC,5.97,6.49,5.8,6.0,5.07058909291576,10075,0.0,1.0
2020-04-08,IGIC,6.25,6.27,5.71,6.0,5.07058909291576,19158,0.0,1.0
2020-04-09,IGIC,6.14,6.297,5.75,5.89,4.97762829287897,45988,0.0,1.0
2020-04-13,IGIC,5.48,6.5,5.48,6.095,5.15087342022025,9669,0.0,1.0
2020-04-14,IGIC,6.15,6.49,6.1,6.1,5.15509891113102,8731,0.0,1.0
2020-04-15,IGIC,6.0,6.31,6.0,6.0,5.07058909291576,22979,0.0,1.0
2020-04-16,IGIC,6.0,6.0,5.98,6.0,5.07058909291576,15925,0.0,1.0
2020-04-17,IGIC,6.0,6.6,5.74,6.6,5.57764800220733,13027,0.0,1.0
2020-04-20,IGIC,6.04,7.62,6.0,6.665,5.63257938404725,19537,0.0,1.0
2020-04-21,IGIC,6.435,6.435,5.9,6.0,5.07058909291576,26232,0.0,1.0
2020-04-22,IGIC,5.82,6.68,5.8,6.09,5.14664792930949,25272,0.0,1.0
2020-04-23,IGIC,6.235,6.88,6.12,6.88,5.81427549321007,19264,0.0,1.0
2020-04-24,IGIC,6.33,6.91,6.33,6.85,5.78892254774549,18983,0.0,1.0
2020-04-27,IGIC,7.0,7.69,6.98,7.23,6.11005985696349,17437,0.0,1.0
2020-04-28,IGIC,7.525,7.525,7.1,7.39,6.24527556610791,3938,0.0,1.0
2020-04-29,IGIC,7.02,7.75,7.02,7.75,6.54951091168285,9948,0.0,1.0
2020-04-30,IGIC,7.74,8.23,6.21,6.65,5.61990291131496,27570,0.0,1.0
2020-05-01,IGIC,6.99,6.99,6.52,6.88,5.81427549321007,9785,0.0,1.0
2020-05-04,IGIC,7.46,7.46,5.86,6.0,5.07058909291576,26293,0.0,1.0
2020-05-05,IGIC,6.405,7.74,6.4,7.74,6.54105992986132,8993,0.0,1.0
2020-05-06,IGIC,7.6,7.6,6.68,7.0,5.91568727506838,2510,0.0,1.0
2020-05-07,IGIC,6.52,7.5,6.3,7.4,6.25372654792943,5866,0.0,1.0
2020-05-08,IGIC,7.4,7.49,7.4,7.4,6.25372654792943,6853,0.0,1.0
2020-05-11,IGIC,7.0,7.0,6.36,6.61,5.58609898402886,1885,0.0,1.0
2020-05-12,IGIC,6.47,6.62,6.205,6.62,5.59454996585038,51229,0.0,1.0
2020-05-13,IGIC,6.37,6.95,6.22,6.88,5.81427549321007,10899,0.0,1.0
2020-05-14,IGIC,7.03,7.03,6.11,6.34,5.35792247484765,3004,0.0,1.0
2020-05-15,IGIC,6.8,6.86,6.66,6.66,5.62835389313649,932,0.0,1.0
2020-05-18,IGIC,6.8,6.8,6.01,6.13,5.1804518565956,20722,0.0,1.0
2020-05-19,IGIC,6.13,6.38,5.82,6.07,5.12974596566644,27156,0.0,1.0
2020-05-20,IGIC,6.0,6.0,5.65,5.75,4.8593145473776,85249,0.0,1.0
2020-05-21,IGIC,5.96,6.5,5.75,6.05,5.11284400202339,14104,0.0,1.0
2020-05-22,IGIC,5.85,6.355,5.75,5.93,5.01143222016507,41160,0.0,1.0
2020-05-26,IGIC,6.05,6.15,5.75,5.9,4.98607927470049,3507,0.0,1.0
2020-05-27,IGIC,5.9,6.0,5.65,5.65,4.77480472916234,15698,0.0,1.0
2020-05-28,IGIC,5.74,5.875,5.49,5.5,4.64804000183944,797079,0.0,1.0
2020-05-29,IGIC,5.85,6.09,5.7,5.89,4.97762829287897,12992,0.0,1.0
2020-06-01,IGIC,5.63,6.09,5.57,5.75,4.8593145473776,26815,0.0,1.0
2020-06-02,IGIC,5.75,6.095,5.62,5.64,4.76635374734081,37531,0.0,1.0
2020-06-03,IGIC,5.7,6.07,5.6,5.95,5.02833418380812,147718,0.0,1.0
2020-06-04,IGIC,5.98,6.1,5.85,5.9,4.98607927470049,108144,0.0,1.0
2020-06-05,IGIC,6.0,6.14,5.92,5.96,5.03678516562965,38911,0.0,1.0
2020-06-08,IGIC,6.075,6.161,5.95,5.98,5.0536871292727,52274,0.0,1.0
2020-06-09,IGIC,5.967,6.11,5.95,5.98,5.0536871292727,67450,0.0,1.0
2020-06-10,IGIC,5.99,7.11,5.99,6.37,5.38327542031223,86404,0.0,1.0
2020-06-11,IGIC,6.63,6.97,6.32,6.7,5.66215782042259,30192,0.0,1.0
2020-06-12,IGIC,6.71,7.0,6.54,6.95,5.87343236596075,20198,0.0,1.0
2020-06-15,IGIC,6.817,6.817,6.26,6.57,5.55229505674275,23798,0.0,1.0
2020-06-16,IGIC,6.57,6.86,6.55,6.68,5.64525585677954,5934,0.0,1.0
2020-06-17,IGIC,6.7,6.89,6.37,6.89,5.82272647503159,40735,0.0,1.0
2020-06-18,IGIC,6.7,6.868,6.7,6.84,5.78047156592396,1456,0.0,1.0
2020-06-19,IGIC,6.8,7.0,6.8,7.0,5.91568727506838,5573,0.0,1.0
2020-06-22,IGIC,6.98,7.0,6.65,6.98,5.89878531142533,2777,0.0,1.0
2020-06-23,IGIC,6.92,6.985,6.5,6.8,5.74666763863786,3001,0.0,1.0
2020-06-24,IGIC,6.99,6.99,6.7,6.72,5.67905978406565,1603,0.0,1.0
2020-06-25,IGIC,6.47,6.99,6.47,6.48,5.47623622034902,707,0.0,1.0
2020-06-26,IGIC,6.4,6.65,6.16,6.25,5.28186363845391,22630,0.0,1.0
2020-06-29,IGIC,6.6,6.89,6.425,6.47,5.46778523852749,26351,0.0,1.0
2020-06-30,IGIC,6.84,6.99,6.43,6.9,5.83117745685312,43737,0.0,1.0
2020-07-01,IGIC,7.0,7.0,6.6,6.65,5.61990291131496,6835,0.0,1.0
2020-07-02,IGIC,6.55,6.6,6.25,6.25,5.28186363845391,12522,0.0,1.0
2020-07-06,IGIC,6.535,6.92,6.45,6.45,5.45088327488444,4955,0.0,1.0
2020-07-07,IGIC,6.24,6.47,6.24,6.3,5.32411854756154,652,0.0,1.0
2020-07-08,IGIC,6.35,6.41,6.35,6.35,5.36637345666917,16683,0.0,1.0
2020-07-09,IGIC,6.27,6.27,6.11,6.26,5.29031462027544,9752,0.0,1.0
2020-07-10,IGIC,6.22,6.22,6.22,6.22,5.25651069298933,640,0.0,1.0
2020-07-13,IGIC,6.68,6.99,6.38,6.53,5.51849112945665,7584,0.0,1.0
2020-07-14,IGIC,6.53,7.0,6.22,7.0,5.91568727506838,10599,0.0,1.0
2020-07-15,IGIC,6.99,7.0,6.57,7.0,5.91568727506838,2229,0.0,1.0
2020-07-16,IGIC,6.75,6.925,6.75,6.75,5.70441272953023,17884,0.0,1.0
2020-07-17,IGIC,6.85,6.85,6.85,6.85,5.78892254774549,173,0.0,1.0
2020-07-20,IGIC,7.0,7.15,6.7,6.95,5.87343236596075,30794,0.0,1.0
2020-07-21,IGIC,6.99,7.0,6.745,6.85,5.78892254774549,21550,0.0,1.0
2020-07-22,IGIC,6.85,6.955,6.75,6.8,5.74666763863786,4618,0.0,1.0
2020-07-23,IGIC,6.69,6.73,6.5,6.7,5.66215782042259,7778,0.0,1.0
2020-07-24,IGIC,6.51,6.805,6.51,6.63,5.60300094767191,1575,0.0,1.0
2020-07-27,IGIC,6.78,6.95,6.5,6.5,5.49313818399207,33196,0.0,1.0
2020-07-28,IGIC,6.69,6.7,6.5,6.7,5.66215782042259,18834,0.0,1.0
2020-07-29,IGIC,6.7,7.0,6.51,6.51,5.50158916581359,6972,0.0,1.0
2020-07-30,IGIC,6.5,6.94,6.5,6.94,5.86498138413922,4594,0.0,1.0
2020-07-31,IGIC,6.745,6.745,6.5,6.5,5.49313818399207,953,0.0,1.0
2020-08-03,IGIC,6.7075,6.745,6.02,6.5,5.49313818399207,45873,0.0,1.0
2020-08-04,IGIC,6.6,6.79,6.265,6.265,5.2945401111862,8220,0.0,1.0
2020-08-05,IGIC,6.5085,6.5945,6.45,6.45,5.45088327488444,2455,0.0,1.0
2020-08-06,IGIC,6.67,6.67,6.36,6.66,5.62835389313649,10596,0.0,1.0
2020-08-07,IGIC,6.62,6.7,6.56,6.7,5.66215782042259,1686,0.0,1.0
2020-08-10,IGIC,6.55,6.7,6.3101,6.69,5.65370683860107,2450,0.0,1.0
2020-08-11,IGIC,6.5,6.645,6.5,6.6,5.57764800220733,751,0.0,1.0
2020-08-12,IGIC,6.51,6.69,6.5,6.5,5.49313818399207,1606,0.0,1.0
2020-08-13,IGIC,6.705,6.705,6.36,6.36,5.3748244384907,16218,0.0,1.0
2020-08-14,IGIC,6.5,6.72,6.37,6.37,5.38327542031223,13564,0.0,1.0
2020-08-17,IGIC,6.51,6.645,6.35,6.35,5.36637345666917,25090,0.0,1.0
2020-08-18,IGIC,6.53,6.86,6.5,6.64,5.61145192949344,7357,0.0,1.0
2020-08-19,IGIC,6.7,6.76,6.36,6.69,5.65370683860107,16421,0.0,1.0
2020-08-20,IGIC,6.45,6.76,6.335,6.53,5.51849112945665,30875,0.0,1.0
2020-08-21,IGIC,6.43,6.82,6.4,6.8,5.82272647503159,10155,0.09,1.0
2020-08-24,IGIC,6.68,6.92,6.56,6.85,5.86554064028918,8399,0.0,1.0
2020-08-25,IGIC,6.7,6.93,6.66,6.93,5.93404330470131,19412,0.0,1.0
2020-08-26,IGIC,6.93,6.93,6.75,6.8,5.82272647503159,13836,0.0,1.0
2020-08-27,IGIC,6.85,6.9,6.8399,6.85,5.86554064028918,27415,0.0,1.0
2020-08-28,IGIC,6.93,6.93,6.8265,6.87,5.88266630639221,6747,0.0,1.0
2020-08-31,IGIC,6.92,6.92,6.9,6.9,5.90835480554676,1887,0.0,1.0
2020-09-01,IGIC,6.825,6.93,6.7015,6.93,5.93404330470131,16904,0.0,1.0
2020-09-02,IGIC,6.81,6.92,6.81,6.81,5.83128930808311,13623,0.0,1.0
2020-09-03,IGIC,6.9,7.0,6.75,6.75,5.77991230977401,141357,0.0,1.0
2020-09-04,IGIC,6.76,7.0,6.75,6.76,5.78847514282552,5962,0.0,1.0
2020-09-08,IGIC,6.95,6.975,6.47,6.47,5.54015298433153,12950,0.0,1.0
2020-09-09,IGIC,6.4,6.93,6.4,6.77,5.79703797587704,4196,0.0,1.0
2020-09-10,IGIC,6.8,7.37,6.8,6.95,5.95116897080435,46636,0.0,1.0
2020-09-11,IGIC,6.96,7.0,6.95,7.0,5.99398313606193,6212,0.0,1.0
2020-09-14,IGIC,7.05,7.05,6.9,6.9,5.90835480554676,41881,0.0,1.0
2020-09-15,IGIC,6.857,6.91,6.68,6.68,5.71997247841339,109332,0.0,1.0
2020-09-16,IGIC,6.82,6.93,6.69,6.85,5.86554064028918,13270,0.0,1.0
2020-09-17,IGIC,6.75,6.75,6.75,6.75,5.77991230977401,274,0.0,1.0
2020-09-18,IGIC,6.7601,6.88,6.7601,6.85,5.86554064028918,2450,0.0,1.0
2020-09-21,IGIC,6.8798,6.935,6.85,6.86,5.87410347334069,1192,0.0,1.0
2020-09-22,IGIC,6.925,7.31,6.85,7.31,6.25943096065896,7695,0.0,1.0
2020-09-23,IGIC,6.8666,6.99,6.8666,6.99,5.98542030301042,924,0.0,1.0
2020-09-24,IGIC,6.9034,7.18,6.9034,7.18,6.14811413098924,750,0.0,1.0
