date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-01-15,IS,12.75,13.05,11.76,11.76,11.76,16575727,0.0,1.0
2021-01-19,IS,12.24,12.4,12.0,12.21,12.21,2386049,0.0,1.0
2021-01-20,IS,12.36,12.55,12.2,12.45,12.45,2532017,0.0,1.0
2021-01-21,IS,12.55,12.92,12.46,12.92,12.92,2515177,0.0,1.0
2021-01-22,IS,12.8,13.19,12.8,12.95,12.95,1600649,0.0,1.0
2021-01-25,IS,13.0,13.0,12.45,12.49,12.49,1377537,0.0,1.0
2021-01-26,IS,12.55,12.76,11.8,11.86,11.86,2556945,0.0,1.0
2021-01-27,IS,11.65,11.8978,11.3,11.44,11.44,2104990,0.0,1.0
2021-01-28,IS,11.56,12.11,11.56,11.98,11.98,1018074,0.0,1.0
2021-01-29,IS,11.88,12.7,11.88,11.94,11.94,514787,0.0,1.0
2021-02-01,IS,12.08,12.35,11.97,12.0,12.0,947234,0.0,1.0
2021-02-02,IS,12.14,12.35,11.9,11.94,11.94,336028,0.0,1.0
2021-02-03,IS,12.05,12.2,12.0,12.02,12.02,2605875,0.0,1.0
2021-02-04,IS,12.1,12.12,11.88,11.91,11.91,1400549,0.0,1.0
2021-02-05,IS,12.05,12.05,11.81,11.88,11.88,712293,0.0,1.0
2021-02-08,IS,12.02,12.43,11.9722,12.34,12.34,1138712,0.0,1.0
2021-02-09,IS,12.26,12.5,12.23,12.46,12.46,704599,0.0,1.0
2021-02-10,IS,12.5,12.7999,12.4,12.7,12.7,377104,0.0,1.0
2021-02-11,IS,12.5,12.7,12.19,12.68,12.68,451022,0.0,1.0
2021-02-12,IS,12.57,12.73,12.4,12.59,12.59,488062,0.0,1.0
2021-02-16,IS,12.74,12.74,12.38,12.57,12.57,247923,0.0,1.0
2021-02-17,IS,12.5,12.69,12.26,12.5,12.5,478749,0.0,1.0
2021-02-18,IS,12.54,12.54,12.26,12.41,12.41,753999,0.0,1.0
2021-02-19,IS,12.52,12.77,12.41,12.66,12.66,526401,0.0,1.0
2021-02-22,IS,12.5,12.77,12.41,12.49,12.49,430103,0.0,1.0
2021-02-23,IS,12.32,12.32,11.79,12.05,12.05,855724,0.0,1.0
2021-02-24,IS,12.11,12.12,11.75,11.83,11.83,870989,0.0,1.0
2021-02-25,IS,11.83,11.83,11.53,11.79,11.79,753472,0.0,1.0
2021-02-26,IS,11.54,11.74,11.31,11.69,11.69,1567085,0.0,1.0
2021-03-01,IS,11.77,11.97,11.62,11.65,11.65,405800,0.0,1.0
2021-03-02,IS,11.6,11.62,11.35,11.43,11.43,457893,0.0,1.0
2021-03-03,IS,11.57,11.57,10.95,11.02,11.02,504679,0.0,1.0
2021-03-04,IS,11.0,11.02,10.49,10.74,10.74,645506,0.0,1.0
2021-03-05,IS,10.81,11.05,10.5,10.91,10.91,1205167,0.0,1.0
2021-03-08,IS,10.85,10.865,10.58,10.76,10.76,657500,0.0,1.0
2021-03-09,IS,10.9,10.99,10.76,10.84,10.84,894885,0.0,1.0
2021-03-10,IS,10.9,10.9,10.65,10.68,10.68,479420,0.0,1.0
2021-03-11,IS,10.81,11.18,10.64,11.0,11.0,497774,0.0,1.0
2021-03-12,IS,11.0,11.16,10.82,11.15,11.15,409631,0.0,1.0
2021-03-15,IS,11.65,11.65,10.73,10.81,10.81,2634708,0.0,1.0
2021-03-16,IS,10.77,10.95,10.55,10.58,10.58,820063,0.0,1.0
2021-03-17,IS,10.57,10.6,10.35,10.52,10.52,769365,0.0,1.0
2021-03-18,IS,10.5,10.95,10.4,10.82,10.82,877247,0.0,1.0
2021-03-19,IS,10.83,10.95,10.6705,10.82,10.82,294073,0.0,1.0
2021-03-22,IS,11.4,11.4,10.61,10.7,10.7,13832054,0.0,1.0
2021-03-23,IS,10.68,10.7086,10.355,10.45,10.45,4488660,0.0,1.0
2021-03-24,IS,10.48,10.65,10.07,10.22,10.22,2814439,0.0,1.0
2021-03-25,IS,10.18,10.76,10.03,10.66,10.66,4183380,0.0,1.0
2021-03-26,IS,10.66,10.74,10.2,10.4,10.4,4254677,0.0,1.0
2021-03-29,IS,10.4,10.56,10.35,10.49,10.49,1596754,0.0,1.0
2021-03-30,IS,10.46,10.505,10.26,10.45,10.45,1227869,0.0,1.0
2021-03-31,IS,10.45,10.5214,10.315,10.45,10.45,509852,0.0,1.0
2021-04-01,IS,10.46,10.73,10.45,10.49,10.49,531119,0.0,1.0
2021-04-05,IS,10.55,10.6449,10.23,10.3,10.3,1352204,0.0,1.0
2021-04-06,IS,10.3,10.35,10.22,10.25,10.25,1292242,0.0,1.0
2021-04-07,IS,10.27,10.3,10.18,10.2,10.2,810414,0.0,1.0
2021-04-08,IS,10.21,10.27,10.2,10.27,10.27,911933,0.0,1.0
2021-04-09,IS,10.25,10.32,10.22,10.25,10.25,741870,0.0,1.0
2021-04-12,IS,10.3,10.33,10.12,10.15,10.15,2747308,0.0,1.0
2021-04-13,IS,10.14,10.22,10.13,10.17,10.17,1282185,0.0,1.0
2021-04-14,IS,10.19,10.33,10.17,10.23,10.23,231895,0.0,1.0
2021-04-15,IS,10.22,10.4,10.18,10.2,10.2,1935341,0.0,1.0
2021-04-16,IS,10.21,10.2743,10.13,10.2,10.2,599511,0.0,1.0
2021-04-19,IS,10.24,10.26,10.1,10.12,10.12,569366,0.0,1.0
2021-04-20,IS,10.1,10.13,9.945,9.98,9.98,4297235,0.0,1.0
2021-04-21,IS,9.98,10.06,9.96,10.02,10.02,1090086,0.0,1.0
2021-04-22,IS,10.08,10.13,10.07,10.12,10.12,639794,0.0,1.0
2021-04-23,IS,10.11,10.17,10.1,10.17,10.17,1114159,0.0,1.0
2021-04-26,IS,10.19,10.19,10.12,10.15,10.15,624547,0.0,1.0
2021-04-27,IS,10.13,10.42,10.113,10.41,10.41,1369518,0.0,1.0
2021-04-28,IS,10.41,10.51,10.232,10.46,10.46,878253,0.0,1.0
2021-04-29,IS,10.5,10.61,10.27,10.55,10.55,1369716,0.0,1.0
2021-04-30,IS,10.55,10.93,10.48,10.93,10.93,4080399,0.0,1.0
2021-05-03,IS,10.9,10.98,10.492,10.55,10.55,632854,0.0,1.0
2021-05-04,IS,10.5,10.5478,10.21,10.29,10.29,4082851,0.0,1.0
2021-05-05,IS,10.29,10.54,10.145,10.5,10.5,2893400,0.0,1.0
2021-05-06,IS,10.42,10.46,10.18,10.25,10.25,581461,0.0,1.0
2021-05-07,IS,10.25,10.29,10.2,10.28,10.28,249044,0.0,1.0
2021-05-10,IS,10.27,10.285,10.105,10.14,10.14,301428,0.0,1.0
2021-05-11,IS,10.1,10.16,9.98,10.11,10.11,1416608,0.0,1.0
2021-05-12,IS,10.11,10.22,10.0,10.08,10.08,620503,0.0,1.0
2021-05-13,IS,10.18,10.19,10.07,10.14,10.14,441016,0.0,1.0
2021-05-14,IS,10.12,10.29,10.12,10.24,10.24,340783,0.0,1.0
2021-05-17,IS,10.28,10.28,10.1,10.14,10.14,180814,0.0,1.0
2021-05-18,IS,10.15,10.2124,10.11,10.14,10.14,104409,0.0,1.0
2021-05-19,IS,10.19,10.25,10.11,10.19,10.19,294778,0.0,1.0
2021-05-20,IS,10.19,10.49,10.1501,10.43,10.43,698389,0.0,1.0
2021-05-21,IS,10.43,10.48,10.24,10.32,10.32,361295,0.0,1.0
2021-05-24,IS,10.3,10.3,10.15,10.18,10.18,573406,0.0,1.0
2021-05-25,IS,10.18,10.21,10.145,10.17,10.17,374963,0.0,1.0
2021-05-26,IS,10.19,10.27,10.15,10.17,10.17,567336,0.0,1.0
2021-05-27,IS,10.17,10.41,10.17,10.38,10.38,1775277,0.0,1.0
2021-05-28,IS,10.38,10.44,10.27,10.33,10.33,686484,0.0,1.0
2021-06-01,IS,10.38,10.42,10.21,10.22,10.22,2423244,0.0,1.0
2021-06-02,IS,10.24,10.3,10.16,10.19,10.19,4300851,0.0,1.0
2021-06-03,IS,10.2,10.2,10.12,10.15,10.15,601223,0.0,1.0
2021-06-04,IS,10.14,10.18,10.11,10.16,10.16,771844,0.0,1.0
2021-06-07,IS,10.18,10.18,10.13,10.15,10.15,1630046,0.0,1.0
2021-06-08,IS,10.15,10.33,10.13,10.22,10.22,1551351,0.0,1.0
2021-06-09,IS,10.25,10.3,10.16,10.19,10.19,645190,0.0,1.0
2021-06-10,IS,10.21,10.36,10.19,10.28,10.28,1902054,0.0,1.0
2021-06-11,IS,10.32,10.34,10.22,10.24,10.24,1357439,0.0,1.0
2021-06-14,IS,10.35,10.36,10.12,10.13,10.13,1884538,0.0,1.0
2021-06-15,IS,10.14,10.14,9.94,10.0,10.0,2178717,0.0,1.0
2021-06-16,IS,10.005,10.02,9.975,9.99,9.99,2105386,0.0,1.0
2021-06-17,IS,9.97,9.99,9.88,9.97,9.97,4574192,0.0,1.0
2021-06-18,IS,9.96,10.02,9.87,9.97,9.97,847567,0.0,1.0
2021-06-21,IS,9.98,10.02,9.7174,9.97,9.97,610178,0.0,1.0
2021-06-22,IS,10.11,10.18,9.8,9.98,9.98,742388,0.0,1.0
2021-06-23,IS,10.15,10.15,9.87,9.98,9.98,543808,0.0,1.0
2021-06-24,IS,10.0,10.08,9.91,10.06,10.06,784791,0.0,1.0
2021-06-25,IS,10.1,10.62,10.05,10.15,10.15,1195118,0.0,1.0
2021-06-28,IS,10.21,11.05,10.21,10.98,10.98,3356713,0.0,1.0
2021-06-29,IS,11.25,11.25,10.86,11.0,11.0,2268514,0.0,1.0
2021-06-30,IS,11.13,11.25,10.32,10.5,10.5,3749994,0.0,1.0
2021-07-01,IS,10.55,10.825,10.28,10.76,10.76,1408754,0.0,1.0
2021-07-02,IS,10.61,10.81,10.53,10.79,10.79,500411,0.0,1.0
2021-07-06,IS,10.7465,10.75,10.36,10.5,10.5,1860803,0.0,1.0
2021-07-07,IS,10.55,10.79,10.47,10.78,10.78,1970833,0.0,1.0
2021-07-08,IS,10.64,10.64,10.16,10.36,10.36,1907266,0.0,1.0
2021-07-09,IS,10.45,10.59,10.26,10.3,10.3,1125566,0.0,1.0
2021-07-12,IS,10.5,10.6,10.25,10.27,10.27,343512,0.0,1.0
2021-07-13,IS,10.25,10.43,9.99,10.02,10.02,1930766,0.0,1.0
2021-07-14,IS,10.02,10.05,8.66,8.72,8.72,2836725,0.0,1.0
2021-07-15,IS,8.72,8.89,8.25,8.43,8.43,3247280,0.0,1.0
2021-07-16,IS,8.55,8.6,8.08,8.27,8.27,2383742,0.0,1.0
2021-07-19,IS,8.2,8.235,7.8,7.92,7.92,2572190,0.0,1.0
2021-07-20,IS,8.01,8.46,7.83,8.38,8.38,2206441,0.0,1.0
2021-07-21,IS,8.52,9.18,8.4812,8.89,8.89,1647031,0.0,1.0
2021-07-22,IS,8.91,9.2,8.78,9.05,9.05,995761,0.0,1.0
2021-07-23,IS,9.25,9.25,8.73,8.8,8.8,773365,0.0,1.0
2021-07-26,IS,8.99,9.18,8.63,8.75,8.75,991148,0.0,1.0
2021-07-27,IS,8.88,8.94,8.51,8.73,8.73,984456,0.0,1.0
2021-07-28,IS,8.87,8.89,8.35,8.46,8.46,1515963,0.0,1.0
2021-07-29,IS,8.46,8.93,8.46,8.66,8.66,900074,0.0,1.0
2021-07-30,IS,8.72,8.72,8.41,8.53,8.53,675035,0.0,1.0
2021-08-02,IS,8.53,8.84,8.42,8.81,8.81,520122,0.0,1.0
2021-08-03,IS,8.72,9.11,8.6227,8.82,8.82,1201505,0.0,1.0
2021-08-04,IS,8.83,8.97,8.7,8.89,8.89,981807,0.0,1.0
2021-08-05,IS,8.95,8.9565,8.69,8.79,8.79,679964,0.0,1.0
2021-08-06,IS,8.8,8.819,8.42,8.54,8.54,730489,0.0,1.0
2021-08-09,IS,8.55,8.82,8.48,8.71,8.71,395564,0.0,1.0
2021-08-10,IS,8.86,8.8877,8.65,8.76,8.76,494207,0.0,1.0
2021-08-11,IS,9.01,9.13,8.65,8.91,8.91,2096880,0.0,1.0
2021-08-12,IS,9.0,9.845,8.9618,9.68,9.68,1187751,0.0,1.0
2021-08-13,IS,9.79,10.08,9.61,9.68,9.68,1044373,0.0,1.0
2021-08-16,IS,9.6,9.645,8.83,8.98,8.98,1274415,0.0,1.0
2021-08-17,IS,8.89,8.97,8.6,8.65,8.65,1099399,0.0,1.0
2021-08-18,IS,8.57,8.92,8.45,8.65,8.65,1126998,0.0,1.0
2021-08-19,IS,8.55,8.97,8.46,8.6,8.6,1204382,0.0,1.0
2021-08-20,IS,8.68,9.23,8.6001,8.97,8.97,1084806,0.0,1.0
2021-08-23,IS,9.0,9.16,8.7006,9.01,9.01,614437,0.0,1.0
2021-08-24,IS,8.91,9.68,8.85,9.57,9.57,2821141,0.0,1.0
2021-08-25,IS,9.77,10.61,9.75,10.54,10.54,3218665,0.0,1.0
2021-08-26,IS,10.38,10.435,9.54,9.59,9.59,1376182,0.0,1.0
2021-08-27,IS,9.57,10.03,9.57,9.94,9.94,721721,0.0,1.0
2021-08-30,IS,9.99,10.01,9.75,9.78,9.78,546971,0.0,1.0
2021-08-31,IS,9.59,10.02,9.59,9.94,9.94,2440343,0.0,1.0
2021-09-01,IS,9.91,9.99,9.64,9.81,9.81,919940,0.0,1.0
2021-09-02,IS,9.81,9.8995,9.56,9.82,9.82,1042989,0.0,1.0
2021-09-03,IS,9.72,10.53,9.72,10.3,10.3,1253271,0.0,1.0
2021-09-07,IS,10.24,10.56,10.06,10.24,10.24,1102845,0.0,1.0
2021-09-08,IS,10.02,10.46,10.02,10.12,10.12,754765,0.0,1.0
2021-09-09,IS,10.02,10.6,10.02,10.48,10.48,697835,0.0,1.0
2021-09-10,IS,10.47,11.57,10.4335,11.51,11.51,3020961,0.0,1.0
2021-09-13,IS,11.47,11.59,10.88,11.24,11.24,3769587,0.0,1.0
2021-09-14,IS,11.26,12.44,11.19,11.92,11.92,2738438,0.0,1.0
2021-09-15,IS,11.94,12.36,11.59,12.36,12.36,3054138,0.0,1.0
2021-09-16,IS,12.3,12.7,12.2,12.43,12.43,1915424,0.0,1.0
2021-09-17,IS,12.24,12.6,12.08,12.4,12.4,3451684,0.0,1.0
2021-09-20,IS,11.86,12.24,11.63,11.79,11.79,1209597,0.0,1.0
2021-09-21,IS,11.92,11.98,11.44,11.59,11.59,666374,0.0,1.0
2021-09-22,IS,12.04,12.11,11.6,11.76,11.76,1263901,0.0,1.0
2021-09-23,IS,11.86,12.37,11.83,11.95,11.95,4124566,0.0,1.0
2021-09-24,IS,12.15,12.2893,11.88,12.16,12.16,1459670,0.0,1.0
2021-09-27,IS,12.17,12.17,11.44,11.52,11.52,2177470,0.0,1.0
2021-09-28,IS,11.35,11.66,11.2,11.6,11.6,1809260,0.0,1.0
2021-09-29,IS,11.57,11.83,11.16,11.26,11.26,2754005,0.0,1.0
2021-09-30,IS,11.34,11.37,10.83,10.87,10.87,2950762,0.0,1.0
2021-10-01,IS,10.99,11.06,10.465,10.63,10.63,1610092,0.0,1.0
2021-10-04,IS,10.5,10.6,9.95,10.19,10.19,1831012,0.0,1.0
2021-10-05,IS,10.21,10.55,10.08,10.55,10.55,1200639,0.0,1.0
2021-10-06,IS,10.48,10.68,10.38,10.57,10.57,947370,0.0,1.0
2021-10-07,IS,10.43,10.7199,10.35,10.6,10.6,1175773,0.0,1.0
2021-10-08,IS,10.5,10.67,10.38,10.47,10.47,1242803,0.0,1.0
2021-10-11,IS,10.5,10.81,10.38,10.7,10.7,2498116,0.0,1.0
2021-10-12,IS,10.66,10.9,10.59,10.89,10.89,865161,0.0,1.0
2021-10-13,IS,10.87,11.17,10.811,11.09,11.09,557295,0.0,1.0
2021-10-14,IS,11.7,12.005,11.44,11.51,11.51,1435205,0.0,1.0
2021-10-15,IS,11.66,11.94,11.13,11.74,11.74,1998360,0.0,1.0
2021-10-18,IS,11.67,11.75,11.51,11.64,11.64,1479464,0.0,1.0
2021-10-19,IS,11.65,12.0,11.5,11.7,11.7,1966273,0.0,1.0
2021-10-20,IS,11.75,11.7676,11.43,11.57,11.57,1381222,0.0,1.0
2021-10-21,IS,11.43,11.81,11.38,11.54,11.54,833733,0.0,1.0
2021-10-22,IS,11.4,11.76,11.38,11.74,11.74,716307,0.0,1.0
2021-10-25,IS,11.89,12.0083,11.51,11.62,11.62,1651608,0.0,1.0
2021-10-26,IS,11.75,12.02,11.51,11.88,11.88,1699547,0.0,1.0
2021-10-27,IS,12.13,12.16,11.5,11.5,11.5,722034,0.0,1.0
2021-10-28,IS,11.55,11.69,11.38,11.58,11.58,840149,0.0,1.0
2021-10-29,IS,11.58,11.58,11.37,11.39,11.39,1628657,0.0,1.0
2021-11-01,IS,11.26,11.639,11.2438,11.47,11.47,1192153,0.0,1.0
2021-11-02,IS,11.46,11.55,11.31,11.37,11.37,819064,0.0,1.0
2021-11-03,IS,11.35,11.36,10.97,11.1,11.1,945890,0.0,1.0
