date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2025-08-14,KYIV,12.0,12.8,11.9,12.7,12.7,1244500,0.0,1.0
2025-08-15,KYIV,12.445,13.28,11.2,11.52,11.52,1755015,0.0,1.0
2025-08-18,KYIV,12.33,15.15,12.33,13.5,13.5,5065079,0.0,1.0
2025-08-19,KYIV,15.075,16.48,14.04,15.17,15.17,4480916,0.0,1.0
2025-08-20,KYIV,15.51,15.99,12.62,13.26,13.26,4567543,0.0,1.0
2025-08-21,KYIV,13.5,13.77,12.9,13.08,13.08,1567552,0.0,1.0
2025-08-22,KYIV,13.3,14.35,13.19,13.45,13.45,2079946,0.0,1.0
2025-08-25,KYIV,13.36,13.36,12.23,12.77,12.77,1513989,0.0,1.0
2025-08-26,KYIV,13.11,13.11,11.52,11.82,11.82,1955377,0.0,1.0
2025-08-27,KYIV,11.82,12.25,11.612,12.22,12.22,962459,0.0,1.0
2025-08-28,KYIV,12.2,12.84,12.0945,12.74,12.74,953293,0.0,1.0
2025-08-29,KYIV,12.7,13.2392,12.0,12.19,12.19,886124,0.0,1.0
2025-09-02,KYIV,11.6,11.6933,10.86,11.07,11.07,1855198,0.0,1.0
2025-09-03,KYIV,11.27,11.84,11.07,11.76,11.76,784502,0.0,1.0
2025-09-04,KYIV,11.59,11.61,11.09,11.29,11.29,560481,0.0,1.0
2025-09-05,KYIV,11.05,11.1,10.52,10.84,10.84,1384690,0.0,1.0
2025-09-08,KYIV,10.5,10.6215,10.16,10.57,10.57,1369325,0.0,1.0
2025-09-09,KYIV,10.6,10.88,10.25,10.88,10.88,570832,0.0,1.0
2025-09-10,KYIV,10.8,10.92,10.615,10.86,10.86,361766,0.0,1.0
2025-09-11,KYIV,10.95,11.98,10.9,11.75,11.75,753425,0.0,1.0
2025-09-12,KYIV,11.57,11.87,10.9,10.95,10.95,463782,0.0,1.0
2025-09-15,KYIV,11.2,11.36,10.47,10.68,10.68,772996,0.0,1.0
2025-09-16,KYIV,10.75,10.96,10.39,10.43,10.43,617064,0.0,1.0
2025-09-17,KYIV,10.55,10.86,10.31,10.71,10.71,406806,0.0,1.0
2025-09-18,KYIV,10.83,11.53,10.83,11.25,11.25,635569,0.0,1.0
2025-09-19,KYIV,11.3,11.33,10.96,11.27,11.27,790536,0.0,1.0
2025-09-22,KYIV,10.8,11.19,10.77,11.14,11.14,367832,0.0,1.0
2025-09-23,KYIV,10.9,12.36,10.86,11.78,11.78,1057733,0.0,1.0
2025-09-24,KYIV,12.03,12.75,11.38,12.29,12.29,1104115,0.0,1.0
2025-09-25,KYIV,11.88,12.13,11.51,12.13,12.13,467050,0.0,1.0
2025-09-26,KYIV,12.05,12.4,11.75,11.92,11.92,404576,0.0,1.0
2025-09-29,KYIV,12.1,12.86,12.1,12.31,12.31,425962,0.0,1.0
2025-09-30,KYIV,12.23,12.54,12.1,12.5,12.5,345675,0.0,1.0
2025-10-01,KYIV,12.24,12.51,11.93,11.94,11.94,416638,0.0,1.0
2025-10-02,KYIV,12.27,12.27,11.5,12.04,12.04,370598,0.0,1.0
2025-10-03,KYIV,12.11,12.2,11.8,12.07,12.07,263831,0.0,1.0
2025-10-06,KYIV,12.15,12.366,11.78,12.14,12.14,360055,0.0,1.0
2025-10-07,KYIV,12.0,12.16,11.62,12.03,12.03,479639,0.0,1.0
2025-10-08,KYIV,12.0,12.24,11.902,12.04,12.04,333449,0.0,1.0
2025-10-09,KYIV,12.05,12.2,11.78,12.11,12.11,294142,0.0,1.0
2025-10-10,KYIV,12.11,12.64,11.78,11.98,11.98,775929,0.0,1.0
2025-10-13,KYIV,11.97,12.48,11.85,12.39,12.39,272171,0.0,1.0
2025-10-14,KYIV,12.01,12.44,11.72,12.2,12.2,629467,0.0,1.0
2025-10-15,KYIV,12.13,13.09,12.13,12.74,12.74,656110,0.0,1.0
2025-10-16,KYIV,12.94,14.11,12.89,13.93,13.93,1882022,0.0,1.0
2025-10-17,KYIV,13.24,13.86,12.78,13.71,13.71,1661769,0.0,1.0
2025-10-20,KYIV,13.58,13.79,13.125,13.54,13.54,533098,0.0,1.0
2025-10-21,KYIV,13.75,14.17,12.7,12.73,12.73,764322,0.0,1.0
2025-10-22,KYIV,12.68,12.82,12.13,12.82,12.82,676121,0.0,1.0
2025-10-23,KYIV,12.79,13.53,12.5001,13.25,13.25,432883,0.0,1.0
2025-10-24,KYIV,13.69,13.84,13.14,13.33,13.33,331490,0.0,1.0
2025-10-27,KYIV,13.4,13.58,12.735,13.21,13.21,348937,0.0,1.0
2025-10-28,KYIV,13.02,13.3,12.94,13.07,13.07,220327,0.0,1.0
2025-10-29,KYIV,13.02,13.75,13.0,13.6,13.6,284830,0.0,1.0
2025-10-30,KYIV,13.58,13.6,13.2,13.46,13.46,307340,0.0,1.0
2025-10-31,KYIV,13.5,14.29,13.5,14.14,14.14,567190,0.0,1.0
2025-11-03,KYIV,14.1,14.16,13.71,13.87,13.87,251694,0.0,1.0
2025-11-04,KYIV,13.38,13.6073,13.15,13.4,13.4,292555,0.0,1.0
2025-11-05,KYIV,13.26,13.75,13.26,13.4,13.4,181637,0.0,1.0
2025-11-06,KYIV,13.3,13.395,12.89,13.1,13.1,331728,0.0,1.0
2025-11-07,KYIV,12.78,12.97,11.9,12.16,12.16,895723,0.0,1.0
2025-11-10,KYIV,12.83,13.215,12.61,13.02,13.02,404281,0.0,1.0
2025-11-11,KYIV,12.78,12.88,12.37,12.75,12.75,282265,0.0,1.0
2025-11-12,KYIV,12.63,12.72,12.02,12.29,12.29,278013,0.0,1.0
2025-11-13,KYIV,12.35,12.35,11.56,11.6,11.6,600690,0.0,1.0
2025-11-14,KYIV,11.25,11.605,10.99,11.38,11.38,597514,0.0,1.0
2025-11-17,KYIV,11.38,11.38,10.88,11.03,11.03,387884,0.0,1.0
2025-11-18,KYIV,10.93,11.245,10.827,11.21,11.21,288014,0.0,1.0
2025-11-19,KYIV,12.26,12.44,11.795,12.19,12.19,1276567,0.0,1.0
2025-11-20,KYIV,12.3,12.88,11.45,11.52,11.52,995141,0.0,1.0
2025-11-21,KYIV,11.7,13.1,11.58,12.93,12.93,1459282,0.0,1.0
2025-11-24,KYIV,14.0,14.4,13.1001,13.63,13.63,2319605,0.0,1.0
2025-11-25,KYIV,14.47,14.8,13.14,14.51,14.51,1923490,0.0,1.0
2025-11-26,KYIV,14.04,14.39,13.25,14.3,14.3,1290191,0.0,1.0
2025-11-28,KYIV,14.3,14.95,13.9,14.17,14.17,760517,0.0,1.0
2025-12-01,KYIV,13.96,13.995,13.31,13.61,13.61,590395,0.0,1.0
2025-12-02,KYIV,13.835,14.28,13.23,13.98,13.98,613109,0.0,1.0
2025-12-03,KYIV,13.48,13.71,13.0,13.7,13.7,725190,0.0,1.0
2025-12-04,KYIV,13.49,13.95,13.17,13.72,13.72,549581,0.0,1.0
2025-12-05,KYIV,13.72,14.06,13.61,13.9,13.9,473220,0.0,1.0
2025-12-08,KYIV,13.7,14.115,13.55,14.08,14.08,535196,0.0,1.0
2025-12-09,KYIV,13.97,14.41,13.72,14.28,14.28,371502,0.0,1.0
2025-12-10,KYIV,14.235,14.6,14.235,14.42,14.42,419123,0.0,1.0
2025-12-11,KYIV,14.6,14.94,14.25,14.87,14.87,662407,0.0,1.0
2025-12-12,KYIV,14.91,15.1,14.64,15.01,15.01,1149635,0.0,1.0
2025-12-15,KYIV,15.16,15.2467,14.1,14.77,14.77,775823,0.0,1.0
2025-12-16,KYIV,15.05,15.3,14.71,15.1,15.1,666543,0.0,1.0
2025-12-17,KYIV,15.09,15.1499,14.602,14.84,14.84,730914,0.0,1.0
2025-12-18,KYIV,14.7,14.75,13.88,13.89,13.89,464810,0.0,1.0
2025-12-19,KYIV,13.58,13.99,13.43,13.6,13.6,642406,0.0,1.0
2025-12-22,KYIV,13.73,13.73,13.07,13.11,13.11,392800,0.0,1.0
2025-12-23,KYIV,13.16,13.5,13.0,13.44,13.44,262597,0.0,1.0
2025-12-24,KYIV,13.67,13.7,13.42,13.49,13.49,216660,0.0,1.0
2025-12-26,KYIV,13.5,13.7,13.2,13.49,13.49,539961,0.0,1.0
