date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2019-03-25,LAZR,9.8,9.8,9.65,9.8,147.0,102500,0.0,1.0
2019-03-26,LAZR,9.81,9.81,9.81,9.81,147.15,2500,0.0,1.0
2019-03-27,LAZR,9.81,9.81,9.81,9.81,147.15,0,0.0,1.0
2019-03-28,LAZR,9.75,9.75,9.75,9.75,146.25,560,0.0,1.0
2019-03-29,LAZR,9.75,9.75,9.75,9.75,146.25,60,0.0,1.0
2019-04-01,LAZR,9.8,9.84,9.8,9.825,147.375,548090,0.0,1.0
2019-04-02,LAZR,9.81,9.81,9.81,9.81,147.15,188798,0.0,1.0
2019-04-03,LAZR,9.81,9.81,9.81,9.81,147.15,0,0.0,1.0
2019-04-04,LAZR,9.8,9.8,9.79,9.79,146.85,1700,0.0,1.0
2019-04-05,LAZR,9.82,9.82,9.82,9.82,147.3,1000,0.0,1.0
2019-04-08,LAZR,9.83,9.83,9.83,9.83,147.45,1000,0.0,1.0
2019-04-09,LAZR,9.83,9.83,9.83,9.83,147.45,100,0.0,1.0
2019-04-10,LAZR,9.83,9.83,9.8,9.8,147.0,1400,0.0,1.0
2019-04-11,LAZR,9.8,9.8,9.8,9.8,147.0,0,0.0,1.0
2019-04-12,LAZR,9.85,9.85,9.85,9.85,147.75,8432,0.0,1.0
2019-04-15,LAZR,9.85,9.85,9.85,9.85,147.75,3,0.0,1.0
2019-04-16,LAZR,9.85,9.85,9.85,9.85,147.75,4,0.0,1.0
2019-04-17,LAZR,9.795,9.83,9.795,9.83,147.45,600,0.0,1.0
2019-04-18,LAZR,9.8,9.825,9.8,9.82,147.3,390605,0.0,1.0
2019-04-22,LAZR,9.8,9.8,9.8,9.8,147.0,50003,0.0,1.0
2019-04-23,LAZR,9.85,9.85,9.85,9.85,147.75,902,0.0,1.0
2019-04-24,LAZR,9.8,9.8,9.8,9.8,147.0,100,0.0,1.0
2019-04-25,LAZR,9.85,9.85,9.8,9.85,147.75,94365,0.0,1.0
2019-04-26,LAZR,9.86,9.86,9.81,9.83,147.45,1111,0.0,1.0
2019-04-29,LAZR,9.83,9.83,9.83,9.83,147.45,101,0.0,1.0
2019-04-30,LAZR,9.83,9.83,9.83,9.83,147.45,10,0.0,1.0
2019-05-01,LAZR,9.83,9.83,9.83,9.83,147.45,32,0.0,1.0
2019-05-02,LAZR,9.86,9.9,9.86,9.9,148.5,308,0.0,1.0
2019-05-03,LAZR,9.85,9.9,9.85,9.9,148.5,24980,0.0,1.0
2019-05-06,LAZR,9.9,9.9,9.9,9.9,148.5,40,0.0,1.0
2019-05-07,LAZR,9.9,9.9,9.9,9.9,148.5,10,0.0,1.0
2019-05-08,LAZR,9.9,9.9,9.9,9.9,148.5,2,0.0,1.0
2019-05-09,LAZR,9.9,9.9,9.9,9.9,148.5,0,0.0,1.0
2019-05-10,LAZR,9.9,9.9,9.9,9.9,148.5,9,0.0,1.0
2019-05-13,LAZR,9.9,9.9,9.9,9.9,148.5,0,0.0,1.0
2019-05-14,LAZR,9.9,9.9,9.9,9.9,148.5,0,0.0,1.0
2019-05-15,LAZR,9.9,9.9,9.9,9.9,148.5,64,0.0,1.0
2019-05-16,LAZR,9.9,9.9,9.9,9.9,148.5,0,0.0,1.0
2019-05-17,LAZR,9.97,9.97,9.97,9.97,149.55,100,0.0,1.0
2019-05-20,LAZR,9.97,9.97,9.93,9.93,148.95,6225,0.0,1.0
2019-05-21,LAZR,9.93,9.93,9.93,9.93,148.95,2,0.0,1.0
