date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2024-02-22,LOT,14.7,16.55,12.1,13.51,13.51,107500,0.0,1.0
2024-02-23,LOT,17.99,17.99,10.12,13.8,13.8,192934,0.0,1.0
2024-02-26,LOT,13.17,15.8,12.2,14.25,14.25,133168,0.0,1.0
2024-02-27,LOT,13.67,13.99,10.51,11.3,11.3,166349,0.0,1.0
2024-02-28,LOT,11.31,11.8737,9.5,9.87,9.87,75422,0.0,1.0
2024-02-29,LOT,9.6,9.6,7.1003,7.44,7.44,149797,0.0,1.0
2024-03-01,LOT,7.44,8.3,7.4093,7.96,7.96,44167,0.0,1.0
2024-03-04,LOT,8.1,8.6297,6.42,6.7,6.7,113095,0.0,1.0
2024-03-05,LOT,6.77,6.9594,5.52,5.78,5.78,104857,0.0,1.0
2024-03-06,LOT,5.8,6.34,5.5,5.75,5.75,84945,0.0,1.0
2024-03-07,LOT,5.78,6.7,5.5996,6.29,6.29,105936,0.0,1.0
2024-03-08,LOT,6.5,7.95,6.3,7.42,7.42,179518,0.0,1.0
2024-03-11,LOT,7.53,8.923,7.53,8.37,8.37,154598,0.0,1.0
2024-03-12,LOT,8.4,8.85,6.5401,7.84,7.84,319309,0.0,1.0
2024-03-13,LOT,7.51,8.19,7.37,7.37,7.37,77571,0.0,1.0
2024-03-14,LOT,7.52,7.8999,7.08,7.08,7.08,48773,0.0,1.0
2024-03-15,LOT,7.1,7.4999,7.0,7.22,7.22,38826,0.0,1.0
2024-03-18,LOT,7.33,7.96,7.2201,7.3,7.3,68794,0.0,1.0
2024-03-19,LOT,7.2,7.8999,7.2,7.22,7.22,54508,0.0,1.0
2024-03-20,LOT,7.21,7.8,7.21,7.44,7.44,89360,0.0,1.0
2024-03-21,LOT,7.46,7.7999,7.01,7.1,7.1,93058,0.0,1.0
2024-03-22,LOT,7.1,7.35,6.69,6.69,6.69,44700,0.0,1.0
2024-03-25,LOT,6.9,6.94,6.675,6.71,6.71,41659,0.0,1.0
2024-03-26,LOT,6.96,7.2316,6.0,6.13,6.13,70171,0.0,1.0
2024-03-27,LOT,6.32,6.68,6.1571,6.35,6.35,47964,0.0,1.0
2024-03-28,LOT,6.55,6.83,6.41,6.82,6.82,42105,0.0,1.0
2024-04-01,LOT,6.88,6.93,6.3799,6.86,6.86,37553,0.0,1.0
2024-04-02,LOT,6.51,7.15,6.51,7.02,7.02,41392,0.0,1.0
2024-04-03,LOT,6.67,7.1999,6.67,6.85,6.85,35520,0.0,1.0
2024-04-04,LOT,6.85,6.9899,6.74,6.8,6.8,24551,0.0,1.0
2024-04-05,LOT,6.9,6.9999,6.75,6.76,6.76,24237,0.0,1.0
2024-04-08,LOT,6.6,6.9999,6.6,6.92,6.92,32362,0.0,1.0
2024-04-09,LOT,6.9,7.05,6.75,6.7512,6.7512,18882,0.0,1.0
2024-04-10,LOT,6.7,6.93,6.3,6.54,6.54,48101,0.0,1.0
2024-04-11,LOT,6.63,6.86,6.6001,6.72,6.72,9472,0.0,1.0
2024-04-12,LOT,6.95,6.95,6.6,6.715,6.715,16162,0.0,1.0
2024-04-15,LOT,6.8,6.95,6.2502,6.36,6.36,16181,0.0,1.0
2024-04-16,LOT,6.74,6.74,6.2,6.25,6.25,17789,0.0,1.0
2024-04-17,LOT,6.4,6.4023,6.25,6.25,6.25,9502,0.0,1.0
2024-04-18,LOT,6.19,6.3623,6.06,6.06,6.06,14902,0.0,1.0
2024-04-19,LOT,6.06,6.257,5.5,5.67,5.67,54762,0.0,1.0
2024-04-22,LOT,5.67,5.98,5.532,5.88,5.88,13982,0.0,1.0
2024-04-23,LOT,5.95,6.1799,5.835,5.835,5.835,11171,0.0,1.0
2024-04-24,LOT,5.85,6.1899,5.85,5.892,5.892,9324,0.0,1.0
2024-04-25,LOT,5.6001,6.15,5.6001,5.9,5.9,10364,0.0,1.0
2024-04-26,LOT,6.17,6.17,5.64,5.64,5.64,9451,0.0,1.0
2024-04-29,LOT,5.67,6.19,5.67,6.04,6.04,21576,0.0,1.0
2024-04-30,LOT,5.94,6.2,5.83,5.83,5.83,11372,0.0,1.0
2024-05-01,LOT,6.07,6.5093,6.0,6.38,6.38,32864,0.0,1.0
2024-05-02,LOT,6.45,7.975,6.45,7.08,7.08,82901,0.0,1.0
2024-05-03,LOT,7.3,7.62,7.03,7.095,7.095,47222,0.0,1.0
2024-05-06,LOT,7.03,8.0,7.03,7.31,7.31,75800,0.0,1.0
2024-05-07,LOT,7.44,7.89,7.26,7.8,7.8,64468,0.0,1.0
2024-05-08,LOT,7.98,8.82,7.86,8.65,8.65,231297,0.0,1.0
2024-05-09,LOT,8.68,8.7,7.9,8.01,8.01,93909,0.0,1.0
2024-05-10,LOT,8.37,8.48,7.5,7.5,7.5,84578,0.0,1.0
2024-05-13,LOT,7.46,8.0018,7.3,7.82,7.82,83059,0.0,1.0
2024-05-14,LOT,7.8665,8.25,7.73,7.91,7.91,86912,0.0,1.0
2024-05-15,LOT,7.985,8.4758,7.689,7.86,7.86,333837,0.0,1.0
2024-05-16,LOT,7.78,8.3838,7.78,8.33,8.33,181078,0.0,1.0
2024-05-17,LOT,8.21,9.68,8.06,8.4,8.4,221788,0.0,1.0
2024-05-20,LOT,8.68,8.98,8.1,8.54,8.54,322838,0.0,1.0
2024-05-21,LOT,8.53,9.3,8.37,9.2,9.2,339813,0.0,1.0
2024-05-22,LOT,9.0,9.362,9.0,9.11,9.11,173476,0.0,1.0
2024-05-23,LOT,9.3,10.0,8.818,9.99,9.99,410202,0.0,1.0
2024-05-24,LOT,9.96,10.0,7.98,10.0,10.0,703564,0.0,1.0
2024-05-28,LOT,9.39,10.9,9.39,10.9,10.9,339759,0.0,1.0
2024-05-29,LOT,11.3,13.85,10.9,13.68,13.68,1789319,0.0,1.0
2024-05-30,LOT,13.01,13.5,12.37,13.04,13.04,1266441,0.0,1.0
2024-05-31,LOT,12.87,12.87,9.4501,9.81,9.81,832274,0.0,1.0
2024-06-03,LOT,9.85,10.44,9.48,10.31,10.31,388795,0.0,1.0
2024-06-04,LOT,10.02,10.0799,9.15,9.28,9.28,222411,0.0,1.0
2024-06-05,LOT,9.2,9.42,8.46,8.83,8.83,286741,0.0,1.0
2024-06-06,LOT,8.9,8.99,7.61,7.65,7.65,310427,0.0,1.0
2024-06-07,LOT,7.9,8.08,7.76,7.82,7.82,109760,0.0,1.0
2024-06-10,LOT,7.63,7.85,7.5,7.6,7.6,169129,0.0,1.0
2024-06-11,LOT,7.59,7.8087,6.635,6.73,6.73,454246,0.0,1.0
2024-06-12,LOT,6.81,7.0756,6.2,6.6,6.6,137716,0.0,1.0
2024-06-13,LOT,6.54,6.9,6.51,6.8,6.8,61682,0.0,1.0
2024-06-14,LOT,6.8,7.05,6.8,6.96,6.96,40119,0.0,1.0
2024-06-17,LOT,6.84,7.03,6.51,6.8,6.8,108573,0.0,1.0
2024-06-18,LOT,6.8,6.8,6.35,6.5,6.5,76612,0.0,1.0
2024-06-20,LOT,6.36,6.62,6.15,6.62,6.62,69931,0.0,1.0
2024-06-21,LOT,6.49,6.83,6.41,6.82,6.82,86046,0.0,1.0
2024-06-24,LOT,6.72,7.17,6.55,6.79,6.79,49494,0.0,1.0
2024-06-25,LOT,6.62,7.15,6.615,6.97,6.97,135737,0.0,1.0
2024-06-26,LOT,6.87,7.0018,6.87,6.94,6.94,82396,0.0,1.0
