date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2019-05-09,LOTZ,9.75,9.75,9.75,9.75,9.75,10001,0.0,1.0
2019-05-10,LOTZ,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-05-13,LOTZ,9.75,9.75,9.75,9.75,9.75,1,0.0,1.0
2019-05-14,LOTZ,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-05-15,LOTZ,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-05-16,LOTZ,9.75,9.75,9.75,9.75,9.75,1,0.0,1.0
2019-05-17,LOTZ,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-05-20,LOTZ,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-05-21,LOTZ,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-05-22,LOTZ,9.75,9.75,9.75,9.75,9.75,1,0.0,1.0
2019-05-23,LOTZ,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-05-24,LOTZ,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-05-28,LOTZ,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-05-29,LOTZ,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-05-30,LOTZ,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-05-31,LOTZ,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-06-03,LOTZ,9.75,9.75,9.75,9.75,9.75,1,0.0,1.0
2019-06-04,LOTZ,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-06-05,LOTZ,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-06-06,LOTZ,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-06-07,LOTZ,9.68,9.68,9.68,9.68,9.68,4000,0.0,1.0
2019-06-10,LOTZ,9.68,9.68,9.68,9.68,9.68,0,0.0,1.0
2019-06-11,LOTZ,9.68,9.68,9.68,9.68,9.68,0,0.0,1.0
2019-06-12,LOTZ,9.68,9.68,9.68,9.68,9.68,0,0.0,1.0
2019-06-13,LOTZ,9.68,9.68,9.68,9.68,9.68,0,0.0,1.0
2019-06-14,LOTZ,9.8,9.8,9.8,9.8,9.8,200,0.0,1.0
2019-06-17,LOTZ,9.8,9.8,9.8,9.8,9.8,7,0.0,1.0
2019-06-18,LOTZ,9.8,9.8,9.8,9.8,9.8,0,0.0,1.0
2019-06-19,LOTZ,9.8,9.8,9.8,9.8,9.8,0,0.0,1.0
2019-06-20,LOTZ,9.8,9.8,9.8,9.8,9.8,100,0.0,1.0
2019-06-21,LOTZ,9.75,9.75,9.75,9.75,9.75,10120,0.0,1.0
2019-06-24,LOTZ,9.75,9.75,9.75,9.75,9.75,1,0.0,1.0
2019-06-25,LOTZ,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-06-26,LOTZ,9.75,9.75,9.75,9.75,9.75,19600,0.0,1.0
2019-06-27,LOTZ,10.01,10.01,9.75,9.75,9.75,20900,0.0,1.0
2019-06-28,LOTZ,9.72,9.73,9.72,9.72,9.72,3900,0.0,1.0
2019-07-01,LOTZ,9.72,9.72,9.72,9.72,9.72,0,0.0,1.0
2019-07-02,LOTZ,9.75,9.75,9.75,9.75,9.75,299600,0.0,1.0
2019-07-03,LOTZ,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-07-05,LOTZ,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-07-08,LOTZ,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-07-09,LOTZ,9.76,9.76,9.76,9.76,9.76,3400,0.0,1.0
2019-07-10,LOTZ,9.76,9.76,9.76,9.76,9.76,0,0.0,1.0
2019-07-11,LOTZ,9.76,9.76,9.76,9.76,9.76,0,0.0,1.0
2019-07-12,LOTZ,9.76,9.76,9.76,9.76,9.76,0,0.0,1.0
2019-07-15,LOTZ,9.76,9.76,9.76,9.76,9.76,0,0.0,1.0
2019-07-16,LOTZ,9.76,9.8,9.76,9.8,9.8,409716,0.0,1.0
2019-07-17,LOTZ,9.8,9.8,9.8,9.8,9.8,0,0.0,1.0
2019-07-18,LOTZ,9.8,9.8,9.8,9.8,9.8,0,0.0,1.0
2019-07-19,LOTZ,9.75,9.75,9.75,9.75,9.75,9500,0.0,1.0
2019-07-22,LOTZ,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-07-23,LOTZ,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-07-24,LOTZ,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2019-07-25,LOTZ,9.77,9.77,9.77,9.77,9.77,14884,0.0,1.0
2019-07-26,LOTZ,9.77,9.77,9.77,9.77,9.77,27025,0.0,1.0
2019-07-29,LOTZ,9.77,9.77,9.77,9.77,9.77,1,0.0,1.0
2019-07-30,LOTZ,9.77,9.77,9.77,9.77,9.77,2,0.0,1.0
2019-07-31,LOTZ,9.77,9.77,9.77,9.77,9.77,1,0.0,1.0
2019-08-01,LOTZ,9.77,9.77,9.77,9.77,9.77,26,0.0,1.0
2019-08-02,LOTZ,9.77,9.77,9.77,9.77,9.77,100,0.0,1.0
2019-08-05,LOTZ,9.77,9.77,9.77,9.77,9.77,1,0.0,1.0
2019-08-06,LOTZ,9.77,9.77,9.77,9.77,9.77,2,0.0,1.0
2019-08-07,LOTZ,9.77,9.77,9.77,9.77,9.77,8,0.0,1.0
2019-08-08,LOTZ,9.79,9.81,9.79,9.81,9.81,717086,0.0,1.0
2019-08-09,LOTZ,9.81,9.81,9.81,9.81,9.81,109,0.0,1.0
2019-08-12,LOTZ,9.81,9.81,9.79,9.81,9.81,514900,0.0,1.0
2019-08-13,LOTZ,9.81,9.9,9.81,9.9,9.9,501859,0.0,1.0
2019-08-14,LOTZ,9.8,9.9,9.8,9.9,9.9,1100409,0.0,1.0
2019-08-15,LOTZ,9.9,9.9,9.9,9.9,9.9,802,0.0,1.0
2019-08-16,LOTZ,9.8,9.9,9.8,9.81,9.81,1436,0.0,1.0
2019-08-19,LOTZ,9.81,9.81,9.81,9.81,9.81,9,0.0,1.0
2019-08-20,LOTZ,9.9,9.9,9.9,9.9,9.9,1000,0.0,1.0
2019-08-21,LOTZ,9.84,9.84,9.84,9.84,9.84,450024,0.0,1.0
2019-08-22,LOTZ,9.84,9.84,9.84,9.84,9.84,1,0.0,1.0
2019-08-23,LOTZ,9.81,9.84,9.8,9.8,9.8,1374,0.0,1.0
2019-08-26,LOTZ,9.873,9.873,9.873,9.873,9.873,100,0.0,1.0
2019-08-27,LOTZ,9.873,9.873,9.873,9.873,9.873,0,0.0,1.0
2019-08-28,LOTZ,9.873,9.873,9.873,9.873,9.873,3,0.0,1.0
2019-08-29,LOTZ,9.84,9.85,9.84,9.84,9.84,550200,0.0,1.0
2019-08-30,LOTZ,9.84,9.84,9.84,9.84,9.84,0,0.0,1.0
2019-09-03,LOTZ,9.8,9.88,9.8,9.88,9.88,22080,0.0,1.0
2019-09-04,LOTZ,9.86,9.88,9.85,9.85,9.85,1075150,0.0,1.0
2019-09-05,LOTZ,9.87,9.87,9.85,9.85,9.85,10213,0.0,1.0
2019-09-06,LOTZ,9.85,9.85,9.85,9.85,9.85,132500,0.0,1.0
2019-09-09,LOTZ,9.87,9.87,9.85,9.85,9.85,316665,0.0,1.0
2019-09-10,LOTZ,9.87,9.87,9.83,9.83,9.83,201500,0.0,1.0
2019-09-11,LOTZ,9.83,9.83,9.83,9.83,9.83,206,0.0,1.0
2019-09-12,LOTZ,9.88,9.88,9.88,9.88,9.88,123,0.0,1.0
2019-09-13,LOTZ,9.87,9.88,9.87,9.88,9.88,10311,0.0,1.0
2019-09-16,LOTZ,9.8558,9.88,9.8558,9.88,9.88,17364,0.0,1.0
2019-09-17,LOTZ,9.88,9.88,9.88,9.88,9.88,29,0.0,1.0
2019-09-18,LOTZ,9.9,9.9,9.9,9.9,9.9,1012,0.0,1.0
2019-09-19,LOTZ,9.9,9.9,9.9,9.9,9.9,8,0.0,1.0
2019-09-20,LOTZ,9.92,9.95,9.92,9.95,9.95,2221,0.0,1.0
2019-09-23,LOTZ,9.9,9.9,9.9,9.9,9.9,3848,0.0,1.0
2019-09-24,LOTZ,9.9,9.9,9.9,9.9,9.9,47,0.0,1.0
2019-09-25,LOTZ,9.9,9.9,9.9,9.9,9.9,49,0.0,1.0
2019-09-26,LOTZ,9.9,9.9,9.9,9.9,9.9,8,0.0,1.0
2019-09-27,LOTZ,9.9,9.9,9.9,9.9,9.9,11,0.0,1.0
2019-09-30,LOTZ,9.9,9.9,9.9,9.9,9.9,15,0.0,1.0
2019-10-01,LOTZ,9.9,9.9,9.9,9.9,9.9,12,0.0,1.0
2019-10-02,LOTZ,9.9,9.9,9.9,9.9,9.9,27,0.0,1.0
2019-10-03,LOTZ,9.9,9.9,9.9,9.9,9.9,14,0.0,1.0
2019-10-04,LOTZ,9.9,9.9,9.9,9.9,9.9,5,0.0,1.0
2019-10-07,LOTZ,9.9,9.9,9.9,9.9,9.9,4,0.0,1.0
2019-10-08,LOTZ,9.82,9.95,9.82,9.95,9.95,219,0.0,1.0
2019-10-09,LOTZ,9.95,9.95,9.95,9.95,9.95,30,0.0,1.0
