date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-11-17,LUNR,9.65,9.65,9.65,9.65,9.65,1031,0.0,1.0
2021-11-18,LUNR,9.6725,9.6725,9.6725,9.6725,9.6725,150,0.0,1.0
2021-11-19,LUNR,9.67,9.69,9.65,9.66,9.66,82120,0.0,1.0
2021-11-22,LUNR,9.66,9.69,9.66,9.67,9.67,24960,0.0,1.0
2021-11-23,LUNR,9.66,9.66,9.655,9.66,9.66,85970,0.0,1.0
2021-11-24,LUNR,9.6799,9.68,9.66,9.6791,9.6791,13563,0.0,1.0
2021-11-26,LUNR,9.66,9.68,9.63,9.67,9.67,542578,0.0,1.0
2021-11-29,LUNR,9.76,9.76,9.66,9.68,9.68,616,0.0,1.0
2021-11-30,LUNR,9.7,9.71,9.69,9.71,9.71,6705,0.0,1.0
2021-12-01,LUNR,9.7,9.71,9.68,9.71,9.71,1753,0.0,1.0
2021-12-02,LUNR,9.7,9.7,9.6991,9.6991,9.6991,501,0.0,1.0
2021-12-03,LUNR,9.7,9.7,9.6995,9.6995,9.6995,1019,0.0,1.0
2021-12-06,LUNR,9.69,9.7,9.68,9.68,9.68,2711,0.0,1.0
2021-12-07,LUNR,9.68,9.68,9.68,9.68,9.68,64,0.0,1.0
2021-12-08,LUNR,9.63,9.7,9.63,9.66,9.66,3235,0.0,1.0
2021-12-09,LUNR,9.69,9.7,9.69,9.69,9.69,2612,0.0,1.0
2021-12-10,LUNR,9.68,9.69,9.66,9.66,9.66,202464,0.0,1.0
2021-12-13,LUNR,9.6899,9.6899,9.6597,9.6597,9.6597,600,0.0,1.0
2021-12-14,LUNR,9.69,9.69,9.61,9.69,9.69,1202,0.0,1.0
2021-12-15,LUNR,9.69,9.69,9.69,9.69,9.69,2,0.0,1.0
2021-12-16,LUNR,9.69,9.69,9.69,9.69,9.69,1,0.0,1.0
2021-12-17,LUNR,9.64,9.69,9.64,9.69,9.69,1008,0.0,1.0
2021-12-20,LUNR,9.65,9.65,9.65,9.65,9.65,5200,0.0,1.0
2021-12-21,LUNR,9.65,9.66,9.65,9.66,9.66,6002,0.0,1.0
2021-12-22,LUNR,9.67,9.6799,9.66,9.6601,9.6601,17908,0.0,1.0
2021-12-23,LUNR,9.69,9.69,9.69,9.69,9.69,150,0.0,1.0
2021-12-27,LUNR,9.69,9.69,9.69,9.69,9.69,1,0.0,1.0
2021-12-28,LUNR,9.69,9.69,9.69,9.69,9.69,0,0.0,1.0
2021-12-29,LUNR,9.69,9.69,9.69,9.69,9.69,79,0.0,1.0
2021-12-30,LUNR,9.69,9.69,9.69,9.69,9.69,32,0.0,1.0
2021-12-31,LUNR,9.64,9.64,9.64,9.64,9.64,533,0.0,1.0
2022-01-03,LUNR,9.66,9.69,9.66,9.69,9.69,1655,0.0,1.0
2022-01-04,LUNR,9.69,9.69,9.69,9.69,9.69,0,0.0,1.0
2022-01-05,LUNR,9.69,9.69,9.69,9.69,9.69,0,0.0,1.0
2022-01-06,LUNR,9.69,9.69,9.69,9.69,9.69,2,0.0,1.0
2022-01-07,LUNR,9.66,9.66,9.66,9.66,9.66,133,0.0,1.0
2022-01-10,LUNR,9.66,9.66,9.66,9.66,9.66,0,0.0,1.0
2022-01-11,LUNR,9.66,9.66,9.66,9.66,9.66,0,0.0,1.0
2022-01-12,LUNR,9.66,9.66,9.66,9.66,9.66,0,0.0,1.0
2022-01-13,LUNR,9.685,9.7,9.67,9.69,9.69,8860,0.0,1.0
2022-01-14,LUNR,9.69,9.69,9.69,9.69,9.69,4,0.0,1.0
2022-01-18,LUNR,9.69,9.69,9.69,9.69,9.69,1,0.0,1.0
2022-01-19,LUNR,9.69,9.69,9.69,9.69,9.69,0,0.0,1.0
2022-01-20,LUNR,9.69,9.69,9.67,9.67,9.67,41808,0.0,1.0
