date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2022-09-26,LVWR,8.1,10.71,8.05,9.39,9.39,3893500,0.0,1.0
2022-09-27,LVWR,9.0,11.625,8.2,8.25,8.25,1224979,0.0,1.0
2022-09-28,LVWR,7.91,8.1356,6.75,7.35,7.35,366567,0.0,1.0
2022-09-29,LVWR,7.12,7.32,7.0,7.1,7.1,103897,0.0,1.0
2022-09-30,LVWR,7.13,7.48,7.0,7.18,7.18,707166,0.0,1.0
2022-10-03,LVWR,9.97,10.5,7.8502,9.3,9.3,3265242,0.0,1.0
2022-10-04,LVWR,9.26,10.2,8.94,9.63,9.63,814461,0.0,1.0
2022-10-05,LVWR,9.11,9.96,8.62,9.52,9.52,345657,0.0,1.0
2022-10-06,LVWR,9.45,9.75,8.81,9.28,9.28,138206,0.0,1.0
2022-10-07,LVWR,9.1,9.5,8.82,9.45,9.45,111104,0.0,1.0
2022-10-10,LVWR,9.36,9.36,8.65,8.76,8.76,89794,0.0,1.0
2022-10-11,LVWR,8.61,8.9,8.5301,8.6,8.6,77993,0.0,1.0
2022-10-12,LVWR,8.55,8.78,7.72,7.79,7.79,106795,0.0,1.0
2022-10-13,LVWR,8.0,8.19,7.7538,8.08,8.08,55201,0.0,1.0
2022-10-14,LVWR,7.91,7.99,7.44,7.44,7.44,42931,0.0,1.0
2022-10-17,LVWR,7.61,7.61,6.99,7.0,7.0,141741,0.0,1.0
2022-10-18,LVWR,7.17,7.4,7.05,7.07,7.07,25645,0.0,1.0
2022-10-19,LVWR,7.05,7.22,7.05,7.13,7.13,28029,0.0,1.0
2022-10-20,LVWR,7.15,7.4499,7.01,7.19,7.19,29593,0.0,1.0
2022-10-21,LVWR,7.0938,7.77,7.0938,7.69,7.69,57512,0.0,1.0
2022-10-24,LVWR,7.6,7.67,7.41,7.5,7.5,43008,0.0,1.0
2022-10-25,LVWR,7.49,7.665,7.3,7.62,7.62,29104,0.0,1.0
2022-10-26,LVWR,7.58,7.6761,7.32,7.44,7.44,36747,0.0,1.0
2022-10-27,LVWR,7.48,7.7,7.46,7.7,7.7,14912,0.0,1.0
2022-10-28,LVWR,7.62,8.38,7.5308,8.0,8.0,58340,0.0,1.0
2022-10-31,LVWR,8.04,8.39,7.94,8.23,8.23,31137,0.0,1.0
2022-11-01,LVWR,8.38,8.4,8.05,8.05,8.05,13377,0.0,1.0
2022-11-02,LVWR,8.02,8.14,7.36,7.46,7.46,33954,0.0,1.0
2022-11-03,LVWR,7.48,7.58,7.3,7.41,7.41,45074,0.0,1.0
2022-11-04,LVWR,7.41,7.51,7.06,7.06,7.06,44278,0.0,1.0
2022-11-07,LVWR,6.99,7.3526,6.71,7.0,7.0,31760,0.0,1.0
2022-11-08,LVWR,7.08,7.4598,6.86,6.86,6.86,18620,0.0,1.0
2022-11-09,LVWR,6.91,7.15,6.26,6.26,6.26,21605,0.0,1.0
2022-11-10,LVWR,6.45,6.69,6.2,6.25,6.25,45780,0.0,1.0
2022-11-11,LVWR,6.79,6.99,6.5,6.55,6.55,29508,0.0,1.0
2022-11-14,LVWR,6.49,6.7439,6.33,6.62,6.62,24951,0.0,1.0
2022-11-15,LVWR,6.5,7.17,6.2,6.2,6.2,58197,0.0,1.0
2022-11-16,LVWR,6.3,6.3545,5.75,5.85,5.85,53778,0.0,1.0
2022-11-17,LVWR,5.8,6.07,5.79,5.92,5.92,10216,0.0,1.0
2022-11-18,LVWR,6.42,6.5783,5.75,5.75,5.75,27461,0.0,1.0
2022-11-21,LVWR,6.3,6.3,5.425,5.46,5.46,37321,0.0,1.0
2022-11-22,LVWR,5.62,5.79,5.4,5.73,5.73,18025,0.0,1.0
2022-11-23,LVWR,5.79,5.98,5.72,5.98,5.98,9247,0.0,1.0
2022-11-25,LVWR,5.97,6.06,5.79,5.8,5.8,3396,0.0,1.0
2022-11-28,LVWR,6.02,6.34,6.01,6.06,6.06,31345,0.0,1.0
2022-11-29,LVWR,5.98,6.29,5.98,6.12,6.12,9711,0.0,1.0
2022-11-30,LVWR,6.03,6.99,6.03,6.97,6.97,24773,0.0,1.0
2022-12-01,LVWR,6.84,7.0,6.71,6.8,6.8,13503,0.0,1.0
2022-12-02,LVWR,6.66,7.0,6.64,6.88,6.88,6134,0.0,1.0
2022-12-05,LVWR,6.78,6.8,6.4,6.42,6.42,9801,0.0,1.0
2022-12-06,LVWR,6.27,6.27,5.54,5.92,5.92,43700,0.0,1.0
2022-12-07,LVWR,5.92,5.99,5.9,5.94,5.94,8457,0.0,1.0
2022-12-08,LVWR,5.9,6.1799,5.7601,5.8,5.8,6952,0.0,1.0
2022-12-09,LVWR,5.8,6.1394,5.8,5.8,5.8,5525,0.0,1.0
2022-12-12,LVWR,5.77,6.05,5.77,5.87,5.87,3744,0.0,1.0
2022-12-13,LVWR,6.45,6.45,5.78,5.91,5.91,7753,0.0,1.0
2022-12-14,LVWR,5.99,6.2399,5.62,5.66,5.66,10977,0.0,1.0
2022-12-15,LVWR,5.56,5.6,5.25,5.3,5.3,16061,0.0,1.0
2022-12-16,LVWR,5.3,5.5,5.3,5.3,5.3,10686,0.0,1.0
2022-12-19,LVWR,5.1,5.15,5.0,5.09,5.09,27545,0.0,1.0
2022-12-20,LVWR,5.02,5.39,4.99,5.26,5.26,23117,0.0,1.0
2022-12-21,LVWR,5.11,5.26,5.01,5.01,5.01,5093,0.0,1.0
2022-12-22,LVWR,5.0,5.19,5.0,5.09,5.09,5346,0.0,1.0
2022-12-23,LVWR,5.15,5.15,4.9,4.99,4.99,10118,0.0,1.0
2022-12-27,LVWR,4.79,4.975,4.76,4.76,4.76,9543,0.0,1.0
2022-12-28,LVWR,4.75,4.8361,4.2,4.2,4.2,25928,0.0,1.0
2022-12-29,LVWR,4.25,4.73,4.25,4.65,4.65,13852,0.0,1.0
2022-12-30,LVWR,4.43,5.1499,4.43,4.85,4.85,31879,0.0,1.0
2023-01-03,LVWR,5.0,5.31,5.0,5.08,5.08,14191,0.0,1.0
2023-01-04,LVWR,5.0,5.4999,5.0,5.3,5.3,9973,0.0,1.0
2023-01-05,LVWR,5.22,5.3,5.06,5.19,5.19,9994,0.0,1.0
2023-01-06,LVWR,5.15,5.4,4.9943,5.21,5.21,10286,0.0,1.0
2023-01-09,LVWR,5.42,5.42,4.88,5.24,5.24,11829,0.0,1.0
2023-01-10,LVWR,5.35,5.5,5.325,5.45,5.45,11492,0.0,1.0
2023-01-11,LVWR,5.45,5.55,5.275,5.37,5.37,14809,0.0,1.0
2023-01-12,LVWR,5.3,5.6623,5.15,5.221,5.221,16987,0.0,1.0
2023-01-13,LVWR,5.16,5.53,5.145,5.21,5.21,12934,0.0,1.0
2023-01-17,LVWR,5.32,5.37,5.1875,5.22,5.22,7022,0.0,1.0
2023-01-18,LVWR,5.5,5.55,5.19,5.3675,5.3675,12810,0.0,1.0
2023-01-19,LVWR,5.37,5.37,5.0,5.04,5.04,13461,0.0,1.0
2023-01-20,LVWR,5.0,5.26,5.0,5.09,5.09,10036,0.0,1.0
2023-01-23,LVWR,5.27,5.43,5.1,5.22,5.22,15562,0.0,1.0
2023-01-24,LVWR,5.42,5.49,5.17,5.32,5.32,5052,0.0,1.0
2023-01-25,LVWR,5.32,7.4999,5.21,5.795,5.795,125914,0.0,1.0
2023-01-26,LVWR,6.08,6.21,5.6,5.89,5.89,23758,0.0,1.0
2023-01-27,LVWR,5.97,6.4099,5.97,6.1,6.1,44202,0.0,1.0
2023-01-30,LVWR,6.07,6.3531,5.9,5.9,5.9,19789,0.0,1.0
2023-01-31,LVWR,5.94,6.7,5.91,6.29,6.29,59247,0.0,1.0
2023-02-01,LVWR,6.16,6.16,5.65,5.81,5.81,47602,0.0,1.0
2023-02-02,LVWR,6.12,6.43,6.05,6.41,6.41,48838,0.0,1.0
2023-02-03,LVWR,6.14,6.83,6.0741,6.7,6.7,20406,0.0,1.0
2023-02-06,LVWR,6.15,7.36,6.15,7.24,7.24,27990,0.0,1.0
2023-02-07,LVWR,7.03,7.38,6.9501,7.38,7.38,43192,0.0,1.0
2023-02-08,LVWR,7.47,8.4522,7.0935,8.1,8.1,69247,0.0,1.0
2023-02-09,LVWR,8.1,8.48,7.59,7.87,7.87,25548,0.0,1.0
2023-02-10,LVWR,7.4,8.0,7.4,7.61,7.61,20552,0.0,1.0
2023-02-13,LVWR,7.73,7.88,7.3,7.31,7.31,35421,0.0,1.0
2023-02-14,LVWR,7.21,7.825,6.79,7.74,7.74,9193,0.0,1.0
2023-02-15,LVWR,7.8,8.31,7.55,7.55,7.55,25411,0.0,1.0
2023-02-16,LVWR,7.56,8.15,7.1,7.28,7.28,31117,0.0,1.0
2023-02-17,LVWR,7.38,7.9,7.38,7.52,7.52,14981,0.0,1.0
2023-02-21,LVWR,7.56,7.8,7.35,7.5,7.5,11122,0.0,1.0
2023-02-22,LVWR,7.62,7.88,7.4,7.75,7.75,14838,0.0,1.0
2023-02-23,LVWR,7.79,7.79,7.42,7.4586,7.4586,7635,0.0,1.0
2023-02-24,LVWR,7.16,7.37,7.16,7.27,7.27,3521,0.0,1.0
2023-02-27,LVWR,7.39,7.39,7.17,7.255,7.255,3967,0.0,1.0
2023-02-28,LVWR,7.34,7.3683,6.86,7.11,7.11,3467,0.0,1.0
2023-03-01,LVWR,7.15,7.195,7.01,7.01,7.01,3862,0.0,1.0
2023-03-02,LVWR,6.88,7.17,6.86,7.03,7.03,5367,0.0,1.0
2023-03-03,LVWR,7.14,7.14,6.86,7.02,7.02,4091,0.0,1.0
2023-03-06,LVWR,7.12,7.12,6.94,7.07,7.07,2813,0.0,1.0
2023-03-07,LVWR,6.97,7.0,6.5525,6.65,6.65,9021,0.0,1.0
2023-03-08,LVWR,6.66,6.855,6.65,6.69,6.69,8505,0.0,1.0
2023-03-09,LVWR,6.66,6.85,6.66,6.74,6.74,33377,0.0,1.0
2023-03-10,LVWR,6.83,6.83,6.5303,6.77,6.77,23855,0.0,1.0
2023-03-13,LVWR,6.55,6.8,6.51,6.8,6.8,22658,0.0,1.0
2023-03-14,LVWR,6.6,6.86,6.4281,6.7,6.7,11248,0.0,1.0
2023-03-15,LVWR,6.55,6.94,6.55,6.73,6.73,11228,0.0,1.0
2023-03-16,LVWR,6.68,6.842,6.65,6.835,6.835,2325,0.0,1.0
2023-03-17,LVWR,7.25,7.25,6.88,6.91,6.91,6221,0.0,1.0
2023-03-20,LVWR,7.0,7.0,6.31,6.31,6.31,12009,0.0,1.0
2023-03-21,LVWR,6.36,6.72,6.31,6.39,6.39,20253,0.0,1.0
2023-03-22,LVWR,6.75,6.76,6.43,6.6001,6.6001,23871,0.0,1.0
2023-03-23,LVWR,6.59,6.7697,6.39,6.51,6.51,2018,0.0,1.0
2023-03-24,LVWR,6.51,6.51,6.51,6.51,6.51,683,0.0,1.0
2023-03-27,LVWR,6.45,6.61,6.35,6.36,6.36,4590,0.0,1.0
2023-03-28,LVWR,6.49,6.49,6.17,6.17,6.17,7908,0.0,1.0
2023-03-29,LVWR,6.23,6.4,6.15,6.21,6.21,11337,0.0,1.0
2023-03-30,LVWR,6.23,6.23,6.23,6.23,6.23,444,0.0,1.0
2023-03-31,LVWR,6.35,6.5282,6.17,6.45,6.45,5039,0.0,1.0
2023-04-03,LVWR,6.5,6.57,6.37,6.37,6.37,5111,0.0,1.0
2023-04-04,LVWR,6.37,6.57,6.37,6.38,6.38,13296,0.0,1.0
2023-04-05,LVWR,6.22,6.58,6.22,6.4,6.4,5760,0.0,1.0
2023-04-06,LVWR,6.43,6.51,6.36,6.45,6.45,2316,0.0,1.0
2023-04-10,LVWR,6.42,6.64,6.42,6.55,6.55,2126,0.0,1.0
2023-04-11,LVWR,6.62,6.75,6.57,6.57,6.57,12644,0.0,1.0
2023-04-12,LVWR,6.69,6.73,6.57,6.57,6.57,2653,0.0,1.0
2023-04-13,LVWR,6.58,6.7345,6.56,6.65,6.65,2704,0.0,1.0
2023-04-14,LVWR,6.59,6.74,6.5,6.5,6.5,3674,0.0,1.0
2023-04-17,LVWR,6.75,6.99,6.62,6.62,6.62,8116,0.0,1.0
2023-04-18,LVWR,6.66,6.74,6.56,6.56,6.56,1593,0.0,1.0
2023-04-19,LVWR,6.63,6.99,6.63,6.84,6.84,2185,0.0,1.0
2023-04-20,LVWR,6.8,7.53,6.8,7.39,7.39,21866,0.0,1.0
2023-04-21,LVWR,7.48,7.5,7.18,7.3,7.3,34861,0.0,1.0
2023-04-24,LVWR,7.3,7.43,7.2,7.2,7.2,7750,0.0,1.0
2023-04-25,LVWR,7.04,7.42,7.04,7.235,7.235,11353,0.0,1.0
2023-04-26,LVWR,7.25,7.45,7.25,7.4,7.4,7743,0.0,1.0
2023-04-27,LVWR,7.5,7.73,7.3,7.55,7.55,4020,0.0,1.0
2023-04-28,LVWR,7.85,7.9,7.6388,7.75,7.75,21723,0.0,1.0
2023-05-01,LVWR,7.7,8.0,7.54,7.71,7.71,5220,0.0,1.0
2023-05-02,LVWR,7.6,8.0,7.31,7.32,7.32,7373,0.0,1.0
2023-05-03,LVWR,7.15,7.61,7.15,7.61,7.61,1779,0.0,1.0
2023-05-04,LVWR,7.43,7.4618,7.3,7.3,7.3,1997,0.0,1.0
2023-05-05,LVWR,7.46,7.68,7.34,7.67,7.67,3079,0.0,1.0
2023-05-08,LVWR,7.6,7.72,7.355,7.51,7.51,8496,0.0,1.0
2023-05-09,LVWR,7.73,7.73,7.49,7.56,7.56,2643,0.0,1.0
2023-05-10,LVWR,7.71,7.91,7.38,7.38,7.38,3818,0.0,1.0
2023-05-11,LVWR,7.3,7.515,7.3,7.3,7.3,3070,0.0,1.0
2023-05-12,LVWR,7.37,7.62,7.12,7.12,7.12,8867,0.0,1.0
2023-05-15,LVWR,7.15,7.15,6.85,7.07,7.07,3301,0.0,1.0
2023-05-16,LVWR,7.295,7.31,6.8801,7.31,7.31,3253,0.0,1.0
2023-05-17,LVWR,6.95,7.3199,6.85,7.06,7.06,14577,0.0,1.0
2023-05-18,LVWR,6.95,6.97,6.83,6.83,6.83,3060,0.0,1.0
2023-05-19,LVWR,6.95,7.03,6.75,6.99,6.99,2559,0.0,1.0
2023-05-22,LVWR,7.03,7.31,6.75,7.17,7.17,26190,0.0,1.0
2023-05-23,LVWR,7.43,8.95,7.39,8.52,8.52,34152,0.0,1.0
2023-05-24,LVWR,8.92,9.7,8.78,9.08,9.08,65435,0.0,1.0
2023-05-25,LVWR,8.78,9.25,8.0902,8.14,8.14,36178,0.0,1.0
2023-05-26,LVWR,7.89,8.31,7.45,8.3,8.3,17700,0.0,1.0
2023-05-30,LVWR,8.3,8.56,8.028,8.2,8.2,13347,0.0,1.0
2023-05-31,LVWR,8.28,8.65,7.98,8.15,8.15,12957,0.0,1.0
2023-06-01,LVWR,8.2,8.5,7.9,8.26,8.26,10558,0.0,1.0
2023-06-02,LVWR,8.46,9.2335,8.41,9.13,9.13,37446,0.0,1.0
2023-06-05,LVWR,8.99,9.27,8.9466,9.05,9.05,13040,0.0,1.0
2023-06-06,LVWR,9.54,9.54,9.0,9.38,9.38,8626,0.0,1.0
2023-06-07,LVWR,9.2,9.62,9.2,9.5,9.5,15560,0.0,1.0
2023-06-08,LVWR,9.65,9.69,9.32,9.61,9.61,15915,0.0,1.0
2023-06-09,LVWR,9.61,10.14,9.37,10.05,10.05,95588,0.0,1.0
2023-06-12,LVWR,9.94,10.88,9.7501,10.19,10.19,96310,0.0,1.0
2023-06-13,LVWR,10.15,10.35,9.72,10.34,10.34,22822,0.0,1.0
2023-06-14,LVWR,10.3,10.5932,9.8,10.22,10.22,19996,0.0,1.0
2023-06-15,LVWR,10.29,10.38,9.8784,10.22,10.22,15138,0.0,1.0
2023-06-16,LVWR,10.44,10.49,10.0,10.0,10.0,28308,0.0,1.0
2023-06-20,LVWR,10.0,10.61,10.0,10.6,10.6,34514,0.0,1.0
2023-06-21,LVWR,11.06,11.51,10.63,11.08,11.08,65149,0.0,1.0
2023-06-22,LVWR,11.25,11.28,10.79,11.25,11.25,33788,0.0,1.0
2023-06-23,LVWR,11.04,11.39,10.46,11.27,11.27,1245220,0.0,1.0
2023-06-26,LVWR,11.09,11.38,10.82,11.18,11.18,55634,0.0,1.0
2023-06-27,LVWR,11.27,11.65,10.9337,11.29,11.29,62220,0.0,1.0
2023-06-28,LVWR,11.29,12.04,11.29,11.85,11.85,38521,0.0,1.0
2023-06-29,LVWR,12.15,12.25,11.48,11.8,11.8,73447,0.0,1.0
2023-06-30,LVWR,11.82,11.9,11.15,11.81,11.81,30586,0.0,1.0
2023-07-03,LVWR,12.4,12.5,11.7,11.94,11.94,72616,0.0,1.0
2023-07-05,LVWR,11.9,12.015,10.9,11.06,11.06,92921,0.0,1.0
2023-07-06,LVWR,11.01,11.815,11.01,11.75,11.75,56660,0.0,1.0
2023-07-07,LVWR,11.87,12.09,11.22,11.7,11.7,67330,0.0,1.0
2023-07-10,LVWR,11.69,11.695,11.3,11.34,11.34,60758,0.0,1.0
2023-07-11,LVWR,11.3,11.8499,10.7892,11.24,11.24,85137,0.0,1.0
2023-07-12,LVWR,11.32,11.5,10.68,11.02,11.02,64683,0.0,1.0
2023-07-13,LVWR,11.31,12.1,10.58,11.6,11.6,48128,0.0,1.0
2023-07-14,LVWR,11.8,12.08,11.35,12.04,12.04,40167,0.0,1.0
2023-07-17,LVWR,11.93,12.49,11.6571,12.11,12.11,36492,0.0,1.0
2023-07-18,LVWR,12.47,12.47,12.0,12.29,12.29,42136,0.0,1.0
2023-07-19,LVWR,12.17,12.17,11.22,11.32,11.32,46576,0.0,1.0
2023-07-20,LVWR,11.1,11.12,10.05,10.3,10.3,63617,0.0,1.0
2023-07-21,LVWR,10.41,10.615,9.97,10.05,10.05,68430,0.0,1.0
2023-07-24,LVWR,9.95,10.545,9.88,10.48,10.48,23096,0.0,1.0
2023-07-25,LVWR,10.52,11.43,10.52,11.39,11.39,48961,0.0,1.0
2023-07-26,LVWR,12.0,12.0,11.319,11.78,11.78,54300,0.0,1.0
2023-07-27,LVWR,11.4,11.42,10.615,10.88,10.88,57348,0.0,1.0
2023-07-28,LVWR,11.06,11.71,10.96,11.71,11.71,41807,0.0,1.0
2023-07-31,LVWR,11.8,12.2,11.5996,12.12,12.12,55785,0.0,1.0
2023-08-01,LVWR,12.13,12.18,11.81,11.87,11.87,19750,0.0,1.0
2023-08-02,LVWR,11.85,11.85,11.2,11.22,11.22,35331,0.0,1.0
2023-08-03,LVWR,11.16,11.55,11.011,11.18,11.18,14236,0.0,1.0
2023-08-04,LVWR,11.42,11.56,11.01,11.49,11.49,27681,0.0,1.0
2023-08-07,LVWR,11.63,12.19,11.0758,12.09,12.09,51698,0.0,1.0
2023-08-08,LVWR,11.93,12.0,11.5612,11.88,11.88,14320,0.0,1.0
2023-08-09,LVWR,11.75,12.1,11.75,11.95,11.95,38503,0.0,1.0
2023-08-10,LVWR,11.95,12.05,11.8401,11.95,11.95,27530,0.0,1.0
2023-08-11,LVWR,11.865,12.08,11.8,12.0,12.0,13018,0.0,1.0
2023-08-14,LVWR,11.97,12.4,10.43,10.58,10.58,151789,0.0,1.0
2023-08-15,LVWR,10.53,10.74,10.09,10.14,10.14,74611,0.0,1.0
2023-08-16,LVWR,10.0,10.3,9.91,9.94,9.94,28584,0.0,1.0
2023-08-17,LVWR,9.9,10.13,9.9,9.98,9.98,30291,0.0,1.0
2023-08-18,LVWR,9.8,10.18,9.8,9.98,9.98,39307,0.0,1.0
2023-08-21,LVWR,10.11,10.74,10.0,10.65,10.65,52270,0.0,1.0
2023-08-22,LVWR,10.84,11.88,10.723,11.61,11.61,41895,0.0,1.0
2023-08-23,LVWR,11.26,11.3168,10.85,11.22,11.22,29436,0.0,1.0
2023-08-24,LVWR,11.16,11.505,11.16,11.46,11.46,38152,0.0,1.0
2023-08-25,LVWR,11.73,11.8,11.26,11.48,11.48,27666,0.0,1.0
2023-08-28,LVWR,11.36,11.51,11.3,11.44,11.44,14707,0.0,1.0
2023-08-29,LVWR,11.38,12.12,11.0328,11.63,11.63,32736,0.0,1.0
2023-08-30,LVWR,11.76,12.1,11.6,11.99,11.99,39213,0.0,1.0
2023-08-31,LVWR,12.16,12.16,11.12,11.18,11.18,27611,0.0,1.0
2023-09-01,LVWR,11.33,11.715,11.25,11.36,11.36,11105,0.0,1.0
2023-09-05,LVWR,11.36,11.36,10.33,10.37,10.37,15167,0.0,1.0
2023-09-06,LVWR,10.59,10.66,10.07,10.24,10.24,17070,0.0,1.0
2023-09-07,LVWR,10.24,10.43,9.84,10.39,10.39,34308,0.0,1.0
2023-09-08,LVWR,10.22,10.7,10.22,10.5,10.5,21395,0.0,1.0
