date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2025-03-28,MEHCQ,0.748,1.1,0.6,0.606,0.606,29751400,0.0,1.0
2025-03-31,MEHCQ,0.48,0.85,0.48,0.7395,0.7395,4127926,0.0,1.0
2025-04-01,MEHCQ,0.7,0.8305,0.6901,0.81,0.81,1733222,0.0,1.0
2025-04-02,MEHCQ,0.7951,1.41,0.761,1.24,1.24,3031936,0.0,1.0
2025-04-03,MEHCQ,0.913,1.29,0.8,1.04,1.04,1570004,0.0,1.0
2025-04-04,MEHCQ,1.09,1.513,1.04,1.31,1.31,740908,0.0,1.0
2025-04-07,MEHCQ,1.16,1.34,1.04,1.21,1.21,419597,0.0,1.0
2025-04-08,MEHCQ,1.18,1.29,1.18,1.22,1.22,167342,0.0,1.0
2025-04-09,MEHCQ,1.29,1.29,0.9615,1.04,1.04,552386,0.0,1.0
2025-04-10,MEHCQ,1.01,1.18,1.0,1.17,1.17,356342,0.0,1.0
2025-04-11,MEHCQ,1.18,1.18,1.07,1.15,1.15,108494,0.0,1.0
2025-04-14,MEHCQ,1.07,1.29,1.07,1.27,1.27,247564,0.0,1.0
2025-04-15,MEHCQ,1.25,1.35,1.13,1.25,1.25,306259,0.0,1.0
2025-04-16,MEHCQ,1.16,1.32,1.16,1.28,1.28,109003,0.0,1.0
2025-04-17,MEHCQ,1.22,1.37,1.21,1.3,1.3,188855,0.0,1.0
2025-04-21,MEHCQ,1.12,1.31,1.05,1.28,1.28,216885,0.0,1.0
2025-04-22,MEHCQ,1.1,1.33,1.1,1.27,1.27,101533,0.0,1.0
2025-04-23,MEHCQ,1.16,1.3,1.16,1.3,1.3,152664,0.0,1.0
2025-04-24,MEHCQ,1.26,1.4,1.2,1.4,1.4,98564,0.0,1.0
2025-04-25,MEHCQ,1.36,1.52,1.31,1.455,1.455,132227,0.0,1.0
2025-04-28,MEHCQ,1.4,1.65,1.3,1.56,1.56,110892,0.0,1.0
2025-04-29,MEHCQ,1.48,1.6,1.41,1.44,1.44,75918,0.0,1.0
2025-04-30,MEHCQ,1.4,1.4,1.21,1.335,1.335,62789,0.0,1.0
2025-05-01,MEHCQ,1.33,1.42,1.33,1.36,1.36,36458,0.0,1.0
2025-05-02,MEHCQ,1.35,1.35,1.26,1.32,1.32,66092,0.0,1.0
2025-05-05,MEHCQ,1.25,1.3,1.15,1.19,1.19,148373,0.0,1.0
2025-05-06,MEHCQ,1.14,1.2,1.11,1.11,1.11,153154,0.0,1.0
2025-05-07,MEHCQ,1.12,1.15,0.8915,1.01,1.01,235072,0.0,1.0
2025-05-08,MEHCQ,0.98,1.0,0.9,0.9,0.9,116021,0.0,1.0
