date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2020-11-19,MIMOQ,9.8,9.85,9.8,9.85,9.85,260407,0.0,1.0
2020-11-20,MIMOQ,10.03,10.03,9.85,9.86,9.86,2431,0.0,1.0
2020-11-23,MIMOQ,10.12,10.12,10.0119,10.0119,10.0119,378,0.0,1.0
2020-11-24,MIMOQ,9.9,9.94,9.9,9.94,9.94,3486,0.0,1.0
2020-11-25,MIMOQ,9.96,9.995,9.85,9.85,9.85,44799,0.0,1.0
2020-11-27,MIMOQ,9.8957,9.8957,9.8957,9.8957,9.8957,421,0.0,1.0
2020-11-30,MIMOQ,10.15,10.15,9.9,9.92,9.92,193611,0.0,1.0
2020-12-01,MIMOQ,9.9995,9.9995,9.9873,9.9873,9.9873,572,0.0,1.0
2020-12-02,MIMOQ,9.92,10.05,9.92,9.9798,9.9798,52155,0.0,1.0
2020-12-03,MIMOQ,10.02,10.05,9.91,9.91,9.91,16874,0.0,1.0
2020-12-04,MIMOQ,10.05,10.1004,9.9,9.95,9.95,216199,0.0,1.0
2020-12-07,MIMOQ,10.0,10.17,9.95,9.97,9.97,317580,0.0,1.0
2020-12-08,MIMOQ,10.0714,10.0714,9.9,9.97,9.97,130197,0.0,1.0
2020-12-09,MIMOQ,10.18,10.18,9.97,10.06,10.06,46783,0.0,1.0
2020-12-10,MIMOQ,10.0,10.05,9.99,10.01,10.01,285190,0.0,1.0
2020-12-11,MIMOQ,10.01,10.1,10.01,10.02,10.02,25714,0.0,1.0
2020-12-14,MIMOQ,10.52,10.52,10.03,10.05,10.05,39768,0.0,1.0
2020-12-15,MIMOQ,10.02,10.04,10.02,10.04,10.04,1835,0.0,1.0
2020-12-16,MIMOQ,10.0774,10.0774,10.0774,10.0774,10.0774,286,0.0,1.0
2020-12-17,MIMOQ,10.06,10.17,9.99,10.02,10.02,65118,0.0,1.0
2020-12-18,MIMOQ,10.01,10.1035,10.01,10.05,10.05,12696,0.0,1.0
2020-12-21,MIMOQ,10.05,10.07,10.01,10.02,10.02,12751,0.0,1.0
2020-12-22,MIMOQ,10.0813,10.1,10.01,10.04,10.04,40108,0.0,1.0
2020-12-23,MIMOQ,10.07,10.1301,10.01,10.1301,10.1301,17175,0.0,1.0
2020-12-24,MIMOQ,10.94,10.94,10.01,10.1,10.1,118744,0.0,1.0
2020-12-28,MIMOQ,10.1,10.1916,10.06,10.1,10.1,67748,0.0,1.0
2020-12-29,MIMOQ,10.1231,10.13,10.07,10.08,10.08,3460,0.0,1.0
2020-12-30,MIMOQ,10.09,10.14,10.05,10.13,10.13,15075,0.0,1.0
2020-12-31,MIMOQ,10.13,10.1393,10.03,10.03,10.03,63901,0.0,1.0
2021-01-04,MIMOQ,10.05,10.17,10.05,10.125,10.125,24062,0.0,1.0
2021-01-05,MIMOQ,10.0721,10.1,10.0,10.08,10.08,26752,0.0,1.0
2021-01-06,MIMOQ,10.1,10.25,10.04,10.23,10.23,28256,0.0,1.0
2021-01-07,MIMOQ,10.25,10.3,10.13,10.15,10.15,28369,0.0,1.0
2021-01-08,MIMOQ,10.65,10.65,10.15,10.43,10.43,53039,0.0,1.0
2021-01-11,MIMOQ,10.23,10.32,10.1379,10.28,10.28,5031,0.0,1.0
2021-01-12,MIMOQ,10.22,10.28,10.17,10.21,10.21,27185,0.0,1.0
2021-01-13,MIMOQ,10.2263,10.3,10.15,10.2825,10.2825,90752,0.0,1.0
2021-01-14,MIMOQ,10.21,10.39,10.13,10.27,10.27,119912,0.0,1.0
2021-01-15,MIMOQ,10.2,10.39,10.16,10.26,10.26,28526,0.0,1.0
2021-01-19,MIMOQ,10.2101,10.32,10.2101,10.32,10.32,11367,0.0,1.0
2021-01-20,MIMOQ,10.31,10.33,10.22,10.29,10.29,10482,0.0,1.0
2021-01-21,MIMOQ,10.19,10.3,10.19,10.2,10.2,48896,0.0,1.0
2021-01-22,MIMOQ,10.19,10.3,10.19,10.3,10.3,10977,0.0,1.0
2021-01-25,MIMOQ,10.35,10.35,10.2,10.3,10.3,39835,0.0,1.0
2021-01-26,MIMOQ,10.3,10.3,10.2621,10.299,10.299,10730,0.0,1.0
2021-01-27,MIMOQ,10.19,10.37,10.05,10.05,10.05,128252,0.0,1.0
2021-01-28,MIMOQ,10.18,10.18,10.0601,10.14,10.14,7371,0.0,1.0
2021-01-29,MIMOQ,10.18,10.25,10.11,10.25,10.25,3804,0.0,1.0
2021-02-01,MIMOQ,10.22,10.3,10.22,10.3,10.3,6117,0.0,1.0
2021-02-02,MIMOQ,10.3,10.3,10.26,10.3,10.3,3616,0.0,1.0
2021-02-03,MIMOQ,10.35,10.6,10.3,10.58,10.58,213359,0.0,1.0
2021-02-04,MIMOQ,10.68,10.68,10.48,10.56,10.56,70337,0.0,1.0
2021-02-05,MIMOQ,10.56,10.56,10.31,10.49,10.49,5818,0.0,1.0
2021-02-08,MIMOQ,10.5,10.78,10.49,10.75,10.75,146110,0.0,1.0
2021-02-09,MIMOQ,10.75,10.75,10.5308,10.57,10.57,4830,0.0,1.0
2021-02-10,MIMOQ,10.505,10.6,10.42,10.6,10.6,80550,0.0,1.0
2021-02-11,MIMOQ,10.75,10.9,10.6203,10.69,10.69,92696,0.0,1.0
2021-02-12,MIMOQ,10.55,11.0,10.55,10.8,10.8,10854,0.0,1.0
2021-02-16,MIMOQ,10.8,10.8,10.55,10.57,10.57,11384,0.0,1.0
2021-02-17,MIMOQ,10.55,10.57,10.463,10.463,10.463,13645,0.0,1.0
2021-02-18,MIMOQ,10.47,10.49,10.31,10.37,10.37,14154,0.0,1.0
2021-02-19,MIMOQ,10.41,10.45,10.4,10.45,10.45,33043,0.0,1.0
2021-02-22,MIMOQ,10.48,10.48,10.2,10.3041,10.3041,30436,0.0,1.0
2021-02-23,MIMOQ,10.21,10.25,10.2,10.21,10.21,7673,0.0,1.0
2021-02-24,MIMOQ,10.15,10.35,10.15,10.31,10.31,28894,0.0,1.0
2021-02-25,MIMOQ,10.32,10.34,10.1,10.17,10.17,189425,0.0,1.0
2021-02-26,MIMOQ,10.17,10.2,10.1,10.1796,10.1796,14036,0.0,1.0
2021-03-01,MIMOQ,10.27,10.28,10.13,10.13,10.13,6020,0.0,1.0
2021-03-02,MIMOQ,10.11,10.12,9.93,10.04,10.04,36319,0.0,1.0
2021-03-03,MIMOQ,10.072,10.29,9.86,10.2,10.2,81655,0.0,1.0
2021-03-04,MIMOQ,9.92,10.13,9.92,10.01,10.01,16596,0.0,1.0
2021-03-05,MIMOQ,10.0,10.11,9.92,10.01,10.01,42964,0.0,1.0
2021-03-08,MIMOQ,10.07,10.19,10.04,10.1,10.1,3766420,0.0,1.0
2021-03-09,MIMOQ,10.1,10.18,10.01,10.18,10.18,419489,0.0,1.0
2021-03-10,MIMOQ,10.19,10.19,10.05,10.1,10.1,33760,0.0,1.0
2021-03-11,MIMOQ,10.12,10.12,10.0,10.04,10.04,989653,0.0,1.0
2021-03-12,MIMOQ,10.1,10.12,9.97,10.08,10.08,245877,0.0,1.0
2021-03-15,MIMOQ,10.12,10.12,10.03,10.05,10.05,67537,0.0,1.0
2021-03-16,MIMOQ,10.08,10.1,10.0,10.07,10.07,106526,0.0,1.0
2021-03-17,MIMOQ,10.02,10.1,9.95,10.0,10.0,20367,0.0,1.0
2021-03-18,MIMOQ,10.03,10.1,9.97,9.985,9.985,924599,0.0,1.0
2021-03-19,MIMOQ,10.01,10.08,9.9401,9.98,9.98,53976,0.0,1.0
2021-03-22,MIMOQ,10.025,10.04,9.95,9.95,9.95,22968,0.0,1.0
2021-03-23,MIMOQ,9.95,10.02,9.92,10.0,10.0,200083,0.0,1.0
2021-03-24,MIMOQ,9.98,9.98,9.9,9.945,9.945,574864,0.0,1.0
2021-03-25,MIMOQ,9.95,9.95,9.66,9.925,9.925,62503,0.0,1.0
2021-03-26,MIMOQ,9.96,9.98,9.91,9.95,9.95,10300,0.0,1.0
2021-03-29,MIMOQ,9.95,10.05,9.95,10.05,10.05,37005,0.0,1.0
2021-03-30,MIMOQ,10.02,10.02,9.95,9.96,9.96,9719,0.0,1.0
2021-03-31,MIMOQ,9.96,10.02,9.95,10.0,10.0,352157,0.0,1.0
2021-04-01,MIMOQ,10.04,10.1,10.0,10.1,10.1,22523,0.0,1.0
2021-04-05,MIMOQ,10.08,10.08,9.98,10.02,10.02,22013,0.0,1.0
2021-04-06,MIMOQ,10.01,10.02,9.96,9.99,9.99,9615,0.0,1.0
2021-04-07,MIMOQ,9.98,10.3,9.98,10.27,10.27,176134,0.0,1.0
2021-04-08,MIMOQ,10.25,10.25,10.06,10.07,10.07,19200,0.0,1.0
2021-04-09,MIMOQ,10.1,10.225,10.08,10.155,10.155,115740,0.0,1.0
2021-04-12,MIMOQ,10.11,10.15,10.05,10.1,10.1,147167,0.0,1.0
2021-04-13,MIMOQ,10.075,10.1,10.05,10.05,10.05,654590,0.0,1.0
2021-04-14,MIMOQ,10.07,10.2,10.05,10.07,10.07,138188,0.0,1.0
2021-04-15,MIMOQ,10.1,10.19,10.07,10.15,10.15,200112,0.0,1.0
2021-04-16,MIMOQ,10.095,10.12,10.03,10.05,10.05,15203,0.0,1.0
2021-04-19,MIMOQ,10.01,10.01,9.95,9.96,9.96,70466,0.0,1.0
2021-04-20,MIMOQ,9.95,9.97,9.95,9.96,9.96,10746,0.0,1.0
2021-04-21,MIMOQ,9.9738,9.98,9.96,9.96,9.96,10643,0.0,1.0
2021-04-22,MIMOQ,9.9601,9.98,9.96,9.98,9.98,11736,0.0,1.0
2021-04-23,MIMOQ,9.9801,10.0,9.96,10.0,10.0,16001,0.0,1.0
2021-04-26,MIMOQ,10.03,10.04,9.96,10.01,10.01,7897,0.0,1.0
2021-04-27,MIMOQ,9.95,10.02,9.93,10.02,10.02,10090,0.0,1.0
2021-04-28,MIMOQ,9.97,10.05,9.97,10.0,10.0,8220,0.0,1.0
2021-04-29,MIMOQ,10.05,10.05,9.99,9.99,9.99,10221,0.0,1.0
2021-04-30,MIMOQ,10.04,10.05,9.96,9.995,9.995,8989,0.0,1.0
2021-05-03,MIMOQ,10.09,10.09,9.98,9.99,9.99,7493,0.0,1.0
2021-05-04,MIMOQ,9.99,10.04,9.95,10.0,10.0,42772,0.0,1.0
2021-05-05,MIMOQ,9.98,10.04,9.98,9.99,9.99,13476,0.0,1.0
2021-05-06,MIMOQ,9.99,10.01,9.99,10.0,10.0,10400,0.0,1.0
2021-05-07,MIMOQ,9.99,10.01,9.96,10.0,10.0,11537,0.0,1.0
2021-05-10,MIMOQ,9.98,10.0,9.98,10.0,10.0,14782,0.0,1.0
2021-05-11,MIMOQ,9.9916,9.9916,9.94,9.97,9.97,14439,0.0,1.0
2021-05-12,MIMOQ,9.97,9.9792,9.95,9.965,9.965,9606,0.0,1.0
2021-05-13,MIMOQ,9.96,10.0,9.93,9.96,9.96,8121,0.0,1.0
2021-05-14,MIMOQ,9.9663,9.97,9.96,9.96,9.96,1226,0.0,1.0
2021-05-17,MIMOQ,9.95,10.01,9.95,9.97,9.97,1267,0.0,1.0
2021-05-18,MIMOQ,9.98,9.99,9.975,9.99,9.99,4648,0.0,1.0
2021-05-19,MIMOQ,9.96,10.05,9.96,9.98,9.98,26742,0.0,1.0
2021-05-20,MIMOQ,9.98,10.02,9.96,9.98,9.98,46051,0.0,1.0
2021-05-21,MIMOQ,10.04,10.0496,9.96,10.01,10.01,30781,0.0,1.0
2021-05-24,MIMOQ,10.0,10.0,9.9601,9.9609,9.9609,3463,0.0,1.0
2021-05-25,MIMOQ,9.98,9.98,9.97,9.98,9.98,1480,0.0,1.0
2021-05-26,MIMOQ,10.0,10.01,9.93,9.95,9.95,81829,0.0,1.0
2021-05-27,MIMOQ,9.99,10.01,9.97,10.0,10.0,57916,0.0,1.0
2021-05-28,MIMOQ,10.0,10.06,9.96,10.055,10.055,71240,0.0,1.0
2021-06-01,MIMOQ,10.06,10.07,10.04,10.06,10.06,51217,0.0,1.0
2021-06-02,MIMOQ,10.05,10.07,10.05,10.065,10.065,57660,0.0,1.0
2021-06-03,MIMOQ,10.05,10.07,10.05,10.06,10.06,22976,0.0,1.0
2021-06-04,MIMOQ,10.05,10.08,10.05,10.06,10.06,72765,0.0,1.0
2021-06-07,MIMOQ,10.06,10.06,10.01,10.01,10.01,2577,0.0,1.0
2021-06-08,MIMOQ,10.0001,10.1,10.0001,10.1,10.1,85498,0.0,1.0
2021-06-09,MIMOQ,10.1,10.1,10.0469,10.06,10.06,10811,0.0,1.0
2021-06-10,MIMOQ,10.1,10.1,10.01,10.01,10.01,39935,0.0,1.0
2021-06-11,MIMOQ,10.05,10.1,10.02,10.08,10.08,18239,0.0,1.0
2021-06-14,MIMOQ,10.0235,10.065,10.0235,10.055,10.055,5699,0.0,1.0
2021-06-15,MIMOQ,10.1,10.1,10.01,10.01,10.01,104191,0.0,1.0
2021-06-16,MIMOQ,10.1,10.1,10.01,10.05,10.05,49516,0.0,1.0
2021-06-17,MIMOQ,10.025,10.08,10.0117,10.05,10.05,22997,0.0,1.0
2021-06-18,MIMOQ,10.1,10.1,10.01,10.05,10.05,23925,0.0,1.0
2021-06-21,MIMOQ,10.05,10.05,9.99,10.05,10.05,594617,0.0,1.0
2021-06-22,MIMOQ,10.05,10.05,9.99,10.03,10.03,1218164,0.0,1.0
2021-06-23,MIMOQ,10.03,10.0362,9.99,10.03,10.03,185832,0.0,1.0
2021-06-24,MIMOQ,9.99,10.02,9.99,10.0,10.0,40420,0.0,1.0
2021-06-25,MIMOQ,9.9993,10.01,9.99,10.0,10.0,22844,0.0,1.0
2021-06-28,MIMOQ,10.01,10.01,9.99,10.0,10.0,10459,0.0,1.0
2021-06-29,MIMOQ,9.997,10.0,9.99,10.0,10.0,8149,0.0,1.0
2021-06-30,MIMOQ,10.01,10.03,9.99,10.0,10.0,116803,0.0,1.0
2021-07-01,MIMOQ,10.0396,10.0396,10.0,10.0,10.0,121967,0.0,1.0
2021-07-02,MIMOQ,9.99,10.007,9.99,10.007,10.007,917,0.0,1.0
2021-07-06,MIMOQ,10.01,10.02,9.99,10.02,10.02,69837,0.0,1.0
2021-07-07,MIMOQ,9.99,10.0081,9.99,10.0,10.0,61764,0.0,1.0
2021-07-08,MIMOQ,10.0,10.0,9.99,10.0,10.0,54187,0.0,1.0
2021-07-09,MIMOQ,10.0,10.01,10.0,10.0099,10.0099,9916,0.0,1.0
2021-07-12,MIMOQ,10.01,10.025,9.99,10.0,10.0,37809,0.0,1.0
2021-07-13,MIMOQ,10.01,10.09,9.99,9.99,9.99,26623,0.0,1.0
