date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2022-07-19,MONDQ,11.05,11.69,9.0,9.185,9.185,340513,0.0,1.0
2022-07-20,MONDQ,9.0,9.0,7.5001,7.99,7.99,176035,0.0,1.0
2022-07-21,MONDQ,8.3,11.48,8.0,8.17,8.17,807734,0.0,1.0
2022-07-22,MONDQ,8.11,8.11,6.8,7.62,7.62,441240,0.0,1.0
2022-07-25,MONDQ,7.44,8.0,7.1901,7.49,7.49,133828,0.0,1.0
2022-07-26,MONDQ,7.41,7.9846,6.86,7.78,7.78,585940,0.0,1.0
2022-07-27,MONDQ,7.6,7.7555,7.0701,7.35,7.35,377642,0.0,1.0
2022-07-28,MONDQ,7.38,8.9,7.2501,8.64,8.64,135558,0.0,1.0
2022-07-29,MONDQ,8.65,9.99,8.61,9.33,9.33,155925,0.0,1.0
2022-08-01,MONDQ,9.14,9.4243,8.41,8.61,8.61,82794,0.0,1.0
2022-08-02,MONDQ,8.8,8.9999,8.2,8.45,8.45,23882,0.0,1.0
2022-08-03,MONDQ,9.1,9.1,7.76,8.25,8.25,47441,0.0,1.0
2022-08-04,MONDQ,7.8838,8.37,7.2601,7.8,7.8,169794,0.0,1.0
2022-08-05,MONDQ,7.6,8.24,7.53,7.87,7.87,55535,0.0,1.0
2022-08-08,MONDQ,7.88,8.39,7.88,8.1,8.1,53373,0.0,1.0
2022-08-09,MONDQ,7.99,8.48,7.99,8.21,8.21,13123,0.0,1.0
2022-08-10,MONDQ,8.475,8.9096,8.3336,8.43,8.43,25677,0.0,1.0
2022-08-11,MONDQ,8.252,8.675,8.1,8.1,8.1,17555,0.0,1.0
2022-08-12,MONDQ,8.2,8.91,8.102,8.87,8.87,34253,0.0,1.0
2022-08-15,MONDQ,8.95,10.49,8.95,10.25,10.25,93843,0.0,1.0
2022-08-16,MONDQ,10.33,11.4,9.79,10.96,10.96,53346,0.0,1.0
2022-08-17,MONDQ,10.75,11.0,10.05,10.8,10.8,28211,0.0,1.0
2022-08-18,MONDQ,10.81,11.4,10.02,11.11,11.11,43956,0.0,1.0
2022-08-19,MONDQ,10.96,11.3999,10.555,11.36,11.36,50139,0.0,1.0
2022-08-22,MONDQ,11.14,12.0,10.48,11.9895,11.9895,45525,0.0,1.0
2022-08-23,MONDQ,12.52,12.95,12.47,12.95,12.95,43033,0.0,1.0
2022-08-24,MONDQ,12.64,13.0,11.765,12.99,12.99,39153,0.0,1.0
2022-08-25,MONDQ,13.0,13.25,12.42,12.9,12.9,34487,0.0,1.0
2022-08-26,MONDQ,12.81,12.99,12.32,12.65,12.65,15797,0.0,1.0
2022-08-29,MONDQ,13.2,13.2,12.0,12.76,12.76,27110,0.0,1.0
2022-08-30,MONDQ,12.57,12.93,12.57,12.57,12.57,18515,0.0,1.0
2022-08-31,MONDQ,12.58,12.985,11.955,12.69,12.69,25374,0.0,1.0
2022-09-01,MONDQ,12.51,12.52,11.0601,12.1,12.1,215596,0.0,1.0
2022-09-02,MONDQ,12.55,12.55,11.75,12.34,12.34,40219,0.0,1.0
2022-09-06,MONDQ,12.13,12.5,11.505,11.72,11.72,41529,0.0,1.0
2022-09-07,MONDQ,12.37,12.49,11.86,12.22,12.22,19301,0.0,1.0
2022-09-08,MONDQ,11.895,12.45,11.292,12.4499,12.4499,16410,0.0,1.0
2022-09-09,MONDQ,12.36,13.3,12.001,13.07,13.07,14066,0.0,1.0
2022-09-12,MONDQ,12.55,13.26,12.37,12.76,12.76,24849,0.0,1.0
2022-09-13,MONDQ,13.3,13.3,12.1,12.86,12.86,28206,0.0,1.0
2022-09-14,MONDQ,13.14,13.79,12.002,13.79,13.79,51555,0.0,1.0
2022-09-15,MONDQ,13.5,14.15,11.71,12.0,12.0,97407,0.0,1.0
2022-09-16,MONDQ,11.72,11.95,10.49,10.6,10.6,48570,0.0,1.0
2022-09-19,MONDQ,11.33,12.0,10.54,11.0,11.0,31278,0.0,1.0
2022-09-20,MONDQ,11.0,11.62,11.0,11.14,11.14,9820,0.0,1.0
2022-09-21,MONDQ,11.06,11.5,10.47,10.47,10.47,5237,0.0,1.0
2022-09-22,MONDQ,10.71,11.5,10.45,10.71,10.71,20849,0.0,1.0
2022-09-23,MONDQ,10.75,11.05,10.5523,10.79,10.79,3556,0.0,1.0
2022-09-26,MONDQ,10.27,10.8975,9.84,10.04,10.04,39574,0.0,1.0
2022-09-27,MONDQ,10.53,10.53,8.61,8.82,8.82,63310,0.0,1.0
2022-09-28,MONDQ,9.0,10.85,8.9,9.12,9.12,27342,0.0,1.0
2022-09-29,MONDQ,8.79,10.0499,8.51,9.13,9.13,14156,0.0,1.0
2022-09-30,MONDQ,9.38,9.9041,7.81,7.81,7.81,37417,0.0,1.0
2022-10-03,MONDQ,7.9,9.05,7.9,8.47,8.47,16551,0.0,1.0
2022-10-04,MONDQ,8.15,8.25,7.25,7.44,7.44,123168,0.0,1.0
2022-10-05,MONDQ,7.35,8.1,7.35,7.8576,7.8576,27180,0.0,1.0
2022-10-06,MONDQ,8.13,8.8,7.75,7.89,7.89,27607,0.0,1.0
2022-10-07,MONDQ,7.8501,8.25,7.8501,8.25,8.25,10032,0.0,1.0
2022-10-10,MONDQ,7.93,8.42,7.5,8.4,8.4,102592,0.0,1.0
2022-10-11,MONDQ,8.2856,8.49,8.1,8.16,8.16,2495,0.0,1.0
2022-10-12,MONDQ,8.4474,9.54,8.0975,8.75,8.75,47072,0.0,1.0
2022-10-13,MONDQ,8.53,8.73,7.4,7.66,7.66,145088,0.0,1.0
2022-10-14,MONDQ,7.61,8.28,6.74,8.05,8.05,72512,0.0,1.0
2022-10-17,MONDQ,7.5909,8.65,7.59,8.2,8.2,35115,0.0,1.0
