date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-11-16,MSAI,9.88,9.88,9.88,9.88,9.88,200080,0.0,1.0
2021-11-17,MSAI,9.87,9.92,9.87,9.88,9.88,317700,0.0,1.0
2021-11-18,MSAI,9.88,9.92,9.83,9.88,9.88,287760,0.0,1.0
2021-11-19,MSAI,9.88,9.88,9.84,9.87,9.87,26101,0.0,1.0
2021-11-22,MSAI,9.885,9.885,9.87,9.87,9.87,65286,0.0,1.0
2021-11-23,MSAI,9.87,10.025,9.87,9.875,9.875,551728,0.0,1.0
2021-11-24,MSAI,9.89,9.89,9.88,9.88,9.88,205107,0.0,1.0
2021-11-26,MSAI,9.88,9.88,9.88,9.88,9.88,0,0.0,1.0
2021-11-29,MSAI,9.94,9.94,9.87,9.9,9.9,52473,0.0,1.0
2021-11-30,MSAI,9.86,9.9,9.82,9.9,9.9,15170,0.0,1.0
2021-12-01,MSAI,9.84,9.88,9.84,9.86,9.86,7450,0.0,1.0
2021-12-02,MSAI,9.9,9.92,9.89,9.92,9.92,1053,0.0,1.0
2021-12-03,MSAI,9.88,9.9,9.88,9.9,9.9,3013,0.0,1.0
2021-12-06,MSAI,9.88,9.9,9.87,9.87,9.87,10924,0.0,1.0
2021-12-07,MSAI,9.86,9.86,9.86,9.86,9.86,5100,0.0,1.0
2021-12-08,MSAI,9.84,9.84,9.84,9.84,9.84,303,0.0,1.0
2021-12-09,MSAI,9.83,9.85,9.79,9.84,9.84,213080,0.0,1.0
2021-12-10,MSAI,9.79,9.88,9.79,9.85,9.85,58210,0.0,1.0
2021-12-13,MSAI,9.85,9.85,9.85,9.85,9.85,0,0.0,1.0
2021-12-14,MSAI,9.85,9.85,9.85,9.85,9.85,0,0.0,1.0
2021-12-15,MSAI,9.82,9.84,9.82,9.84,9.84,2196,0.0,1.0
2021-12-16,MSAI,9.84,9.84,9.84,9.84,9.84,21200,0.0,1.0
2021-12-17,MSAI,9.83,9.83,9.83,9.83,9.83,7729,0.0,1.0
2021-12-20,MSAI,9.82,9.82,9.82,9.82,9.82,13629,0.0,1.0
2021-12-21,MSAI,9.82,9.82,9.8099,9.81,9.81,11020,0.0,1.0
2021-12-22,MSAI,9.81,9.81,9.81,9.81,9.81,2112,0.0,1.0
2021-12-23,MSAI,9.82,9.84,9.82,9.84,9.84,12070,0.0,1.0
2021-12-27,MSAI,9.8,9.825,9.8,9.8,9.8,3135,0.0,1.0
2021-12-28,MSAI,9.82,9.83,9.82,9.83,9.83,662,0.0,1.0
2021-12-29,MSAI,9.82,9.82,9.81,9.81,9.81,1340,0.0,1.0
