date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-09-20,MTAL,9.75,9.75,9.75,9.75,9.75,100,0.0,1.0
2021-09-21,MTAL,9.75,9.75,9.75,9.75,9.75,1,0.0,1.0
2021-09-22,MTAL,9.75,9.75,9.75,9.75,9.75,1,0.0,1.0
2021-09-23,MTAL,9.92,9.92,9.92,9.92,9.92,700,0.0,1.0
2021-09-24,MTAL,9.75,9.75,9.75,9.75,9.75,3,0.0,1.0
2021-09-27,MTAL,9.75,9.75,9.75,9.75,9.75,2,0.0,1.0
2021-09-28,MTAL,9.825,9.825,9.825,9.825,9.825,300100,0.0,1.0
2021-09-29,MTAL,9.85,9.85,9.7,9.7,9.7,9800,0.0,1.0
2021-09-30,MTAL,10.0,10.0,10.0,10.0,10.0,100,0.0,1.0
2021-10-01,MTAL,9.83,9.83,9.83,9.83,9.83,301,0.0,1.0
2021-10-04,MTAL,9.84,9.84,9.75,9.75,9.75,2922,0.0,1.0
2021-10-05,MTAL,9.75,9.75,9.75,9.75,9.75,3,0.0,1.0
2021-10-06,MTAL,9.82,9.82,9.8,9.8,9.8,2885,0.0,1.0
2021-10-07,MTAL,9.82,9.82,9.78,9.79,9.79,2622,0.0,1.0
2021-10-08,MTAL,9.79,9.79,9.79,9.79,9.79,1891,0.0,1.0
2021-10-11,MTAL,9.67,9.67,9.67,9.67,9.67,103,0.0,1.0
2021-10-12,MTAL,9.67,9.67,9.67,9.67,9.67,0,0.0,1.0
2021-10-13,MTAL,9.75,9.75,9.75,9.75,9.75,500,0.0,1.0
2021-10-14,MTAL,9.79,9.79,9.65,9.74,9.74,10332,0.0,1.0
2021-10-15,MTAL,9.7,9.7,9.7,9.7,9.7,200001,0.0,1.0
2021-10-18,MTAL,9.7,9.7,9.7,9.7,9.7,0,0.0,1.0
2021-10-19,MTAL,9.74,9.79,9.74,9.79,9.79,927,0.0,1.0
2021-10-20,MTAL,9.79,9.79,9.79,9.79,9.79,48,0.0,1.0
2021-10-21,MTAL,9.79,9.79,9.79,9.79,9.79,1,0.0,1.0
2021-10-22,MTAL,9.79,9.79,9.79,9.79,9.79,54,0.0,1.0
2021-10-25,MTAL,9.78,9.78,9.78,9.78,9.78,116,0.0,1.0
2021-10-26,MTAL,9.78,9.78,9.78,9.78,9.78,140,0.0,1.0
2021-10-27,MTAL,9.78,9.78,9.78,9.78,9.78,0,0.0,1.0
2021-10-28,MTAL,9.78,9.78,9.78,9.78,9.78,0,0.0,1.0
2021-10-29,MTAL,9.75,9.75,9.6997,9.7,9.7,13665,0.0,1.0
2021-11-01,MTAL,9.76,9.76,9.76,9.76,9.76,501,0.0,1.0
2021-11-02,MTAL,9.71,9.71,9.71,9.71,9.71,93337,0.0,1.0
2021-11-03,MTAL,9.74,9.84,9.72,9.72,9.72,18065,0.0,1.0
2021-11-04,MTAL,9.84,9.84,9.73,9.73,9.73,3901,0.0,1.0
2021-11-05,MTAL,10.0,10.0,9.7,9.72,9.72,750,0.0,1.0
2021-11-08,MTAL,9.7,9.7,9.655,9.69,9.69,676019,0.0,1.0
2021-11-09,MTAL,9.69,9.7,9.68,9.69,9.69,118551,0.0,1.0
2021-11-10,MTAL,9.7,9.71,9.685,9.69,9.69,19435,0.0,1.0
2021-11-11,MTAL,9.73,9.73,9.71,9.71,9.71,234,0.0,1.0
2021-11-12,MTAL,9.72,9.72,9.7,9.72,9.72,9073,0.0,1.0
2021-11-15,MTAL,9.76,9.76,9.76,9.76,9.76,100,0.0,1.0
2021-11-16,MTAL,9.78,9.78,9.75,9.75,9.75,3535,0.0,1.0
2021-11-17,MTAL,9.71,9.75,9.71,9.75,9.75,400,0.0,1.0
2021-11-18,MTAL,9.67,9.71,9.66,9.71,9.71,161405,0.0,1.0
2021-11-19,MTAL,9.68,9.7,9.68,9.7,9.7,417,0.0,1.0
2021-11-22,MTAL,9.7,9.72,9.7,9.71,9.71,14592,0.0,1.0
2021-11-23,MTAL,9.71,9.72,9.69,9.7,9.7,22082,0.0,1.0
2021-11-24,MTAL,9.71,9.71,9.71,9.71,9.71,101,0.0,1.0
2021-11-26,MTAL,9.67,9.7,9.67,9.7,9.7,600,0.0,1.0
2021-11-29,MTAL,9.71,9.73,9.7,9.72,9.72,17654,0.0,1.0
2021-11-30,MTAL,9.73,9.73,9.72,9.72,9.72,400,0.0,1.0
2021-12-01,MTAL,9.73,9.73,9.7,9.7,9.7,1154,0.0,1.0
2021-12-02,MTAL,9.69,9.73,9.69,9.73,9.73,201,0.0,1.0
2021-12-03,MTAL,9.73,9.73,9.73,9.73,9.73,162,0.0,1.0
2021-12-06,MTAL,9.69,9.71,9.69,9.71,9.71,1802,0.0,1.0
2021-12-07,MTAL,9.71,9.71,9.71,9.71,9.71,0,0.0,1.0
2021-12-08,MTAL,9.7,9.71,9.68,9.7099,9.7099,52098,0.0,1.0
2021-12-09,MTAL,9.71,9.71,9.7039,9.705,9.705,600,0.0,1.0
2021-12-10,MTAL,9.71,9.71,9.68,9.7009,9.7009,57010,0.0,1.0
2021-12-13,MTAL,9.7009,9.7009,9.7009,9.7009,9.7009,151,0.0,1.0
2021-12-14,MTAL,9.7,9.7,9.69,9.7,9.7,183649,0.0,1.0
2021-12-15,MTAL,9.73,9.73,9.69,9.69,9.69,302,0.0,1.0
2021-12-16,MTAL,9.68,9.68,9.68,9.68,9.68,258,0.0,1.0
2021-12-17,MTAL,9.68,9.68,9.66,9.68,9.68,13697,0.0,1.0
2021-12-20,MTAL,9.68,9.71,9.68,9.68,9.68,1628,0.0,1.0
2021-12-21,MTAL,9.68,9.68,9.68,9.68,9.68,0,0.0,1.0
2021-12-22,MTAL,9.72,9.72,9.71,9.71,9.71,2018,0.0,1.0
2021-12-23,MTAL,9.68,9.68,9.68,9.68,9.68,104,0.0,1.0
2021-12-27,MTAL,9.66,9.66,9.66,9.66,9.66,158,0.0,1.0
2021-12-28,MTAL,9.66,9.66,9.66,9.66,9.66,36,0.0,1.0
2021-12-29,MTAL,9.66,9.69,9.66,9.69,9.69,639,0.0,1.0
2021-12-30,MTAL,9.69,9.69,9.69,9.69,9.69,103,0.0,1.0
2021-12-31,MTAL,9.69,9.69,9.69,9.69,9.69,5,0.0,1.0
2022-01-03,MTAL,9.69,9.69,9.69,9.69,9.69,1,0.0,1.0
2022-01-04,MTAL,9.68,9.7,9.62,9.64,9.64,2102159,0.0,1.0
2022-01-05,MTAL,9.68,9.72,9.68,9.7,9.7,34510,0.0,1.0
2022-01-06,MTAL,9.7,9.7,9.7,9.7,9.7,81,0.0,1.0
2022-01-07,MTAL,9.79,9.79,9.72,9.79,9.79,20795,0.0,1.0
2022-01-10,MTAL,9.95,9.95,9.7,9.8,9.8,14891,0.0,1.0
2022-01-11,MTAL,9.8,9.8,9.8,9.8,9.8,102,0.0,1.0
2022-01-12,MTAL,9.8,9.8,9.8,9.8,9.8,1,0.0,1.0
2022-01-13,MTAL,9.8,9.8,9.8,9.8,9.8,2256,0.0,1.0
2022-01-14,MTAL,9.6701,9.815,9.6701,9.7,9.7,6745,0.0,1.0
2022-01-18,MTAL,9.73,9.73,9.73,9.73,9.73,292,0.0,1.0
2022-01-19,MTAL,9.75,9.77,9.73,9.73,9.73,769,0.0,1.0
2022-01-20,MTAL,9.7,9.7,9.7,9.7,9.7,583,0.0,1.0
2022-01-21,MTAL,9.7,9.7,9.7,9.7,9.7,7,0.0,1.0
2022-01-24,MTAL,9.73,9.73,9.73,9.73,9.73,8465,0.0,1.0
2022-01-25,MTAL,9.7,9.7,9.7,9.7,9.7,399662,0.0,1.0
2022-01-26,MTAL,9.73,9.73,9.65,9.65,9.65,22106,0.0,1.0
2022-01-27,MTAL,9.62,9.64,9.62,9.64,9.64,30692,0.0,1.0
2022-01-28,MTAL,9.64,9.64,9.64,9.64,9.64,0,0.0,1.0
2022-01-31,MTAL,9.64,9.64,9.64,9.64,9.64,1,0.0,1.0
2022-02-01,MTAL,9.76,9.76,9.665,9.69,9.69,8363,0.0,1.0
2022-02-02,MTAL,9.69,9.69,9.69,9.69,9.69,0,0.0,1.0
2022-02-03,MTAL,9.6,9.7,9.6,9.68,9.68,500,0.0,1.0
2022-02-04,MTAL,9.68,9.68,9.68,9.68,9.68,0,0.0,1.0
2022-02-07,MTAL,9.6,9.65,9.6,9.64,9.64,13283,0.0,1.0
2022-02-08,MTAL,9.67,9.67,9.63,9.65,9.65,889,0.0,1.0
2022-02-09,MTAL,9.65,9.65,9.65,9.65,9.65,3,0.0,1.0
2022-02-10,MTAL,9.65,9.65,9.65,9.65,9.65,520073,0.0,1.0
2022-02-11,MTAL,9.64,9.66,9.61,9.64,9.64,25565,0.0,1.0
2022-02-14,MTAL,9.65,9.65,9.61,9.61,9.61,1004,0.0,1.0
2022-02-15,MTAL,9.63,9.64,9.61,9.62,9.62,10016,0.0,1.0
2022-02-16,MTAL,9.65,9.65,9.63,9.65,9.65,2802,0.0,1.0
