date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-02-02,MTTR,10.69,11.2,10.5,10.7612,10.7612,6930,0.0,1.0
2021-02-03,MTTR,11.39,11.44,10.63,10.83,10.83,32329,0.0,1.0
2021-02-04,MTTR,10.85,11.0,10.63,10.75,10.75,37824,0.0,1.0
2021-02-05,MTTR,11.26,12.7,10.57,12.26,12.26,1946709,0.0,1.0
2021-02-08,MTTR,13.25,13.5,12.38,13.48,13.48,10670990,0.0,1.0
2021-02-09,MTTR,13.83,17.57,13.75,16.69,16.69,8161497,0.0,1.0
2021-02-10,MTTR,18.83,19.11,15.92,17.33,17.33,7817963,0.0,1.0
2021-02-11,MTTR,17.58,17.59,16.1,16.61,16.61,2021567,0.0,1.0
2021-02-12,MTTR,18.75,18.75,16.08,16.4,16.4,2936576,0.0,1.0
2021-02-16,MTTR,18.82,19.2,17.16,17.6,17.6,5234499,0.0,1.0
2021-02-17,MTTR,18.16,20.8,16.86,20.1,20.1,8708144,0.0,1.0
2021-02-18,MTTR,19.47,21.1,19.0,19.97,19.97,2961407,0.0,1.0
2021-02-19,MTTR,19.57,25.0245,18.31,24.46,24.46,16999974,0.0,1.0
2021-02-22,MTTR,23.83,28.0,21.61,21.95,21.95,9104103,0.0,1.0
2021-02-23,MTTR,19.45,20.01,15.8,19.6,19.6,7631329,0.0,1.0
2021-02-24,MTTR,19.64,20.9,18.05,18.55,18.55,3291935,0.0,1.0
2021-02-25,MTTR,19.4,19.98,16.51,16.86,16.86,4637155,0.0,1.0
2021-02-26,MTTR,17.1931,18.28,16.0,17.76,17.76,3572038,0.0,1.0
2021-03-01,MTTR,19.0,19.43,16.9,18.11,18.11,2965551,0.0,1.0
2021-03-02,MTTR,17.57,17.85,16.9001,17.25,17.25,3236653,0.0,1.0
2021-03-03,MTTR,16.96,17.42,14.7,14.86,14.86,4340797,0.0,1.0
2021-03-04,MTTR,14.95,15.1,12.55,13.22,13.22,5828187,0.0,1.0
2021-03-05,MTTR,13.5868,14.2,11.39,13.87,13.87,6056244,0.0,1.0
2021-03-08,MTTR,14.2205,16.215,13.7,14.66,14.66,3283870,0.0,1.0
2021-03-09,MTTR,15.04,15.99,14.75,15.94,15.94,1946521,0.0,1.0
2021-03-10,MTTR,16.6,17.86,15.86,16.95,16.95,1995920,0.0,1.0
2021-03-11,MTTR,17.05,17.222,16.21,17.0,17.0,1870270,0.0,1.0
2021-03-12,MTTR,16.04,16.85,15.3,16.65,16.65,1368603,0.0,1.0
2021-03-15,MTTR,16.78,17.0,16.33,16.74,16.74,1182094,0.0,1.0
2021-03-16,MTTR,16.37,16.75,15.03,15.22,15.22,1617601,0.0,1.0
2021-03-17,MTTR,14.5,16.02,14.15,15.78,15.78,1505328,0.0,1.0
2021-03-18,MTTR,15.32,16.43,14.88,15.19,15.19,1030576,0.0,1.0
2021-03-19,MTTR,14.67,16.04,14.32,15.99,15.99,1079173,0.0,1.0
2021-03-22,MTTR,15.45,15.9899,15.28,15.78,15.78,1052683,0.0,1.0
2021-03-23,MTTR,15.23,15.69,14.36,14.55,14.55,1854904,0.0,1.0
2021-03-24,MTTR,14.31,14.59,13.43,13.95,13.95,1578033,0.0,1.0
2021-03-25,MTTR,13.1,14.46,13.04,14.34,14.34,1378738,0.0,1.0
2021-03-26,MTTR,14.31,14.5,13.7506,14.07,14.07,927640,0.0,1.0
2021-03-29,MTTR,14.07,14.4899,13.15,13.25,13.25,1145500,0.0,1.0
2021-03-30,MTTR,13.22,13.44,12.81,13.02,13.02,1342903,0.0,1.0
2021-03-31,MTTR,13.27,13.88,13.159,13.7,13.7,988805,0.0,1.0
2021-04-01,MTTR,14.23,14.4,13.7086,14.1,14.1,707869,0.0,1.0
2021-04-05,MTTR,14.3769,14.4,13.29,13.4,13.4,917318,0.0,1.0
