date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2020-12-21,MYPS,10.5,10.5,10.25,10.25,10.25,6811,0.0,1.0
2020-12-22,MYPS,11.28,11.28,10.155,10.21,10.21,6223,0.0,1.0
2020-12-23,MYPS,10.5,10.6,9.9611,9.9611,9.9611,27852,0.0,1.0
2020-12-24,MYPS,10.2,10.2,10.05,10.05,10.05,2411,0.0,1.0
2020-12-28,MYPS,10.13,10.305,10.03,10.28,10.28,194937,0.0,1.0
2020-12-29,MYPS,10.79,10.79,10.3,10.7,10.7,97979,0.0,1.0
2020-12-30,MYPS,10.5,10.5,10.3001,10.39,10.39,51655,0.0,1.0
2020-12-31,MYPS,10.3,10.355,10.26,10.3,10.3,8629,0.0,1.0
2021-01-04,MYPS,10.26,10.3,10.2,10.25,10.25,13485,0.0,1.0
2021-01-05,MYPS,10.29,10.39,10.25,10.39,10.39,7398,0.0,1.0
2021-01-06,MYPS,10.39,10.39,10.1,10.3,10.3,29266,0.0,1.0
2021-01-07,MYPS,10.34,10.42,10.22,10.42,10.42,10536,0.0,1.0
2021-01-08,MYPS,10.45,10.64,10.35,10.51,10.51,208796,0.0,1.0
2021-01-11,MYPS,10.55,10.7309,10.31,10.5499,10.5499,102803,0.0,1.0
2021-01-12,MYPS,10.68,10.68,10.41,10.57,10.57,134809,0.0,1.0
2021-01-13,MYPS,10.49,10.7499,10.49,10.5999,10.5999,25682,0.0,1.0
2021-01-14,MYPS,10.65,10.8,10.535,10.7601,10.7601,88870,0.0,1.0
2021-01-15,MYPS,10.97,10.97,10.53,10.93,10.93,85494,0.0,1.0
2021-01-19,MYPS,10.88,11.55,10.7601,11.2,11.2,96600,0.0,1.0
2021-01-20,MYPS,11.29,11.5,11.07,11.12,11.12,135128,0.0,1.0
2021-01-21,MYPS,11.46,11.4601,11.11,11.34,11.34,34093,0.0,1.0
2021-01-22,MYPS,11.47,11.5999,11.11,11.15,11.15,42675,0.0,1.0
2021-01-25,MYPS,11.26,11.26,10.81,11.09,11.09,146719,0.0,1.0
2021-01-26,MYPS,11.21,11.21,10.705,10.93,10.93,315229,0.0,1.0
2021-01-27,MYPS,11.58,11.6,10.66,10.75,10.75,873796,0.0,1.0
2021-01-28,MYPS,10.99,11.0,10.79,11.0,11.0,223540,0.0,1.0
2021-01-29,MYPS,11.01,11.19,10.8501,10.97,10.97,128140,0.0,1.0
2021-02-01,MYPS,11.39,11.96,11.15,11.41,11.41,1931804,0.0,1.0
2021-02-02,MYPS,13.15,13.2,11.45,11.78,11.78,8588028,0.0,1.0
2021-02-03,MYPS,11.6,11.69,11.16,11.25,11.25,2062235,0.0,1.0
2021-02-04,MYPS,11.16,11.22,10.8,10.87,10.87,1522549,0.0,1.0
2021-02-05,MYPS,10.91,11.0,10.7,10.75,10.75,856709,0.0,1.0
2021-02-08,MYPS,11.0,11.29,10.9,11.13,11.13,1275935,0.0,1.0
2021-02-09,MYPS,11.19,11.35,11.04,11.26,11.26,1230943,0.0,1.0
2021-02-10,MYPS,11.14,11.25,10.84,11.24,11.24,844834,0.0,1.0
2021-02-11,MYPS,11.22,11.23,10.9,11.0,11.0,450181,0.0,1.0
2021-02-12,MYPS,11.17,11.17,10.63,10.92,10.92,587974,0.0,1.0
2021-02-16,MYPS,10.94,10.94,10.52,10.58,10.58,637183,0.0,1.0
2021-02-17,MYPS,10.7,10.96,10.59,10.82,10.82,574264,0.0,1.0
