date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2024-12-27,NCNCF,0.0007,0.0399,0.0007,0.005,0.005,23445,0.0,1.0
2024-12-30,NCNCF,0.005,0.038,0.005,0.006,0.006,740010,0.0,1.0
2024-12-31,NCNCF,0.0075,0.016,0.0051,0.006,0.006,285428,0.0,1.0
2025-01-02,NCNCF,0.0067,0.009,0.0067,0.007,0.007,58126,0.0,1.0
2025-01-03,NCNCF,0.007,0.0269,0.007,0.01,0.01,128285,0.0,1.0
2025-01-06,NCNCF,0.0075,0.01,0.0075,0.008,0.008,10346,0.0,1.0
2025-01-07,NCNCF,0.008,0.0299,0.008,0.008,0.008,107638,0.0,1.0
2025-01-08,NCNCF,0.01,0.02,0.01,0.015,0.015,307187,0.0,1.0
2025-01-10,NCNCF,0.008,0.014,0.008,0.014,0.014,69673,0.0,1.0
2025-01-13,NCNCF,0.008,0.01,0.008,0.009,0.009,7335,0.0,1.0
2025-01-14,NCNCF,0.0082,0.0088,0.008,0.008,0.008,62794,0.0,1.0
2025-01-15,NCNCF,0.008,0.0139,0.008,0.01,0.01,9553,0.0,1.0
2025-01-16,NCNCF,0.008,0.018,0.008,0.008,0.008,19609,0.0,1.0
2025-01-17,NCNCF,0.008,0.015,0.008,0.008,0.008,17691,0.0,1.0
2025-01-21,NCNCF,0.008,0.009,0.008,0.008,0.008,11399,0.0,1.0
2025-01-22,NCNCF,0.008,0.008,0.008,0.008,0.008,12689,0.0,1.0
2025-01-23,NCNCF,0.005,0.005,0.004,0.005,0.005,74365,0.0,1.0
2025-01-24,NCNCF,0.005,0.0077,0.005,0.005,0.005,2093,0.0,1.0
2025-01-27,NCNCF,0.0022,0.0022,0.0022,0.0022,0.0022,17154,0.0,1.0
2025-01-28,NCNCF,0.0024,0.0129,0.0024,0.0036,0.0036,96207,0.0,1.0
2025-01-29,NCNCF,0.004,0.0119,0.004,0.0046,0.0046,30762,0.0,1.0
2025-01-30,NCNCF,0.0043,0.0115,0.0043,0.011,0.011,454255,0.0,1.0
2025-01-31,NCNCF,0.0051,0.01,0.0051,0.007,0.007,21273,0.0,1.0
2025-02-03,NCNCF,0.007,0.007,0.006,0.006,0.006,7207,0.0,1.0
2025-02-04,NCNCF,0.0045,0.0047,0.0045,0.0045,0.0045,7505,0.0,1.0
2025-02-05,NCNCF,0.0045,0.0045,0.0045,0.0045,0.0045,85925,0.0,1.0
2025-02-06,NCNCF,0.0045,0.005,0.0045,0.0045,0.0045,16996,0.0,1.0
2025-02-07,NCNCF,0.0045,0.0045,0.0045,0.0045,0.0045,231482,0.0,1.0
2025-02-10,NCNCF,0.003,0.0043,0.003,0.0043,0.0043,36740,0.0,1.0
2025-02-11,NCNCF,0.0043,0.0043,0.0043,0.0043,0.0043,1658,0.0,1.0
2025-02-12,NCNCF,0.0042,0.0042,0.0042,0.0042,0.0042,1697,0.0,1.0
2025-02-13,NCNCF,0.0043,0.0043,0.0042,0.0042,0.0042,7919,0.0,1.0
2025-02-14,NCNCF,0.0042,0.005,0.0005,0.005,0.005,443165,0.0,1.0
2025-02-18,NCNCF,0.001,0.0014,0.001,0.0014,0.0014,7907,0.0,1.0
2025-02-19,NCNCF,0.0014,0.0014,0.0014,0.0014,0.0014,8300,0.0,1.0
2025-02-20,NCNCF,0.0014,0.0014,0.0014,0.0014,0.0014,5002,0.0,1.0
2025-02-21,NCNCF,0.0014,0.0014,0.0014,0.0014,0.0014,1000,0.0,1.0
2025-02-24,NCNCF,0.0014,0.0014,0.0014,0.0014,0.0014,1107,0.0,1.0
2025-02-25,NCNCF,0.0014,0.0018,0.0014,0.0018,0.0018,14990,0.0,1.0
2025-02-26,NCNCF,0.0018,0.0018,0.0018,0.0018,0.0018,2363,0.0,1.0
2025-02-27,NCNCF,0.0018,0.0018,0.0018,0.0018,0.0018,7977,0.0,1.0
2025-02-28,NCNCF,0.0018,0.005,0.0018,0.005,0.005,28476,0.0,1.0
2025-03-03,NCNCF,0.0018,0.0028,0.0018,0.0018,0.0018,6668,0.0,1.0
2025-03-04,NCNCF,0.0018,0.0018,0.0018,0.0018,0.0018,11853,0.0,1.0
2025-03-05,NCNCF,0.0018,0.0018,0.0018,0.0018,0.0018,916,0.0,1.0
2025-03-06,NCNCF,0.0018,0.0018,0.0018,0.0018,0.0018,104,0.0,1.0
2025-03-07,NCNCF,0.0018,0.0018,0.0018,0.0018,0.0018,21791,0.0,1.0
2025-03-10,NCNCF,0.001,0.001,0.001,0.001,0.001,1313,0.0,1.0
2025-03-11,NCNCF,0.0014,0.0014,0.0014,0.0014,0.0014,11117,0.0,1.0
2025-03-12,NCNCF,0.0014,0.0014,0.0014,0.0014,0.0014,50,0.0,1.0
2025-03-13,NCNCF,0.0039,0.0039,0.0014,0.0014,0.0014,2596,0.0,1.0
2025-03-14,NCNCF,0.0018,0.002,0.0014,0.0014,0.0014,4788,0.0,1.0
2025-03-17,NCNCF,0.0025,0.0025,0.0015,0.0015,0.0015,1280,0.0,1.0
2025-03-18,NCNCF,0.0018,0.0018,0.0018,0.0018,0.0018,1626,0.0,1.0
2025-03-19,NCNCF,0.0014,0.0049,0.0014,0.002,0.002,3230,0.0,1.0
2025-03-20,NCNCF,0.005,0.005,0.0015,0.0015,0.0015,6264,0.0,1.0
2025-03-21,NCNCF,0.0015,0.002,0.0015,0.002,0.002,699,0.0,1.0
2025-03-24,NCNCF,0.0014,0.0015,0.0014,0.0015,0.0015,4794,0.0,1.0
2025-03-25,NCNCF,0.002,0.002,0.0015,0.0015,0.0015,849,0.0,1.0
2025-03-26,NCNCF,0.0015,0.0015,0.0015,0.0015,0.0015,2881,0.0,1.0
2025-03-27,NCNCF,0.0014,0.0014,0.0014,0.0014,0.0014,739,0.0,1.0
2025-03-28,NCNCF,0.0014,0.002,0.0014,0.0014,0.0014,14573,0.0,1.0
2025-03-31,NCNCF,0.0014,0.0014,0.001,0.001,0.001,13272,0.0,1.0
2025-04-01,NCNCF,0.0006,0.0006,0.0006,0.0006,0.0006,1679,0.0,1.0
2025-04-02,NCNCF,0.0007,0.0014,0.0006,0.0006,0.0006,31680,0.0,1.0
2025-04-03,NCNCF,0.0001,0.0006,0.0001,0.0006,0.0006,619,0.0,1.0
2025-04-04,NCNCF,0.001,0.0043,0.001,0.001,0.001,41496,0.0,1.0
2025-04-07,NCNCF,0.001,0.001,0.001,0.001,0.001,2536,0.0,1.0
2025-04-08,NCNCF,0.001,0.001,0.001,0.001,0.001,33263,0.0,1.0
2025-04-09,NCNCF,0.0006,0.0006,0.0006,0.0006,0.0006,37302,0.0,1.0
2025-04-10,NCNCF,0.0006,0.0043,0.0006,0.001,0.001,17897,0.0,1.0
2025-04-11,NCNCF,0.001,0.001,0.001,0.001,0.001,4423,0.0,1.0
2025-04-14,NCNCF,0.001,0.001,0.001,0.001,0.001,809,0.0,1.0
2025-04-15,NCNCF,0.001,0.001,0.001,0.001,0.001,172,0.0,1.0
2025-04-16,NCNCF,0.001,0.001,0.001,0.001,0.001,38938,0.0,1.0
2025-04-17,NCNCF,0.001,0.001,0.001,0.001,0.001,3979,0.0,1.0
2025-04-21,NCNCF,0.001,0.001,0.001,0.001,0.001,3202,0.0,1.0
2025-04-22,NCNCF,0.001,0.001,0.001,0.001,0.001,3106,0.0,1.0
2025-04-23,NCNCF,0.001,0.001,0.001,0.001,0.001,2462,0.0,1.0
2025-04-24,NCNCF,0.001,0.001,0.001,0.001,0.001,1569,0.0,1.0
2025-04-25,NCNCF,0.001,0.001,0.001,0.001,0.001,2886,0.0,1.0
2025-04-28,NCNCF,0.001,0.001,0.001,0.001,0.001,29,0.0,1.0
2025-04-29,NCNCF,0.001,0.001,0.001,0.001,0.001,5194,0.0,1.0
2025-04-30,NCNCF,0.001,0.001,0.001,0.001,0.001,91,0.0,1.0
2025-05-01,NCNCF,0.001,0.001,0.001,0.001,0.001,273,0.0,1.0
2025-05-02,NCNCF,0.001,0.001,0.001,0.001,0.001,4836,0.0,1.0
2025-05-05,NCNCF,0.001,0.001,0.001,0.001,0.001,3019,0.0,1.0
2025-05-06,NCNCF,0.001,0.001,0.001,0.001,0.001,210,0.0,1.0
2025-05-07,NCNCF,0.001,0.001,0.001,0.001,0.001,2015,0.0,1.0
2025-05-08,NCNCF,0.002,0.0043,0.001,0.0035,0.0035,3403,0.0,1.0
2025-05-09,NCNCF,0.001,0.002,0.001,0.001,0.001,1124,0.0,1.0
2025-05-12,NCNCF,0.001,0.001,0.001,0.001,0.001,4400,0.0,1.0
2025-05-13,NCNCF,0.001,0.001,0.001,0.001,0.001,763,0.0,1.0
2025-05-14,NCNCF,0.001,0.001,0.001,0.001,0.001,2736,0.0,1.0
2025-05-15,NCNCF,0.001,0.001,0.001,0.001,0.001,8686,0.0,1.0
2025-05-16,NCNCF,0.001,0.001,0.001,0.001,0.001,9415,0.0,1.0
2025-05-19,NCNCF,0.001,0.001,0.001,0.001,0.001,5585,0.0,1.0
2025-05-20,NCNCF,0.001,0.001,0.001,0.001,0.001,1759,0.0,1.0
2025-05-21,NCNCF,0.0011,0.0011,0.001,0.001,0.001,577,0.0,1.0
2025-05-22,NCNCF,0.0011,0.0011,0.001,0.001,0.001,12987,0.0,1.0
2025-05-23,NCNCF,0.001,0.001,0.001,0.001,0.001,3976,0.0,1.0
2025-05-27,NCNCF,0.001,0.0011,0.001,0.001,0.001,193785,0.0,1.0
2025-05-28,NCNCF,0.001,0.001,0.001,0.001,0.001,53240,0.0,1.0
2025-05-29,NCNCF,0.001,0.001,0.001,0.001,0.001,6803,0.0,1.0
2025-05-30,NCNCF,0.001,0.001,0.001,0.001,0.001,613,0.0,1.0
2025-06-02,NCNCF,0.001,0.0043,0.001,0.0043,0.0043,39508,0.0,1.0
2025-06-03,NCNCF,0.001,0.002,0.001,0.002,0.002,1242,0.0,1.0
2025-06-04,NCNCF,0.001,0.001,0.001,0.001,0.001,1045,0.0,1.0
2025-06-05,NCNCF,0.001,0.001,0.001,0.001,0.001,580,0.0,1.0
2025-06-06,NCNCF,0.001,0.001,0.001,0.001,0.001,44,0.0,1.0
2025-06-09,NCNCF,0.001,0.001,0.001,0.001,0.001,35974,0.0,1.0
2025-06-10,NCNCF,0.001,0.001,0.001,0.001,0.001,3411,0.0,1.0
2025-06-11,NCNCF,0.001,0.001,0.001,0.001,0.001,1584,0.0,1.0
2025-06-12,NCNCF,0.001,0.001,0.001,0.001,0.001,864,0.0,1.0
2025-06-13,NCNCF,0.001,0.001,0.001,0.001,0.001,814,0.0,1.0
2025-06-16,NCNCF,0.001,0.001,0.001,0.001,0.001,21854,0.0,1.0
2025-06-17,NCNCF,0.001,0.002,0.001,0.002,0.002,9200,0.0,1.0
2025-06-18,NCNCF,0.002,0.002,0.002,0.002,0.002,103,0.0,1.0
2025-06-20,NCNCF,0.002,0.0025,0.0015,0.0015,0.0015,2817,0.0,1.0
2025-06-23,NCNCF,0.0015,0.0015,0.0015,0.0015,0.0015,3155,0.0,1.0
2025-06-24,NCNCF,0.004,0.004,0.004,0.004,0.004,1100,0.0,1.0
2025-06-25,NCNCF,0.0015,0.0015,0.0015,0.0015,0.0015,942,0.0,1.0
2025-06-26,NCNCF,0.0015,0.0015,0.0015,0.0015,0.0015,1639,0.0,1.0
2025-06-27,NCNCF,0.0015,0.0015,0.0015,0.0015,0.0015,106,0.0,1.0
2025-06-30,NCNCF,0.0015,0.0015,0.0015,0.0015,0.0015,5148,0.0,1.0
2025-07-01,NCNCF,0.004,0.004,0.004,0.004,0.004,247,0.0,1.0
2025-07-02,NCNCF,0.004,0.004,0.004,0.004,0.004,2090,0.0,1.0
2025-07-03,NCNCF,0.002,0.002,0.002,0.002,0.002,600,0.0,1.0
2025-07-07,NCNCF,0.0015,0.0015,0.0015,0.0015,0.0015,4865,0.0,1.0
2025-07-08,NCNCF,0.0015,0.0015,0.0015,0.0015,0.0015,17760,0.0,1.0
2025-07-09,NCNCF,0.0015,0.0015,0.0015,0.0015,0.0015,277,0.0,1.0
2025-07-10,NCNCF,0.0015,0.0015,0.0015,0.0015,0.0015,8114,0.0,1.0
2025-07-11,NCNCF,0.0015,0.0015,0.0015,0.0015,0.0015,5934,0.0,1.0
2025-07-14,NCNCF,0.0015,0.0015,0.0015,0.0015,0.0015,659,0.0,1.0
2025-07-15,NCNCF,0.0015,0.004,0.0015,0.0015,0.0015,12342,0.0,1.0
2025-07-16,NCNCF,0.0015,0.004,0.0015,0.004,0.004,13211,0.0,1.0
