date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2023-03-23,NIRLQ,10.06,14.84,10.0,10.424,10.424,166700,0.0,1.0
2023-03-24,NIRLQ,17.38,18.65,10.7,12.17,12.17,1613113,0.0,1.0
2023-03-27,NIRLQ,10.5,10.98,4.51,4.98,4.98,956513,0.0,1.0
2023-03-28,NIRLQ,4.484,4.84,3.22,3.6,3.6,685132,0.0,1.0
2023-03-29,NIRLQ,3.14,3.41,2.47,2.65,2.65,1230645,0.0,1.0
2023-03-30,NIRLQ,2.51,2.83,2.18,2.59,2.59,687856,0.0,1.0
2023-03-31,NIRLQ,2.58,2.88,2.4301,2.52,2.52,481790,0.0,1.0
2023-04-03,NIRLQ,2.32,3.34,2.22,2.955,2.955,1539412,0.0,1.0
2023-04-04,NIRLQ,2.913,4.3699,2.91,3.7,3.7,4057730,0.0,1.0
2023-04-05,NIRLQ,3.2,3.5601,3.0,3.37,3.37,1736114,0.0,1.0
2023-04-06,NIRLQ,3.3,3.35,2.62,2.97,2.97,312697,0.0,1.0
2023-04-10,NIRLQ,2.82,3.0,2.48,2.89,2.89,330514,0.0,1.0
2023-04-11,NIRLQ,2.75,3.19,2.75,3.0,3.0,199468,0.0,1.0
2023-04-12,NIRLQ,3.0,3.14,2.86,3.11,3.11,136347,0.0,1.0
2023-04-13,NIRLQ,3.04,3.21,2.8101,2.985,2.985,324204,0.0,1.0
2023-04-14,NIRLQ,3.21,6.24,3.0,5.97,5.97,5557266,0.0,1.0
2023-04-17,NIRLQ,4.55,5.45,3.9,4.28,4.28,2125112,0.0,1.0
2023-04-18,NIRLQ,4.0,4.14,3.27,3.32,3.32,581837,0.0,1.0
2023-04-19,NIRLQ,3.28,3.496,3.1,3.29,3.29,766078,0.0,1.0
2023-04-20,NIRLQ,3.2,3.98,3.15,3.43,3.43,850234,0.0,1.0
2023-04-21,NIRLQ,3.36,3.678,3.1,3.32,3.32,297036,0.0,1.0
2023-04-24,NIRLQ,3.25,3.61,3.2,3.45,3.45,243048,0.0,1.0
2023-04-25,NIRLQ,3.38,3.38,2.8,2.96,2.96,220537,0.0,1.0
2023-04-26,NIRLQ,3.01,3.1,2.8,2.98,2.98,109714,0.0,1.0
2023-04-27,NIRLQ,2.92,3.2022,2.726,3.02,3.02,191930,0.0,1.0
2023-04-28,NIRLQ,2.95,3.0199,2.65,2.68,2.68,156811,0.0,1.0
2023-05-01,NIRLQ,2.7,2.76,2.51,2.55,2.55,77351,0.0,1.0
2023-05-02,NIRLQ,2.54,2.54,2.27,2.35,2.35,98735,0.0,1.0
2023-05-03,NIRLQ,2.36,2.54,2.3,2.37,2.37,109085,0.0,1.0
2023-05-04,NIRLQ,2.35,2.5,2.27,2.28,2.28,245016,0.0,1.0
2023-05-05,NIRLQ,2.37,2.44,2.2838,2.36,2.36,98190,0.0,1.0
2023-05-08,NIRLQ,2.36,2.38,2.22,2.34,2.34,81180,0.0,1.0
2023-05-09,NIRLQ,2.34,2.34,2.2502,2.29,2.29,24250,0.0,1.0
2023-05-10,NIRLQ,2.24,2.6,2.24,2.41,2.41,215027,0.0,1.0
2023-05-11,NIRLQ,2.3,2.62,2.3,2.3496,2.3496,390831,0.0,1.0
2023-05-12,NIRLQ,2.38,2.5,2.16,2.19,2.19,240966,0.0,1.0
2023-05-15,NIRLQ,2.23,2.3,2.0,2.08,2.08,150662,0.0,1.0
2023-05-16,NIRLQ,2.03,2.2,2.03,2.16,2.16,76395,0.0,1.0
2023-05-17,NIRLQ,2.18,2.28,2.05,2.23,2.23,73984,0.0,1.0
2023-05-18,NIRLQ,2.2,2.28,2.015,2.06,2.06,106899,0.0,1.0
2023-05-19,NIRLQ,2.04,2.15,2.0,2.03,2.03,43031,0.0,1.0
2023-05-22,NIRLQ,2.03,2.07,1.82,1.9,1.9,106616,0.0,1.0
2023-05-23,NIRLQ,1.9,2.02,1.85,1.88,1.88,196660,0.0,1.0
2023-05-24,NIRLQ,1.86,2.0,1.82,1.85,1.85,70581,0.0,1.0
2023-05-25,NIRLQ,2.14,2.19,1.88,1.96,1.96,1888834,0.0,1.0
2023-05-26,NIRLQ,1.93,1.93,1.55,1.65,1.65,454044,0.0,1.0
2023-05-30,NIRLQ,1.67,1.83,1.6,1.8,1.8,1055200,0.0,1.0
2023-05-31,NIRLQ,1.86,1.8899,1.63,1.79,1.79,826201,0.0,1.0
2023-06-01,NIRLQ,1.75,1.75,1.6,1.65,1.65,264245,0.0,1.0
2023-06-02,NIRLQ,1.67,1.72,1.6,1.65,1.65,175027,0.0,1.0
2023-06-05,NIRLQ,1.69,1.79,1.6,1.72,1.72,199810,0.0,1.0
2023-06-06,NIRLQ,1.739,1.78,1.6401,1.74,1.74,132260,0.0,1.0
2023-06-07,NIRLQ,1.74,1.855,1.71,1.75,1.75,162599,0.0,1.0
2023-06-08,NIRLQ,1.75,1.92,1.7,1.89,1.89,239009,0.0,1.0
2023-06-09,NIRLQ,1.9,1.98,1.78,1.82,1.82,114429,0.0,1.0
2023-06-12,NIRLQ,1.89,1.9,1.77,1.88,1.88,82268,0.0,1.0
2023-06-13,NIRLQ,1.9,2.24,1.83,2.18,2.18,263499,0.0,1.0
