date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2017-12-04,NRXP,9.6,9.6,9.6,9.6,96.0,23900,0.0,1.0
2017-12-05,NRXP,9.5999,9.5999,9.5999,9.5999,95.999,1880,0.0,1.0
2017-12-06,NRXP,9.6,9.6,9.582,9.6,96.0,32250,0.0,1.0
2017-12-07,NRXP,9.65,9.7,9.64,9.64,96.4,137425,0.0,1.0
2017-12-08,NRXP,9.65,9.66,9.64,9.66,96.6,28721,0.0,1.0
2017-12-11,NRXP,9.66,10.93,9.6,9.68,96.8,417871,0.0,1.0
2017-12-12,NRXP,9.68,9.685,9.67,9.68,96.8,62650,0.0,1.0
2017-12-13,NRXP,9.68,9.68,9.68,9.68,96.8,10700,0.0,1.0
2017-12-14,NRXP,9.7,9.7,9.7,9.7,97.0,69967,0.0,1.0
2017-12-15,NRXP,9.8,9.8,9.7,9.75,97.5,29345,0.0,1.0
2017-12-18,NRXP,9.7,9.7,9.7,9.7,97.0,16146,0.0,1.0
2017-12-19,NRXP,9.7,9.7,9.7,9.7,97.0,0,0.0,1.0
2017-12-20,NRXP,9.7,9.7,9.7,9.7,97.0,17493,0.0,1.0
2017-12-21,NRXP,9.7,9.7,9.666,9.666,96.66,5200,0.0,1.0
2017-12-22,NRXP,9.72,9.72,9.68,9.68,96.8,7201,0.0,1.0
2017-12-26,NRXP,9.68,9.68,9.68,9.68,96.8,0,0.0,1.0
2017-12-27,NRXP,9.832,9.832,9.68,9.74,97.4,7200,0.0,1.0
2017-12-28,NRXP,9.71,9.71,9.68,9.68,96.8,2700,0.0,1.0
2017-12-29,NRXP,9.68,9.68,9.68,9.68,96.8,0,0.0,1.0
2018-01-02,NRXP,9.7,9.705,9.69,9.69,96.9,20700,0.0,1.0
2018-01-03,NRXP,9.7299,9.7299,9.7299,9.7299,97.299,300,0.0,1.0
2018-01-04,NRXP,9.73,9.73,9.73,9.73,97.3,0,0.0,1.0
2018-01-05,NRXP,9.76,9.76,9.7,9.7,97.0,4200,0.0,1.0
2018-01-08,NRXP,9.7,9.7,9.7,9.7,97.0,87295,0.0,1.0
