date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2023-09-29,NVNI,8.99,12.12,8.98,11.73,117.3,120200,0.0,1.0
2023-10-02,NVNI,7.99,10.9999,6.05,6.35,63.5,118366,0.0,1.0
2023-10-03,NVNI,6.48,6.48,4.62,4.77,47.7,56798,0.0,1.0
2023-10-04,NVNI,4.69,4.69,3.7,3.97,39.7,50061,0.0,1.0
2023-10-05,NVNI,4.0482,4.78,3.38,3.7,37.0,42328,0.0,1.0
2023-10-06,NVNI,3.81,4.07,3.6391,3.7214,37.214,36243,0.0,1.0
2023-10-09,NVNI,3.9,4.34,3.64,3.7,37.0,38437,0.0,1.0
2023-10-10,NVNI,3.95,3.9899,3.2,3.2001,32.001,48041,0.0,1.0
2023-10-11,NVNI,3.34,3.67,3.285,3.495,34.95,19136,0.0,1.0
2023-10-12,NVNI,3.39,3.7099,3.37,3.37,33.7,11237,0.0,1.0
2023-10-13,NVNI,3.08,3.45,3.07,3.35,33.5,4317,0.0,1.0
2023-10-16,NVNI,3.37,3.5,3.17,3.47,34.7,6190,0.0,1.0
2023-10-17,NVNI,3.48,3.5163,3.1,3.5163,35.163,1913,0.0,1.0
2023-10-18,NVNI,3.33,3.4,3.2001,3.32,33.2,4236,0.0,1.0
2023-10-19,NVNI,3.21,3.2701,3.09,3.13,31.3,34667,0.0,1.0
2023-10-20,NVNI,3.09,3.36,3.03,3.08,30.8,13691,0.0,1.0
2023-10-23,NVNI,3.09,3.2423,2.7,2.91,29.1,33561,0.0,1.0
2023-10-24,NVNI,3.0,3.2388,3.0,3.12,31.2,6047,0.0,1.0
2023-10-25,NVNI,3.14,3.14,3.12,3.13,31.3,1092,0.0,1.0
2023-10-26,NVNI,2.93,3.11,2.6,2.72,27.2,9850,0.0,1.0
2023-10-27,NVNI,2.72,2.72,2.72,2.72,27.2,106,0.0,1.0
2023-10-30,NVNI,2.75,2.9639,2.75,2.895,28.95,1707,0.0,1.0
2023-10-31,NVNI,2.9711,2.9711,2.3801,2.52,25.2,6686,0.0,1.0
2023-11-01,NVNI,2.7317,2.7317,2.4826,2.4826,24.826,7929,0.0,1.0
