date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-01-25,NVTS,11.1,11.1,10.2,10.88,10.88,345221,0.0,1.0
2021-01-26,NVTS,11.3,11.3,10.5901,10.63,10.63,270742,0.0,1.0
2021-01-27,NVTS,10.68,10.68,10.15,10.32,10.32,127349,0.0,1.0
2021-01-28,NVTS,10.49,11.38,10.41,10.76,10.76,89229,0.0,1.0
2021-01-29,NVTS,11.0,11.0,10.4,10.65,10.65,227170,0.0,1.0
2021-02-01,NVTS,10.88,10.95,10.57,10.8,10.8,86092,0.0,1.0
2021-02-02,NVTS,10.95,11.02,10.7,10.95,10.95,280858,0.0,1.0
2021-02-03,NVTS,10.91,11.0,10.76,10.95,10.95,176446,0.0,1.0
2021-02-04,NVTS,10.98,11.03,10.7,10.99,10.99,181189,0.0,1.0
2021-02-05,NVTS,11.2,11.95,11.1,11.66,11.66,297801,0.0,1.0
2021-02-08,NVTS,11.87,11.9799,11.5,11.93,11.93,290431,0.0,1.0
2021-02-09,NVTS,11.88,11.9,11.25,11.58,11.58,126999,0.0,1.0
2021-02-10,NVTS,11.88,11.88,11.53,11.65,11.65,212124,0.0,1.0
2021-02-11,NVTS,11.75,11.84,11.53,11.73,11.73,150146,0.0,1.0
2021-02-12,NVTS,11.62,11.62,11.4,11.4,11.4,23309,0.0,1.0
2021-02-16,NVTS,11.99,11.99,11.3,11.35,11.35,139225,0.0,1.0
2021-02-17,NVTS,11.35,11.48,11.21,11.44,11.44,125517,0.0,1.0
2021-02-18,NVTS,11.62,11.62,11.03,11.16,11.16,115637,0.0,1.0
2021-02-19,NVTS,11.2,11.34,11.17,11.27,11.27,94056,0.0,1.0
2021-02-22,NVTS,11.25,11.36,11.0401,11.1,11.1,298874,0.0,1.0
2021-02-23,NVTS,10.85,11.07,10.39,11.07,11.07,277212,0.0,1.0
2021-02-24,NVTS,11.08,11.4,10.73,11.0,11.0,100310,0.0,1.0
2021-02-25,NVTS,10.89,10.91,10.43,10.7,10.7,228311,0.0,1.0
2021-02-26,NVTS,10.65,10.71,10.31,10.47,10.47,218722,0.0,1.0
2021-03-01,NVTS,10.51,10.69,10.4,10.68,10.68,275521,0.0,1.0
2021-03-02,NVTS,10.59,10.65,10.13,10.18,10.18,370510,0.0,1.0
2021-03-03,NVTS,10.2,10.4,10.18,10.29,10.29,518789,0.0,1.0
2021-03-04,NVTS,10.17,10.18,9.9,10.02,10.02,364623,0.0,1.0
2021-03-05,NVTS,10.2,10.49,10.0,10.14,10.14,656945,0.0,1.0
2021-03-08,NVTS,10.13,10.17,9.95,10.08,10.08,506014,0.0,1.0
2021-03-09,NVTS,10.09,10.13,10.02,10.08,10.08,170537,0.0,1.0
2021-03-10,NVTS,10.05,10.11,10.03,10.1,10.1,140753,0.0,1.0
2021-03-11,NVTS,10.07,10.32,10.07,10.27,10.27,51663,0.0,1.0
