date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-03-22,NVVE,14.88,15.52,14.65,15.52,248320.0,118400,0.0,1.0
2021-03-23,NVVE,15.1,16.65,12.75,13.7,219200.0,167346,0.0,1.0
2021-03-24,NVVE,13.8,14.75,12.12,12.56,200960.0,203634,0.0,1.0
2021-03-25,NVVE,11.61,11.77,10.2001,10.71,171360.0,836937,0.0,1.0
2021-03-26,NVVE,11.26,12.38,10.8,10.95,175200.0,469085,0.0,1.0
2021-03-29,NVVE,11.27,11.484,10.2,10.2,163200.0,230436,0.0,1.0
2021-03-30,NVVE,10.4,10.6488,9.91,10.02,160320.0,265669,0.0,1.0
2021-03-31,NVVE,10.36,10.68,10.03,10.1,161600.0,407549,0.0,1.0
2021-04-01,NVVE,10.77,12.94,10.56,12.86,205760.0,664604,0.0,1.0
2021-04-05,NVVE,13.66,14.51,13.2973,13.93,222880.0,513498,0.0,1.0
2021-04-06,NVVE,14.99,14.99,13.26,13.45,215200.0,396722,0.0,1.0
2021-04-07,NVVE,13.18,13.47,11.86,11.87,189920.0,484532,0.0,1.0
2021-04-08,NVVE,12.19,12.4399,11.2,11.63,186080.0,407201,0.0,1.0
2021-04-09,NVVE,11.67,11.75,10.76,10.95,175200.0,377845,0.0,1.0
2021-04-12,NVVE,11.0,11.099,10.02,10.13,162080.0,387520,0.0,1.0
2021-04-13,NVVE,10.29,10.29,9.1955,9.28,148480.0,558334,0.0,1.0
2021-04-14,NVVE,9.407,9.96,9.05,9.49,151840.0,387435,0.0,1.0
2021-04-15,NVVE,9.74,9.74,9.1001,9.52,152320.0,145774,0.0,1.0
2021-04-16,NVVE,9.52,9.73,8.86,9.1,145600.0,209368,0.0,1.0
2021-04-19,NVVE,9.4,9.4,8.24,9.06,144960.0,633060,0.0,1.0
2021-04-20,NVVE,8.89,9.0,8.01,8.55,136800.0,340022,0.0,1.0
2021-04-21,NVVE,8.4,9.25,8.07,9.16,146560.0,363542,0.0,1.0
2021-04-22,NVVE,9.32,9.92,9.12,9.79,156640.0,371683,0.0,1.0
2021-04-23,NVVE,9.78,10.38,9.42,10.27,164320.0,235632,0.0,1.0
2021-04-26,NVVE,10.56,10.8799,10.17,10.61,169760.0,298469,0.0,1.0
2021-04-27,NVVE,10.55,11.35,10.32,11.32,181120.0,365401,0.0,1.0
2021-04-28,NVVE,11.44,12.65,11.35,12.15,194400.0,489044,0.0,1.0
2021-04-29,NVVE,12.6186,13.24,11.89,12.25,196000.0,594231,0.0,1.0
2021-04-30,NVVE,12.2,12.4,11.3,11.65,186400.0,482426,0.0,1.0
2021-05-03,NVVE,11.68,11.9,11.06,11.17,178720.0,136500,0.0,1.0
2021-05-04,NVVE,11.12,11.3399,10.01,10.71,171360.0,388367,0.0,1.0
2021-05-05,NVVE,11.14,11.2675,9.78,9.98,159680.0,339184,0.0,1.0
2021-05-06,NVVE,9.89,10.41,9.51,9.93,158880.0,269946,0.0,1.0
2021-05-07,NVVE,10.01,10.49,9.73,10.03,160480.0,187282,0.0,1.0
2021-05-10,NVVE,10.02,10.1181,9.0,9.17,146720.0,258647,0.0,1.0
2021-05-11,NVVE,8.72,9.79,8.55,8.67,138720.0,362484,0.0,1.0
2021-05-12,NVVE,8.55,8.9829,7.58,7.71,123360.0,445504,0.0,1.0
2021-05-13,NVVE,7.96,8.2794,7.01,7.37,117920.0,536851,0.0,1.0
2021-05-14,NVVE,7.9314,8.5528,7.43,8.25,132000.0,322208,0.0,1.0
2021-05-17,NVVE,8.77,13.35,8.7001,10.8,172800.0,16870902,0.0,1.0
2021-05-18,NVVE,10.45,12.79,10.25,12.63,202080.0,3591548,0.0,1.0
2021-05-19,NVVE,11.81,12.08,11.0,11.18,178880.0,935025,0.0,1.0
2021-05-20,NVVE,11.7,11.88,11.01,11.17,178720.0,360854,0.0,1.0
2021-05-21,NVVE,11.18,11.55,10.6532,10.73,171680.0,554163,0.0,1.0
2021-05-24,NVVE,10.82,11.1,10.3579,10.39,166240.0,241952,0.0,1.0
2021-05-25,NVVE,10.5,10.69,9.76,9.78,156480.0,486199,0.0,1.0
2021-05-26,NVVE,9.9,10.39,9.8282,10.3,164800.0,175006,0.0,1.0
2021-05-27,NVVE,10.42,10.795,10.3005,10.6,169600.0,163329,0.0,1.0
2021-05-28,NVVE,10.6,10.94,10.05,10.13,162080.0,227260,0.0,1.0
2021-06-01,NVVE,10.47,10.5,10.05,10.29,164640.0,120432,0.0,1.0
2021-06-02,NVVE,10.35,11.38,10.32,11.31,180960.0,318253,0.0,1.0
2021-06-03,NVVE,11.08,11.97,10.8186,11.87,189920.0,319486,0.0,1.0
2021-06-04,NVVE,11.89,11.89,11.17,11.5,184000.0,233311,0.0,1.0
2021-06-07,NVVE,11.58,12.25,11.5028,12.2,195200.0,208863,0.0,1.0
2021-06-08,NVVE,12.29,12.8,12.2406,12.61,201760.0,332485,0.0,1.0
2021-06-09,NVVE,12.74,12.79,12.04,12.15,194400.0,225737,0.0,1.0
2021-06-10,NVVE,12.05,12.57,11.83,12.38,198080.0,160748,0.0,1.0
2021-06-11,NVVE,12.32,12.61,12.06,12.4,198400.0,180349,0.0,1.0
2021-06-14,NVVE,12.5,13.17,12.4,13.16,210560.0,344423,0.0,1.0
2021-06-15,NVVE,13.12,13.27,12.08,12.26,196160.0,241984,0.0,1.0
2021-06-16,NVVE,12.26,13.1689,12.02,12.81,204960.0,366667,0.0,1.0
2021-06-17,NVVE,12.69,13.225,12.51,12.98,207680.0,324707,0.0,1.0
2021-06-18,NVVE,12.51,13.14,12.15,12.28,196480.0,674105,0.0,1.0
2021-06-21,NVVE,12.38,13.6,11.94,13.57,217120.0,314561,0.0,1.0
2021-06-22,NVVE,13.56,13.7,12.56,13.08,209280.0,303662,0.0,1.0
2021-06-23,NVVE,13.1,13.115,12.82,12.95,207200.0,105567,0.0,1.0
2021-06-24,NVVE,12.92,13.78,12.83,13.13,210080.0,311653,0.0,1.0
2021-06-25,NVVE,13.43,13.497,12.65,12.97,207520.0,238569,0.0,1.0
2021-06-28,NVVE,13.22,14.15,13.01,14.12,225920.0,355668,0.0,1.0
2021-06-29,NVVE,14.23,14.29,13.53,13.82,221120.0,217287,0.0,1.0
2021-06-30,NVVE,13.95,14.18,13.71,13.82,221120.0,142610,0.0,1.0
2021-07-01,NVVE,14.04,14.07,13.36,13.75,220000.0,167795,0.0,1.0
2021-07-02,NVVE,13.86,13.9289,13.24,13.55,216800.0,126669,0.0,1.0
2021-07-06,NVVE,13.61,13.61,12.9305,13.06,208960.0,120404,0.0,1.0
2021-07-07,NVVE,13.31,13.49,12.83,12.95,207200.0,170619,0.0,1.0
2021-07-08,NVVE,12.68,12.68,12.1,12.54,200640.0,207722,0.0,1.0
2021-07-09,NVVE,12.75,13.0599,12.58,12.89,206240.0,111442,0.0,1.0
2021-07-12,NVVE,12.95,13.5,12.72,13.45,215200.0,146878,0.0,1.0
2021-07-13,NVVE,13.43,13.43,12.33,12.33,197280.0,206412,0.0,1.0
2021-07-14,NVVE,12.58,12.65,11.07,11.27,180320.0,255150,0.0,1.0
2021-07-15,NVVE,11.21,11.3499,10.62,10.89,174240.0,228397,0.0,1.0
2021-07-16,NVVE,10.99,10.99,9.77,9.87,157920.0,440187,0.0,1.0
2021-07-19,NVVE,9.5,10.7,9.31,10.57,169120.0,278590,0.0,1.0
2021-07-20,NVVE,10.51,12.1,10.51,12.1,193600.0,288015,0.0,1.0
2021-07-21,NVVE,12.1,13.1,11.9174,12.05,192800.0,438519,0.0,1.0
2021-07-22,NVVE,12.0,12.09,11.4601,11.75,188000.0,186096,0.0,1.0
2021-07-23,NVVE,11.76,12.14,11.44,11.98,191680.0,103831,0.0,1.0
2021-07-26,NVVE,11.99,11.99,11.31,11.77,188320.0,180729,0.0,1.0
2021-07-27,NVVE,11.72,12.47,11.2601,12.28,196480.0,176005,0.0,1.0
2021-07-28,NVVE,12.3,12.34,11.5735,11.87,189920.0,272941,0.0,1.0
2021-07-29,NVVE,12.18,12.31,11.61,11.76,188160.0,224643,0.0,1.0
2021-07-30,NVVE,11.6018,11.91,11.26,11.65,186400.0,252198,0.0,1.0
2021-08-02,NVVE,11.9,11.9,11.3,11.32,181120.0,260762,0.0,1.0
2021-08-03,NVVE,11.35,11.45,10.85,11.33,181280.0,144004,0.0,1.0
2021-08-04,NVVE,10.97,11.6149,10.8001,11.53,184480.0,165965,0.0,1.0
2021-08-05,NVVE,11.63,11.97,11.34,11.72,187520.0,176406,0.0,1.0
2021-08-06,NVVE,13.0,13.0,12.02,12.09,193440.0,216278,0.0,1.0
2021-08-09,NVVE,13.1,13.1,12.24,12.47,199520.0,174663,0.0,1.0
2021-08-10,NVVE,12.5,13.15,12.33,13.07,209120.0,198045,0.0,1.0
2021-08-11,NVVE,13.0,13.21,12.57,13.12,209920.0,237332,0.0,1.0
2021-08-12,NVVE,13.21,13.21,12.84,13.02,208320.0,152825,0.0,1.0
2021-08-13,NVVE,11.61,12.2649,11.04,11.11,177760.0,358365,0.0,1.0
2021-08-16,NVVE,11.17,11.26,10.0208,10.35,165600.0,242681,0.0,1.0
2021-08-17,NVVE,10.07,10.71,10.01,10.52,168320.0,172853,0.0,1.0
2021-08-18,NVVE,10.7,11.42,10.4,10.44,167040.0,188546,0.0,1.0
2021-08-19,NVVE,10.29,10.7499,10.21,10.41,166560.0,196437,0.0,1.0
2021-08-20,NVVE,10.52,10.6,9.9106,9.97,159520.0,219646,0.0,1.0
2021-08-23,NVVE,10.13,10.16,9.88,9.95,159200.0,218144,0.0,1.0
2021-08-24,NVVE,10.03,10.35,10.0,10.18,162880.0,145455,0.0,1.0
2021-08-25,NVVE,10.21,10.4,9.88,9.98,159680.0,141642,0.0,1.0
2021-08-26,NVVE,10.0,10.295,9.9,10.08,161280.0,198590,0.0,1.0
