date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2022-11-02,OABI,5.07,5.13,2.41,2.41,2.41,20993668,0.0,1.0
2022-11-03,OABI,2.32,2.97,2.27,2.52,2.52,6993703,0.0,1.0
2022-11-04,OABI,2.5,2.68,2.0601,2.16,2.16,2933992,0.0,1.0
2022-11-07,OABI,2.15,2.26,1.91,2.04,2.04,3781844,0.0,1.0
2022-11-08,OABI,1.98,2.66,1.97,2.5,2.5,4599143,0.0,1.0
2022-11-09,OABI,2.5,2.86,2.5,2.76,2.76,1957510,0.0,1.0
2022-11-10,OABI,2.9,3.02,2.83,3.02,3.02,2713349,0.0,1.0
2022-11-11,OABI,2.95,3.189,2.95,2.95,2.95,1254244,0.0,1.0
2022-11-14,OABI,2.96,3.05,2.84,2.9,2.9,822424,0.0,1.0
2022-11-15,OABI,3.0,3.07,2.54,2.61,2.61,1482858,0.0,1.0
2022-11-16,OABI,2.59,2.76,2.42,2.45,2.45,848809,0.0,1.0
2022-11-17,OABI,2.45,3.01,2.45,2.86,2.86,1335446,0.0,1.0
2022-11-18,OABI,2.99,2.99,2.7,2.78,2.78,615110,0.0,1.0
2022-11-21,OABI,2.74,3.1392,2.74,2.9,2.9,2413740,0.0,1.0
2022-11-22,OABI,3.02,3.02,2.75,2.89,2.89,833368,0.0,1.0
2022-11-23,OABI,2.92,3.1,2.65,2.8,2.8,673040,0.0,1.0
2022-11-25,OABI,2.76,2.8427,2.56,2.61,2.61,607012,0.0,1.0
2022-11-28,OABI,2.68,3.01,2.65,2.88,2.88,1395926,0.0,1.0
2022-11-29,OABI,2.93,3.0885,2.76,2.84,2.84,1095297,0.0,1.0
2022-11-30,OABI,2.9,3.57,2.82,3.54,3.54,3107333,0.0,1.0
2022-12-01,OABI,3.6,3.82,3.18,3.35,3.35,1781455,0.0,1.0
2022-12-02,OABI,3.66,4.04,3.36,3.97,3.97,2220085,0.0,1.0
2022-12-05,OABI,4.09,4.22,3.76,3.9,3.9,1656722,0.0,1.0
2022-12-06,OABI,3.87,4.0,3.54,3.81,3.81,2036493,0.0,1.0
2022-12-07,OABI,3.81,3.85,3.55,3.68,3.68,1045233,0.0,1.0
2022-12-08,OABI,3.68,3.82,3.5515,3.6,3.6,931332,0.0,1.0
2022-12-09,OABI,3.72,3.77,3.4786,3.55,3.55,934502,0.0,1.0
2022-12-12,OABI,3.52,3.8777,3.4,3.78,3.78,1264951,0.0,1.0
2022-12-13,OABI,3.87,3.96,3.7,3.82,3.82,1252318,0.0,1.0
2022-12-14,OABI,3.82,3.93,3.48,3.48,3.48,1087937,0.0,1.0
2022-12-15,OABI,3.75,3.81,3.43,3.46,3.46,1331559,0.0,1.0
2022-12-16,OABI,3.67,3.75,3.17,3.49,3.49,6934654,0.0,1.0
2022-12-19,OABI,3.5,3.58,3.21,3.24,3.24,1335954,0.0,1.0
2022-12-20,OABI,3.28,3.38,3.0601,3.3,3.3,2129314,0.0,1.0
2022-12-21,OABI,3.21,3.87,3.2,3.86,3.86,1256201,0.0,1.0
2022-12-22,OABI,3.86,3.86,3.53,3.64,3.64,657803,0.0,1.0
2022-12-23,OABI,3.64,3.74,3.42,3.56,3.56,527417,0.0,1.0
2022-12-27,OABI,3.57,3.76,3.5015,3.71,3.71,519742,0.0,1.0
2022-12-28,OABI,3.71,3.84,3.52,3.66,3.66,513464,0.0,1.0
2022-12-29,OABI,3.69,3.96,3.5815,3.88,3.88,655766,0.0,1.0
2022-12-30,OABI,3.85,3.92,3.4475,3.6,3.6,824458,0.0,1.0
2023-01-03,OABI,3.57,3.75,3.38,3.47,3.47,538353,0.0,1.0
2023-01-04,OABI,3.46,3.55,3.19,3.23,3.23,915111,0.0,1.0
2023-01-05,OABI,3.21,3.3099,3.07,3.21,3.21,863196,0.0,1.0
2023-01-06,OABI,3.16,3.44,3.07,3.31,3.31,596465,0.0,1.0
2023-01-09,OABI,3.3,3.58,3.3,3.47,3.47,464859,0.0,1.0
2023-01-10,OABI,3.44,3.68,3.44,3.65,3.65,414713,0.0,1.0
2023-01-11,OABI,3.63,3.74,3.53,3.69,3.69,498968,0.0,1.0
2023-01-12,OABI,3.71,3.775,3.56,3.76,3.76,332685,0.0,1.0
2023-01-13,OABI,3.76,3.94,3.735,3.85,3.85,581166,0.0,1.0
